Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,9.07,9.8,8.84,9.69,7358000,8.06
2009-01-05,9.54,9.75,9.39,9.5,12507500,7.9
2009-01-06,9.4,10.0,9.4,9.85,9488300,8.2
2009-01-07,9.57,9.66,9.0,9.05,14878200,7.53
2009-01-08,8.99,9.05,8.62,8.92,15467800,7.42
2009-01-09,9.07,9.13,8.6,8.73,11186800,7.26
2009-01-12,8.77,8.77,8.36,8.45,10742500,7.03
2009-01-13,8.62,8.88,8.48,8.69,19552500,7.23
2009-01-14,8.46,8.57,7.94,8.11,24006400,6.75
2009-01-15,8.07,8.18,7.69,8.03,28554700,6.68
2009-01-16,8.19,8.19,7.65,8.02,72317400,6.67
2009-01-20,7.81,7.9,7.14,7.15,29871500,5.95
2009-01-21,7.39,7.69,7.15,7.69,22123800,6.4
2009-01-22,6.76,7.48,6.76,7.19,32000600,5.98
2009-01-23,6.88,7.19,6.82,6.95,22788800,5.78
2009-01-26,6.75,7.25,6.69,6.92,25807200,5.76
2009-01-27,6.99,7.04,6.63,6.73,19715700,5.6
2009-01-28,7.2,7.61,7.03,7.54,20012900,6.27
2009-01-29,7.23,7.36,6.76,6.8,23024300,5.66
2009-01-30,6.82,6.85,6.31,6.39,27441000,5.32
2009-02-02,6.13,6.75,6.09,6.66,29980300,5.54
2009-02-03,6.5,6.83,6.5,6.79,23863200,5.65
2009-02-04,6.69,6.95,6.52,6.61,28761800,5.5
2009-02-05,6.53,6.96,6.43,6.94,34053700,5.77
2009-02-06,6.77,7.2,6.74,6.98,34005100,5.81
2009-02-09,6.97,7.08,6.57,6.78,24053300,5.64
2009-02-10,6.67,6.8,6.28,6.36,32914900,5.29
2009-02-11,6.39,6.66,6.26,6.47,24027900,5.38
2009-02-12,6.15,6.54,6.15,6.54,22239100,5.44
2009-02-13,6.5,6.62,6.36,6.5,18018300,5.41
2009-02-17,6.01,6.32,5.99,6.12,24355400,5.09
2009-02-18,6.11,6.25,5.99,6.12,22816200,5.09
2009-02-19,6.15,6.29,5.97,6.02,29377600,5.01
2009-02-20,5.88,6.15,5.87,6.04,37772500,5.03
2009-02-23,6.04,6.25,5.74,5.78,30943400,4.81
2009-02-24,5.84,6.19,5.69,6.12,41426600,5.09
2009-02-25,6.09,6.24,5.82,6.06,23573600,5.04
2009-02-26,6.31,6.31,5.7,5.77,29127000,4.8
2009-02-27,5.53,5.75,5.53,5.56,31438900,4.63
2009-03-02,5.46,5.54,5.27,5.28,26682700,4.39
2009-03-03,5.54,5.55,5.19,5.34,28538000,4.44
2009-03-04,5.37,5.75,5.29,5.66,23818500,4.71
2009-03-05,5.42,5.64,5.32,5.35,34060400,4.45
2009-03-06,5.42,5.5,5.14,5.31,26600900,4.42
2009-03-09,5.19,5.27,4.95,4.99,26066400,4.2
2009-03-10,5.08,5.53,4.95,5.51,38631000,4.64
2009-03-11,5.6,5.76,5.36,5.71,31566800,4.81
2009-03-12,5.5,5.89,5.48,5.85,23696000,4.92
2009-03-13,6.2,6.2,5.78,6.0,16407800,5.05
2009-03-16,6.28,6.32,5.99,6.01,18564600,5.06
2009-03-17,6.15,6.36,6.03,6.36,15006200,5.35
2009-03-18,6.21,6.64,6.17,6.53,17787300,5.5
2009-03-19,6.59,6.7,6.13,6.22,27511700,5.23
2009-03-20,6.44,6.45,6.02,6.08,27740200,5.12
2009-03-23,6.37,6.75,6.29,6.75,23463100,5.68
2009-03-24,6.64,6.84,6.55,6.67,20702600,5.61
2009-03-25,6.81,7.05,6.52,6.78,20464600,5.71
2009-03-26,7.05,7.11,6.82,7.03,24897500,5.92
2009-03-27,7.01,7.03,6.86,6.94,22612300,5.84
2009-03-30,6.93,6.93,6.4,6.48,25768900,5.45
2009-03-31,6.72,6.78,6.48,6.62,26918500,5.57
2009-04-01,6.51,7.01,6.43,6.96,24372200,5.86
2009-04-02,7.27,7.63,7.16,7.53,23358200,6.34
2009-04-03,7.63,7.86,7.49,7.8,18481800,6.56
2009-04-06,7.68,7.85,7.46,7.56,14536400,6.36
2009-04-07,7.52,7.52,7.12,7.22,20114600,6.08
2009-04-08,7.27,7.38,7.08,7.26,16145800,6.11
2009-04-09,7.36,7.89,7.35,7.82,22936800,6.58
2009-04-13,7.64,7.82,7.57,7.73,10724100,6.51
2009-04-14,7.7,7.7,7.33,7.4,20887300,6.23
2009-04-15,7.37,7.53,7.21,7.53,16827100,6.34
