Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,8.78,9.16,8.51,9.12,8077100,8.54
2009-01-05,9.0,9.07,8.62,8.75,8074400,8.19
2009-01-06,8.81,8.89,8.14,8.18,24157500,7.66
2009-01-07,8.2,9.42,8.18,9.08,44055500,8.5
2009-01-08,9.25,9.62,8.86,9.26,22458800,8.67
2009-01-09,9.25,9.46,9.06,9.26,11596200,8.67
2009-01-12,9.54,9.55,9.0,9.1,7049800,8.52
2009-01-13,9.1,9.27,8.82,9.16,13059000,8.58
2009-01-14,9.19,9.25,8.8,9.06,13515100,8.49
2009-01-15,9.06,9.33,8.96,9.16,15711300,8.58
2009-01-16,9.46,9.7,9.18,9.57,18771000,8.96
2009-01-20,9.38,9.44,8.97,9.04,13708400,8.47
2009-01-21,9.13,9.59,9.09,9.54,10937000,8.93
2009-01-22,9.1,9.62,9.05,9.36,12125700,8.77
2009-01-23,9.16,9.69,9.02,9.37,12031100,8.78
2009-01-26,9.56,9.59,9.19,9.35,7541600,8.76
2009-01-27,9.3,9.48,9.19,9.41,4922800,8.81
2009-01-28,9.52,9.54,9.11,9.42,10959000,8.82
2009-01-29,9.16,9.35,8.95,9.0,20895700,8.43
2009-01-30,9.02,9.09,8.69,8.76,19263500,8.2
2009-02-02,8.67,9.02,8.67,8.96,15885700,8.39
2009-02-03,9.0,9.27,8.71,9.17,11545900,8.59
2009-02-04,9.23,9.61,8.99,9.51,25821500,8.91
2009-02-05,9.38,9.91,9.3,9.73,16807100,9.11
2009-02-06,9.72,10.03,9.7,9.96,8866100,9.33
2009-02-09,10.0,10.18,9.79,9.84,10025100,9.22
2009-02-10,9.83,10.0,9.51,9.62,11761800,9.01
2009-02-11,9.8,9.92,9.23,9.48,22823000,8.88
2009-02-12,8.92,9.56,8.83,9.26,46313200,8.67
2009-02-13,9.21,9.79,9.21,9.7,17829400,9.08
2009-02-17,9.37,9.73,9.31,9.4,23451900,8.8
2009-02-18,9.47,9.81,9.31,9.59,14199000,8.98
2009-02-19,9.8,9.92,9.37,9.38,13151100,8.78
2009-02-20,9.3,9.55,9.25,9.4,11861400,8.8
2009-02-23,9.41,9.57,9.32,9.43,18724500,8.83
2009-02-24,9.3,10.2,9.3,10.1,21577100,9.46
2009-02-25,9.99,10.08,9.74,9.89,14441000,9.26
2009-02-26,9.87,10.26,9.77,9.95,17897500,9.32
2009-02-27,9.79,10.23,9.73,10.03,11304600,9.39
2009-03-02,9.83,10.15,9.81,9.9,15061400,9.27
2009-03-03,9.93,10.05,9.76,9.87,13062500,9.24
2009-03-04,10.01,10.24,9.95,10.07,17435600,9.43
2009-03-05,9.96,10.25,9.92,10.04,15969700,9.4
2009-03-06,10.07,10.33,9.98,10.33,20618900,9.67
2009-03-09,10.24,10.5,10.07,10.18,18098900,9.53
2009-03-10,10.35,10.59,10.24,10.46,21220000,9.8
2009-03-11,10.54,10.6,10.22,10.42,17447300,9.76
2009-03-12,10.3,10.3,9.43,9.99,50324900,9.36
2009-03-13,10.01,10.05,9.39,9.88,34961100,9.25
2009-03-16,9.92,9.95,9.44,9.48,16439100,8.88
2009-03-17,9.51,9.63,9.34,9.57,19927100,8.96
2009-03-18,9.48,9.72,9.26,9.68,19713200,9.07
2009-03-19,9.79,9.93,9.7,9.9,12849100,9.27
2009-03-20,10.2,10.47,9.9,9.99,20098700,9.36
2009-03-23,10.14,10.46,10.13,10.45,13957500,9.79
2009-03-24,10.44,10.44,10.06,10.24,11942100,9.59
2009-03-25,10.35,10.5,9.96,10.26,10653700,9.61
2009-03-26,10.34,10.92,10.32,10.92,15246200,10.23
2009-03-27,10.67,10.99,10.56,10.66,15043200,9.98
2009-03-30,10.46,10.53,10.07,10.23,9937600,9.58
2009-03-31,10.39,10.65,10.24,10.46,9782000,9.8
2009-04-01,10.32,10.6,10.25,10.49,10112300,9.82
2009-04-02,10.58,11.2,10.46,10.91,16221700,10.22
2009-04-03,10.98,11.28,10.72,11.11,10730600,10.41
2009-04-06,11.01,11.11,10.68,10.83,7802800,10.14
2009-04-07,10.72,10.77,10.32,10.42,10171500,9.76
2009-04-08,10.61,10.95,10.38,10.5,12057200,9.83
2009-04-09,10.8,10.8,10.47,10.69,12086000,10.01
2009-04-13,10.64,10.76,10.45,10.65,7638900,9.97
2009-04-14,10.62,10.75,10.02,10.07,20825700,9.43
2009-04-15,10.03,10.3,9.85,10.03,16020700,9.39
2009-04-16,10.79,10.86,9.99,10.13,36441300,9.49
2009-04-17,10.13,10.73,10.01,10.57,17564400,9.9
2009-04-20,10.57,10.57,9.99,10.02,11924900,9.38
2009-04-21,10.0,10.29,9.91,10.22,10659600,9.57
2009-04-22,10.11,10.43,10.0,10.06,10182400,9.42
2009-04-23,10.02,10.15,9.88,10.0,9515500,9.37
2009-04-24,10.13,10.48,10.01,10.4,11667600,9.74
2009-04-27,10.25,10.73,10.22,10.54,9008500,9.87
2009-04-28,10.42,10.58,10.25,10.25,7409900,9.6
2009-04-29,10.78,11.17,10.64,10.73,15359200,10.05
2009-04-30,10.97,11.03,10.6,10.77,9208900,10.09
2009-05-01,10.88,10.96,10.7,10.84,7420900,10.15
2009-05-04,10.99,11.14,10.84,11.05,8338400,10.35
2009-05-05,11.05,11.28,10.74,10.97,9959200,10.27
2009-05-06,11.03,11.14,10.71,10.97,9525200,10.27
2009-05-07,11.09,11.2,10.7,11.0,15277400,10.3
2009-05-08,11.4,12.11,11.36,11.81,24636700,11.06
2009-05-11,11.73,11.74,11.5,11.5,13933500,10.77
2009-05-12,11.64,11.64,11.28,11.4,12269100,10.68
2009-05-13,11.38,11.4,11.18,11.31,11092700,10.59
2009-05-14,11.33,11.61,11.22,11.51,11830300,10.78
2009-05-15,11.55,11.75,11.47,11.6,19128100,10.86
2009-05-18,11.8,11.8,11.6,11.69,14788900,10.95
2009-05-19,11.55,11.63,11.31,11.43,15881400,10.7
2009-05-20,11.48,11.67,11.37,11.41,12601900,10.69
2009-05-21,11.08,11.18,10.85,11.14,15076900,10.43
2009-05-22,11.02,11.25,10.99,11.14,9437700,10.43
2009-05-26,10.83,11.5,10.83,11.47,9171100,10.74
2009-05-27,11.53,11.74,11.4,11.44,8370400,10.71
2009-05-28,11.57,11.81,11.4,11.77,8744700,11.02
2009-05-29,11.88,12.08,11.6,12.08,12929200,11.31
2009-06-01,12.36,12.36,12.07,12.13,10081400,11.36
2009-06-02,12.15,12.43,12.04,12.31,15752300,11.53
2009-06-03,12.22,12.31,11.98,12.22,8543500,11.44
2009-06-04,12.3,12.78,12.25,12.76,13484600,11.95
2009-06-05,12.78,12.97,12.49,12.78,13240900,11.97
2009-06-08,12.71,12.8,12.46,12.76,7653600,11.95
2009-06-09,12.9,12.93,12.68,12.74,8629000,11.93
2009-06-10,12.91,12.93,12.32,12.81,13930700,12.0
