Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,15.4,15.89,15.05,15.74,3611100,15.74
2009-01-05,15.94,16.29,15.66,16.18,3501000,16.18
2009-01-06,16.39,16.75,16.05,16.45,3817200,16.45
2009-01-07,16.07,16.36,15.26,15.47,3272200,15.47
2009-01-08,15.24,15.51,14.87,15.51,2852600,15.51
2009-01-09,15.51,15.51,14.77,15.13,2227600,15.13
2009-01-12,14.68,14.83,14.07,14.33,3695600,14.33
2009-01-13,14.25,14.47,13.83,14.12,3232700,14.12
2009-01-14,13.81,14.08,13.35,13.42,4727500,13.42
2009-01-15,13.42,13.8,12.73,13.49,3558300,13.49
2009-01-16,13.1,13.47,12.6,13.08,4475700,13.08
2009-01-20,13.17,13.24,12.35,12.43,4133600,12.43
2009-01-21,12.96,13.19,12.49,13.01,4727000,13.01
2009-01-22,12.75,13.04,12.35,12.76,3463400,12.76
2009-01-23,12.42,13.6,12.29,13.4,5935900,13.4
2009-01-26,13.48,14.07,13.42,13.65,4656400,13.65
2009-01-27,13.69,14.09,13.68,13.9,3427600,13.9
2009-01-28,13.88,14.2,13.56,14.01,6410700,14.01
2009-01-29,13.9,13.9,13.38,13.48,3301300,13.48
2009-01-30,13.41,13.98,13.4,13.48,4248000,13.48
2009-02-02,13.6,14.54,13.51,14.35,7096400,14.35
2009-02-03,14.5,14.59,13.85,14.2,4668700,14.2
2009-02-04,14.27,14.79,14.13,14.17,6031500,14.17
2009-02-05,15.38,16.92,15.01,16.73,17822400,16.73
2009-02-06,17.25,17.85,16.75,17.41,9828900,17.41
2009-02-09,17.49,17.65,17.16,17.53,5369700,17.53
2009-02-10,17.74,18.22,17.14,17.19,7424500,17.19
2009-02-11,17.39,17.77,16.86,17.26,4402900,17.26
2009-02-12,16.9,17.93,16.8,17.84,5983100,17.84
2009-02-13,17.93,18.0,17.48,17.72,4381800,17.72
2009-02-17,17.28,17.39,16.63,16.69,4595900,16.69
2009-02-18,16.8,17.76,16.65,17.43,6919700,17.43
2009-02-19,17.74,18.49,17.38,17.56,6753200,17.56
2009-02-20,16.84,17.81,16.71,17.71,8026900,17.71
2009-02-23,17.77,18.0,16.8,16.89,6544700,16.89
2009-02-24,17.11,17.84,16.94,17.68,4870600,17.68
2009-02-25,17.71,18.76,17.47,18.33,9384500,18.33
2009-02-26,18.7,18.98,18.0,18.06,5414700,18.06
