Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,35.41,36.43,35.41,36.13,933600,18.07
2009-01-05,36.29,37.27,35.89,37.0,1157400,18.5
2009-01-06,37.33,37.99,36.65,36.82,1281400,18.41
2009-01-07,36.21,37.13,35.14,35.8,1958400,17.9
2009-01-08,35.62,36.46,35.61,36.22,1074200,18.11
2009-01-09,36.11,36.11,34.09,34.15,1891000,17.08
2009-01-12,34.21,35.02,34.04,34.31,1617200,17.16
2009-01-13,34.4,37.37,34.31,37.01,2542800,18.5
2009-01-14,36.99,37.57,36.1,36.39,2182400,18.19
2009-01-15,36.35,37.1,35.44,37.04,1420200,18.52
2009-01-16,37.27,37.55,36.72,37.5,1404800,18.75
2009-01-20,37.05,37.49,35.74,35.79,1927600,17.9
2009-01-21,36.1,37.5,35.75,37.35,7524000,18.67
2009-01-22,36.58,37.79,36.37,37.27,1999600,18.64
2009-01-23,36.86,37.0,35.87,36.37,1565600,18.18
2009-01-26,36.53,36.7,35.52,35.95,1500800,17.98
2009-01-27,35.93,36.19,35.0,35.14,1584600,17.57
2009-01-28,35.74,36.57,35.58,35.83,2074400,17.92
2009-01-29,35.65,37.38,35.52,36.37,1179000,18.18
2009-01-30,36.78,37.65,36.38,36.87,1515000,18.43
2009-02-02,36.48,37.27,36.29,36.86,1246800,18.43
2009-02-03,36.95,37.52,36.44,37.3,1485400,18.65
2009-02-04,37.19,38.78,37.05,37.82,1717000,18.91
2009-02-05,37.48,39.55,37.25,39.18,2093400,19.59
2009-02-06,39.11,39.79,37.98,38.43,1814800,19.22
2009-02-09,38.78,38.89,37.69,38.18,1668800,19.09
2009-02-10,38.43,38.48,36.74,36.94,2023600,18.47
2009-02-11,37.2,37.5,35.96,36.88,2567200,18.44
2009-02-12,36.86,40.38,35.91,40.17,6225000,20.08
2009-02-13,40.11,40.59,39.61,39.91,1960000,19.95
2009-02-17,39.61,39.89,38.65,39.42,2509400,19.71
2009-02-18,40.0,40.01,38.95,39.57,1980800,19.78
2009-02-19,39.57,39.98,38.25,38.42,1686800,19.21
2009-02-20,37.77,38.36,36.98,37.98,1874000,18.99
2009-02-23,38.18,38.61,36.12,36.15,1843400,18.08
2009-02-24,36.58,38.1,36.07,37.88,1870400,18.94
2009-02-25,37.71,38.85,37.29,37.68,1548800,18.84
2009-02-26,38.1,39.63,36.7,36.98,3190600,18.49
2009-02-27,36.0,36.29,33.92,34.2,4070400,17.1
2009-03-02,34.0,34.31,31.95,32.06,2675000,16.03
2009-03-03,32.53,33.44,31.75,32.46,1739600,16.23
2009-03-04,33.06,34.73,32.6,33.94,2379000,16.97
2009-03-05,33.57,33.68,31.94,32.04,1557200,16.02
2009-03-06,32.37,32.79,31.56,32.28,1509000,16.14
2009-03-09,32.11,33.21,31.38,31.65,2770800,15.82
2009-03-10,32.09,33.62,31.98,33.23,2286000,16.61
2009-03-11,33.31,34.54,30.78,31.67,3741600,15.84
2009-03-12,32.44,34.8,31.51,34.71,2821200,17.35
2009-03-13,34.76,35.76,34.33,35.37,1615600,17.68
2009-03-16,35.55,35.55,34.34,34.55,1137200,17.27
2009-03-17,34.5,36.0,34.24,36.0,1425600,18.0
2009-03-18,35.97,37.92,35.76,36.5,2654000,18.25
2009-03-19,37.1,38.3,36.5,38.02,2653800,19.01
2009-03-20,38.37,38.5,37.1,37.1,2589800,18.55
2009-03-23,37.65,39.29,37.41,38.79,2564800,19.4
2009-03-24,38.42,38.89,37.58,37.79,928800,18.9
2009-03-25,37.95,38.84,36.6,37.95,1386000,18.98
2009-03-26,38.3,39.51,37.43,39.4,1894400,19.7
2009-03-27,38.72,39.22,38.04,38.4,1334600,19.2
2009-03-30,37.9,38.37,36.87,38.25,1181200,19.12
2009-03-31,38.77,39.19,37.44,37.66,2330800,18.83
2009-04-01,36.91,37.02,35.39,36.94,3591000,18.47
2009-04-02,37.65,38.32,37.23,37.51,2386600,18.75
2009-04-03,37.55,37.9,37.17,37.76,1005400,18.88
2009-04-06,37.23,37.23,36.2,36.7,1845200,18.35
2009-04-07,36.31,36.63,35.29,35.29,1462600,17.65
2009-04-08,35.38,36.22,34.94,36.18,1194600,18.09
2009-04-09,36.51,37.49,36.19,37.15,2563200,18.58
2009-04-13,36.87,37.65,36.85,37.19,929000,18.59
2009-04-14,37.2,37.2,35.3,35.59,1386400,17.8
2009-04-15,35.27,35.4,34.15,34.71,2276400,17.35
2009-04-16,34.76,35.16,34.31,34.82,1602200,17.41
2009-04-17,34.34,35.39,34.34,34.94,2368400,17.47
2009-04-20,34.4,35.27,34.23,34.3,1869000,17.15
2009-04-21,34.25,34.42,33.39,33.98,2753400,16.99
2009-04-22,35.03,36.16,34.86,35.31,2996000,17.66
2009-04-23,33.75,35.15,32.88,34.99,7559600,17.5
2009-04-24,34.55,35.45,34.02,34.19,3657400,17.09
2009-04-27,33.68,34.66,33.42,33.76,2720600,16.88
