Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.85,17.22,16.29,17.1,9754000,15.92
2009-01-05,17.39,17.5,17.02,17.32,9170100,16.13
2009-01-06,17.38,17.71,17.11,17.49,8735600,16.29
2009-01-07,17.25,17.26,16.69,16.87,9536200,15.71
2009-01-08,16.89,16.89,16.13,16.54,10919400,15.4
2009-01-09,16.61,16.61,15.74,15.8,9567400,14.71
2009-01-12,15.84,15.86,14.79,15.0,11290300,13.97
2009-01-13,15.05,15.65,14.92,15.41,9888000,14.35
2009-01-14,15.1,15.4,14.9,15.09,7940600,14.05
2009-01-15,15.1,15.83,15.0,15.64,8190900,14.56
2009-01-16,15.88,16.21,15.44,16.07,8416200,14.96
2009-01-20,15.69,16.04,14.99,15.01,8253100,13.98
2009-01-21,15.25,15.41,14.45,15.26,9542200,14.21
2009-01-22,15.04,15.31,14.65,15.01,6098500,13.98
2009-01-23,14.78,16.1,14.78,15.84,8533700,14.75
2009-01-26,15.74,16.44,15.64,15.99,7117300,14.89
2009-01-27,16.19,17.08,16.17,16.65,10647900,15.5
2009-01-28,17.25,17.33,16.17,16.33,18625800,15.21
2009-01-29,16.2,16.2,15.52,15.7,9863300,14.62
2009-01-30,15.87,15.93,15.19,15.38,8201000,14.32
2009-02-02,15.39,16.0,15.08,15.7,8128400,14.62
2009-02-03,15.59,16.05,15.31,15.94,6685500,14.84
2009-02-04,15.95,16.45,15.67,15.89,11306300,14.8
2009-02-05,15.51,16.95,15.48,16.67,11942900,15.52
2009-02-06,16.62,17.03,16.45,16.8,8721000,15.69
2009-02-09,16.74,16.8,16.15,16.4,8626000,15.32
2009-02-10,16.24,16.62,15.43,15.5,10021800,14.48
2009-02-11,15.68,15.76,15.1,15.4,8010700,14.38
2009-02-12,15.44,15.82,15.04,15.69,8106900,14.65
2009-02-13,15.69,16.27,15.66,16.01,7058300,14.95
2009-02-17,15.45,15.55,14.8,14.84,11145700,13.86
2009-02-18,15.06,15.58,14.79,15.19,8208200,14.19
2009-02-19,15.36,15.36,14.31,14.33,7829300,13.38
2009-02-20,14.33,14.73,14.03,14.57,11300500,13.61
2009-02-23,14.57,14.72,13.92,13.97,7665600,13.05
2009-02-24,14.11,14.7,14.0,14.62,7346400,13.65
2009-02-25,14.56,15.65,14.42,15.27,9470200,14.26
2009-02-26,15.66,16.32,15.23,15.26,11450900,14.25
2009-02-27,15.15,15.73,14.87,15.33,10482700,14.32
2009-03-02,15.23,15.41,14.48,14.56,9254700,13.6
2009-03-03,15.15,15.38,14.8,15.13,11481300,14.13
2009-03-04,15.65,16.58,15.49,16.35,15233100,15.27
2009-03-05,16.07,16.73,15.76,15.83,13280800,14.78
2009-03-06,16.0,16.27,15.26,15.77,11260000,14.73
2009-03-09,15.59,16.51,15.37,15.44,8929200,14.42
2009-03-10,15.81,16.5,15.69,16.45,9994400,15.36
2009-03-11,16.54,17.16,16.49,16.87,12142100,15.76
2009-03-12,16.95,17.56,16.8,17.46,9528600,16.31
2009-03-13,17.4,17.54,17.06,17.5,8436000,16.34
2009-03-16,17.6,17.63,16.53,16.62,10307400,15.52
2009-03-17,16.55,17.52,16.28,17.5,8056200,16.34
2009-03-18,17.4,18.09,17.2,17.81,12021800,16.63
2009-03-19,17.98,18.04,17.17,17.44,9443000,16.29
2009-03-20,17.7,17.78,16.96,17.24,9772200,16.1
2009-03-23,17.73,18.0,17.32,18.0,8039900,16.81
2009-03-24,17.64,17.83,17.33,17.44,6255300,16.29
2009-03-25,17.47,18.06,17.14,17.56,9006700,16.4
2009-03-26,17.91,18.41,17.73,18.4,7194800,17.18
2009-03-27,18.0,18.27,17.82,17.98,5080200,16.79
2009-03-30,17.79,18.0,17.27,17.46,5230300,16.31
