Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,51.35,54.53,51.07,54.36,7296400,54.36
2009-01-05,55.73,55.74,53.03,54.06,9509800,54.06
2009-01-06,54.55,58.22,53.75,57.36,11080100,57.36
2009-01-07,56.29,56.95,55.35,56.2,7942700,56.2
2009-01-08,54.99,57.32,54.58,57.16,6577900,57.16
2009-01-09,56.92,57.0,54.7,55.51,6684100,55.51
2009-01-12,54.12,54.3,50.87,51.92,9556300,51.92
2009-01-13,50.96,53.29,50.75,51.45,7883200,51.45
2009-01-14,50.1,50.1,48.14,48.49,10442600,48.49
2009-01-15,48.56,52.23,47.63,51.44,11617300,51.44
2009-01-16,51.8,52.33,49.53,51.59,8258200,51.59
2009-01-20,50.75,51.7,48.27,48.44,6767200,48.44
2009-01-21,49.31,50.69,48.25,50.54,5829500,50.54
2009-01-22,49.42,50.88,48.26,49.94,7133300,49.94
2009-01-23,48.9,51.42,48.45,50.63,5793300,50.63
2009-01-26,50.18,50.89,48.52,49.63,7155700,49.63
2009-01-27,49.3,50.42,47.72,48.44,8738200,48.44
2009-01-28,49.72,51.49,48.97,50.36,8056600,50.36
2009-01-29,49.96,51.85,49.14,50.0,17966800,50.0
2009-01-30,57.36,59.74,57.24,58.82,39783100,58.82
2009-02-02,58.57,62.0,58.13,61.15,19324300,61.15
2009-02-03,60.87,64.2,60.0,63.59,14694600,63.59
2009-02-04,63.38,63.44,60.83,61.06,13726300,61.06
2009-02-05,61.15,63.81,60.63,63.18,10169600,63.18
2009-02-06,63.18,67.0,63.18,66.55,12044900,66.55
2009-02-09,66.56,67.36,65.38,66.71,9437600,66.71
2009-02-10,66.15,67.23,63.07,63.31,10700600,63.31
2009-02-11,63.1,64.9,62.25,64.35,8347300,64.35
2009-02-12,63.25,64.25,61.71,63.96,8095500,63.96
2009-02-13,63.97,64.68,62.87,63.26,4130900,63.26
2009-02-17,61.67,62.65,61.18,61.67,7126100,61.67
2009-02-18,62.27,62.78,60.52,62.35,7366000,62.35
2009-02-19,62.84,64.18,61.67,61.95,6768900,61.95
2009-02-20,61.07,64.15,60.84,63.86,9354500,63.86
2009-02-23,64.16,64.91,61.52,61.71,7336000,61.71
2009-02-24,61.97,66.1,61.89,65.6,10271400,65.6
2009-02-25,64.9,65.75,62.82,63.71,9122100,63.71
2009-02-26,64.12,64.73,62.34,62.34,7275300,62.34
2009-02-27,61.26,65.08,60.94,64.79,11488300,64.79
2009-03-02,63.94,65.52,61.51,61.99,10511900,61.99
2009-03-03,62.75,63.29,61.3,61.7,9691600,61.7
2009-03-04,62.8,65.79,62.4,64.81,11960900,64.81
2009-03-05,64.12,65.8,63.6,64.77,11770300,64.77
2009-03-06,65.2,65.5,59.82,61.69,15093800,61.69
2009-03-09,62.2,64.03,60.15,60.49,13561400,60.49
2009-03-10,62.49,65.9,61.78,65.71,15435700,65.71
2009-03-11,66.24,69.37,65.27,68.54,13881700,68.54
2009-03-12,68.35,69.87,67.25,69.58,11348900,69.58
2009-03-13,69.64,69.74,67.53,68.63,8903400,68.63
2009-03-16,68.56,69.29,66.68,66.98,9437300,66.98
2009-03-17,67.37,71.71,67.0,71.35,11902800,71.35
2009-03-18,70.97,73.91,70.13,71.25,10401700,71.25
2009-03-19,71.4,71.91,69.24,70.1,8819100,70.1
2009-03-20,70.39,70.89,69.08,69.96,8468100,69.96
2009-03-23,71.36,75.61,70.7,75.58,8612400,75.58
2009-03-24,74.85,75.0,72.31,72.81,7457900,72.81
2009-03-25,73.09,73.95,69.84,72.4,7895600,72.4
