Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,58.59,59.08,57.75,58.99,6547900,55.17
2009-01-05,59.22,59.65,58.0,59.65,10940100,55.79
2009-01-06,60.04,60.15,57.75,58.34,8974000,54.56
2009-01-07,57.83,58.75,57.74,58.2,5725400,54.43
2009-01-08,58.06,59.28,58.02,59.26,5576700,55.42
2009-01-09,59.1,59.79,57.62,57.78,6150700,54.04
2009-01-12,57.58,57.72,56.34,57.06,7698300,53.37
2009-01-13,57.16,58.03,57.05,57.71,7466600,53.97
2009-01-14,56.75,57.26,55.75,56.08,6634600,52.45
2009-01-15,55.76,57.29,55.22,57.16,8330400,53.46
2009-01-16,57.62,57.76,56.72,57.52,7020300,53.8
2009-01-20,56.99,57.79,54.92,55.0,8660200,51.44
2009-01-21,55.49,55.7,54.05,55.53,9451300,51.93
2009-01-22,54.84,55.57,54.2,55.23,6305300,51.65
2009-01-23,54.48,54.98,53.0,53.19,9870400,49.75
2009-01-26,53.3,54.72,52.55,54.41,10053400,50.89
2009-01-27,53.4,53.77,52.45,53.09,12635600,49.65
2009-01-28,53.67,55.23,53.24,54.75,9199100,51.2
2009-01-29,54.15,55.27,54.15,54.82,7668400,51.27
2009-01-30,54.59,55.81,54.51,54.85,8037600,51.3
2009-02-02,54.43,55.71,54.3,55.36,7060400,51.78
2009-02-03,55.77,56.91,55.45,56.66,7668400,52.99
2009-02-04,56.79,57.85,56.17,56.77,7420500,53.09
2009-02-05,56.08,57.2,55.49,57.11,6880400,53.41
2009-02-06,57.1,58.13,56.82,58.03,7888600,54.27
2009-02-09,58.0,58.89,57.85,58.74,7402100,54.94
2009-02-10,58.24,58.84,57.25,57.41,9289400,53.69
2009-02-11,57.44,58.2,57.15,58.01,7494800,54.25
2009-02-12,57.51,58.46,57.1,58.41,8704400,54.63
2009-02-13,58.26,58.77,57.8,57.9,5358800,54.15
2009-02-17,56.9,57.36,56.25,56.41,8469900,52.76
2009-02-18,56.39,57.75,56.3,57.39,8625900,53.67
2009-02-19,57.73,57.97,56.98,57.08,6497800,53.38
2009-02-20,56.82,57.55,55.99,56.69,10282600,53.02
2009-02-23,56.86,57.12,56.0,56.13,8372200,52.5
2009-02-24,56.83,56.99,56.22,56.8,9773800,53.12
2009-02-25,56.63,57.7,55.99,56.56,9290400,52.9
2009-02-26,56.56,56.6,51.2,51.23,18572100,47.91
2009-02-27,50.08,51.01,48.78,48.93,19943200,45.76
2009-03-02,48.33,48.74,47.65,47.88,14188900,44.78
2009-03-03,48.0,48.89,47.45,47.71,10680600,44.62
2009-03-04,48.07,49.45,47.73,48.59,8985900,45.44
2009-03-05,47.71,47.95,47.1,47.2,11002500,44.14
2009-03-06,47.03,47.64,45.73,46.38,14071200,43.38
2009-03-09,45.82,46.58,45.8,46.27,9403800,43.27
2009-03-10,46.91,48.36,46.4,48.34,11271700,45.21
2009-03-11,48.58,49.42,47.14,47.27,11208100,44.21
2009-03-12,47.51,50.64,47.17,50.27,10489800,47.01
2009-03-13,50.61,51.42,49.9,51.25,8629400,47.93
2009-03-16,51.75,52.1,50.74,50.78,9588100,47.49
2009-03-17,51.24,52.0,50.5,51.75,7837800,48.4
2009-03-18,51.39,51.52,50.08,50.51,9019200,47.24
