Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,19.0,19.78,18.76,19.67,3264900,16.58
2009-01-05,19.52,19.97,19.41,19.57,4380100,16.5
2009-01-06,19.57,20.6,19.56,20.52,5710900,17.3
2009-01-07,19.8,20.02,19.42,19.75,4462900,16.65
2009-01-08,19.7,19.83,19.17,19.77,3763200,16.67
2009-01-09,19.74,19.84,19.17,19.37,3264700,16.33
2009-01-12,19.32,19.33,18.82,19.05,3393500,16.06
2009-01-13,19.08,19.85,18.92,19.35,4729000,16.32
2009-01-14,19.0,19.16,18.44,18.6,5254700,15.68
2009-01-15,18.59,19.29,18.37,19.1,6168900,16.1
2009-01-16,19.44,20.02,19.01,19.83,6052900,16.72
2009-01-20,19.64,19.77,18.76,18.77,5205000,15.83
2009-01-21,18.06,19.07,18.06,18.9,6770100,15.94
2009-01-22,18.65,19.15,18.39,18.93,6430400,15.96
2009-01-23,18.42,20.03,18.42,19.66,6308800,16.58
2009-01-26,19.71,20.37,19.39,19.69,5753700,16.6
2009-01-27,19.83,20.67,19.56,20.54,5448100,17.32
2009-01-28,20.93,21.7,20.79,21.29,8227500,17.95
2009-01-29,21.01,21.44,20.24,20.44,5654300,17.23
2009-01-30,20.76,20.81,19.84,19.98,6515400,16.85
2009-02-02,19.98,20.52,19.41,20.32,5056600,17.13
2009-02-03,20.32,20.96,19.85,20.82,6039800,17.55
2009-02-04,20.82,21.86,20.59,21.04,5860000,17.74
2009-02-05,20.81,22.39,20.71,21.98,9566400,18.53
2009-02-06,21.85,22.53,21.78,22.38,5539600,18.87
2009-02-09,22.34,22.48,22.0,22.31,3796000,18.81
2009-02-10,22.14,22.48,20.86,21.02,7781500,17.72
2009-02-11,21.07,21.26,20.44,20.9,6279800,17.62
2009-02-12,20.57,21.35,20.47,21.13,7062800,17.82
2009-02-13,21.03,21.87,21.01,21.38,6320200,18.03
2009-02-17,20.97,21.0,19.87,20.0,7753900,16.86
2009-02-18,20.4,20.5,19.79,20.02,9218300,16.88
2009-02-19,20.15,20.74,19.36,19.4,7847000,16.36
2009-02-20,19.08,19.8,19.06,19.3,9542600,16.27
2009-02-23,19.45,19.61,18.21,18.34,8867900,15.46
2009-02-24,18.45,18.84,18.27,18.78,6642300,15.83
2009-02-25,18.66,19.71,18.56,19.26,8259900,16.24
2009-02-26,19.5,19.96,18.76,18.77,7597500,15.83
2009-02-27,18.49,19.05,18.43,18.64,7272600,15.72
2009-03-02,18.29,18.63,17.82,17.93,6576000,15.12
2009-03-03,18.19,18.59,17.91,18.24,8783100,15.38
2009-03-04,18.28,19.22,18.27,18.92,9190500,16.13
2009-03-05,18.56,19.18,18.55,18.78,7292400,16.01
2009-03-06,18.93,19.38,18.11,18.48,8557800,15.75
2009-03-09,18.55,18.9,18.01,18.05,7075500,15.39
2009-03-10,18.4,19.21,18.2,19.17,6567400,16.34
2009-03-11,19.33,19.74,19.07,19.43,6022900,16.56
2009-03-12,19.43,20.03,19.3,19.95,7107600,17.01
2009-03-13,19.97,20.22,19.62,20.16,7264400,17.19
2009-03-16,20.27,20.35,19.56,19.59,7824900,16.7
2009-03-17,19.71,20.24,19.52,20.24,5394800,17.25
2009-03-18,20.16,20.75,19.97,20.61,6603900,17.57
2009-03-19,20.88,20.91,20.06,20.28,5734500,17.29
2009-03-20,20.29,20.47,19.48,19.59,6233500,16.7
2009-03-23,20.0,20.71,19.74,20.32,7027400,17.32
2009-03-24,20.07,20.3,19.83,20.04,4579200,17.08
2009-03-25,20.35,20.63,19.42,19.83,7193100,16.91
2009-03-26,20.1,20.41,19.87,20.2,6851200,17.22
2009-03-27,19.91,20.14,19.8,19.98,4045100,17.03
2009-03-30,19.84,19.94,19.18,19.32,3602000,16.47
2009-03-31,19.68,19.68,19.18,19.27,4449100,16.43
2009-04-01,18.9,19.19,18.59,19.0,9714700,16.2
2009-04-02,19.44,20.04,19.26,19.59,4629700,16.7
2009-04-03,19.41,20.7,19.36,20.63,8555100,17.59
2009-04-06,20.49,20.49,19.78,20.34,5794700,17.34
2009-04-07,20.01,20.43,19.77,19.87,3924400,16.94
2009-04-08,20.15,20.26,19.74,20.13,4006800,17.16
2009-04-09,20.48,20.95,20.28,20.76,4836200,17.7
2009-04-13,20.5,20.67,20.2,20.55,7503700,17.52
2009-04-14,20.31,20.94,20.23,20.85,4723100,17.77
2009-04-15,20.48,20.48,20.08,20.42,5555100,17.41
2009-04-16,20.45,21.39,20.45,21.29,5849800,18.15
2009-04-17,21.07,21.51,20.74,21.41,5064400,18.25
2009-04-20,21.06,21.27,20.37,20.68,4485400,17.63
2009-04-21,20.8,21.1,20.16,20.75,6539100,17.69
2009-04-22,20.63,21.35,20.24,20.93,5674900,17.84
2009-04-23,20.87,20.95,20.32,20.91,5884000,17.83
2009-04-24,21.02,21.3,20.53,21.16,4387900,18.04
2009-04-27,20.81,21.37,20.76,20.84,4282400,17.77
2009-04-28,20.66,20.92,20.34,20.55,3181800,17.52
2009-04-29,20.8,21.03,20.5,20.78,3388500,17.72
2009-04-30,20.75,21.81,20.75,21.28,4857000,18.14
2009-05-01,21.04,21.61,20.85,21.15,4972200,18.03
2009-05-04,21.41,22.12,21.15,22.06,5724700,18.81
2009-05-05,22.05,22.15,21.63,22.0,4190600,18.76
2009-05-06,22.2,22.84,21.88,22.62,7191400,19.28
2009-05-07,22.9,22.9,21.18,21.56,5504000,18.38
2009-05-08,21.88,21.88,20.53,20.67,7735600,17.62
2009-05-11,20.44,21.33,20.1,20.81,6008300,17.74
2009-05-12,20.91,20.97,20.22,20.61,5658200,17.57
2009-05-13,20.31,20.7,20.01,20.12,4437800,17.15
2009-05-14,20.16,20.46,20.01,20.09,7099500,17.13
2009-05-15,20.13,20.13,19.14,19.46,10767400,16.59
2009-05-18,19.64,20.01,19.51,19.9,7538900,16.96
2009-05-19,19.93,20.79,19.73,20.58,7499800,17.54
2009-05-20,23.43,24.32,23.3,23.8,27693900,20.29
2009-05-21,23.59,23.79,23.0,23.57,9536500,20.09
2009-05-22,23.71,23.8,23.2,23.59,5595900,20.11
2009-05-26,23.5,23.87,23.36,23.66,6963400,20.17
2009-05-27,23.6,24.49,23.43,23.94,8399000,20.58
2009-05-28,24.08,24.19,23.38,24.15,6439400,20.76
2009-05-29,24.15,24.46,23.62,24.41,7810000,20.99
2009-06-01,24.84,25.32,24.78,25.03,6267500,21.52
2009-06-02,24.97,24.97,24.23,24.48,4862800,21.05
2009-06-03,24.13,24.36,23.79,24.35,4741500,20.94
2009-06-04,24.37,24.87,23.98,24.56,4576300,21.12
2009-06-05,24.86,24.88,24.1,24.43,3396900,21.0
2009-06-08,24.33,24.64,23.98,24.43,3098100,21.0
2009-06-09,24.94,26.05,24.78,25.73,8904200,22.12
2009-06-10,25.85,25.85,25.25,25.71,5917300,22.1
2009-06-11,25.76,25.94,25.59,25.74,5723800,22.13
2009-06-12,25.77,25.82,25.2,25.4,4751700,21.84
2009-06-15,25.12,25.3,24.41,25.0,4724000,21.49
2009-06-16,25.07,25.13,24.17,24.41,4609300,20.99
2009-06-17,24.45,24.97,24.14,24.64,4625100,21.18
2009-06-18,24.62,24.77,24.24,24.41,2989400,20.99
2009-06-19,24.32,24.75,24.31,24.54,3000000,21.1
2009-06-22,24.43,24.72,23.62,23.65,4152400,20.33
2009-06-23,23.65,23.9,23.23,23.34,4682500,20.07
2009-06-24,23.49,24.01,23.4,23.73,4573800,20.4
2009-06-25,24.36,24.81,23.95,24.79,7470900,21.31
2009-06-26,24.71,25.15,24.5,24.78,3994400,21.31
2009-06-29,24.87,25.11,24.58,24.68,3125000,21.22
2009-06-30,24.69,25.07,24.4,24.78,3876300,21.31
