Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,39.62,40.49,38.96,40.41,4021800,29.96
2009-01-05,39.97,40.65,39.6,40.0,4875000,29.66
2009-01-06,40.24,40.99,39.62,40.81,6802900,30.26
2009-01-07,40.21,40.54,39.84,40.11,6223300,29.74
2009-01-08,40.1,40.61,39.55,40.61,5588200,30.11
2009-01-09,40.62,40.76,38.5,38.61,5674800,28.63
2009-01-12,38.91,38.99,38.24,38.56,5384500,28.59
2009-01-13,38.57,39.13,38.48,38.92,4954100,28.86
2009-01-14,38.33,38.66,37.76,37.94,5236700,28.13
2009-01-15,37.76,39.36,37.74,39.18,7756000,29.05
2009-01-16,39.71,39.71,38.59,39.42,6291700,29.23
2009-01-20,39.48,39.97,37.59,37.64,9068800,27.91
2009-01-21,37.66,38.21,36.75,37.48,10268300,27.79
2009-01-22,36.7,37.47,36.45,36.73,8828000,27.23
2009-01-23,36.45,37.36,36.0,37.09,7592800,27.5
2009-01-26,36.85,38.08,36.8,37.64,5492100,27.91
2009-01-27,36.52,37.61,36.11,37.15,9693300,27.55
2009-01-28,37.6,38.5,37.1,37.46,7721300,27.78
2009-01-29,37.09,37.93,36.66,36.68,6063100,27.2
2009-01-30,36.79,37.45,36.25,36.33,6205200,26.94
2009-02-02,36.05,37.04,35.77,36.64,6902600,27.17
2009-02-03,38.9,39.97,38.5,39.04,13145200,28.95
2009-02-04,38.95,39.08,37.84,37.96,6981700,28.15
2009-02-05,37.7,38.81,37.4,38.76,7249500,28.74
2009-02-06,38.51,39.68,38.04,39.57,7116900,29.34
2009-02-09,39.2,39.64,39.03,39.25,4320300,29.1
2009-02-10,39.05,39.25,37.56,37.58,6741300,27.86
2009-02-11,37.73,38.13,37.41,37.96,4223200,28.15
2009-02-12,37.5,38.2,36.85,37.86,6795600,28.07
2009-02-13,37.86,37.99,37.17,37.17,5142600,27.56
2009-02-17,37.24,37.24,36.2,36.48,7450500,27.05
2009-02-18,36.33,37.02,36.05,36.84,5100900,27.32
2009-02-19,36.95,37.25,35.66,35.67,6763400,26.45
2009-02-20,35.98,36.04,35.04,35.87,6854200,26.6
2009-02-23,35.62,36.15,34.2,34.25,6910000,25.4
2009-02-24,34.08,35.5,34.06,35.3,6576000,26.17
2009-02-25,34.98,35.48,34.37,34.91,5513100,25.88
2009-02-26,34.52,35.11,34.0,34.18,5811700,25.34
2009-02-27,34.22,34.7,33.47,34.15,8067200,25.32
2009-03-02,33.55,34.18,33.0,33.03,7431500,24.49
2009-03-03,33.46,33.83,32.68,33.06,6864000,24.51
2009-03-04,33.85,34.45,32.79,34.0,7416500,25.21
2009-03-05,33.95,33.95,32.59,32.8,6459600,24.32
2009-03-06,32.03,33.48,32.03,33.28,8609900,24.68
2009-03-09,33.04,33.75,32.8,33.2,6426900,24.62
2009-03-10,33.5,34.64,32.9,34.61,6643700,25.66
2009-03-11,35.0,35.43,34.02,34.26,5350600,25.65
2009-03-12,33.44,35.25,33.44,35.12,5067600,26.29
2009-03-13,35.96,35.96,34.42,35.36,3726500,26.47
2009-03-16,35.98,35.98,34.88,35.36,4129900,26.47
2009-03-17,35.98,36.75,35.0,36.63,5575200,27.42
2009-03-18,36.18,37.31,36.0,37.11,5978200,27.78
2009-03-19,37.3,37.32,36.41,36.72,4384700,27.49
2009-03-20,37.22,37.35,35.87,36.3,6335500,27.17
2009-03-23,36.79,37.49,36.5,37.29,7677500,27.92
2009-03-24,36.99,37.0,36.3,36.43,5454900,27.27
2009-03-25,35.8,36.3,34.99,35.62,9479600,26.67
2009-03-26,36.42,36.79,35.54,36.5,7266300,27.32
2009-03-27,35.62,36.25,35.36,35.5,3866300,26.58
2009-03-30,35.19,35.33,34.77,35.24,4601300,26.38
2009-03-31,35.39,35.55,34.99,35.16,5457400,26.32
2009-04-01,34.41,35.47,34.26,35.1,4707700,26.28
2009-04-02,35.69,36.72,35.41,36.22,5790200,27.11
2009-04-03,36.49,36.7,36.0,36.67,3597300,27.45
2009-04-06,36.4,36.55,35.76,36.22,3852300,27.11
2009-04-07,35.55,35.98,35.23,35.25,3997400,26.39
2009-04-08,35.69,35.75,34.82,35.26,3012300,26.4
2009-04-09,34.76,36.25,34.68,36.2,4660700,27.1
2009-04-13,35.86,36.24,35.75,36.05,3298900,26.99
2009-04-14,35.94,35.99,35.38,35.63,3450600,26.67
2009-04-15,35.5,35.6,35.18,35.53,4178900,26.6
2009-04-16,35.75,36.66,35.71,36.52,3657600,27.34
2009-04-17,36.81,36.81,35.92,36.11,4173500,27.03
2009-04-20,36.14,36.32,35.39,35.5,3916700,26.58
2009-04-21,35.64,36.38,35.41,36.04,4728100,26.98
2009-04-22,36.17,36.3,35.42,35.54,4012800,26.61
2009-04-23,35.45,35.54,34.61,34.98,3854100,26.19
2009-04-24,36.03,36.03,34.88,35.35,6155400,26.46
2009-04-27,34.5,35.11,34.35,34.46,4925300,25.8
2009-04-28,34.5,35.03,34.08,34.66,3971100,25.95
2009-04-29,34.85,35.74,34.74,35.42,3585100,26.52
2009-04-30,34.79,35.69,34.78,35.2,6125700,26.35
2009-05-01,35.11,35.6,34.54,35.52,4170600,26.59
2009-05-04,35.82,35.82,34.57,34.86,7752600,26.1
2009-05-05,34.6,36.66,34.51,35.68,7984700,26.71
2009-05-06,36.03,37.05,35.78,36.82,5828900,27.56
2009-05-07,36.72,37.22,36.13,36.39,5598800,27.24
2009-05-08,36.7,37.1,36.13,36.84,4775000,27.58
2009-05-11,36.11,37.06,35.78,36.82,3755400,27.56
2009-05-12,36.84,37.13,36.42,37.01,3923200,27.71
2009-05-13,36.7,36.9,36.12,36.3,3543900,27.17
2009-05-14,36.58,36.76,36.01,36.17,4671500,27.08
2009-05-15,36.21,36.45,35.73,35.79,4418900,26.79
2009-05-18,36.0,36.4,35.65,36.36,3170100,27.22
2009-05-19,36.3,36.41,35.64,35.72,4365300,26.74
2009-05-20,35.7,35.85,35.3,35.33,5405400,26.45
2009-05-21,34.69,35.55,34.51,35.55,5894300,26.61
2009-05-22,35.51,36.27,35.24,35.97,3798800,26.93
2009-05-26,35.48,37.04,35.38,36.98,5655700,27.68
2009-05-27,37.09,37.48,36.72,37.08,4965100,27.76
2009-05-28,37.29,38.08,36.98,38.0,5911500,28.45
2009-05-29,37.88,38.17,37.5,38.01,4052300,28.45
2009-06-01,38.08,39.08,38.06,38.82,3465300,29.06
2009-06-02,38.61,38.82,38.36,38.58,3286800,28.88
2009-06-03,38.5,38.5,37.54,37.99,3512400,28.44
2009-06-04,38.09,38.34,37.66,38.13,2567100,28.54
2009-06-05,38.32,38.94,38.31,38.55,3438400,28.86
2009-06-08,38.36,38.55,37.8,38.28,2080500,28.66
2009-06-09,38.56,38.59,38.1,38.3,2009200,28.67
2009-06-10,38.25,38.26,37.05,37.39,4593200,28.23
2009-06-11,37.44,37.97,37.34,37.41,3387400,28.25
2009-06-12,37.27,37.48,36.6,37.29,2699800,28.16
2009-06-15,36.9,37.17,36.21,36.5,4238100,27.56
