Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,132.0,136.0,130.04,135.41,16551000,13.54
2009-01-05,131.75,139.98,130.15,137.84,24130000,13.78
2009-01-06,138.52,139.4,133.37,135.73,27639000,13.57
2009-01-07,132.16,132.16,125.02,127.34,20092000,12.73
2009-01-08,124.79,126.0,120.3,124.65,22412000,12.47
2009-01-09,126.02,126.93,118.72,120.64,14842000,12.06
2009-01-12,118.58,121.99,113.5,114.1,16487000,11.41
2009-01-13,116.8,119.73,113.92,115.5,25992000,11.55
2009-01-14,113.36,116.6,107.14,109.75,28570000,10.98
2009-01-15,110.99,112.75,105.0,109.44,30252000,10.94
2009-01-16,112.01,116.66,110.19,115.9,29517000,11.59
2009-01-20,115.39,115.48,109.22,109.65,25577000,10.97
2009-01-21,111.61,114.5,108.07,110.92,28058000,11.09
2009-01-22,109.96,114.5,109.21,112.53,27235000,11.25
2009-01-23,109.77,114.29,107.0,111.95,31530000,11.19
2009-01-26,112.99,119.3,112.94,115.57,26981000,11.56
2009-01-27,118.24,119.0,113.16,115.3,18420000,11.53
2009-01-28,120.0,129.98,118.09,127.16,45939000,12.72
2009-01-29,126.0,131.76,125.0,128.64,33230000,12.86
2009-01-30,131.99,132.51,128.0,128.77,19772000,12.88
2009-02-02,127.99,129.4,123.23,125.52,20344000,12.55
2009-02-03,127.03,127.5,122.25,125.17,18092000,12.52
2009-02-04,126.07,134.25,126.04,129.0,24392000,12.9
2009-02-05,127.83,127.83,122.74,125.29,24681000,12.53
2009-02-06,125.01,126.6,120.0,124.61,31831000,12.46
2009-02-09,129.11,141.88,129.01,140.57,43474000,14.06
2009-02-10,138.91,141.46,130.23,130.84,26135000,13.08
2009-02-11,132.6,137.32,131.56,133.86,17027000,13.39
2009-02-12,131.0,132.73,127.0,132.0,18481000,13.2
2009-02-13,131.0,131.94,127.5,128.2,13507000,12.82
2009-02-17,122.5,124.97,119.65,122.35,23095000,12.23
2009-02-18,124.0,130.1,123.35,128.09,28068000,12.81
2009-02-19,134.62,139.0,131.83,132.57,44532000,13.26
2009-02-20,130.5,138.98,128.16,136.27,33300000,13.63
2009-02-23,139.51,140.29,131.12,131.76,16501000,13.18
2009-02-24,131.51,145.25,129.77,142.76,29753000,14.28
2009-02-25,142.87,148.0,140.22,143.76,29834000,14.38
2009-02-26,147.09,153.0,145.05,145.94,25577000,14.59
2009-02-27,140.9,152.45,140.89,148.32,22545000,14.83
2009-03-02,145.16,147.11,136.26,137.22,22995000,13.72
2009-03-03,141.74,147.0,138.57,144.59,21159000,14.46
2009-03-04,152.01,163.5,151.7,157.32,38330000,15.73
2009-03-05,160.64,164.92,158.0,161.51,31453000,16.15
2009-03-06,161.11,163.6,151.1,157.02,21368000,15.7
