Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,47.49,48.56,46.69,48.49,2372900,48.49
2009-01-05,47.47,47.65,45.43,47.44,4439100,47.44
2009-01-06,47.71,48.06,46.08,46.47,3442100,46.47
2009-01-07,46.27,46.88,45.69,46.81,3381300,46.81
2009-01-08,46.21,48.05,46.13,47.95,3235800,47.95
2009-01-09,47.81,49.09,47.51,48.25,3767700,48.25
2009-01-12,46.8,49.49,46.8,48.45,2953300,48.45
2009-01-13,48.32,50.34,48.32,49.63,4576000,49.63
2009-01-14,49.84,49.84,48.09,48.09,3234300,48.09
2009-01-15,47.38,49.9,47.27,49.29,3454000,49.29
2009-01-16,50.19,51.36,49.6,51.05,5976800,51.05
2009-01-20,51.28,51.78,49.54,49.55,4827500,49.55
2009-01-21,49.61,52.35,49.44,52.17,5185000,52.17
2009-01-22,51.19,52.17,50.5,50.88,2959100,50.88
2009-01-23,48.0,48.61,46.31,47.42,7972800,47.42
2009-01-26,47.99,49.02,47.4,48.51,4489700,48.51
2009-01-27,50.04,50.2,48.79,49.27,4394900,49.27
2009-01-28,49.1,51.74,48.75,49.81,4144200,49.81
2009-01-29,49.16,50.39,48.75,49.28,2947300,49.28
2009-01-30,49.15,49.7,47.94,48.65,3397700,48.65
2009-02-02,48.15,50.22,48.05,50.11,3096600,50.11
2009-02-03,50.25,52.49,49.83,52.46,4443100,52.46
2009-02-04,52.26,53.66,52.08,52.75,5722200,52.75
2009-02-05,51.87,53.38,51.84,53.28,4946100,53.28
2009-02-06,51.2,53.48,50.9,52.48,7642400,52.48
2009-02-09,51.28,52.24,50.5,52.16,3742000,52.16
2009-02-10,51.4,52.58,50.48,50.87,2968000,50.87
2009-02-11,51.87,51.87,50.36,51.04,1995300,51.04
2009-02-12,50.48,52.61,50.34,52.61,2460100,52.61
2009-02-13,52.69,53.0,51.74,52.42,1590900,52.42
2009-02-17,51.41,52.13,50.85,51.11,2714700,51.11
2009-02-18,51.3,51.39,50.34,50.86,3469900,50.86
2009-02-19,50.79,51.63,50.47,50.76,2137100,50.76
2009-02-20,50.45,51.0,49.71,50.78,3519000,50.78
2009-02-23,50.81,51.0,49.34,49.38,4099400,49.38
2009-02-24,49.98,50.86,47.57,49.65,6415200,49.65
2009-02-25,49.35,51.66,49.25,50.55,4318800,50.55
2009-02-26,51.48,51.48,47.44,47.69,4007100,47.69
2009-02-27,47.08,47.62,45.55,46.04,5631100,46.04
2009-03-02,45.21,45.63,43.86,44.0,4216400,44.0
2009-03-03,44.98,45.39,43.0,44.61,3045900,44.61
2009-03-04,45.51,46.92,44.13,46.2,3500500,46.2
2009-03-05,45.0,45.59,43.45,43.64,3332900,43.64
2009-03-06,43.6,44.37,42.92,44.23,4499300,44.23
2009-03-09,43.53,45.87,43.2,43.83,3983000,43.83
2009-03-10,44.7,46.0,43.61,45.66,3429800,45.66
2009-03-11,45.83,46.87,45.35,46.09,3730900,46.09
2009-03-12,45.81,49.13,45.81,48.88,2989300,48.88
2009-03-13,48.8,49.18,48.25,48.5,2546700,48.5
2009-03-16,49.31,49.31,47.25,47.58,2668100,47.58
2009-03-17,47.41,49.8,47.41,49.63,3677100,49.63
2009-03-18,49.26,50.96,48.93,50.06,3101400,50.06
2009-03-19,50.36,50.72,49.57,50.62,2880700,50.62
2009-03-20,51.16,51.69,49.95,49.97,4952900,49.97
2009-03-23,50.6,51.5,50.14,51.5,3294400,51.5
2009-03-24,50.92,52.12,50.38,50.85,2608000,50.85
2009-03-25,51.43,52.3,50.03,51.52,3320700,51.52
2009-03-26,51.76,53.5,51.25,52.66,4395700,52.66
2009-03-27,52.72,53.34,51.77,52.28,3642700,52.28
2009-03-30,52.49,53.0,51.4,52.54,4321100,52.54
2009-03-31,52.82,53.32,52.14,52.42,3236200,52.42
2009-04-01,51.47,52.09,50.7,51.88,2904600,51.88
2009-04-02,52.5,52.67,51.53,52.2,2767900,52.2
2009-04-03,51.85,52.62,49.86,50.32,2794600,50.32
2009-04-06,50.01,50.31,49.06,49.63,2328300,49.63
2009-04-07,49.26,53.83,48.68,52.09,9833200,52.09
2009-04-08,51.63,55.34,51.59,53.64,6906000,53.64
2009-04-09,54.15,54.24,51.6,52.96,3857000,52.96
2009-04-13,52.5,53.49,52.5,52.52,1821500,52.52
2009-04-14,52.43,53.0,51.34,51.49,2244300,51.49
2009-04-15,51.01,51.77,50.3,51.18,3366200,51.18
2009-04-16,52.28,52.56,50.89,51.49,3767400,51.49
2009-04-17,50.64,51.23,49.97,50.09,4393100,50.09
2009-04-20,49.25,49.5,47.9,48.35,3989200,48.35
2009-04-21,48.83,48.83,46.98,47.55,2955700,47.55
2009-04-22,46.76,48.01,46.52,47.05,2907400,47.05
2009-04-23,46.49,46.69,45.7,45.98,3254400,45.98
2009-04-24,46.13,46.9,45.72,46.08,4226500,46.08
2009-04-27,45.85,46.8,45.85,46.13,3141400,46.13
2009-04-28,45.96,47.67,45.91,47.33,2850300,47.33
2009-04-29,48.01,48.8,47.17,47.42,4216900,47.42
2009-04-30,47.52,48.34,46.88,48.34,4157200,48.34
2009-05-01,47.65,48.3,46.0,46.26,3139500,46.26
2009-05-04,46.48,47.36,46.01,46.61,2903900,46.61
2009-05-05,46.6,47.98,46.18,46.43,1789500,46.43
2009-05-06,46.72,47.21,45.5,46.71,2822900,46.71
2009-05-07,46.75,47.93,46.07,47.2,4087200,47.2
2009-05-08,47.43,49.05,46.77,48.6,4733500,48.6
2009-05-11,48.0,49.37,47.4,49.14,2430700,49.14
2009-05-12,49.15,49.87,48.13,49.2,2888700,49.2
2009-05-13,49.0,49.78,48.21,48.52,2405600,48.52
2009-05-14,48.83,49.72,48.52,49.0,2634100,49.0
2009-05-15,48.67,49.49,48.15,49.07,2439200,49.07
2009-05-18,49.49,50.7,49.04,50.7,2652800,50.7
2009-05-19,50.36,50.99,50.12,50.83,2575100,50.83
2009-05-20,51.25,52.36,50.93,51.64,3029300,51.64
2009-05-21,51.05,51.9,50.08,50.73,2095000,50.73
2009-05-22,50.73,51.29,50.24,50.39,1285500,50.39
2009-05-26,49.63,51.39,49.25,51.24,3047200,51.24
2009-05-27,51.44,51.84,50.31,50.98,2656300,50.98
2009-05-28,51.25,51.59,50.22,51.1,1851900,51.1
