Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.02,17.64,16.41,17.57,7741900,16.54
2009-01-05,17.47,17.95,17.21,17.58,8941900,16.55
2009-01-06,17.79,18.87,17.67,18.77,15680800,17.67
2009-01-07,18.31,18.4,17.68,17.83,10722000,16.79
2009-01-08,17.58,17.63,16.98,17.53,11743000,16.5
2009-01-09,17.28,17.28,16.42,16.94,13973900,15.95
2009-01-12,17.0,17.21,16.45,16.7,9385900,15.72
2009-01-13,16.57,17.28,16.2,16.69,12053300,15.71
2009-01-14,16.51,16.52,16.07,16.15,9467500,15.2
2009-01-15,16.23,16.97,16.04,16.72,11732500,15.74
2009-01-16,17.19,17.26,16.4,17.13,11874300,16.13
2009-01-20,16.99,16.99,15.84,15.84,11019400,14.91
2009-01-21,16.05,16.88,15.73,16.79,14485400,15.81
2009-01-22,16.47,16.96,16.01,16.58,12815200,15.61
2009-01-23,16.31,17.68,16.14,17.46,18992600,16.44
2009-01-26,17.5,18.0,17.25,17.39,11964400,16.37
2009-01-27,17.4,17.92,17.36,17.64,13792700,16.61
2009-01-28,17.88,18.58,17.68,18.31,16058200,17.24
2009-01-29,17.74,17.92,17.15,17.43,20986000,16.41
2009-01-30,16.34,17.15,15.62,15.85,25897200,14.92
2009-02-02,15.73,16.49,15.54,16.41,13539200,15.45
2009-02-03,16.54,16.85,16.07,16.77,12555100,15.79
2009-02-04,16.47,17.49,16.3,16.48,22005300,15.52
2009-02-05,16.16,17.5,16.01,17.47,20407900,16.45
2009-02-06,17.45,18.3,17.31,18.08,20001800,17.02
2009-02-09,17.81,18.4,17.75,18.21,16143500,17.14
2009-02-10,18.06,18.87,17.26,17.53,24554900,16.5
2009-02-11,17.49,17.66,16.89,17.28,18897000,16.27
2009-02-12,16.94,17.92,16.86,17.78,15414700,16.74
2009-02-13,17.51,18.28,17.51,18.1,12749100,17.04
2009-02-17,17.72,18.17,17.16,17.2,17530700,16.19
2009-02-18,17.48,18.11,17.35,17.67,13093700,16.64
2009-02-19,17.98,17.98,16.59,16.63,17242600,15.66
2009-02-20,16.44,16.85,16.09,16.45,21010700,15.49
2009-02-23,16.64,16.65,15.31,15.35,20236600,14.45
2009-02-24,15.54,16.23,15.52,16.13,14974400,15.19
2009-02-25,16.04,17.16,15.9,16.79,17584100,15.81
2009-02-26,16.8,17.11,16.1,16.16,13864600,15.21
2009-02-27,16.38,16.97,16.1,16.45,16533700,15.49
2009-03-02,16.09,16.55,15.55,15.6,10520400,14.69
2009-03-03,15.85,16.24,15.55,15.8,11415000,14.88
2009-03-04,16.05,16.9,16.0,16.55,12934500,15.58
2009-03-05,16.26,16.9,16.11,16.32,16123300,15.36
2009-03-06,16.89,17.16,16.31,16.97,22930900,15.98
2009-03-09,16.79,17.2,16.08,16.18,15330900,15.23
2009-03-10,16.5,17.74,16.31,17.59,20848400,16.56
2009-03-11,18.01,18.46,17.93,18.19,18207200,17.13
2009-03-12,18.03,19.25,17.93,19.1,16885100,17.98
2009-03-13,18.99,19.25,18.66,19.11,13046900,17.99
2009-03-16,19.11,19.25,18.22,18.33,11747400,17.26
2009-03-17,18.5,19.44,18.28,19.44,15490000,18.3
2009-03-18,19.43,20.3,19.25,19.92,19183000,18.75
2009-03-19,20.17,20.43,19.39,19.69,12669300,18.54
2009-03-20,19.87,20.56,19.09,19.4,24589100,18.26
2009-03-23,19.81,21.49,19.76,21.49,19553200,20.23
2009-03-24,21.01,21.26,20.42,20.58,17963300,19.38
2009-03-25,20.78,21.33,19.3,19.8,25869000,18.64
2009-03-26,20.22,20.95,20.05,20.89,21817000,19.67
2009-03-27,20.57,21.3,20.4,20.66,13893300,19.45
2009-03-30,20.4,20.49,19.73,20.05,12340500,18.88
2009-03-31,20.16,20.43,19.77,19.98,11690800,18.81
2009-04-01,19.88,20.95,19.7,20.91,13465200,19.69
2009-04-02,21.32,22.64,21.19,22.3,21165600,20.99
2009-04-03,22.2,22.29,21.3,22.06,12418800,20.77
2009-04-06,21.52,21.66,21.05,21.61,13165600,20.35
2009-04-07,21.55,21.85,20.98,21.03,9863500,19.8
2009-04-08,21.5,22.32,21.27,22.06,11276400,20.77
2009-04-09,22.5,23.46,22.41,23.17,14570300,21.81
2009-04-13,23.01,23.16,22.15,22.79,11528200,21.46
2009-04-14,22.57,23.36,22.17,22.66,15106100,21.33
2009-04-15,22.47,22.49,21.82,22.24,11973000,20.94
2009-04-16,22.67,23.23,22.42,23.06,10983100,21.71
2009-04-17,22.59,23.1,22.3,22.93,10855300,21.59
2009-04-20,22.42,22.5,21.54,21.79,10885800,20.51
2009-04-21,19.94,20.6,19.11,20.52,36475700,19.32
2009-04-22,20.39,23.14,20.15,22.61,27068600,21.29
2009-04-23,23.75,23.9,22.44,23.35,17799000,21.98
2009-04-24,23.33,24.4,22.75,24.22,15480400,22.8
2009-04-27,24.0,24.95,23.57,24.38,12346400,22.95
2009-04-28,24.1,24.26,22.98,23.17,13029300,21.81
2009-04-29,23.29,24.13,22.94,23.56,8971600,22.18
2009-04-30,23.64,24.24,23.06,23.19,13705700,21.83
2009-05-01,23.39,23.39,22.5,23.06,9256800,21.71
2009-05-04,22.97,23.96,22.82,23.94,10055400,22.54
2009-05-05,23.55,24.25,23.23,24.2,10811800,22.78
2009-05-06,24.39,24.61,23.5,24.6,12781500,23.16
2009-05-07,24.68,24.71,22.39,22.7,18294500,21.37
2009-05-08,22.79,23.0,21.45,21.55,17005400,20.29
2009-05-11,21.16,22.33,21.0,21.89,12191200,20.61
2009-05-12,21.96,22.07,21.09,21.39,8007700,20.14
2009-05-13,21.09,21.31,20.3,20.53,12297700,19.33
2009-05-14,20.64,21.14,20.6,20.98,8408800,19.75
2009-05-15,20.98,21.1,20.63,20.83,8404000,19.61
2009-05-18,21.5,21.8,21.25,21.73,8891900,20.46
2009-05-19,21.56,22.53,21.48,22.09,7420400,20.8
2009-05-20,22.48,23.05,22.27,22.54,11385500,21.22
2009-05-21,22.4,22.7,21.74,22.04,7821200,20.75
2009-05-22,22.27,22.45,21.6,22.25,7630600,20.95
2009-05-26,21.74,22.89,21.7,22.89,13196300,21.55
2009-05-27,23.02,24.45,22.93,23.79,13991900,22.4
2009-05-28,24.19,25.28,24.07,25.16,15401300,23.69
2009-05-29,25.32,26.27,25.07,25.48,17805800,23.99
2009-06-01,25.89,26.98,25.76,26.53,12352700,24.98
2009-06-02,26.3,26.87,25.92,26.25,9009400,24.71
2009-06-03,25.54,25.67,25.14,25.54,8996200,24.05
2009-06-04,25.5,26.14,25.38,25.77,7727600,24.26
2009-06-05,25.84,26.0,25.2,25.46,7696600,23.97
2009-06-08,25.67,26.12,25.32,25.82,7275900,24.31
2009-06-09,26.31,27.5,26.31,27.25,15738300,25.66
2009-06-10,27.2,27.56,26.75,27.52,13066500,25.91
2009-06-11,27.23,27.45,26.33,26.92,13329600,25.34
2009-06-12,26.67,26.67,25.66,26.3,9430000,24.76
2009-06-15,25.94,26.17,25.39,26.07,7418400,24.54
2009-06-16,26.18,26.26,25.32,25.42,9024700,23.93
2009-06-17,25.51,26.16,25.16,25.96,8872700,24.44
2009-06-18,25.85,25.9,25.05,25.12,7868900,23.65
2009-06-19,25.42,25.65,25.06,25.49,9379600,24.0
2009-06-22,25.35,25.79,24.55,24.63,11047300,23.19
2009-06-23,24.56,24.75,23.66,24.2,14639400,22.78
2009-06-24,24.3,24.89,24.18,24.44,10086100,23.01
2009-06-25,24.52,25.0,24.15,24.93,8149800,23.47
2009-06-26,24.86,25.41,24.51,24.62,11238800,23.18
2009-06-29,24.68,25.16,24.56,24.91,6594800,23.45
2009-06-30,24.83,25.36,24.38,24.79,9720400,23.34
2009-07-01,24.87,25.38,24.59,25.07,7260400,23.6
2009-07-02,24.98,25.39,24.61,25.12,10131700,23.65
2009-07-06,25.0,25.05,24.07,24.37,8709600,22.94
2009-07-07,24.44,24.74,23.57,23.59,8185800,22.21
2009-07-08,23.65,23.85,23.01,23.35,10650800,21.98
2009-07-09,23.94,24.57,23.71,24.31,11547300,22.89
2009-07-10,24.17,24.74,23.9,24.28,6532300,22.86
2009-07-13,24.43,24.94,23.75,24.92,7094900,23.46
2009-07-14,24.91,25.47,24.83,25.43,8142300,23.94
2009-07-15,26.2,26.92,26.1,26.83,11197300,25.26
2009-07-16,26.82,27.14,26.54,26.97,8429300,25.39
2009-07-17,27.0,27.5,26.6,27.47,8723700,25.86
2009-07-20,27.73,28.03,27.27,28.03,8339700,26.39
2009-07-21,27.72,28.09,27.27,28.08,9425500,26.44
2009-07-22,28.16,28.8,28.13,28.62,9128900,26.94
2009-07-23,28.48,29.23,28.2,29.18,12524200,27.47
2009-07-24,27.37,27.38,26.07,27.2,22049500,25.61
2009-07-27,27.17,27.77,26.95,27.69,8048300,26.07
2009-07-28,27.41,28.24,27.41,28.04,8525900,26.4
2009-07-29,27.75,27.89,27.37,27.73,6914900,26.11
2009-07-30,28.06,28.86,28.01,28.1,10221900,26.46
2009-07-31,27.93,28.71,27.84,28.23,8462000,26.58
2009-08-03,28.35,28.63,28.07,28.42,6489200,26.76
2009-08-04,28.12,29.0,28.06,28.66,9727900,26.98
2009-08-05,28.84,28.87,28.14,28.58,8240000,26.91
2009-08-06,28.57,28.58,27.72,27.91,9522200,26.28
2009-08-07,28.19,28.24,27.4,27.74,8163300,26.12
2009-08-10,27.6,27.94,27.09,27.22,5625700,25.63
2009-08-11,26.95,27.37,26.4,26.63,9161000,25.07
2009-08-12,26.7,27.31,26.65,26.96,8226800,25.38
2009-08-13,27.25,27.57,26.67,27.57,7117500,25.96
2009-08-14,27.46,27.55,26.45,26.67,7312200,25.11
2009-08-17,26.09,26.25,25.85,25.94,7247600,24.42
2009-08-18,26.05,26.88,25.96,26.83,7407500,25.26
2009-08-19,26.6,27.21,26.48,27.14,8754000,25.55
2009-08-20,27.12,27.9,27.03,27.85,8941000,26.22
2009-08-21,28.04,28.05,27.44,28.02,6702800,26.38
2009-08-24,28.0,28.35,27.58,27.71,5476100,26.09
2009-08-25,27.82,28.02,27.41,27.7,6829900,26.08
2009-08-26,27.63,28.08,27.47,27.81,6687200,26.18
2009-08-27,27.87,28.01,27.45,27.95,6534400,26.31
2009-08-28,28.78,29.08,28.42,28.78,7643600,27.1
2009-08-31,28.71,28.71,28.13,28.45,6897800,26.78
2009-09-01,28.26,29.25,27.61,27.74,10442600,26.12
2009-09-02,27.63,28.02,27.5,27.51,6380400,25.9
2009-09-03,27.6,27.79,27.39,27.65,5630100,26.03
2009-09-04,27.65,28.52,27.61,28.46,5408200,26.79
2009-09-08,29.06,29.44,28.76,29.38,8620300,27.66
2009-09-09,29.43,29.5,28.97,29.34,9595200,27.62
2009-09-10,29.16,30.6,29.07,30.55,14579600,28.76
