Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.87,18.98,17.87,18.9,3871600,16.54
2009-01-05,18.71,18.71,18.36,18.65,5146600,16.33
2009-01-06,19.04,19.18,18.69,18.81,5373900,16.47
2009-01-07,18.47,18.83,17.89,18.09,5597800,15.84
2009-01-08,18.06,18.35,17.67,18.14,4027600,15.88
2009-01-09,18.37,18.65,17.71,18.42,7267500,16.12
2009-01-12,18.75,18.75,18.14,18.28,4328900,16.0
2009-01-13,18.25,18.75,18.19,18.62,6014300,16.3
2009-01-14,18.24,18.45,17.73,17.98,6213700,15.74
2009-01-15,18.02,18.23,17.44,17.95,5366200,15.71
2009-01-16,18.14,18.4,17.5,18.0,5588300,15.76
2009-01-20,18.3,18.42,17.21,17.21,5528900,15.07
2009-01-21,17.31,17.82,17.06,17.54,6596700,15.35
2009-01-22,17.21,17.55,17.09,17.26,6704000,15.11
2009-01-23,16.98,17.6,16.91,17.44,5304900,15.27
2009-01-26,17.33,17.79,17.16,17.41,5031600,15.24
2009-01-27,17.16,17.71,17.1,17.41,7069600,15.24
2009-01-28,17.85,18.21,17.6,17.89,6475800,15.66
2009-01-29,17.89,18.06,17.2,17.53,5392800,15.35
2009-01-30,17.8,18.52,17.8,17.99,10435300,15.75
2009-02-02,17.97,18.12,17.54,18.01,7757300,15.77
2009-02-03,17.98,18.36,17.54,18.29,5319900,16.01
2009-02-04,18.39,18.71,18.05,18.09,5251800,15.84
2009-02-05,17.61,18.46,17.61,18.29,7709800,16.01
2009-02-06,18.43,18.63,18.15,18.56,6862900,16.25
2009-02-09,18.48,18.74,18.34,18.74,4842200,16.4
2009-02-10,18.56,18.74,17.82,17.97,8234700,15.73
2009-02-11,18.02,18.59,17.95,18.45,6998800,16.15
2009-02-12,18.08,18.7,17.83,18.68,6902100,16.39
2009-02-13,18.66,18.79,18.52,18.65,4695900,16.36
2009-02-17,17.8,18.27,17.68,17.84,6241300,15.65
2009-02-18,17.9,18.1,17.55,17.58,5855200,15.42
2009-02-19,17.59,17.66,17.1,17.12,7526300,15.02
2009-02-20,17.09,17.56,16.85,17.46,9251500,15.32
