Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,55.25,56.14,54.35,55.85,1876600,49.49
2009-01-05,53.57,55.37,53.2,53.75,2709300,47.63
2009-01-06,54.27,55.0,53.06,53.5,2417500,47.41
2009-01-07,52.89,53.17,51.55,51.81,1770600,45.91
2009-01-08,51.69,52.17,50.39,51.31,2338900,45.46
2009-01-09,51.31,51.38,48.7,49.29,2308200,43.68
2009-01-12,49.45,49.95,48.06,48.46,1921700,42.94
2009-01-13,48.35,49.25,47.9,48.62,2343100,43.08
2009-01-14,48.0,48.0,46.82,47.01,2451400,41.65
2009-01-15,47.57,49.21,46.45,48.78,2931400,43.22
2009-01-16,48.72,49.22,46.26,47.24,2547100,41.86
2009-01-20,45.59,46.97,44.92,44.93,3097000,39.81
2009-01-21,44.86,46.22,43.95,46.06,3489800,40.81
2009-01-22,45.69,45.78,44.2,45.13,2668000,39.99
2009-01-23,44.0,44.45,43.29,43.79,2761300,38.8
2009-01-26,44.69,44.7,42.9,43.64,2321500,38.67
2009-01-27,43.63,44.88,43.01,44.57,2508100,39.49
2009-01-28,44.57,48.32,44.56,46.31,4364700,41.03
2009-01-29,46.34,46.51,44.76,45.21,2310200,40.06
2009-01-30,46.72,47.62,45.67,45.98,3550600,40.74
2009-02-02,45.91,45.94,44.03,45.0,3198900,39.87
2009-02-03,45.35,47.13,45.19,47.09,3203200,41.73
2009-02-04,46.7,48.24,46.7,46.94,2601300,41.59
2009-02-05,46.28,48.82,46.18,48.35,2500900,42.84
2009-02-06,48.4,50.26,48.4,50.0,3031800,44.3
2009-02-09,49.67,50.14,48.68,49.7,2270200,44.04
2009-02-10,49.0,50.16,47.37,48.01,3078400,42.54
2009-02-11,48.75,48.75,46.21,47.07,2947600,41.71
2009-02-12,46.51,47.55,45.48,47.45,2662300,42.04
2009-02-13,47.46,48.17,46.89,47.3,1772100,41.91
2009-02-17,45.09,45.95,44.15,45.33,2895900,40.17
2009-02-18,45.48,45.68,44.17,45.04,2517600,39.91
2009-02-19,45.01,46.27,44.71,44.94,1852200,39.82
2009-02-20,44.58,45.16,43.71,44.72,2077100,39.63
2009-02-23,44.79,45.33,42.54,42.64,2605800,37.78
2009-02-24,40.45,43.26,40.3,43.15,4101900,38.23
2009-02-25,42.73,43.62,41.3,41.77,3421100,37.01
2009-02-26,42.48,42.48,40.5,40.73,3490800,36.09
2009-02-27,41.33,42.11,40.11,41.38,2984000,36.67
2009-03-02,40.67,40.93,39.57,39.69,4177700,35.17
2009-03-03,39.85,40.99,39.16,39.18,3291800,34.72
2009-03-04,39.86,40.4,38.68,40.08,3936000,35.73
2009-03-05,39.46,39.66,37.69,38.39,3410800,34.23
2009-03-06,38.57,39.45,37.36,38.06,3237000,33.93
2009-03-09,37.74,39.15,37.5,38.05,3237500,33.92
2009-03-10,38.69,40.5,38.01,40.46,3715100,36.07
2009-03-11,40.51,41.07,39.91,40.73,3063500,36.31
2009-03-12,40.71,42.59,40.26,42.49,2977100,37.88
2009-03-13,42.55,42.89,41.94,42.72,2270100,38.09
2009-03-16,42.9,44.96,42.72,44.03,3723000,39.25
2009-03-17,44.35,45.24,43.97,45.21,3709600,40.31
2009-03-18,45.09,46.59,44.23,46.0,3339100,41.01
2009-03-19,46.0,46.4,44.93,45.36,3135400,40.44
2009-03-20,45.18,46.53,43.3,43.82,3975000,39.07
2009-03-23,45.64,48.55,44.72,47.78,4757400,42.6
2009-03-24,46.34,46.6,45.11,45.19,4061200,40.29
2009-03-25,45.04,45.92,43.16,44.49,3892200,39.66
2009-03-26,45.02,47.74,44.57,47.74,4125800,42.56
2009-03-27,46.3,47.2,45.96,46.3,1692700,41.28
2009-03-30,45.76,46.15,44.04,44.68,1975700,39.83
2009-03-31,45.26,46.32,44.12,45.61,2027100,40.66
2009-04-01,45.05,45.57,44.19,45.35,2519300,40.43
2009-04-02,45.97,49.28,45.62,48.09,3199800,42.87
2009-04-03,48.81,48.81,47.41,48.32,1474900,43.08
2009-04-06,48.0,48.0,46.34,47.36,1990900,42.22
2009-04-07,46.65,46.86,44.89,45.1,2554500,40.21
2009-04-08,45.43,46.04,44.8,46.03,1655200,41.04
2009-04-09,46.66,48.84,46.66,48.25,2544400,43.02
2009-04-13,47.4,47.79,46.35,47.0,1943900,41.9
2009-04-14,46.87,47.91,46.36,47.56,1783500,42.4
2009-04-15,47.5,48.45,47.45,48.35,1778000,43.11
2009-04-16,48.5,49.81,47.74,49.56,2148500,44.19
2009-04-17,49.58,50.0,48.54,49.71,2050100,44.32
2009-04-20,49.51,49.51,47.65,48.01,2110700,42.8
2009-04-21,48.18,49.22,47.65,49.09,2586000,43.77
2009-04-22,51.07,54.22,50.89,52.71,5146000,46.99
2009-04-23,52.0,53.49,51.71,53.27,2437500,47.49
2009-04-24,53.62,54.0,52.9,53.35,1951700,47.56
2009-04-27,52.83,52.84,51.62,51.68,2133200,46.08
2009-04-28,51.11,52.57,50.86,51.98,1617800,46.34
2009-04-29,52.11,53.53,52.11,52.99,1657800,47.24
2009-04-30,53.16,54.54,52.28,53.16,1956500,47.39
2009-05-01,52.95,53.48,52.1,52.81,1134600,47.08
2009-05-04,53.03,54.99,52.81,54.77,1826700,48.83
2009-05-05,54.38,54.95,53.65,54.87,1777900,48.92
2009-05-06,54.88,55.25,53.71,55.07,1600000,49.1
2009-05-07,55.15,55.25,52.79,53.37,2041100,47.58
2009-05-08,54.35,54.38,52.11,52.51,2085000,46.82
2009-05-11,51.94,52.58,50.56,52.22,1756900,46.56
2009-05-12,52.61,53.23,51.1,51.95,2092200,46.32
2009-05-13,51.35,51.62,49.98,50.26,1824100,44.81
2009-05-14,51.0,51.53,50.18,50.82,1627200,45.31
2009-05-15,50.62,52.1,50.25,50.73,2288700,45.23
2009-05-18,50.86,52.02,50.56,52.02,1639100,46.38
2009-05-19,51.67,52.34,51.44,51.54,1439700,45.95
2009-05-20,51.54,52.56,50.69,50.88,2217000,45.36
2009-05-21,51.09,51.09,48.22,48.75,2677800,43.46
2009-05-22,48.93,49.4,48.22,48.59,1591300,43.32
2009-05-26,47.9,50.95,47.8,50.95,2476900,45.42
2009-05-27,50.58,51.01,49.15,49.23,2545100,43.89
2009-05-28,50.08,50.34,49.0,50.08,2294700,44.65
2009-05-29,50.68,51.42,49.97,50.82,4109300,45.31
2009-06-01,51.65,53.5,51.43,52.98,2106800,47.23
2009-06-02,52.56,54.43,52.56,53.52,1862900,47.72
2009-06-03,53.09,53.4,52.12,52.56,1639100,47.07
2009-06-04,52.53,52.53,51.62,52.19,1569400,46.74
2009-06-05,53.02,53.11,51.83,52.5,1530200,47.02
2009-06-08,51.95,53.38,51.64,52.9,1815200,47.38
2009-06-09,53.0,54.02,52.87,53.8,1574700,48.18
2009-06-10,54.15,54.2,52.8,53.89,1606100,48.26
2009-06-11,53.62,54.38,53.2,53.82,1159500,48.2
2009-06-12,53.46,53.58,51.65,52.42,1865200,46.95
2009-06-15,52.0,52.18,50.52,51.06,1270400,45.73
2009-06-16,51.45,51.78,49.66,49.76,1545100,44.56
2009-06-17,49.8,50.09,49.1,49.74,1923800,44.55
2009-06-18,49.74,50.58,49.05,50.18,988100,44.94
2009-06-19,50.87,51.07,49.99,50.46,1609300,45.19
2009-06-22,50.04,50.12,48.74,49.4,2291000,44.24
2009-06-23,49.4,50.34,49.18,49.73,1089300,44.54
2009-06-24,50.04,51.45,49.85,50.17,1576400,44.93
2009-06-25,49.9,52.13,49.69,51.99,1358700,46.56
2009-06-26,51.65,52.1,51.19,51.86,1195000,46.44
2009-06-29,51.86,53.15,51.14,52.63,1368400,47.13
2009-06-30,52.59,53.0,51.64,52.15,1399800,46.7
2009-07-01,52.62,53.21,52.23,52.71,1392200,47.21
2009-07-02,52.45,52.62,50.8,50.8,1191400,45.49
2009-07-06,50.88,51.62,50.5,51.55,1167000,46.17
2009-07-07,51.32,51.38,49.93,50.09,1495500,44.86
2009-07-08,50.3,50.38,49.06,50.1,1585700,44.87
2009-07-09,50.22,50.54,49.67,50.17,947600,44.93
2009-07-10,49.89,51.17,49.89,50.86,920800,45.55
