Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,18.79,19.06,18.63,18.79,406800,4.7
2009-01-05,19.19,19.27,18.77,19.03,1160400,4.76
2009-01-06,19.23,19.27,18.42,18.73,702000,4.68
2009-01-07,18.45,18.85,18.25,18.36,592000,4.59
2009-01-08,18.46,19.0,18.41,18.68,786800,4.67
2009-01-09,18.55,18.6,16.5,17.5,1112400,4.38
2009-01-12,17.27,17.27,15.61,16.47,934800,4.12
2009-01-13,16.18,17.03,16.01,16.52,960000,4.13
2009-01-14,16.5,16.61,16.06,16.29,465600,4.07
2009-01-15,16.2,16.77,15.97,16.63,240400,4.16
2009-01-16,16.88,17.5,16.82,17.47,327600,4.37
2009-01-20,17.26,17.27,16.69,16.74,571200,4.18
2009-01-21,16.79,17.03,16.45,16.85,936400,4.21
2009-01-22,16.67,16.97,16.36,16.83,337600,4.21
2009-01-23,16.5,17.0,16.3,17.0,250400,4.25
2009-01-26,17.0,17.25,16.79,16.97,320000,4.24
2009-01-27,16.93,16.95,16.48,16.81,236000,4.2
2009-01-28,17.3,17.75,16.91,17.74,1219200,4.43
2009-01-29,17.7,18.87,17.52,18.61,927200,4.65
2009-01-30,18.64,18.75,17.8,18.54,1399200,4.64
2009-02-02,18.52,20.08,17.97,19.57,2079600,4.89
2009-02-03,19.6,20.12,19.25,20.0,1493600,5.0
2009-02-04,20.03,20.72,19.92,20.25,1334400,5.06
2009-02-05,20.29,20.78,20.0,20.45,898000,5.11
2009-02-06,20.53,20.53,20.11,20.4,1424800,5.1
2009-02-09,19.8,20.52,19.71,20.0,760400,5.0
2009-02-10,20.03,20.44,19.57,20.09,718400,5.02
2009-02-11,20.02,20.14,19.72,19.85,328400,4.96
2009-02-12,19.8,20.06,19.54,19.91,1152400,4.98
2009-02-13,20.02,20.09,19.71,20.0,347200,5.0
2009-02-17,19.72,19.87,18.8,19.18,506400,4.8
2009-02-18,19.13,19.32,18.29,19.2,599600,4.8
2009-02-19,19.23,19.92,19.23,19.72,288400,4.93
2009-02-20,19.46,19.75,19.3,19.54,300000,4.89
2009-02-23,19.7,20.0,19.5,19.62,361200,4.91
2009-02-24,19.72,20.23,19.64,19.99,623600,5.0
2009-02-25,19.84,21.47,19.7,20.63,1724400,5.16
2009-02-26,20.86,20.99,20.38,20.45,773200,5.11
2009-02-27,20.26,20.26,18.66,19.39,2554400,4.85
2009-03-02,18.77,18.82,17.66,17.67,638800,4.42
2009-03-03,17.64,17.94,16.89,17.43,1158000,4.36
2009-03-04,17.59,19.21,17.43,19.21,556800,4.8
2009-03-05,19.85,21.67,19.85,20.61,2065600,5.15
2009-03-06,20.81,21.02,19.43,20.02,772800,5.01
2009-03-09,19.96,20.15,19.2,19.31,762000,4.83
2009-03-10,19.36,20.0,19.0,19.57,573200,4.89
2009-03-11,19.54,20.0,19.5,19.57,369200,4.89
2009-03-12,19.55,20.14,19.43,20.13,723600,5.03
2009-03-13,20.25,20.88,19.98,20.29,572000,5.07
2009-03-16,20.5,21.64,20.29,21.31,1689200,5.33
2009-03-17,21.31,21.35,20.83,21.21,646000,5.3
2009-03-18,21.02,21.28,20.8,21.26,532800,5.32
2009-03-19,21.37,21.96,21.37,21.53,616000,5.38
2009-03-20,21.71,21.82,20.5,20.78,1170800,5.2
2009-03-23,21.24,21.73,21.03,21.47,489200,5.37
2009-03-24,21.47,21.85,21.11,21.42,402000,5.36
2009-03-25,21.35,21.84,21.28,21.84,573600,5.46
2009-03-26,22.0,22.0,21.33,21.95,656000,5.49
2009-03-27,21.94,21.94,20.93,21.28,434000,5.32
2009-03-30,21.19,21.25,20.37,21.12,614800,5.28
2009-03-31,21.39,21.6,20.85,21.54,264400,5.39
2009-04-01,21.25,21.8,20.95,21.77,535600,5.44
2009-04-02,21.95,23.43,21.91,22.23,1358800,5.56
2009-04-03,22.43,22.77,22.0,22.36,309600,5.59
2009-04-06,22.5,22.51,21.31,21.85,397600,5.46
2009-04-07,21.74,21.74,20.88,21.57,419200,5.39
2009-04-08,22.01,22.65,21.78,22.45,919200,5.61
2009-04-09,22.85,23.25,22.75,22.88,623200,5.72
2009-04-13,23.06,23.26,22.78,22.94,410400,5.74
2009-04-14,22.97,23.02,22.15,22.55,600400,5.64
2009-04-15,22.28,22.93,22.19,22.84,507200,5.71
2009-04-16,23.12,23.22,22.45,22.75,443600,5.69
2009-04-17,22.6,22.76,21.69,21.74,581600,5.43
2009-04-20,21.24,21.37,20.66,20.85,867600,5.21
2009-04-21,20.56,20.91,19.39,20.78,2245600,5.2
2009-04-22,20.82,21.53,20.82,21.18,663200,5.3
2009-04-23,21.4,21.54,20.58,20.99,472000,5.25
2009-04-24,21.02,21.1,20.31,20.61,1032000,5.15
2009-04-27,20.76,21.14,20.2,20.6,782800,5.15
2009-04-28,20.51,20.51,19.15,19.62,1210800,4.91
2009-04-29,19.32,19.33,17.69,18.03,2732400,4.51
2009-04-30,17.87,20.15,17.84,20.03,1454000,5.01
2009-05-01,20.03,20.2,19.43,20.09,739600,5.02
2009-05-04,20.32,20.32,19.77,20.0,790800,5.0
2009-05-05,19.98,20.26,19.68,20.2,585200,5.05
2009-05-06,20.23,20.78,19.72,19.94,819600,4.99
2009-05-07,22.02,22.5,21.05,21.25,3288000,5.31
2009-05-08,21.95,22.03,20.64,20.92,1989200,5.23
2009-05-11,21.17,21.2,20.16,20.51,1557600,5.13
2009-05-12,20.6,20.83,20.33,20.72,688800,5.18
2009-05-13,20.54,20.72,20.0,20.21,473200,5.05
2009-05-14,20.06,20.46,20.06,20.24,252400,5.06
2009-05-15,20.16,20.55,20.0,20.0,511200,5.0
2009-05-18,20.27,20.29,19.57,20.29,599200,5.07
2009-05-19,20.32,20.91,20.27,20.73,662400,5.18
2009-05-20,20.85,22.18,20.85,21.99,937200,5.5
2009-05-21,22.04,22.04,21.13,21.42,866000,5.36
2009-05-22,21.6,22.5,21.6,22.34,902800,5.59
2009-05-26,22.34,24.13,22.09,24.0,1906000,6.0
2009-05-27,24.47,24.75,24.01,24.53,1244000,6.13
2009-05-28,24.53,24.78,23.9,24.39,576400,6.1
2009-05-29,24.35,24.88,23.69,24.85,551200,6.21
2009-06-01,24.88,25.29,24.66,25.19,721600,6.3
2009-06-02,25.2,26.42,25.2,25.59,619600,6.4
2009-06-03,25.04,25.21,23.63,24.25,760000,6.06
2009-06-04,24.25,25.59,24.1,25.54,466400,6.39
2009-06-05,25.89,25.98,24.83,25.0,617600,6.25
2009-06-08,25.18,25.18,24.43,25.0,466400,6.25
2009-06-09,25.13,25.61,24.58,25.55,1082000,6.39
2009-06-10,25.95,26.24,25.59,26.06,1036000,6.51
2009-06-11,26.34,26.89,26.02,26.78,531200,6.7
2009-06-12,26.57,26.57,25.59,26.23,986000,6.56
2009-06-15,25.85,25.85,25.28,25.72,742800,6.43
2009-06-16,25.69,26.07,24.78,24.93,1134400,6.23
2009-06-17,24.75,25.22,24.4,25.21,514400,6.3
2009-06-18,25.12,25.6,24.58,25.58,1200800,6.39
2009-06-19,25.76,26.02,25.38,25.77,748000,6.44
2009-06-22,25.99,25.99,24.7,24.76,916800,6.19
2009-06-23,24.69,24.74,23.05,24.23,979200,6.06
2009-06-24,24.28,25.44,24.15,25.25,988000,6.31
2009-06-25,25.43,25.53,24.63,25.53,322000,6.38
2009-06-26,25.62,26.53,25.53,26.2,1196000,6.55
2009-06-29,26.52,26.62,25.58,26.04,324000,6.51
