Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,54.94,56.6,53.64,56.49,6726600,28.25
2009-01-05,56.47,56.49,54.02,54.36,9552800,27.18
2009-01-06,54.05,54.25,50.18,50.47,22143400,25.24
2009-01-07,50.1,51.87,50.01,51.5,13058800,25.75
2009-01-08,49.87,51.11,48.51,51.11,13365400,25.56
2009-01-09,51.07,51.63,49.1,50.27,12815200,25.14
2009-01-12,50.29,51.39,48.39,49.67,19985200,24.83
2009-01-13,49.21,51.68,49.21,50.36,11317400,25.18
2009-01-14,50.11,50.39,48.37,48.62,10828800,24.31
2009-01-15,48.56,50.2,47.91,49.92,10573800,24.96
2009-01-16,50.7,50.71,49.15,50.25,11706200,25.12
2009-01-20,49.82,50.75,48.33,48.33,10789200,24.17
2009-01-21,48.82,49.9,47.58,49.8,10048800,24.9
2009-01-22,48.6,50.13,48.17,49.19,9152200,24.59
2009-01-23,48.5,50.14,48.07,49.55,8512800,24.77
2009-01-26,49.6,51.18,49.39,50.34,6776600,25.17
2009-01-27,51.0,51.65,50.01,51.25,7429200,25.62
2009-01-28,51.62,52.5,50.76,52.2,8772200,26.1
2009-01-29,51.59,53.37,51.46,52.13,7707400,26.07
2009-01-30,52.9,53.95,51.69,52.95,11408600,26.48
2009-02-02,52.84,53.88,52.46,53.47,7712200,26.74
2009-02-03,53.18,53.59,52.28,53.16,10194800,26.58
2009-02-04,53.18,54.25,52.5,53.51,9413200,26.75
2009-02-05,52.96,55.2,52.5,55.08,10491800,27.54
2009-02-06,55.19,56.05,54.46,55.35,11674600,27.67
2009-02-09,55.06,55.35,53.77,54.29,7075600,27.15
2009-02-10,54.0,54.84,52.18,52.48,10142000,26.24
2009-02-11,52.86,53.35,51.63,52.48,7239400,26.24
2009-02-12,52.12,53.3,51.52,53.3,8443000,26.65
2009-02-13,52.86,53.5,52.05,52.31,4968200,26.16
2009-02-17,51.49,52.67,50.12,51.87,10437200,25.93
2009-02-18,52.38,53.24,51.8,52.94,9097800,26.47
2009-02-19,53.44,54.24,53.09,53.48,8459000,26.74
2009-02-20,53.34,54.5,52.96,53.99,13463400,27.0
2009-02-23,54.26,54.61,52.44,52.75,10500800,26.38
2009-02-24,52.8,54.0,51.37,52.79,14245200,26.4
2009-02-25,52.85,52.85,50.87,51.36,12104600,25.68
2009-02-26,51.27,51.81,48.73,48.74,13857800,24.37
2009-02-27,46.59,47.62,44.33,44.73,25373000,22.36
2009-03-02,43.72,44.39,41.34,42.15,20874800,21.08
2009-03-03,42.72,43.52,42.02,42.32,16029400,21.16
2009-03-04,42.82,43.51,41.8,42.44,13332600,21.22
2009-03-05,41.8,41.82,39.6,39.95,18434000,19.98
2009-03-06,40.04,41.29,39.32,41.16,16199200,20.58
2009-03-09,40.07,42.06,39.67,39.96,11854800,19.98
2009-03-10,40.79,42.84,40.4,42.31,17210600,21.16
2009-03-11,42.31,44.36,41.96,42.23,14568600,21.11
2009-03-12,42.07,47.68,42.02,47.16,21833200,23.58
2009-03-13,47.71,48.56,46.62,48.2,13861800,24.1
2009-03-16,48.26,48.62,46.41,46.41,9825800,23.2
2009-03-17,46.53,48.55,46.33,48.42,8449800,24.21
2009-03-18,47.78,48.4,46.65,47.17,12105000,23.58
2009-03-19,47.52,47.52,45.38,45.7,10111800,22.85
2009-03-20,46.0,46.89,45.25,45.52,12287600,22.76
2009-03-23,46.24,48.18,45.31,48.04,11803200,24.02
2009-03-24,47.19,47.81,46.19,46.24,8073800,23.12
2009-03-25,47.12,47.46,44.29,45.93,12636200,22.97
2009-03-26,46.15,46.72,44.92,46.45,14273000,23.23
2009-03-27,45.63,46.86,45.25,46.04,9747600,23.02
2009-03-30,45.57,45.83,44.45,45.35,8931600,22.67
2009-03-31,45.74,45.81,44.14,44.4,10576200,22.2
2009-04-01,38.72,39.25,36.9,38.47,79964600,19.24
2009-04-02,39.09,40.99,39.08,40.77,28862800,20.39
2009-04-03,41.12,42.25,40.9,42.15,21720800,21.08
2009-04-06,41.29,42.43,41.29,42.31,14684600,21.16
2009-04-07,42.0,42.09,40.36,40.48,15999400,20.24
2009-04-08,40.92,41.05,40.05,40.68,11082400,20.34
2009-04-09,41.25,41.48,40.5,40.8,10096600,20.4
2009-04-13,40.45,41.77,40.35,40.96,9820400,20.48
2009-04-14,40.46,40.69,38.91,39.01,14733600,19.5
2009-04-15,38.79,39.09,38.22,38.7,13033400,19.35
2009-04-16,39.29,39.5,38.1,38.33,11232200,19.17
2009-04-17,38.41,38.9,37.62,38.3,13345200,19.15
2009-04-20,38.01,38.68,37.75,38.01,9466600,19.0
2009-04-21,38.12,38.41,37.62,38.14,9387000,19.07
2009-04-22,39.29,40.55,39.12,39.85,14019000,19.92
2009-04-23,39.87,40.25,38.93,39.45,12383600,19.73
2009-04-24,39.4,40.0,39.05,39.86,11549600,19.93
2009-04-27,39.0,41.25,39.0,40.81,10388800,20.41
2009-04-28,40.91,42.2,40.48,41.74,9388000,20.87
2009-04-29,42.2,42.98,41.37,42.4,10598600,21.2
2009-04-30,43.08,43.76,41.5,42.72,17033200,21.36
2009-05-01,41.85,41.94,39.25,39.54,15636000,19.77
2009-05-04,39.99,40.1,38.5,39.14,16075400,19.57
2009-05-05,38.92,39.93,38.88,39.44,7558000,19.72
2009-05-06,39.63,39.75,38.5,39.11,9667800,19.56
2009-05-07,39.47,42.07,39.35,41.8,18508400,20.9
2009-05-08,40.17,42.54,40.1,41.42,18164200,20.71
2009-05-11,40.4,42.76,40.4,41.61,9690200,20.81
2009-05-12,41.59,42.06,40.66,41.71,8747000,20.85
2009-05-13,40.81,41.69,40.08,40.58,8844200,20.29
2009-05-14,40.0,41.5,40.0,40.7,9024200,20.35
2009-05-15,40.1,40.71,39.42,39.79,12140000,19.9
2009-05-18,39.93,40.0,39.03,39.98,9590600,19.99
2009-05-19,39.65,39.84,39.07,39.46,10199600,19.73
2009-05-20,40.38,40.75,39.82,40.32,8233800,20.16
2009-05-21,39.8,40.3,39.34,39.66,7014000,19.83
2009-05-22,39.86,40.16,39.36,39.43,6031400,19.72
2009-05-26,38.9,40.6,38.55,40.45,7562200,20.23
2009-05-27,40.5,41.44,40.02,40.91,9511200,20.45
2009-05-28,40.82,42.17,40.82,41.77,11001400,20.89
2009-05-29,41.5,42.24,41.0,42.24,7314600,21.12
2009-06-01,42.41,43.0,42.12,42.6,7267200,21.3
2009-06-02,42.61,44.58,42.51,44.28,12388400,22.14
2009-06-03,44.11,45.65,44.0,45.28,9662400,22.64
2009-06-04,45.74,46.08,44.5,45.11,9232800,22.56
2009-06-05,45.24,45.24,43.53,44.35,9790400,22.17
2009-06-08,44.54,45.29,43.74,44.01,8455200,22.0
2009-06-09,44.38,44.68,43.67,44.25,6341400,22.12
2009-06-10,44.36,44.55,42.69,43.23,10123200,21.61
2009-06-11,43.31,43.7,42.48,43.32,9877400,21.66
2009-06-12,43.64,43.64,42.68,43.23,7217800,21.61
