Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,38.58,39.4,38.0,39.18,3018000,9.8
2009-01-05,39.45,40.6,39.06,39.34,3977600,9.84
2009-01-06,38.04,38.42,37.0,37.57,8879600,9.39
2009-01-07,37.44,37.72,37.08,37.37,4364000,9.34
2009-01-08,36.5,36.5,34.54,35.01,10915200,8.75
2009-01-09,35.53,36.79,34.68,36.12,5949600,9.03
2009-01-12,36.78,38.84,35.99,38.4,8179200,9.6
2009-01-13,38.19,39.67,37.66,39.14,10884000,9.78
2009-01-14,37.76,38.82,37.66,38.4,7411600,9.6
2009-01-15,38.2,39.73,37.44,39.36,5172000,9.84
2009-01-16,39.99,41.26,39.5,40.1,4280000,10.02
2009-01-20,40.47,41.37,39.24,39.37,5185200,9.84
2009-01-21,39.5,39.5,37.73,38.84,5407600,9.71
2009-01-22,35.25,36.99,34.95,36.76,16184400,9.19
2009-01-23,36.3,36.42,35.15,35.38,8324000,8.85
2009-01-26,35.36,35.98,35.04,35.46,4445200,8.86
2009-01-27,36.01,36.77,35.44,35.62,7003200,8.9
2009-01-28,35.84,36.61,35.1,35.44,6258000,8.86
2009-01-29,35.34,35.97,34.32,34.49,4946000,8.62
2009-01-30,35.05,35.16,33.39,33.72,4390800,8.43
2009-02-02,33.49,34.66,33.38,34.5,4935200,8.62
2009-02-03,34.44,35.71,33.99,35.62,3244800,8.9
2009-02-04,35.53,36.0,34.0,34.15,5051600,8.54
2009-02-05,34.14,35.69,33.65,34.17,9250000,8.54
2009-02-06,35.05,36.01,34.68,35.88,5636000,8.97
2009-02-09,36.46,36.98,35.88,36.62,5802400,9.15
2009-02-10,36.62,37.59,35.84,36.13,6664000,9.03
2009-02-11,37.7,37.7,35.09,35.42,12880800,8.85
2009-02-12,35.06,38.41,35.0,38.29,10718400,9.57
2009-02-13,38.18,38.99,37.77,38.64,5623200,9.66
2009-02-17,37.81,38.97,37.55,38.37,4480800,9.59
2009-02-18,38.43,39.29,37.25,37.63,5380000,9.41
2009-02-19,37.79,38.03,37.45,37.82,3383600,9.45
2009-02-20,37.44,38.1,36.98,37.94,4592000,9.48
2009-02-23,38.5,38.5,36.43,37.32,6217600,9.33
