Date,Open,High,Low,Close,Volume,Adj Close
2010-01-05,35.0,35.0,35.0,35.0,10000,35.0
2010-01-06,35.0,35.0,35.0,35.0,0,35.0
2010-01-07,35.25,35.5,35.0,35.0,9800,35.0
2010-01-08,34.55,34.55,33.5,33.5,32200,33.5
2010-01-11,33.5,33.5,33.5,33.5,3700,33.5
2010-01-12,33.5,33.55,33.5,33.5,5100,33.5
2010-01-13,33.01,33.01,32.5,32.75,226300,32.75
2010-01-14,32.75,32.75,32.75,32.75,150500,32.75
2010-01-15,32.5,32.5,32.25,32.25,45500,32.25
2010-01-19,32.25,32.25,31.75,32.0,19400,32.0
2010-01-20,31.5,31.75,31.5,31.75,600,31.75
2010-01-21,31.5,31.6,31.5,31.6,600,31.6
2010-01-22,31.5,31.5,31.5,31.5,200,31.5
2010-01-25,31.1,31.25,31.0,31.25,1300,31.25
2010-01-26,31.0,31.0,30.75,30.75,300,30.75
2010-01-27,30.55,31.0,30.55,30.75,77000,30.75
2010-01-28,31.0,31.0,30.75,30.75,10400,30.75
2010-01-29,30.85,30.85,30.5,30.63,30700,30.63
2010-02-01,30.25,30.5,30.25,30.5,3500,30.5
2010-02-02,30.5,30.5,30.5,30.5,600,30.5
2010-02-03,30.1,30.1,29.75,29.75,5200,29.75
2010-02-04,30.0,30.25,30.0,30.25,29400,30.25
2010-02-05,30.48,30.5,30.0,30.5,1800,30.5
2010-02-08,30.0,30.0,29.75,29.85,47400,29.85
2010-02-09,29.1,29.8,29.1,29.8,29700,29.8
2010-02-10,29.4,29.85,29.4,29.75,107600,29.75
2010-02-11,29.74,29.74,29.5,29.74,10000,29.74
2010-02-12,29.74,29.74,29.74,29.74,100,29.74
2010-02-16,29.74,29.74,29.74,29.74,0,29.74
2010-02-17,29.74,29.74,29.74,29.74,0,29.74
2010-02-18,29.1,29.7,29.1,29.7,1700,29.7
2010-02-19,29.7,29.7,29.7,29.7,0,29.7
2010-02-22,29.1,29.72,29.1,29.7,19700,29.7
2010-02-23,29.7,29.7,29.7,29.7,0,29.7
2010-02-24,29.7,29.7,29.7,29.7,0,29.7
2010-02-25,29.5,29.7,29.5,29.5,2800,29.5
2010-02-26,29.25,29.75,29.25,29.75,2700,29.75
2010-03-01,29.75,30.1,29.75,30.1,24800,30.1
2010-03-02,30.1,30.4,30.0,30.4,29100,30.4
2010-03-03,30.5,30.75,30.5,30.75,131800,30.75
2010-03-04,31.0,31.5,30.75,31.02,17000,31.02
2010-03-05,31.25,31.75,31.25,31.75,48900,31.75
2010-03-08,31.5,31.75,31.5,31.75,49100,31.75
2010-03-09,32.0,32.75,31.98,32.75,134900,32.75
2010-03-10,32.95,33.0,32.0,33.0,111000,33.0
2010-03-11,33.0,33.0,32.5,32.5,33100,32.5
2010-03-12,33.0,33.0,32.5,32.5,207600,32.5
