Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,19.07,19.98,18.94,19.74,2315300,19.74
2009-01-05,19.79,20.44,19.38,20.21,2910700,20.21
2009-01-06,20.44,20.89,20.11,20.58,2062100,20.58
2009-01-07,20.39,20.81,20.32,20.77,3307700,20.77
2009-01-08,20.77,21.27,20.55,21.21,2129400,21.21
2009-01-09,21.84,21.98,20.96,21.13,3676600,21.13
2009-01-12,21.07,21.16,20.84,21.06,2254500,21.06
2009-01-13,21.09,21.54,21.03,21.32,2807200,21.32
2009-01-14,21.22,21.61,20.97,21.25,2419800,21.25
2009-01-15,21.0,21.38,20.76,20.9,3686000,20.9
2009-01-16,21.18,21.24,20.25,20.96,2569200,20.96
2009-01-20,21.41,21.75,20.95,20.95,3065800,20.95
2009-01-21,21.17,21.87,20.79,21.83,4083300,21.83
2009-01-22,21.18,21.67,20.96,21.05,4297400,21.05
2009-01-23,20.8,21.26,20.73,21.0,2561700,21.0
2009-01-26,20.87,21.48,20.74,21.04,3353900,21.04
2009-01-27,21.99,23.35,21.8,22.84,5982500,22.84
2009-01-28,22.92,23.2,22.51,22.82,3546000,22.82
2009-01-29,22.56,23.05,22.16,22.49,3356200,22.49
2009-01-30,22.6,23.09,22.42,22.67,4063400,22.67
2009-02-02,22.26,23.15,22.21,22.76,3687700,22.76
2009-02-03,22.35,23.19,22.34,23.15,4168500,23.15
2009-02-04,23.15,23.25,22.4,22.54,4052700,22.54
2009-02-05,22.23,22.72,22.03,22.12,5068000,22.12
2009-02-06,22.13,23.06,22.03,23.03,3555300,23.03
2009-02-09,22.9,23.41,22.74,23.34,3297800,23.34
2009-02-10,23.1,23.33,22.65,22.79,4020400,22.79
2009-02-11,22.9,23.22,22.8,22.95,2889000,22.95
2009-02-12,22.65,23.17,22.61,22.91,4028200,22.91
2009-02-13,22.91,23.35,22.83,23.17,4829100,23.17
2009-02-17,22.75,23.13,22.46,22.88,3265600,22.88
2009-02-18,22.94,23.55,22.5,22.75,3778800,22.75
2009-02-19,22.8,23.03,22.04,22.04,4142500,22.04
2009-02-20,22.09,22.5,21.6,21.9,4995600,21.9
2009-02-23,21.98,22.25,21.36,21.42,2607200,21.42
2009-02-24,21.49,22.41,21.36,22.35,3634300,22.35
2009-02-25,22.13,22.76,22.06,22.41,5629300,22.41
2009-02-26,22.61,22.74,21.57,21.57,4698800,21.57
2009-02-27,21.98,22.21,21.57,21.97,5140600,21.97
2009-03-02,21.77,22.14,21.2,21.36,4183500,21.36
2009-03-03,21.59,21.75,21.34,21.41,3017500,21.41
