Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.41,17.0,16.25,16.96,40980600,15.48
2009-01-05,16.85,17.3,16.75,17.11,45480200,15.61
2009-01-06,17.33,17.98,17.26,17.79,58256600,16.24
2009-01-07,17.37,17.58,17.11,17.32,50246600,15.81
2009-01-08,17.23,17.57,17.0,17.54,46484600,16.01
2009-01-09,17.24,17.26,16.61,16.7,68118900,15.24
2009-01-12,16.68,16.78,16.03,16.4,54927700,14.97
2009-01-13,16.29,16.54,16.11,16.45,51933800,15.01
2009-01-14,16.1,16.22,15.6,15.74,50111800,14.36
2009-01-15,15.62,15.95,15.19,15.81,61814500,14.43
2009-01-16,16.22,16.33,15.5,15.82,66930700,14.44
2009-01-20,15.81,15.93,15.01,15.01,57808600,13.7
2009-01-21,15.32,15.76,15.05,15.7,56231900,14.33
2009-01-22,15.38,15.59,15.0,15.37,56676100,14.03
2009-01-23,15.04,16.02,15.0,15.89,56556900,14.5
2009-01-26,15.85,16.5,15.78,16.3,44634800,14.88
2009-01-27,16.43,17.0,16.29,16.73,50346800,15.27
2009-01-28,17.06,17.19,16.69,16.88,60146800,15.41
2009-01-29,16.7,16.7,15.8,15.93,53220800,14.54
2009-01-30,15.91,16.09,14.91,14.97,75292400,13.66
2009-02-02,14.86,15.46,14.83,15.31,55290500,13.97
2009-02-03,15.48,15.75,15.01,15.62,65932300,14.26
2009-02-04,15.72,16.16,15.38,15.84,95781900,14.46
2009-02-05,15.54,16.65,15.45,16.35,115564600,14.92
2009-02-06,16.42,17.09,16.21,17.04,62910000,15.55
2009-02-09,16.99,17.05,16.62,16.85,37624300,15.38
2009-02-10,16.59,16.93,15.92,16.05,69149100,14.65
2009-02-11,16.18,16.27,15.85,16.17,46279800,14.76
2009-02-12,15.97,16.22,15.63,16.2,57645800,14.78
2009-02-13,16.2,16.46,15.95,16.1,43639500,14.69
2009-02-17,15.68,15.76,15.28,15.29,47981100,13.95
2009-02-18,15.45,15.73,15.15,15.37,40630400,14.03
2009-02-19,15.46,15.52,15.01,15.04,42978400,13.73
2009-02-20,14.96,15.34,14.88,15.08,59376600,13.76
2009-02-23,15.2,15.35,14.31,14.36,51687900,13.11
2009-02-24,14.39,15.05,14.38,14.99,55486800,13.68
2009-02-25,14.92,15.13,14.37,14.77,56278900,13.48
2009-02-26,15.05,15.21,14.49,14.49,51007600,13.22
2009-02-27,14.3,14.82,14.3,14.57,76734300,13.3
2009-03-02,14.33,14.78,14.27,14.32,59924500,13.07
2009-03-03,14.49,14.73,14.36,14.39,62320000,13.13
2009-03-04,14.64,15.52,14.63,15.25,69574200,13.92
2009-03-05,14.94,15.09,14.51,14.55,67034500,13.28
2009-03-06,14.58,14.93,13.98,14.18,113692300,12.94
2009-03-09,14.0,14.43,13.61,13.62,78274900,12.43
2009-03-10,14.04,14.79,13.92,14.64,71743300,13.36
2009-03-11,14.79,15.2,14.52,15.02,55002400,13.71
2009-03-12,15.0,15.51,14.77,15.51,49609300,14.15
2009-03-13,15.46,15.69,15.25,15.51,43118900,14.15
2009-03-16,15.79,15.88,15.35,15.45,50265100,14.1
2009-03-17,15.72,16.15,15.57,16.14,52090300,14.73
2009-03-18,16.03,16.94,16.02,16.5,85018400,15.06
2009-03-19,16.68,16.68,16.06,16.23,56670100,14.81
2009-03-20,16.37,16.57,15.75,15.91,66078200,14.52
2009-03-23,16.31,17.0,15.9,16.98,64333300,15.5
2009-03-24,16.7,17.04,16.58,16.68,44592600,15.22
2009-03-25,16.5,17.05,16.28,16.57,64202300,15.12
2009-03-26,16.8,17.39,16.76,17.31,58048800,15.8
2009-03-27,17.0,17.17,16.85,16.95,37833600,15.47
2009-03-30,16.57,16.57,16.08,16.31,45060500,14.88
2009-03-31,16.53,17.01,16.37,16.77,59050200,15.3
2009-04-01,16.51,17.54,16.3,17.46,73415300,15.93
2009-04-02,17.83,18.61,17.79,18.14,88337600,16.55
2009-04-03,18.3,18.54,17.95,18.16,59472600,16.57
2009-04-06,17.56,17.64,17.07,17.53,63355500,16.0
2009-04-07,17.2,17.25,16.58,16.85,59902600,15.38
2009-04-08,17.29,17.33,16.94,17.13,45389100,15.63
2009-04-09,17.67,18.08,17.58,17.82,53094200,16.26
2009-04-13,17.85,18.05,17.76,17.89,33965000,16.33
2009-04-14,17.8,18.18,17.61,17.93,42813500,16.36
2009-04-15,17.75,18.0,17.34,17.56,51890600,16.03
2009-04-16,17.82,18.18,17.65,18.08,51379800,16.5
2009-04-17,18.1,18.17,17.83,17.99,55983700,16.42
2009-04-20,17.71,17.79,17.2,17.31,55165100,15.8
2009-04-21,17.2,17.79,17.14,17.69,45749000,16.14
2009-04-22,17.45,18.02,17.43,17.44,54728000,15.92
2009-04-23,17.52,17.64,17.13,17.62,44000300,16.08
2009-04-24,18.12,18.5,17.97,18.42,55664900,16.81
2009-04-27,18.1,18.59,18.01,18.37,42312900,16.76
2009-04-28,18.3,18.96,18.15,18.67,47820200,17.04
2009-04-29,18.83,19.53,18.73,19.25,48496600,17.57
2009-04-30,19.69,19.93,19.1,19.32,60350800,17.63
2009-05-01,19.24,19.78,19.06,19.58,40337500,17.87
2009-05-04,19.82,19.87,19.26,19.5,63902300,17.8
2009-05-05,19.5,19.63,19.28,19.63,46373400,17.91
2009-05-06,19.76,19.85,19.03,19.61,93198900,17.9
2009-05-07,20.0,20.0,18.6,18.95,92373300,17.29
2009-05-08,19.0,19.22,18.55,18.73,65443000,17.09
2009-05-11,18.45,18.83,18.27,18.61,44319000,16.98
2009-05-12,18.67,18.82,18.55,18.72,39761800,17.08
2009-05-13,18.49,18.6,18.03,18.05,50715000,16.47
2009-05-14,18.07,18.29,18.05,18.09,43080700,16.51
2009-05-15,18.14,18.21,17.77,17.92,72110100,16.35
2009-05-18,18.14,18.81,18.06,18.72,67489600,17.08
2009-05-19,18.71,19.35,18.64,18.88,53818200,17.23
2009-05-20,19.02,19.06,18.46,18.6,49031000,16.97
2009-05-21,18.43,18.5,17.85,18.1,63308400,16.52
2009-05-22,18.09,18.15,17.66,17.9,33243700,16.34
2009-05-26,17.66,18.67,17.61,18.49,48659800,16.87
2009-05-27,18.41,18.71,18.11,18.22,40013400,16.63
2009-05-28,18.35,18.66,18.06,18.51,53071000,16.89
2009-05-29,18.54,18.6,18.09,18.5,61032200,16.88
2009-06-01,19.15,19.77,19.01,19.5,103321500,17.8
2009-06-02,19.57,19.86,19.41,19.61,53783700,17.9
2009-06-03,19.55,19.61,19.1,19.36,55115000,17.67
2009-06-04,19.46,19.81,19.3,19.67,40586000,17.95
2009-06-05,19.94,20.02,19.52,19.87,86043900,18.13
2009-06-08,19.74,20.06,19.53,19.87,42855000,18.13
2009-06-09,19.95,20.2,19.68,20.08,49764200,18.33
2009-06-10,20.19,20.24,19.6,19.95,58386500,18.21
2009-06-11,19.93,20.35,19.9,20.1,44781700,18.34
