Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,23.57,24.48,23.05,24.36,2618000,24.36
2009-01-05,24.15,24.51,23.39,23.68,3106900,23.68
2009-01-06,23.74,24.14,23.46,23.96,2224800,23.96
2009-01-07,23.63,23.74,22.85,23.04,2237800,23.04
2009-01-08,23.09,23.26,22.64,23.24,1828900,23.24
2009-01-09,23.2,23.2,22.25,22.56,2212100,22.56
2009-01-12,22.48,22.71,22.08,22.34,2001600,22.34
2009-01-13,22.34,22.75,22.05,22.32,2711700,22.32
2009-01-14,22.1,22.81,22.03,22.42,3678100,22.42
2009-01-15,22.35,23.02,22.03,22.73,3858200,22.73
2009-01-16,22.94,23.39,22.53,23.23,3053900,23.23
2009-01-20,23.17,23.45,22.37,22.37,2599700,22.37
2009-01-21,22.89,23.35,22.54,23.31,2740300,23.31
2009-01-22,22.89,23.2,22.26,22.89,3268200,22.89
2009-01-23,22.4,23.25,21.95,22.99,3790600,22.99
2009-01-26,22.99,23.95,22.8,23.55,3374100,23.55
2009-01-27,23.2,23.61,22.82,23.4,3066100,23.4
2009-01-28,23.56,24.48,23.56,24.19,4682500,24.19
2009-01-29,21.77,23.54,20.82,22.1,11416900,22.1
2009-01-30,21.96,22.13,20.97,21.04,5584800,21.04
2009-02-02,20.89,22.0,20.74,21.65,3713200,21.65
2009-02-03,21.61,22.17,21.23,22.06,3864700,22.06
2009-02-04,22.07,22.51,21.75,22.2,2761600,22.2
2009-02-05,21.91,22.82,21.77,22.69,2511000,22.69
2009-02-06,22.72,23.95,22.54,23.86,3607700,23.86
2009-02-09,23.8,24.0,23.43,23.75,1848000,23.75
2009-02-10,23.46,24.35,22.88,22.88,4065100,22.88
2009-02-11,23.29,23.64,22.91,23.36,2821200,23.36
2009-02-12,23.03,23.48,22.52,23.46,3689800,23.46
2009-02-13,23.44,23.73,23.16,23.28,1770200,23.28
2009-02-17,22.27,23.0,22.27,22.6,2323400,22.6
2009-02-18,22.5,22.85,22.27,22.43,1679600,22.43
2009-02-19,22.62,22.62,21.72,21.72,2312600,21.72
2009-02-20,21.75,22.39,21.51,22.18,3264900,22.18
2009-02-23,22.2,22.28,21.0,21.03,3754300,21.03
2009-02-24,21.26,21.72,21.16,21.69,3622400,21.69
2009-02-25,21.48,21.65,20.88,21.3,3644300,21.3
2009-02-26,21.47,21.47,20.74,20.76,2431800,20.76
2009-02-27,20.69,21.0,20.27,20.58,3615700,20.58
2009-03-02,20.35,20.64,20.0,20.09,3025300,20.09
2009-03-03,20.31,20.99,20.22,20.59,4238500,20.59
2009-03-04,20.65,22.4,20.51,21.95,6316500,21.95
