Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.72,18.1,16.67,17.99,18011500,16.08
2009-01-05,17.8,17.86,16.91,17.03,34965800,15.27
2009-01-06,17.14,17.61,16.98,17.23,17457100,15.45
2009-01-07,16.96,16.99,16.32,16.64,20064800,14.92
2009-01-08,16.53,17.05,16.47,16.91,16932800,15.16
2009-01-09,17.02,17.04,16.27,16.33,19763500,14.64
2009-01-12,16.28,16.39,15.5,15.7,20893400,14.08
2009-01-13,15.69,15.8,15.19,15.33,23923500,13.75
2009-01-14,15.13,15.28,14.64,14.81,19371800,13.28
2009-01-15,14.7,15.28,14.25,15.01,21547300,13.46
2009-01-16,15.16,15.54,14.76,15.33,23853600,13.75
2009-01-20,15.29,15.38,14.01,14.02,23559900,12.57
2009-01-21,14.15,15.07,14.05,15.07,22045500,13.51
2009-01-22,14.69,15.08,14.23,14.79,22638700,13.26
2009-01-23,14.39,15.15,14.0,14.99,24056800,13.44
2009-01-26,14.97,15.5,14.75,15.05,16644700,13.5
2009-01-27,15.07,15.36,14.8,14.92,17308400,13.38
2009-01-28,15.15,15.98,15.15,15.96,22525500,14.31
2009-01-29,15.72,16.11,15.27,15.33,20325200,13.75
2009-01-30,15.35,15.63,14.57,14.65,20455800,13.14
2009-02-02,14.55,14.85,14.41,14.7,14474000,13.18
2009-02-03,14.7,14.82,14.31,14.68,20511000,13.16
2009-02-04,13.84,14.89,13.59,14.16,30505600,12.7
2009-02-05,14.0,14.16,13.57,13.83,35906900,12.4
2009-02-06,13.77,14.5,13.74,14.17,25832300,12.71
2009-02-09,14.34,14.5,13.88,14.41,22723300,12.92
2009-02-10,14.2,14.57,13.43,13.54,30992600,12.14
2009-02-11,13.66,13.87,13.29,13.57,16456900,12.17
2009-02-12,13.35,13.83,13.18,13.78,24114500,12.36
2009-02-13,13.78,13.95,13.35,13.66,18958000,12.25
2009-02-17,12.95,13.18,12.58,12.89,30276200,11.56
2009-02-18,12.98,12.99,11.95,12.36,44451400,11.08
2009-02-19,12.68,13.39,12.58,12.99,40230700,11.65
2009-02-20,12.93,13.15,12.58,12.84,30338500,11.51
2009-02-23,12.87,13.4,12.64,12.69,25533800,11.38
2009-02-24,12.65,13.93,12.62,13.88,28916300,12.45
2009-02-25,13.75,14.43,13.56,14.05,33928600,12.6
2009-02-26,14.03,14.2,13.34,13.34,45950000,11.96
2009-02-27,13.29,13.55,12.99,13.06,25703200,11.71
2009-03-02,12.81,12.87,12.32,12.59,28609800,11.29
2009-03-03,12.8,13.12,12.39,12.5,31012100,11.21
2009-03-04,12.62,12.94,12.37,12.74,28634400,11.42
2009-03-05,12.41,12.56,11.9,12.0,26001600,10.76
2009-03-06,11.91,12.31,11.27,11.63,34520100,10.43
2009-03-09,11.47,11.96,11.1,11.22,22550600,10.06
2009-03-10,11.5,12.25,11.34,12.21,28480300,10.95
2009-03-11,12.23,12.68,12.21,12.37,17345200,11.09
2009-03-12,12.22,12.98,12.12,12.92,14785200,11.59
2009-03-13,13.24,13.41,12.6,13.03,20152100,11.68
2009-03-16,13.13,13.5,12.54,12.57,20558200,11.27
2009-03-17,12.68,13.3,12.58,13.27,17263700,11.9
2009-03-18,13.13,13.85,13.06,13.57,19522300,12.17
2009-03-19,13.63,13.65,12.88,13.05,22463300,11.7
2009-03-20,13.19,13.35,12.49,12.72,33137900,11.41
2009-03-23,13.15,14.12,13.0,14.08,22443300,12.63
2009-03-24,13.91,14.47,13.78,13.99,21360000,12.55
2009-03-25,13.93,14.38,13.53,13.94,23702900,12.5
2009-03-26,14.0,14.59,13.94,14.55,24527400,13.05
2009-03-27,14.35,14.63,14.09,14.54,27156800,13.04
2009-03-30,14.27,14.33,13.53,13.65,23101500,12.24
2009-03-31,13.81,13.86,13.51,13.64,29641800,12.23
2009-04-01,13.43,13.98,13.27,13.92,25288500,12.48
2009-04-02,14.13,14.74,14.03,14.57,30095500,13.07
2009-04-03,14.65,14.75,14.2,14.5,23569600,13.0
2009-04-06,14.33,14.47,14.18,14.36,18706600,12.94
2009-04-07,14.1,14.25,13.99,14.04,25300700,12.65
2009-04-08,14.16,14.26,13.83,14.26,22272100,12.85
2009-04-09,14.41,14.68,14.32,14.62,21561400,13.17
2009-04-13,14.33,14.52,14.08,14.35,13564600,12.93
2009-04-14,14.17,14.23,13.75,13.86,23487500,12.49
2009-04-15,13.72,14.42,13.7,14.38,23253600,12.96
2009-04-16,14.39,14.85,14.21,14.76,25496100,13.3
2009-04-17,14.92,14.92,14.25,14.48,26547700,13.05
2009-04-20,14.12,14.28,13.79,13.93,20228200,12.55
2009-04-21,13.92,14.31,13.81,14.27,20513200,12.86
2009-04-22,14.01,14.35,14.0,14.05,19629300,12.66
2009-04-23,13.86,13.97,13.32,13.61,27107600,12.26
2009-04-24,13.65,14.04,13.42,13.89,19013000,12.51
2009-04-27,13.55,13.85,13.25,13.76,23988200,12.4
2009-04-28,13.61,14.38,13.59,14.19,19512000,12.78
2009-04-29,14.35,15.34,14.35,15.24,31682100,13.73
2009-04-30,16.2,16.3,15.37,15.46,34763300,13.93
2009-05-01,16.08,16.49,15.74,16.36,25987300,14.74
2009-05-04,16.36,17.06,16.21,16.65,25770100,15.0
2009-05-05,16.64,17.0,15.91,16.25,23696700,14.64
2009-05-06,16.28,16.4,15.63,16.0,22962700,14.42
