Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,14.13,14.78,14.07,14.65,2796600,7.49
2009-01-05,14.54,15.1,14.36,14.8,3985200,7.56
2009-01-06,14.89,15.11,14.58,14.99,3476600,7.66
2009-01-07,14.42,14.97,14.3,14.56,2390300,7.44
2009-01-08,14.27,15.11,14.02,15.08,3765500,7.71
2009-01-09,14.95,15.19,14.51,14.76,2763700,7.54
2009-01-12,14.67,14.9,14.46,14.59,3226900,7.46
2009-01-13,14.71,15.25,14.71,15.0,4343400,7.66
2009-01-14,14.77,15.0,14.35,14.75,3394800,7.54
2009-01-15,14.54,15.05,14.04,14.72,3219900,7.52
2009-01-16,15.0,15.39,14.21,14.76,4213000,7.54
2009-01-20,14.7,14.7,13.64,13.67,3508100,6.99
2009-01-21,14.0,14.59,14.0,14.39,3696000,7.35
2009-01-22,14.26,14.93,14.2,14.61,3519900,7.47
2009-01-23,14.36,14.88,14.36,14.7,3160600,7.51
2009-01-26,14.86,14.91,14.28,14.57,4085200,7.45
2009-01-27,14.75,14.99,14.44,14.87,1813200,7.6
2009-01-28,14.78,15.12,14.78,14.96,3056600,7.64
2009-01-29,14.86,14.89,14.33,14.4,1788500,7.36
2009-01-30,14.86,15.05,14.18,14.5,2942000,7.41
2009-02-02,14.23,14.71,13.96,14.55,2136800,7.43
2009-02-03,14.59,14.75,14.16,14.64,2165200,7.48
2009-02-04,14.7,14.89,13.69,13.75,6455600,7.03
2009-02-05,13.58,13.74,13.28,13.53,5552600,6.91
2009-02-06,13.58,14.11,13.48,13.94,3454700,7.12
2009-02-09,13.84,14.13,13.7,14.05,3407900,7.18
2009-02-10,13.87,14.05,13.53,13.66,2604600,6.98
2009-02-11,13.7,14.04,13.64,13.8,2351500,7.05
2009-02-12,13.62,14.15,13.56,13.94,3440400,7.12
2009-02-13,14.01,14.14,13.93,13.98,1929800,7.14
2009-02-17,13.55,13.87,13.21,13.49,3028700,6.89
2009-02-18,13.56,13.7,13.03,13.07,2240200,6.68
2009-02-19,13.28,13.39,13.06,13.12,3507500,6.7
2009-02-20,12.98,13.01,12.46,12.68,2605700,6.48
2009-02-23,12.69,13.07,12.65,12.71,3780700,6.49
2009-02-24,12.56,13.46,12.56,13.26,6200600,6.78
2009-02-25,14.73,15.32,14.35,14.93,12246100,7.63
2009-02-26,15.22,15.5,14.75,14.76,4623600,7.54
2009-02-27,14.7,15.59,14.7,15.51,6210700,7.93
2009-03-02,15.31,15.8,15.12,15.26,4942800,7.8
2009-03-03,15.46,15.78,15.35,15.66,5311500,8.0
2009-03-04,15.84,15.92,15.21,15.45,4722000,7.89
2009-03-05,15.26,15.65,15.07,15.21,4756900,7.77
2009-03-06,15.35,15.5,14.67,15.12,7874800,7.73
2009-03-09,15.04,15.29,14.41,14.49,3668400,7.4
2009-03-10,14.81,15.37,14.76,15.34,3593400,7.84
2009-03-11,15.43,15.7,15.19,15.45,2763700,7.89
2009-03-12,15.48,16.77,15.29,16.55,5420500,8.46
2009-03-13,16.63,16.99,16.3,16.92,4655100,8.65
2009-03-16,17.07,17.12,16.6,16.66,2197500,8.51
2009-03-17,16.63,16.8,16.37,16.77,2424300,8.57
2009-03-18,17.01,17.29,16.65,17.16,3100300,8.77
2009-03-19,17.12,17.12,16.17,16.27,3882500,8.31
2009-03-20,16.42,16.57,15.82,15.87,2474800,8.11
2009-03-23,16.0,16.71,15.87,16.6,5454600,8.48
2009-03-24,16.34,16.62,16.08,16.2,2654900,8.28
2009-03-25,16.13,16.25,15.72,16.24,3766100,8.3
