Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,41.9,42.48,41.62,42.05,4418600,14.02
2009-01-05,42.24,42.46,41.25,41.82,5728200,13.94
2009-01-06,41.88,42.19,39.5,39.67,10810400,13.22
2009-01-07,41.0,42.22,40.51,41.54,9786200,13.85
2009-01-08,41.3,41.82,40.11,41.63,8239800,13.88
2009-01-09,41.67,41.93,40.45,41.0,5319000,13.67
2009-01-12,40.81,41.49,40.28,40.99,5088600,13.66
2009-01-13,40.75,41.94,40.41,41.2,4842600,13.73
2009-01-14,40.53,41.17,40.44,40.85,4861200,13.62
2009-01-15,41.87,43.89,41.06,43.55,12044000,14.52
2009-01-16,43.88,43.91,42.72,43.33,4798400,14.44
2009-01-20,43.01,43.49,42.32,42.69,5925600,14.23
2009-01-21,43.0,43.74,41.95,43.07,7133000,14.36
2009-01-22,42.69,43.57,42.01,43.04,4245800,14.35
2009-01-23,42.61,43.17,42.06,42.49,3755600,14.16
2009-01-26,42.73,43.24,42.17,42.57,3410600,14.19
2009-01-27,42.91,43.08,42.35,42.83,2630600,14.28
2009-01-28,43.34,43.98,42.98,43.71,4127000,14.57
2009-01-29,43.64,44.03,42.97,43.27,3588600,14.42
2009-01-30,43.34,43.74,42.5,42.71,3749600,14.24
2009-02-02,42.87,43.23,42.11,42.8,4222200,14.27
2009-02-03,42.94,44.32,42.41,43.94,6516600,14.65
2009-02-04,42.92,43.1,41.21,41.75,12307800,13.92
2009-02-05,38.25,38.25,34.16,35.03,37380000,11.68
2009-02-06,36.03,36.63,34.9,35.39,11869400,11.8
2009-02-09,35.37,35.88,35.04,35.4,9026000,11.8
2009-02-10,35.45,36.34,34.76,35.04,8586800,11.68
2009-02-11,35.07,35.25,33.73,34.28,7310000,11.43
2009-02-12,33.6,34.69,33.15,34.69,6632600,11.56
2009-02-13,34.34,34.64,33.54,33.68,7778600,11.23
2009-02-17,33.03,34.68,32.94,34.18,8997000,11.39
2009-02-18,34.65,34.98,33.53,33.94,7986600,11.31
