Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,8.21,8.79,8.1,8.79,1022100,12.29
2009-01-05,8.79,9.25,8.72,9.2,1302800,12.86
2009-01-06,9.27,9.75,9.12,9.54,1685500,13.34
2009-01-07,9.5,9.55,8.82,8.97,1208300,12.54
2009-01-08,8.57,9.51,8.57,9.51,2908500,13.3
2009-01-09,9.25,9.51,9.0,9.15,1280400,12.79
2009-01-12,8.97,9.25,8.37,8.64,2142900,12.08
2009-01-13,8.36,9.07,8.36,8.99,1941100,12.57
2009-01-14,8.81,8.98,8.66,8.7,1667000,12.16
2009-01-15,8.43,9.39,8.43,9.14,1914800,12.78
2009-01-16,9.44,9.49,8.79,9.14,1480200,12.78
2009-01-20,9.04,9.14,8.13,8.14,2235400,11.38
2009-01-21,8.07,8.47,8.07,8.46,1850400,11.83
2009-01-22,8.2,8.39,7.85,8.16,2126900,11.41
2009-01-23,7.98,8.41,7.85,8.27,1645800,11.56
2009-01-26,8.1,8.5,8.06,8.28,994200,11.58
2009-01-27,8.3,8.63,8.23,8.58,1912700,12.0
2009-01-28,8.78,9.43,8.61,9.3,2180000,13.0
2009-01-29,9.21,9.28,8.92,9.03,1995100,12.63
2009-01-30,9.29,9.64,8.92,8.93,2049200,12.49
2009-02-02,8.8,9.01,8.56,8.91,1504300,12.46
2009-02-03,8.95,9.2,8.73,9.15,1212900,12.79
2009-02-04,9.23,9.5,9.1,9.27,2088300,12.96
2009-02-05,8.87,9.62,8.87,9.53,1602700,13.33
2009-02-06,9.51,10.35,9.33,9.96,2341100,13.93
2009-02-09,9.96,9.96,9.67,9.79,1343300,13.69
2009-02-10,9.66,9.81,9.12,9.15,2200800,12.79
2009-02-11,9.08,9.43,9.0,9.19,1274700,12.85
2009-02-12,9.03,9.26,8.79,9.1,2281000,12.72
2009-02-13,9.14,9.33,8.97,9.17,1639600,12.82
2009-02-17,8.65,9.03,8.19,8.35,2497500,11.68
2009-02-18,8.49,8.61,8.06,8.53,2025900,11.93
2009-02-19,7.76,8.54,7.49,7.9,3879500,11.05
2009-02-20,7.84,8.09,7.49,7.74,3604000,10.82
2009-02-23,8.19,8.5,7.78,7.85,2116100,10.98
2009-02-24,7.89,8.36,7.88,8.25,2239100,11.54
2009-02-25,7.96,8.42,7.73,8.25,3252000,11.54
2009-02-26,8.27,8.56,8.0,8.03,1514700,11.23
2009-02-27,8.59,8.6,7.95,7.97,1475200,11.14
2009-03-02,7.8,8.06,7.31,7.36,2579100,10.29
2009-03-03,7.44,7.52,7.04,7.13,1710900,9.97
2009-03-04,7.24,7.39,6.88,6.92,3169800,9.68
2009-03-05,6.83,6.84,6.63,6.64,2439900,9.28
2009-03-06,6.75,6.84,6.31,6.47,2319300,9.05
2009-03-09,6.41,6.93,6.34,6.39,1365200,8.93
2009-03-10,6.55,7.09,6.51,7.05,2133400,9.86
2009-03-11,7.05,7.4,6.95,7.08,1714900,9.9
2009-03-12,7.04,7.12,6.79,7.09,1927400,9.91
2009-03-13,7.05,7.47,6.76,7.38,2190200,10.32
2009-03-16,6.77,7.75,6.77,7.33,1983400,10.25
2009-03-17,7.34,8.05,7.31,7.99,3394400,11.17
2009-03-18,7.5,8.26,7.5,8.16,2825200,11.41
2009-03-19,8.14,8.15,7.5,7.65,2276500,10.7
2009-03-20,8.16,8.34,7.77,7.87,3939800,11.0
2009-03-23,8.0,8.61,8.0,8.61,2527900,12.04
2009-03-24,8.49,9.02,8.4,8.73,2466200,12.21
2009-03-25,8.6,9.51,8.6,9.23,3465900,12.91
2009-03-26,9.41,9.7,9.29,9.65,2471500,13.49
2009-03-27,9.48,9.75,9.14,9.14,1672600,12.78
2009-03-30,8.71,8.98,8.62,8.91,1613700,12.46
2009-03-31,8.98,9.25,8.78,9.08,1781900,12.7
2009-04-01,8.94,9.45,8.82,9.36,1601500,13.09
2009-04-02,9.57,10.14,9.49,10.05,2493200,14.05
2009-04-03,10.01,10.27,9.85,10.26,1511600,14.35
2009-04-06,10.13,10.39,9.81,10.37,1995300,14.5
2009-04-07,10.16,10.22,9.6,9.62,1974300,13.45
2009-04-08,9.04,9.53,9.0,9.52,2132200,13.31
2009-04-09,9.79,10.44,9.66,10.42,1939300,14.57
2009-04-13,10.3,10.73,10.17,10.57,1864800,14.78
2009-04-14,10.52,11.0,10.28,10.46,2372100,14.63
2009-04-15,10.37,10.6,10.3,10.44,2013400,14.6
2009-04-16,10.61,11.55,10.51,11.33,2942500,15.84
2009-04-17,11.35,11.95,11.01,11.81,2636100,16.51
2009-04-20,11.59,11.78,10.77,10.8,1582200,15.1
2009-04-21,10.77,11.64,10.73,11.59,2162200,16.21
2009-04-22,11.5,12.07,11.3,11.7,1929700,16.36
2009-04-23,11.71,11.74,10.86,11.23,3990200,15.7
2009-04-24,11.34,11.52,10.67,11.24,3723700,15.72
2009-04-27,10.59,11.13,10.47,10.53,4168600,14.72
2009-04-28,10.45,10.6,10.23,10.3,4095900,14.4
2009-04-29,10.46,10.8,10.31,10.59,4391700,14.81
2009-04-30,12.26,14.46,12.23,13.61,6828100,19.03
2009-05-01,13.88,15.18,13.88,14.79,4724700,20.68
2009-05-04,14.79,15.55,14.79,15.5,3650600,21.67
2009-05-05,15.37,15.87,14.91,15.8,2531400,22.09
