Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,54.56,56.7,54.55,56.69,4404000,28.34
2009-01-05,56.68,57.15,55.55,57.12,3798200,28.56
2009-01-06,57.72,58.49,56.21,57.33,3639200,28.67
2009-01-07,56.67,57.28,55.41,55.68,4598600,27.84
2009-01-08,55.48,56.33,54.64,55.5,4863000,27.75
2009-01-09,53.25,53.79,51.2,52.72,9509600,26.36
2009-01-12,53.63,53.63,51.57,52.27,4747800,26.14
2009-01-13,52.11,53.79,51.5,52.68,5011400,26.34
2009-01-14,51.84,52.31,50.8,51.85,4546600,25.92
2009-01-15,52.01,52.54,49.5,51.86,6408600,25.93
2009-01-16,52.43,53.63,51.23,53.25,5345400,26.62
2009-01-20,52.74,53.84,50.62,50.63,5530800,25.32
2009-01-21,50.73,52.25,50.73,52.05,7013200,26.02
2009-01-22,51.06,53.36,51.02,52.91,5417800,26.45
2009-01-23,51.93,53.91,51.62,53.26,4098000,26.63
2009-01-26,53.08,55.01,53.08,53.88,3963000,26.94
2009-01-27,52.81,55.33,52.81,54.88,4703600,27.44
2009-01-28,55.47,57.6,55.05,56.84,5323000,28.42
2009-01-29,56.44,57.12,54.81,55.36,4747400,27.68
2009-01-30,55.44,56.17,52.75,53.76,6066400,26.88
2009-02-02,55.09,56.48,53.83,56.25,5830400,28.12
2009-02-03,56.09,58.21,55.68,57.97,4491800,28.99
2009-02-04,57.75,59.63,56.27,56.63,5500000,28.32
2009-02-05,56.2,58.28,55.9,58.06,4342600,29.03
2009-02-06,58.03,58.83,57.03,58.13,4038600,29.07
2009-02-09,58.15,58.3,56.61,57.74,3027800,28.87
2009-02-10,57.22,57.74,54.47,54.85,4474200,27.42
2009-02-11,55.23,56.19,54.68,55.89,3468000,27.94
2009-02-12,55.37,56.94,55.08,56.78,4015800,28.39
2009-02-13,56.32,58.23,56.32,57.88,4052800,28.94
2009-02-17,55.42,56.96,54.98,56.16,4055200,28.08
2009-02-18,56.32,56.95,55.41,56.28,3992400,28.14
2009-02-19,56.64,57.45,56.24,56.34,4213600,28.17
2009-02-20,56.17,56.52,54.7,56.27,7088800,28.14
2009-02-23,56.68,56.98,54.4,55.3,6488800,27.65
2009-02-24,56.13,57.8,56.06,57.4,7233200,28.7
2009-02-25,57.56,58.08,56.33,57.46,8140400,28.73
2009-02-26,57.66,58.28,52.37,52.79,13561200,26.4
2009-02-27,52.0,52.22,50.3,50.3,9891800,25.15
2009-03-02,49.84,49.84,45.64,45.74,11344200,22.87
2009-03-03,45.77,47.89,45.62,46.93,7904800,23.47
2009-03-04,47.5,48.46,46.7,47.43,5993800,23.72
2009-03-05,46.45,46.68,44.45,44.62,7069800,22.31
2009-03-06,44.74,46.44,44.42,46.19,6869800,23.09
2009-03-09,46.76,47.01,45.24,45.47,5732600,22.74
2009-03-10,45.66,47.53,45.66,47.51,6512400,23.75
2009-03-11,48.0,48.78,44.52,44.75,11060400,22.38
2009-03-12,44.93,47.3,44.3,47.07,8267600,23.53
2009-03-13,47.98,48.43,46.31,48.27,8159400,24.14
2009-03-16,48.53,49.33,48.05,48.2,6652200,24.1
2009-03-17,49.33,49.33,48.03,49.22,6729000,24.61
2009-03-18,48.81,49.53,47.5,48.15,7256600,24.08
2009-03-19,47.22,49.25,45.0,46.48,8094600,23.24
2009-03-20,46.99,47.67,46.31,46.5,6397800,23.25
2009-03-23,47.93,48.3,46.54,48.05,6802000,24.02
2009-03-24,48.95,48.95,45.9,45.99,6373200,23.0
2009-03-25,46.1,47.13,45.79,46.52,7901000,23.26
2009-03-26,46.56,46.74,45.22,46.21,11149800,23.1
2009-03-27,45.33,45.78,43.88,43.89,12224600,21.94
2009-03-30,43.09,45.19,42.75,45.03,10228200,22.51
2009-03-31,44.82,46.95,44.73,46.17,7946200,23.08
2009-04-01,46.03,48.04,45.06,47.27,8905600,23.64
2009-04-02,48.0,50.22,47.95,49.49,9365000,24.75
2009-04-03,49.05,49.97,48.18,48.63,5862000,24.32
2009-04-06,48.11,49.84,48.11,49.04,6610400,24.52
2009-04-07,48.61,49.13,47.65,48.03,4729000,24.01
2009-04-08,48.36,49.22,48.06,49.18,4652800,24.59
2009-04-09,49.76,50.47,48.93,49.17,3737600,24.58
2009-04-13,52.29,57.25,51.74,56.81,16855000,28.41
2009-04-14,56.21,61.5,55.57,60.19,16397000,30.09
2009-04-15,59.7,60.8,58.14,59.3,10210600,29.65
2009-04-16,59.26,60.95,58.56,60.28,6863800,30.14
