Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,35.08,36.78,34.0,36.51,4347800,15.99
2009-01-05,35.72,36.8,35.36,36.4,3381400,15.95
2009-01-06,36.18,36.33,35.19,36.04,3955000,15.79
2009-01-07,35.59,35.66,34.52,35.16,3276600,15.4
2009-01-08,34.15,34.31,33.1,33.59,5517400,14.71
2009-01-09,33.52,33.75,32.0,33.03,4367800,14.47
2009-01-12,33.24,33.33,32.3,32.62,3416800,14.29
2009-01-13,32.4,33.17,32.1,32.81,3280800,14.37
2009-01-14,32.25,32.4,31.46,31.69,3664400,13.88
2009-01-15,32.69,34.04,31.74,33.2,5419800,14.54
2009-01-16,33.66,33.73,32.63,33.15,6550200,14.52
2009-01-20,33.76,34.95,32.57,32.9,7104400,14.41
2009-01-21,32.59,32.92,31.02,32.29,7165000,14.15
2009-01-22,31.99,32.84,31.41,32.24,4352400,14.12
2009-01-23,31.74,33.04,31.53,32.47,2705600,14.22
2009-01-26,32.34,33.32,32.16,32.6,4064800,14.28
2009-01-27,32.54,34.76,32.5,34.58,6266800,15.15
2009-01-28,34.39,36.15,34.38,35.77,4911200,15.67
2009-01-29,35.46,36.05,34.47,34.76,3792600,15.23
2009-01-30,34.85,35.3,33.58,34.18,4624200,14.97
2009-02-02,33.71,34.69,33.52,34.33,2641800,15.04
2009-02-03,34.19,35.62,33.65,35.48,3265000,15.54
2009-02-04,34.63,34.68,33.54,34.23,8414800,15.0
2009-02-05,33.59,34.84,33.22,34.65,4757800,15.18
2009-02-06,34.76,37.13,34.64,37.13,4862800,16.27
2009-02-09,36.73,37.72,36.2,37.53,2389400,16.44
2009-02-10,37.5,37.86,35.56,36.0,2939800,15.77
2009-02-11,36.3,36.35,34.23,34.57,4089600,15.29
2009-02-12,34.24,35.49,33.84,35.36,2700200,15.64
2009-02-13,35.38,35.85,34.49,34.49,2143000,15.26
2009-02-17,33.88,33.88,32.33,32.87,3330800,14.54
2009-02-18,33.12,34.39,32.96,34.08,4503600,15.08
2009-02-19,34.18,34.93,32.39,32.39,4479800,14.33
2009-02-20,32.64,32.7,31.75,32.19,4971200,14.24
2009-02-23,32.25,32.43,29.58,29.68,6058600,13.13
2009-02-24,29.97,31.26,29.87,31.2,6186400,13.8
2009-02-25,31.12,31.47,30.38,30.51,6841800,13.5
2009-02-26,31.15,31.34,30.05,30.09,3429400,13.31
2009-02-27,29.9,30.48,29.41,30.12,4550600,13.32
2009-03-02,29.65,29.98,28.31,28.53,5067600,12.62
2009-03-03,28.58,29.68,28.57,29.15,6992600,12.9
2009-03-04,29.58,29.63,27.36,28.41,6854800,12.57
2009-03-05,28.1,28.24,26.79,26.96,5859200,11.93
2009-03-06,26.81,27.3,25.87,26.38,5024800,11.67
