Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,36.04,38.39,36.04,38.19,2894600,19.09
2009-01-05,37.87,38.2,37.44,38.14,2582600,19.07
2009-01-06,38.27,39.03,37.86,38.66,3014600,19.33
2009-01-07,38.14,38.38,37.04,37.26,3569800,18.63
2009-01-08,38.33,38.33,36.55,37.29,2305200,18.65
2009-01-09,37.37,37.37,35.82,36.09,2143800,18.05
2009-01-12,36.18,36.62,35.29,35.51,2574400,17.75
2009-01-13,35.56,35.98,35.31,35.67,2878200,17.83
2009-01-14,35.23,35.69,34.11,34.24,2814000,17.12
2009-01-15,34.22,34.83,33.56,34.59,3553000,17.3
2009-01-16,35.04,35.11,32.37,33.51,6222000,16.75
2009-01-20,33.73,33.9,31.65,31.67,3755200,15.84
2009-01-21,32.31,32.61,31.43,32.59,4731200,16.3
2009-01-22,31.78,32.56,31.35,31.88,5245600,15.94
2009-01-23,31.28,32.09,30.91,31.52,3508400,15.76
2009-01-26,31.45,32.46,31.38,31.95,2440200,15.98
2009-01-27,31.85,32.13,31.48,31.82,2733800,15.91
2009-01-28,32.33,33.73,32.06,33.36,4374800,16.68
2009-01-29,32.88,33.35,32.45,32.55,3085600,16.27
2009-01-30,32.83,33.08,31.66,31.75,3428000,15.88
2009-02-02,31.5,32.07,31.13,31.82,3824200,15.91
2009-02-03,32.01,33.07,31.39,32.94,4594400,16.47
2009-02-04,33.49,34.36,32.89,34.02,5995200,17.01
2009-02-05,33.44,35.37,33.09,35.17,7150400,17.58
2009-02-06,35.37,36.44,34.88,36.3,4695400,18.15
2009-02-09,36.14,36.82,35.7,36.38,2766600,18.19
2009-02-10,35.91,36.76,34.76,34.77,5385400,17.39
2009-02-11,35.2,35.72,34.65,35.22,3628200,17.61
2009-02-12,34.76,35.46,34.27,35.41,2804800,17.7
2009-02-13,36.08,36.08,35.02,35.27,2766200,17.64
2009-02-17,34.01,34.27,33.17,33.76,4117600,16.88
2009-02-18,34.13,34.36,33.33,33.6,3674600,16.8
2009-02-19,33.79,34.09,33.2,33.2,2901200,16.6
2009-02-20,33.27,33.84,32.86,33.42,3474000,16.71
2009-02-23,33.73,33.98,32.76,32.83,3835400,16.42
2009-02-24,33.05,34.31,32.92,34.24,6045200,17.12
2009-02-25,33.99,34.33,32.82,33.73,4332600,16.86
2009-02-26,34.03,34.06,32.7,32.74,4936600,16.37
2009-02-27,32.86,33.28,32.6,32.62,4988000,16.31
2009-03-02,32.61,32.98,32.0,32.02,4409800,16.01
2009-03-03,32.25,32.63,31.16,31.3,5024400,15.65
2009-03-04,31.58,32.26,31.3,31.93,4750000,15.97
2009-03-05,31.28,31.66,30.45,30.45,5159800,15.23
2009-03-06,30.67,31.29,30.15,30.7,5317800,15.35
2009-03-09,30.31,30.93,29.46,29.64,4432000,14.82
2009-03-10,30.12,31.33,29.53,31.33,6065400,15.66
2009-03-11,31.39,32.14,31.13,31.87,4708400,15.94
