Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,19.0,22.0,19.0,21.77,1884800,17.4
2009-01-05,20.83,22.04,20.75,22.0,1897500,17.58
2009-01-06,20.5,21.25,19.7,21.09,3074400,16.86
2009-01-07,20.61,21.09,20.2,21.03,1432700,16.81
2009-01-08,21.0,21.35,20.17,21.03,1206500,16.81
2009-01-09,21.05,21.31,20.2,20.37,995400,16.28
2009-01-12,20.29,20.3,17.9,18.27,2642700,14.6
2009-01-13,18.11,19.0,18.11,18.87,1866400,15.08
2009-01-14,18.6,18.87,17.4,17.63,1561200,14.09
2009-01-15,17.58,18.12,16.84,17.79,1341100,14.22
2009-01-16,18.11,18.35,17.26,17.88,1398600,14.29
2009-01-20,17.35,17.63,16.43,16.6,1950000,13.27
2009-01-21,16.75,17.83,16.62,17.75,1580900,14.19
2009-01-22,17.53,17.59,16.79,17.27,1258200,13.8
2009-01-23,17.18,18.28,16.96,17.71,1418500,14.15
2009-01-26,18.24,18.53,17.62,17.9,1249400,14.31
2009-01-27,17.81,18.36,17.76,18.26,1170800,14.59
2009-01-28,18.49,19.78,18.41,19.37,2053100,15.48
2009-01-29,19.04,19.43,18.13,18.42,1097400,14.72
2009-01-30,18.54,18.69,17.39,17.53,1248900,14.01
2009-02-02,17.25,17.62,16.77,17.12,1275900,13.68
2009-02-03,17.12,17.38,16.63,17.19,1561100,13.74
2009-02-04,17.3,17.78,17.3,17.44,1451300,13.94
2009-02-05,17.15,18.0,16.7,17.44,1917500,13.94
2009-02-06,17.35,17.79,17.3,17.55,1732600,14.03
2009-02-09,17.5,18.16,17.5,17.78,2666600,14.21
2009-02-10,17.97,18.0,16.85,17.06,1744200,13.63
2009-02-11,17.18,17.41,16.68,16.95,1435700,13.55
2009-02-12,17.52,17.7,16.93,17.65,1932200,14.11
2009-02-13,17.68,17.91,17.14,17.2,1509400,13.75
2009-02-17,16.88,16.9,15.93,16.3,1718000,13.03
2009-02-18,16.3,16.66,15.83,16.29,2085900,13.02
