Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,39.13,39.37,37.88,39.09,1834500,8.61
2009-01-05,39.46,39.87,38.65,39.16,1881000,8.62
2009-01-06,39.5,39.72,38.81,39.28,1800000,8.65
2009-01-07,38.87,39.72,38.13,38.52,2736900,8.48
2009-01-08,38.4,38.52,35.58,36.12,2949300,7.95
2009-01-09,35.94,36.5,34.33,34.74,2241300,7.65
2009-01-12,34.81,34.81,33.16,34.25,2232000,7.54
2009-01-13,34.1,34.55,32.9,33.2,1753500,7.31
2009-01-14,32.82,34.2,32.03,33.72,2342700,7.42
2009-01-15,33.94,34.95,33.22,34.81,1953300,7.66
2009-01-16,35.43,37.44,35.07,37.1,2754300,8.17
2009-01-20,37.0,38.19,36.46,37.19,4644000,8.19
2009-01-21,37.45,38.0,36.81,37.93,1412400,8.35
2009-01-22,37.33,38.5,37.21,38.3,1730700,8.43
2009-01-23,37.6,39.97,37.53,39.8,2331300,8.76
2009-01-26,39.21,40.58,38.96,39.55,5160900,8.71
2009-01-27,40.0,40.37,37.55,37.8,4215000,8.32
2009-01-28,38.36,40.21,38.11,39.85,5329800,8.77
2009-01-29,38.25,39.34,36.9,38.11,7843500,8.39
2009-01-30,38.1,38.85,37.7,38.26,2383500,8.42
2009-02-02,37.78,38.85,37.5,38.66,1825200,8.51
2009-02-03,38.69,42.89,38.69,42.38,5282400,9.33
2009-02-04,41.31,41.38,39.68,40.72,4848600,8.96
2009-02-05,40.39,41.4,39.79,41.1,1776900,9.05
2009-02-06,41.15,42.4,41.1,41.5,2060400,9.14
2009-02-09,41.4,42.76,40.9,42.49,2768400,9.35
2009-02-10,42.51,42.88,40.23,40.67,2848500,8.95
2009-02-11,40.7,41.2,39.5,40.5,2433000,8.92
2009-02-12,40.16,41.09,39.51,40.7,1452900,8.96
2009-02-13,40.85,41.97,40.56,41.4,1195500,9.11
2009-02-17,40.38,41.32,39.8,40.85,1383300,8.99
2009-02-18,42.4,42.4,39.5,40.19,1875000,8.85
2009-02-19,40.5,40.68,39.71,40.09,874800,8.83
2009-02-20,39.8,40.37,39.2,40.01,1907100,8.81
2009-02-23,39.03,39.99,36.17,36.43,4084200,8.02
2009-02-24,36.43,38.59,36.11,38.12,2242800,8.39
2009-02-25,37.83,38.12,36.37,36.39,2536200,8.01
