Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,36.51,38.12,36.17,37.99,703200,37.99
2009-01-05,37.76,38.33,36.9,38.0,1027300,38.0
2009-01-06,38.28,38.71,37.22,37.71,1427800,37.71
2009-01-07,37.06,37.51,36.7,36.98,857400,36.98
2009-01-08,36.95,37.33,36.47,36.96,920300,36.96
2009-01-09,37.0,37.06,35.99,36.75,869600,36.75
2009-01-12,36.81,36.94,36.05,36.37,956800,36.37
2009-01-13,36.4,37.29,36.16,37.09,708700,37.09
2009-01-14,36.56,36.87,36.08,36.27,1757500,36.27
2009-01-15,36.22,36.85,35.72,36.71,1251800,36.71
2009-01-16,36.87,36.92,36.2,36.54,1029500,36.54
2009-01-20,36.04,37.02,35.2,35.23,1049100,35.23
2009-01-21,35.96,37.03,35.55,36.93,1082800,36.93
2009-01-22,36.3,37.1,35.96,36.77,633100,36.77
2009-01-23,36.34,36.78,35.92,36.41,597100,36.41
2009-01-26,36.58,37.99,36.41,37.48,839600,37.48
2009-01-27,37.74,38.28,37.6,37.69,724200,37.69
2009-01-28,38.04,39.51,37.51,39.18,940400,39.18
2009-01-29,39.05,39.48,37.85,38.25,636200,38.25
2009-01-30,38.19,38.65,37.33,37.43,694500,37.43
2009-02-02,37.26,37.96,37.08,37.87,643400,37.87
2009-02-03,37.86,38.34,37.13,38.23,806400,38.23
2009-02-04,38.26,38.86,37.59,37.84,752200,37.84
2009-02-05,37.0,38.25,36.07,38.0,1482000,38.0
2009-02-06,38.11,39.35,37.46,39.21,1083900,39.21
2009-02-09,38.99,39.39,38.65,39.33,639700,39.33
2009-02-10,39.35,39.35,37.71,37.73,1137100,37.73
2009-02-11,38.0,38.5,37.58,37.79,820700,37.79
2009-02-12,37.26,38.23,36.97,38.19,981800,38.19
2009-02-13,38.13,38.55,37.6,37.92,538200,37.92
2009-02-17,37.12,37.4,36.43,36.98,900800,36.98
2009-02-18,36.87,37.4,36.45,36.86,820300,36.86
2009-02-19,37.68,38.53,37.39,38.24,1663300,38.24
2009-02-20,38.15,38.15,36.5,36.75,1443200,36.75
2009-02-23,36.93,37.06,36.01,36.03,1122700,36.03
2009-02-24,36.05,38.74,36.05,38.57,2131400,38.57
2009-02-25,38.09,38.55,36.79,37.21,1291600,37.21
2009-02-26,37.45,37.45,36.17,36.28,1513600,36.28
2009-02-27,36.19,37.59,36.0,36.68,1743600,36.68
