Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,26.05,26.87,25.55,26.85,944600,26.85
2009-01-05,26.8,27.86,26.25,27.48,1716100,27.48
2009-01-06,27.59,28.0,26.33,27.0,1954100,27.0
2009-01-07,26.54,26.7,25.05,25.61,1052900,25.61
2009-01-08,25.47,25.63,24.13,24.65,1642600,24.65
2009-01-09,24.97,25.05,23.29,23.43,2635600,23.43
2009-01-12,23.34,24.5,23.34,24.33,1834300,24.33
2009-01-13,24.33,26.12,24.01,25.73,2113600,25.73
2009-01-14,25.52,25.65,24.83,25.0,2294900,25.0
2009-01-15,24.93,29.08,24.75,28.17,4477700,28.17
2009-01-16,28.46,30.34,28.26,30.33,4476900,30.33
2009-01-20,30.25,30.3,27.21,27.34,3265200,27.34
2009-01-21,27.78,28.73,27.16,28.7,1894500,28.7
2009-01-22,28.1,28.1,26.79,27.44,2362700,27.44
2009-01-23,28.1,28.78,27.21,27.75,2829400,27.75
2009-01-26,27.81,28.78,27.23,27.57,1533600,27.57
2009-01-27,28.06,28.38,26.99,27.52,2280700,27.52
2009-01-28,27.85,29.0,27.81,28.45,2224900,28.45
2009-01-29,28.21,28.65,27.87,27.97,1630300,27.97
2009-01-30,28.0,28.21,26.68,27.36,1998500,27.36
2009-02-02,27.19,27.93,26.83,27.41,2604900,27.41
2009-02-03,28.92,28.92,27.21,27.99,3291500,27.99
2009-02-04,31.79,34.56,31.18,33.91,13703200,33.91
2009-02-05,33.58,35.24,33.29,34.58,3795000,34.58
2009-02-06,33.62,35.0,33.48,34.24,3365200,34.24
2009-02-09,34.24,35.5,34.01,35.13,2742800,35.13
2009-02-10,35.42,35.93,34.25,34.55,3075900,34.55
2009-02-11,34.62,35.5,34.5,34.85,1807200,34.85
2009-02-12,34.47,35.5,34.13,35.5,2073800,35.5
2009-02-13,35.49,36.61,35.1,35.91,1902300,35.91
2009-02-17,34.61,35.99,34.39,35.54,1855400,35.54
2009-02-18,35.59,35.64,33.59,33.87,2558400,33.87
2009-02-19,34.39,34.39,32.49,32.7,2484300,32.7
2009-02-20,32.28,33.39,31.74,33.08,2125600,33.08
2009-02-23,33.31,33.5,32.05,32.2,1125400,32.2
2009-02-24,32.14,33.56,32.05,33.39,1547000,33.39
2009-02-25,33.44,34.47,32.9,33.97,1976100,33.97
2009-02-26,33.97,34.34,32.07,32.16,1729500,32.16
2009-02-27,31.73,32.34,31.08,31.33,2065300,31.33
2009-03-02,30.92,31.14,29.67,30.19,2133200,30.19
2009-03-03,30.34,31.25,30.02,30.8,2261500,30.8
2009-03-04,31.55,32.84,31.19,32.31,1733200,32.31
2009-03-05,32.56,33.42,31.81,32.0,1771200,32.0
2009-03-06,32.43,32.99,31.3,31.98,1864400,31.98
2009-03-09,32.01,33.95,32.01,32.37,2541100,32.37
2009-03-10,32.75,34.51,32.38,34.0,2092100,34.0
2009-03-11,33.56,34.84,33.56,33.85,1955800,33.85
2009-03-12,34.16,36.47,33.82,36.35,3293200,36.35
2009-03-13,36.22,36.91,34.77,35.72,2361800,35.72
2009-03-16,36.95,36.95,34.44,34.55,1990300,34.55
2009-03-17,34.65,36.1,34.21,36.07,2196300,36.07
2009-03-18,35.69,36.82,35.62,36.35,1291700,36.35
2009-03-19,36.57,37.19,35.96,36.4,1777600,36.4
2009-03-20,36.49,36.49,35.4,35.41,1460000,35.41
2009-03-23,36.45,38.95,36.17,38.87,3131300,38.87
2009-03-24,38.54,38.54,37.54,37.7,1581300,37.7
2009-03-25,37.7,38.86,36.52,38.06,1306300,38.06
2009-03-26,38.26,38.26,37.05,38.07,1629600,38.07
