Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,126.38,132.7,126.38,132.41,694100,132.41
2009-01-05,128.59,131.45,125.03,125.54,1045100,125.54
2009-01-06,126.28,127.21,120.26,122.19,1123300,122.19
2009-01-07,120.5,123.48,116.5,117.88,1904200,117.88
2009-01-08,100.51,113.2,99.75,110.54,7318900,110.54
2009-01-09,109.97,110.0,101.05,101.8,2425200,101.8
2009-01-12,103.83,105.9,100.2,100.75,1801100,100.75
2009-01-13,99.76,104.27,98.42,102.65,1478400,102.65
2009-01-14,100.15,101.49,98.65,99.34,1911900,99.34
2009-01-15,99.84,102.5,96.17,100.68,1311100,100.68
2009-01-16,102.69,103.94,97.65,99.97,1334000,99.97
2009-01-20,100.48,101.89,94.22,94.65,1423400,94.65
2009-01-21,96.39,98.55,94.93,97.0,1426900,97.0
2009-01-22,97.99,97.99,91.57,96.01,2517300,96.01
2009-01-23,88.08,96.23,87.14,93.29,3194100,93.29
2009-01-26,94.79,101.5,93.31,99.05,2699300,99.05
2009-01-27,99.98,101.99,98.85,101.5,1295900,101.5
2009-01-28,102.68,106.92,100.3,104.96,2103900,104.96
2009-01-29,104.83,104.83,101.38,102.01,1039600,102.01
2009-01-30,102.06,106.8,101.08,103.23,1911300,103.23
2009-02-02,101.97,104.67,100.42,102.91,1376300,102.91
2009-02-03,103.95,114.58,101.35,112.53,4059200,112.53
2009-02-04,112.97,114.12,107.17,108.01,2316300,108.01
2009-02-05,107.38,112.0,105.51,110.68,1640000,110.68
2009-02-06,111.71,116.0,109.89,114.62,1218200,114.62
2009-02-09,114.51,115.5,110.39,114.19,1157100,114.19
2009-02-10,112.83,116.0,107.1,107.85,1226000,107.85
2009-02-11,108.23,109.55,103.74,108.16,1334500,108.16
2009-02-12,106.39,112.25,105.55,112.23,1178900,112.23
2009-02-13,111.99,113.44,110.56,112.09,780200,112.09
2009-02-17,106.2,108.99,105.73,107.27,1092300,107.27
2009-02-18,108.5,108.96,103.65,106.81,1012800,106.81
2009-02-19,109.98,109.98,106.99,107.0,983900,107.0
2009-02-20,106.17,108.1,103.09,106.01,1550800,106.01
2009-02-23,107.16,108.76,99.88,100.47,1149500,100.47
2009-02-24,99.27,104.24,97.65,103.67,1489600,103.67
2009-02-25,103.15,103.97,99.46,101.22,1153000,101.22
2009-02-26,102.78,103.8,95.67,96.24,1219900,96.24
2009-02-27,95.0,96.0,90.96,90.96,2089100,90.96
