Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,21.51,22.59,21.1,22.48,2376700,15.34
2009-01-05,22.11,22.71,21.87,22.4,3436900,15.29
2009-01-06,22.69,24.36,22.42,24.11,6339000,16.46
2009-01-07,23.46,23.55,22.22,22.49,4631200,15.35
2009-01-08,22.18,22.75,21.81,22.68,3333600,15.48
2009-01-09,22.77,22.77,21.85,22.05,3658400,15.05
2009-01-12,22.16,22.2,21.31,21.46,3340300,14.65
2009-01-13,20.92,22.15,20.74,21.28,6287700,14.52
2009-01-14,20.76,21.13,20.17,20.28,4302700,13.84
2009-01-15,20.43,20.85,19.48,20.57,5741500,14.04
2009-01-16,21.02,21.66,20.39,21.33,4462900,14.56
2009-01-20,21.29,21.4,19.53,19.54,4553100,13.34
2009-01-21,19.9,19.97,18.71,19.55,6307500,13.34
2009-01-22,19.47,19.47,17.97,18.45,8896800,12.59
2009-01-23,18.12,19.78,18.07,19.28,6897600,13.16
2009-01-26,19.39,19.66,18.74,19.15,4323200,13.07
2009-01-27,19.01,19.84,19.01,19.7,4782400,13.45
2009-01-28,19.95,20.5,19.91,20.37,4104500,13.9
2009-01-29,20.09,20.19,18.79,19.03,4975200,12.99
2009-01-30,19.82,21.22,19.65,20.04,8672300,13.68
2009-02-02,19.66,20.46,19.33,19.76,5394500,13.49
2009-02-03,19.76,19.94,19.05,19.4,5170200,13.24
2009-02-04,19.22,20.29,19.12,19.27,4802400,13.15
2009-02-05,18.88,20.16,18.73,19.81,4696600,13.52
2009-02-06,19.78,20.74,19.71,20.51,4020500,14.0
2009-02-09,20.54,21.02,20.03,20.72,6155200,14.14
2009-02-10,20.7,21.37,19.58,19.67,6843000,13.43
2009-02-11,19.68,19.89,19.04,19.42,4403700,13.26
2009-02-12,19.09,19.91,18.81,19.65,4908700,13.41
2009-02-13,19.63,20.15,19.58,19.7,3216700,13.45
2009-02-17,19.02,19.2,18.05,18.07,5936400,12.33
2009-02-18,18.31,18.58,17.61,18.02,6290000,12.3
2009-02-19,18.15,18.2,16.91,16.95,4353300,11.57
2009-02-20,16.76,17.56,16.48,17.35,6617300,11.84
2009-02-23,17.38,17.46,16.5,16.61,5626900,11.34
2009-02-24,16.69,17.44,16.62,17.33,4720300,11.83
2009-02-25,17.43,18.48,16.84,17.95,6984900,12.25
2009-02-26,17.98,18.55,17.5,17.56,6827700,12.09
2009-02-27,17.26,17.77,17.12,17.25,5163300,11.87
2009-03-02,16.94,17.19,16.23,16.28,5157700,11.21
2009-03-03,16.36,16.59,15.89,16.06,3774400,11.05
2009-03-04,16.16,17.03,16.16,16.77,5436800,11.54
2009-03-05,16.41,16.98,16.23,16.29,3902600,11.21
2009-03-06,16.31,16.69,15.28,15.63,5720100,10.76
2009-03-09,15.43,16.34,15.36,15.54,3774900,10.7
2009-03-10,15.98,16.66,15.66,16.64,4231600,11.45
2009-03-11,16.82,17.17,16.45,17.08,3384100,11.76
2009-03-12,16.99,17.85,16.77,17.79,3583100,12.25
2009-03-13,17.79,18.71,17.53,18.52,5123500,12.75
2009-03-16,18.66,19.19,18.37,18.63,7223000,12.82
2009-03-17,18.82,19.75,18.4,19.75,5876300,13.59
2009-03-18,19.68,20.76,19.2,20.5,7438000,14.11
2009-03-19,20.8,21.35,20.56,20.61,6315600,14.19
2009-03-20,20.79,20.9,19.29,19.51,7624400,13.43
2009-03-23,19.82,20.93,19.82,20.84,7968300,14.34
2009-03-24,20.64,20.64,20.1,20.15,4234300,13.87
2009-03-25,20.3,21.64,20.19,20.86,6693700,14.36
2009-03-26,21.17,22.16,20.98,22.14,4832900,15.24
2009-03-27,21.52,22.07,21.31,21.48,3597500,14.78
2009-03-30,20.97,21.16,19.84,20.09,6217300,13.83
2009-03-31,20.11,20.42,19.78,20.0,5092500,13.77
2009-04-01,19.64,20.56,19.45,20.34,4021000,14.0
2009-04-02,20.73,21.85,20.73,21.58,5291200,14.85
2009-04-03,21.5,23.39,21.35,23.1,7698900,15.9
2009-04-06,22.68,22.96,21.9,22.41,5349000,15.43
2009-04-07,21.96,22.07,21.24,21.4,3899100,14.73
2009-04-08,21.64,22.17,21.42,22.17,3497400,15.26
2009-04-09,22.59,23.8,22.46,23.69,5687100,16.31
2009-04-13,23.6,23.85,23.0,23.66,3990900,16.29
2009-04-14,23.75,24.72,23.45,23.91,6028100,16.46
2009-04-15,23.4,23.56,23.0,23.5,3955500,16.18
2009-04-16,23.89,24.61,23.44,24.49,3922400,16.86
2009-04-17,24.51,25.0,24.01,24.86,3735100,17.11
2009-04-20,24.35,24.4,23.35,23.45,5643600,16.14
2009-04-21,23.34,24.24,22.95,23.72,6249200,16.33
2009-04-22,23.52,26.35,23.23,25.78,9829800,17.74
2009-04-23,25.8,25.87,24.48,25.7,7886000,17.69
2009-04-24,25.22,25.97,24.68,25.83,6756500,17.78
2009-04-27,25.46,26.29,25.18,26.02,6715600,17.91
2009-04-28,25.99,26.54,25.3,26.27,6218800,18.08
