Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,15.92,17.54,15.85,17.28,7424200,8.83
2009-01-05,17.14,17.14,16.33,16.66,6366500,8.51
2009-01-06,16.84,18.21,16.71,18.04,6440200,9.22
2009-01-07,17.68,17.87,17.17,17.53,3870100,8.96
2009-01-08,17.49,19.78,17.34,19.61,8532500,10.02
2009-01-09,19.62,19.79,18.45,19.0,4998500,9.71
2009-01-12,18.99,19.0,17.56,17.79,3134500,9.09
2009-01-13,17.86,18.05,17.29,17.68,4043100,9.03
2009-01-14,17.5,17.83,16.87,17.26,3148600,8.82
2009-01-15,17.23,18.01,16.42,17.68,5789000,9.03
2009-01-16,17.88,18.28,17.07,17.95,3951900,9.17
2009-01-20,17.85,18.1,15.56,15.6,7714100,7.97
2009-01-21,15.86,16.36,15.75,16.31,9217800,8.33
2009-01-22,16.27,16.27,15.49,15.72,6162500,8.03
2009-01-23,15.71,15.74,14.88,15.06,9220400,7.7
2009-01-26,15.11,15.91,15.11,15.43,4507100,7.88
2009-01-27,15.39,15.89,14.97,15.09,6703500,7.71
2009-01-28,15.29,16.09,14.92,16.09,6555900,8.22
2009-01-29,15.84,16.07,15.26,15.33,3666200,7.83
2009-01-30,15.48,15.66,14.44,14.57,4389300,7.45
2009-02-02,14.55,15.06,14.16,14.66,5530400,7.49
2009-02-03,14.66,14.78,14.42,14.71,7032600,7.52
2009-02-04,14.61,15.31,14.08,14.38,5185200,7.35
2009-02-05,14.28,14.36,13.76,14.08,5834200,7.19
2009-02-06,14.08,15.15,14.08,14.95,5112600,7.64
2009-02-09,14.92,15.13,14.59,14.89,3040700,7.61
2009-02-10,14.73,15.08,13.72,13.84,6482300,7.07
2009-02-11,13.96,14.13,13.33,13.77,4375400,7.04
2009-02-12,13.48,14.04,13.14,14.03,4908700,7.17
2009-02-13,13.94,14.37,13.76,14.18,5076200,7.25
2009-02-17,13.57,14.28,12.32,12.6,7197800,6.44
2009-02-18,12.77,12.77,11.66,11.89,8283100,6.08
2009-02-19,12.0,13.03,11.4,11.44,9393200,5.85
2009-02-20,11.28,11.55,9.67,11.24,9841900,5.74
2009-02-23,11.1,11.42,10.75,10.85,7634600,5.54
2009-02-24,10.82,13.07,10.76,12.8,16574400,6.54
2009-02-25,12.34,12.95,12.11,12.57,10414700,6.42
2009-02-26,12.67,13.04,12.28,12.42,7825200,6.35
2009-02-27,12.23,12.76,12.04,12.27,8595700,6.27
2009-03-02,12.0,12.29,11.76,11.92,8204700,6.09
2009-03-03,12.16,12.45,11.5,11.63,7900600,5.94
2009-03-04,12.17,12.44,11.67,12.12,6168200,6.19
2009-03-05,11.87,12.06,11.09,11.19,7130700,5.72
2009-03-06,11.25,11.51,10.04,10.39,12322600,5.31
2009-03-09,10.21,10.75,9.11,9.37,13035900,4.79
2009-03-10,9.86,10.38,9.24,10.28,10869700,5.25
2009-03-11,10.33,10.82,10.23,10.64,7461000,5.44
2009-03-12,10.58,11.21,10.31,11.18,5077800,5.71
2009-03-13,11.11,11.6,10.88,11.29,5610100,5.77
2009-03-16,11.37,11.72,10.89,10.91,4516100,5.57
2009-03-17,11.45,12.66,11.3,12.34,10800400,6.31
2009-03-18,12.34,12.96,11.94,12.79,8113100,6.54
2009-03-19,12.74,13.11,12.63,12.93,7223200,6.61
2009-03-20,13.07,13.23,12.54,12.86,5999500,6.57
2009-03-23,13.34,14.13,13.21,14.05,8515800,7.18
2009-03-24,14.12,14.89,13.88,14.47,6522800,7.39
2009-03-25,14.48,15.11,14.13,14.69,8651700,7.51
2009-03-26,14.51,15.41,14.51,15.38,8237700,7.86
2009-03-27,15.1,15.75,14.88,15.26,5380700,7.8
2009-03-30,14.91,14.91,14.09,14.29,7363400,7.3
2009-03-31,14.6,14.87,14.33,14.56,5351000,7.44
2009-04-01,14.33,15.23,14.25,15.03,5688800,7.68
2009-04-02,15.24,16.0,15.11,15.82,11249600,8.08
2009-04-03,15.88,17.07,15.36,16.9,8562600,8.64
2009-04-06,16.61,17.15,16.55,17.03,5777600,8.7
2009-04-07,16.7,16.7,15.96,16.0,5785400,8.18
2009-04-08,16.72,16.72,16.05,16.51,4522600,8.44
2009-04-09,16.96,17.61,16.74,17.28,6399500,8.83
2009-04-13,16.98,17.21,16.47,17.11,3442300,8.74
2009-04-14,17.02,17.24,16.63,16.74,3652500,8.55
2009-04-15,16.65,16.99,16.46,16.9,2751300,8.64
2009-04-16,17.06,18.66,17.0,18.38,10866200,9.39
2009-04-17,18.21,18.28,17.28,18.01,7367700,9.2
2009-04-20,17.54,17.75,16.59,16.71,5633400,8.54
2009-04-21,16.56,17.51,16.56,17.22,4782700,8.8
2009-04-22,16.98,17.42,16.67,16.75,6972200,8.56
2009-04-23,16.64,16.75,16.07,16.28,6582500,8.32
2009-04-24,16.35,16.39,15.72,16.1,8321100,8.23
2009-04-27,15.89,16.49,15.6,15.97,6666300,8.16
2009-04-28,15.95,16.03,15.61,15.65,4335500,8.0
2009-04-29,15.82,16.63,15.82,16.21,4640200,8.28
2009-04-30,16.46,17.13,16.35,16.49,4481300,8.43
2009-05-01,16.43,16.95,16.16,16.7,3457000,8.53
2009-05-04,16.89,18.08,16.55,18.03,6457100,9.21
2009-05-05,18.05,18.31,17.58,18.3,7325400,9.35
2009-05-06,18.15,18.49,16.27,16.98,9418400,8.68
2009-05-07,16.9,17.55,16.26,16.39,6200700,8.38
2009-05-08,16.59,17.43,16.52,17.33,5082700,8.86
2009-05-11,16.96,17.45,16.55,16.83,3412400,8.6
2009-05-12,16.53,16.88,15.58,15.87,4866200,8.11
2009-05-13,15.68,15.91,14.77,14.82,5726500,7.57
2009-05-14,14.94,15.07,14.43,14.63,5725300,7.48
2009-05-15,14.63,15.04,14.33,14.46,3690500,7.39
2009-05-18,14.6,15.73,14.54,15.72,3723900,8.03
