Date,Open,High,Low,Close,Volume,Adj Close
2014-07-08,47.4,47.4,44.3,44.5,94600,33.64
2014-07-09,44.69,45.2,44.69,45.12,6500,34.1
2014-07-10,44.94,45.35,43.87,43.87,445900,33.16
2014-07-11,44.24,44.89,44.0,44.15,1055400,33.37
2014-07-14,44.27,44.83,44.0,44.5,1449700,33.64
2014-07-15,44.58,44.93,44.2,44.6,1405800,33.71
2014-07-16,44.89,48.69,44.89,45.3,1835300,34.24
2014-07-17,45.34,45.93,45.18,45.35,1684400,34.28
2014-07-18,45.25,46.0,44.19,45.5,1987500,34.39
2014-07-21,45.28,45.98,45.23,45.77,1560700,34.6
2014-07-22,45.78,46.23,45.7,45.7,1402000,34.54
2014-07-23,45.83,47.74,45.46,46.0,1970600,34.77
2014-07-24,47.0,48.74,46.14,47.27,5608600,35.73
2014-07-25,47.23,47.33,46.29,46.49,1799500,35.14
2014-07-28,46.95,47.38,46.18,46.4,1200400,35.07
2014-07-29,46.77,47.74,46.72,47.1,2179600,35.6
2014-07-30,47.5,47.99,46.89,47.82,2906100,36.15
2014-07-31,47.7,48.01,45.0,47.0,3187400,35.53
2014-08-01,46.84,47.79,45.63,46.54,1723500,35.18
2014-08-04,46.41,46.82,45.82,46.62,1275100,35.24
2014-08-05,46.0,46.9,46.0,46.33,1613900,35.02
2014-08-06,46.7,46.7,45.85,46.47,792200,35.12
2014-08-07,46.6,46.75,46.04,46.4,980700,35.07
2014-08-08,45.93,46.81,45.87,46.54,822000,35.18
2014-08-11,46.24,46.53,46.0,46.4,386600,35.07
2014-08-12,46.35,46.72,46.17,46.34,441700,35.03
2014-08-13,46.4,46.96,46.27,46.88,715300,35.43
2014-08-14,46.92,48.37,46.84,48.32,1782300,36.52
2014-08-15,49.61,49.61,48.32,48.89,1090200,36.95
2014-08-18,49.1,49.44,48.71,48.8,625200,36.89
2014-08-19,48.88,48.97,48.43,48.62,642800,36.75
2014-08-20,48.39,49.07,48.39,48.94,634000,36.99
2014-08-21,48.34,49.02,48.34,48.98,901200,37.02
2014-08-22,49.48,50.06,48.55,48.66,544500,36.78
2014-08-25,49.05,49.05,48.32,48.49,1988700,36.65
2014-08-26,48.67,48.89,48.0,48.1,933100,36.36
2014-08-27,48.04,48.66,48.03,48.34,1109300,36.54
2014-08-28,48.6,48.8,48.05,48.49,881600,36.65
2014-08-29,48.89,48.89,48.16,48.47,1596700,36.64
2014-09-02,47.99,48.73,47.95,48.71,899100,36.82
2014-09-03,48.89,49.02,48.27,48.7,1340200,36.81
2014-09-04,48.73,49.15,48.32,48.41,491100,36.59
2014-09-05,48.42,48.79,47.88,48.7,632700,36.81
2014-09-08,48.45,48.94,48.18,48.6,359900,36.73
2014-09-09,48.29,48.76,48.19,48.44,611900,36.61
2014-09-10,48.11,49.13,48.11,49.07,488300,37.09
2014-09-11,48.82,49.33,48.66,49.02,1362400,37.05
2014-09-12,48.87,49.15,48.44,48.79,426000,36.88
2014-09-15,48.95,49.02,48.5,48.67,506000,36.79
2014-09-16,48.37,48.97,48.37,48.85,361300,36.92
2014-09-17,49.0,49.47,48.9,49.19,858400,37.18
2014-09-18,48.97,49.25,48.76,49.12,1116900,37.13
2014-09-19,49.41,49.53,48.85,49.05,3354900,37.07
2014-09-22,48.71,49.24,47.19,47.41,1307300,35.84
2014-09-23,47.88,47.88,46.67,46.88,1933700,35.43
2014-09-24,46.82,47.14,46.27,47.06,1135400,35.57
2014-09-25,47.0,47.06,46.12,46.7,801200,35.3
2014-09-26,46.24,47.48,46.24,47.36,786300,35.8
2014-09-29,47.08,47.67,46.47,46.7,428700,35.3
2014-09-30,46.57,47.36,46.54,46.99,908000,35.52
2014-10-01,46.72,46.84,45.49,45.81,1203500,34.63
2014-10-02,46.49,47.01,44.95,45.81,946900,34.63
2014-10-03,45.99,46.68,45.81,46.59,1599900,35.22
2014-10-06,46.61,47.08,45.81,46.09,374700,34.84
2014-10-07,46.09,46.4,45.46,45.64,517800,34.5
2014-10-08,45.61,46.31,45.13,46.16,620000,34.89
2014-10-09,45.9,46.03,44.65,44.8,535000,33.86
2014-10-10,44.11,45.12,43.44,43.54,1361600,32.91
2014-10-13,42.8,43.22,42.17,42.26,1160900,31.94
2014-10-14,42.68,43.38,42.25,42.52,592200,32.14
2014-10-15,42.25,42.52,40.2,42.3,1119800,31.97
2014-10-16,41.62,42.6,40.81,42.21,1202100,31.9
2014-10-17,42.41,43.56,42.13,43.32,603700,32.74
2014-10-20,43.33,44.08,42.9,43.97,322800,33.24
2014-10-21,44.02,45.92,44.02,45.87,852100,34.67
2014-10-22,45.8,46.14,44.58,44.66,750100,33.76
2014-10-23,45.02,46.05,44.08,45.58,534600,34.45
2014-10-24,46.86,46.86,45.26,45.83,400600,34.64
2014-10-27,45.76,46.33,45.64,46.02,507000,34.78
2014-10-28,46.88,46.88,46.26,46.52,781900,35.16
2014-10-29,46.78,46.88,46.28,46.5,618100,35.15
2014-10-30,46.5,46.85,46.17,46.81,461500,35.38
2014-10-31,48.36,48.42,47.18,47.93,1219000,36.23
2014-11-03,47.96,48.33,47.71,48.27,514500,36.49
2014-11-04,48.21,48.44,47.61,48.15,1174400,36.39
2014-11-05,36.47,37.28,34.99,35.25,987000,35.25
2014-11-06,35.97,35.97,35.2,35.92,1061200,35.92
2014-11-07,36.23,36.39,35.51,35.68,851900,35.68
2014-11-10,35.85,35.95,35.05,35.19,1108700,35.19
2014-11-11,35.19,35.38,34.97,35.27,605000,35.27
2014-11-12,35.18,35.3,34.93,35.12,450400,35.12
2014-11-13,35.33,35.47,34.85,35.2,313100,35.2
2014-11-14,35.6,35.6,34.35,35.04,406800,35.04
2014-11-17,35.09,35.57,34.83,35.55,578700,35.55
2014-11-18,35.72,36.22,35.45,36.03,908200,36.03
2014-11-19,36.54,36.54,35.27,35.62,662400,35.62
2014-11-20,35.67,35.79,35.12,35.79,540600,35.79
2014-11-21,36.64,36.64,35.38,35.47,571800,35.47
2014-11-24,35.38,35.82,35.24,35.59,704100,35.59
2014-11-25,35.58,36.54,35.58,36.46,903200,36.46
2014-11-26,36.38,36.63,36.13,36.61,461100,36.61
