Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,22.32,22.89,21.87,22.81,3752500,19.05
2009-01-05,22.26,23.15,22.25,22.71,4731400,18.97
2009-01-06,22.8,23.9,22.75,23.76,4597900,19.85
2009-01-07,23.08,23.61,22.75,22.98,5757600,19.2
2009-01-08,22.92,23.28,22.51,23.26,4413700,19.43
2009-01-09,23.34,23.35,22.07,22.2,5777900,18.54
2009-01-12,21.98,22.21,21.42,21.69,5618900,18.12
2009-01-13,21.73,22.98,21.5,22.6,9683300,18.88
2009-01-14,21.7,22.58,21.52,21.67,11721400,18.1
2009-01-15,21.88,22.92,21.51,22.74,10397400,19.0
2009-01-16,22.91,23.95,22.9,23.94,10364000,20.0
2009-01-20,23.62,23.94,22.73,22.75,7579400,19.0
2009-01-21,23.12,23.4,22.3,23.37,5983800,19.52
2009-01-22,23.08,23.43,22.33,22.77,8980600,19.02
2009-01-23,22.41,23.41,22.36,23.16,9579700,19.35
2009-01-26,23.05,23.86,23.0,23.51,5073200,19.64
2009-01-27,23.76,24.7,23.42,24.42,5844600,20.4
2009-01-28,24.71,24.99,24.28,24.67,6612400,20.61
2009-01-29,24.64,24.65,23.75,23.9,5190100,19.96
2009-01-30,23.83,24.27,23.31,23.42,5644700,19.56
2009-02-02,23.11,24.04,22.9,23.84,6558700,19.91
2009-02-03,23.83,24.46,23.48,24.41,6661400,20.39
2009-02-04,24.43,24.92,24.09,24.28,9323000,20.28
2009-02-05,24.07,25.52,23.93,25.34,9966100,21.17
2009-02-06,25.4,25.93,25.13,25.77,8438100,21.53
2009-02-09,25.87,25.95,25.07,25.34,8778800,21.17
2009-02-10,25.15,25.49,24.19,24.27,9737600,20.27
2009-02-11,24.97,24.97,23.5,23.82,6555700,20.08
2009-02-12,23.55,24.4,23.45,24.2,7680600,20.4
2009-02-13,24.29,24.93,24.0,24.45,7028100,20.61
2009-02-17,23.58,23.95,23.17,23.22,6527000,19.57
2009-02-18,23.32,23.54,22.88,23.1,5001000,19.47
2009-02-19,23.17,23.33,22.24,22.24,6276600,18.75
2009-02-20,22.09,22.79,21.97,22.36,7715500,18.85
2009-02-23,22.52,22.69,21.57,21.67,6275400,18.27
