Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,19.52,20.37,19.5,20.06,6078200,17.54
2009-01-05,19.95,20.9,19.45,20.81,4017300,18.2
2009-01-06,20.95,22.12,20.83,21.63,5365700,18.91
2009-01-07,21.19,21.19,19.79,19.93,4898200,17.43
2009-01-08,20.6,20.67,19.67,20.45,5138100,17.88
2009-01-09,20.45,20.69,19.55,19.63,4651900,17.16
2009-01-12,19.55,19.99,18.6,18.81,4051000,16.45
2009-01-13,18.73,19.09,17.87,18.34,5153900,16.04
2009-01-14,18.15,18.15,17.0,17.2,5930600,15.04
2009-01-15,17.18,17.93,15.85,17.34,7289900,15.16
2009-01-16,17.65,18.09,17.44,17.84,4720900,15.6
2009-01-20,17.87,17.87,16.25,16.76,7688600,14.65
2009-01-21,17.02,17.52,16.53,17.48,5332400,15.28
2009-01-22,17.17,17.69,16.68,17.19,4414200,15.03
2009-01-23,16.71,17.67,16.6,17.19,4245100,15.03
2009-01-26,17.06,17.8,16.86,17.25,3056500,15.08
2009-01-27,17.47,17.86,17.1,17.38,3212800,15.2
2009-01-28,17.6,18.58,17.47,18.18,3821600,15.9
2009-01-29,17.8,18.0,16.79,16.88,3875700,14.76
2009-01-30,17.03,17.12,16.15,16.31,6211800,14.26
2009-02-02,15.93,16.13,15.33,15.58,5624700,13.62
2009-02-03,15.64,16.31,15.33,16.23,4891200,14.19
2009-02-04,16.16,16.34,15.48,15.58,5968700,13.62
2009-02-05,15.54,16.22,15.26,15.93,5477600,13.93
2009-02-06,16.27,16.58,15.84,16.4,3985200,14.34
2009-02-09,16.36,16.5,15.78,16.21,3846800,14.17
2009-02-10,16.04,16.5,14.95,15.05,6691500,13.16
2009-02-11,15.2,15.64,14.73,15.15,7070200,13.25
2009-02-12,13.97,15.84,13.97,15.73,15071600,13.75
2009-02-13,15.72,15.79,14.94,14.94,9038300,13.06
2009-02-17,14.65,15.08,14.21,14.85,8393000,12.98
2009-02-18,14.73,14.89,14.33,14.61,9563500,12.77
2009-02-19,14.57,15.1,14.35,14.51,9785700,12.69
2009-02-20,14.21,14.62,13.86,14.32,9365800,12.52
2009-02-23,14.47,14.65,13.69,13.77,7790000,12.04
2009-02-24,13.89,14.75,13.67,14.58,6961500,12.75
2009-02-25,14.35,14.69,13.82,14.15,5935800,12.37
2009-02-26,14.37,14.67,13.96,14.03,5071600,12.27
2009-02-27,13.75,14.61,13.66,14.16,7330300,12.38
2009-03-02,13.9,14.1,13.22,13.26,6859300,11.59
2009-03-03,13.46,13.92,13.18,13.57,9254600,11.86
2009-03-04,13.84,14.13,13.62,13.79,8586000,12.06
2009-03-05,13.47,13.75,12.67,13.02,7201200,11.38
2009-03-06,13.18,13.29,12.22,12.63,6183100,11.04
2009-03-09,12.45,13.37,12.39,12.96,6421200,11.33
2009-03-10,13.22,14.47,12.95,14.41,7943900,12.6
2009-03-11,14.51,15.12,14.25,14.69,5060200,12.84
2009-03-12,14.62,15.79,14.26,15.66,7174500,13.69
2009-03-13,15.66,15.94,15.09,15.48,6253200,13.53
2009-03-16,15.63,15.72,14.81,14.84,6192900,12.98
2009-03-17,14.84,15.22,14.65,15.19,8373900,13.28
2009-03-18,15.05,16.05,14.77,15.77,6002800,13.79
2009-03-19,15.76,15.95,15.29,15.89,8571700,13.89
2009-03-20,15.97,16.08,15.21,15.67,9223100,13.7
2009-03-23,16.04,17.14,15.51,17.11,7735500,14.96
2009-03-24,16.82,17.61,16.59,17.3,7078700,15.13
2009-03-25,17.55,18.13,16.36,16.99,7486800,14.86
2009-03-26,17.14,17.98,17.0,17.88,4069400,15.63
2009-03-27,17.72,17.72,16.89,17.05,4575000,14.91
2009-03-30,16.65,16.65,16.04,16.23,5679800,14.26
2009-03-31,16.51,16.75,15.97,16.36,4603200,14.38
2009-04-01,16.17,17.0,16.06,16.93,3926400,14.88
2009-04-02,17.28,18.65,17.12,18.43,8860700,16.2
2009-04-03,18.49,19.37,18.38,19.37,9207400,17.02
2009-04-06,19.11,19.41,18.73,19.09,8569500,16.78
2009-04-07,18.73,18.73,18.05,18.18,7926400,15.98
2009-04-08,18.2,18.51,18.13,18.43,5919300,16.2
2009-04-09,18.98,19.56,18.82,19.19,6328600,16.87
2009-04-13,19.02,19.63,18.62,19.36,8753900,17.02
2009-04-14,19.09,19.5,18.78,19.02,7619400,16.72
2009-04-15,18.9,18.9,18.41,18.71,7322300,16.44
2009-04-16,18.88,19.57,18.57,19.37,5984000,17.02
2009-04-17,19.25,19.87,19.0,19.7,5628800,17.31
2009-04-20,19.35,19.35,18.24,18.47,7817300,16.23
2009-04-21,18.45,18.97,18.1,18.88,7418400,16.59
2009-04-22,18.07,20.19,18.01,19.59,11741500,17.22
2009-04-23,20.83,22.16,20.78,22.0,15054700,19.34
2009-04-24,21.11,22.44,21.11,22.3,13751800,19.6
2009-04-27,21.11,21.89,20.65,21.17,13572000,18.61
2009-04-28,20.6,21.58,20.33,20.76,7678800,18.25
2009-04-29,21.39,23.11,21.25,22.84,10538800,20.07
2009-04-30,23.15,24.5,22.87,23.56,13656100,20.71
2009-05-01,23.4,23.62,22.53,22.64,7983700,19.9
2009-05-04,22.9,24.08,22.82,23.98,10364800,21.08
2009-05-05,23.91,24.48,23.68,24.31,11053300,21.37
2009-05-06,24.59,24.69,23.67,24.24,9171300,21.3
2009-05-07,24.43,24.46,22.76,22.94,10181300,20.16
2009-05-08,23.3,24.0,22.8,23.92,7288100,21.02
2009-05-11,23.48,24.01,23.09,23.38,6113800,20.55
2009-05-12,23.32,23.75,22.08,22.69,7458100,19.94
2009-05-13,22.22,22.26,21.16,21.27,8142500,18.69
2009-05-14,21.3,22.05,20.89,21.61,5393500,18.99
