Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.06,16.85,16.06,16.65,3141900,13.38
2009-01-05,16.65,16.65,16.25,16.35,5104200,13.14
2009-01-06,16.45,16.56,16.0,16.3,3596800,13.1
2009-01-07,16.06,16.33,15.9,16.02,2965400,12.87
2009-01-08,15.99,15.99,15.53,15.79,5135600,12.69
2009-01-09,15.69,15.79,15.27,15.35,2448200,12.34
2009-01-12,15.29,15.43,15.08,15.19,3485700,12.21
2009-01-13,15.13,15.39,15.01,15.31,4398000,12.3
2009-01-14,15.11,15.22,14.81,15.14,4248000,12.17
2009-01-15,15.1,15.73,15.03,15.56,4292200,12.51
2009-01-16,15.75,15.84,15.25,15.63,3819200,12.56
2009-01-20,15.64,15.69,14.99,15.03,4747300,12.08
2009-01-21,15.05,15.5,14.92,15.47,4680200,12.43
2009-01-22,15.39,15.63,15.03,15.4,3964300,12.38
2009-01-23,15.23,15.39,14.95,15.19,3802300,12.21
2009-01-26,15.38,15.68,14.83,15.03,3940000,12.08
2009-01-27,15.23,15.44,14.87,15.04,3229200,12.09
2009-01-28,15.22,15.51,15.15,15.39,2934300,12.37
2009-01-29,15.25,15.37,14.74,14.78,2908800,11.88
2009-01-30,14.55,14.87,14.0,14.19,4526100,11.4
2009-02-02,12.06,12.26,11.29,11.9,18519200,9.56
2009-02-03,11.71,12.61,11.71,12.46,8637500,10.01
2009-02-04,12.47,12.55,11.99,12.13,7202700,9.75
2009-02-05,12.07,12.76,12.01,12.68,6954600,10.19
2009-02-06,12.67,13.1,12.63,12.91,4140300,10.38
2009-02-09,12.9,13.36,12.8,13.11,3712000,10.54
2009-02-10,13.01,13.18,12.49,12.54,4305000,10.08
2009-02-11,12.58,12.75,12.47,12.61,3340000,10.13
2009-02-12,12.43,12.55,12.05,12.5,3845900,10.05
2009-02-13,12.49,12.62,12.16,12.21,3719000,9.81
2009-02-17,11.89,12.34,11.89,12.11,5485000,9.73
2009-02-18,12.16,12.16,11.91,12.01,3727800,9.65
2009-02-19,12.05,12.24,11.97,12.0,3587200,9.64
2009-02-20,11.94,12.23,11.77,12.05,4801300,9.68
2009-02-23,12.13,12.19,11.79,11.84,4738800,9.52
2009-02-24,11.9,12.28,11.83,12.15,3697700,9.76
2009-02-25,12.07,12.29,11.81,12.01,4377800,9.65
2009-02-26,12.14,12.25,11.71,11.79,3365000,9.48
2009-02-27,11.59,12.14,11.5,11.84,4543700,9.52
2009-03-02,11.7,11.84,11.29,11.29,4621400,9.07
2009-03-03,11.47,11.57,10.68,10.72,7349000,8.62
2009-03-04,10.97,11.13,10.61,10.92,8287700,8.78
2009-03-05,10.89,10.9,10.36,10.45,5187500,8.4
2009-03-06,10.48,10.83,10.37,10.82,5840600,8.7
2009-03-09,10.84,10.9,10.5,10.59,4252500,8.51
2009-03-10,10.68,11.18,10.63,11.18,4334500,8.99
2009-03-11,11.13,11.26,10.8,10.9,3915200,8.76
2009-03-12,10.86,11.49,10.7,11.44,2775200,9.19
2009-03-13,11.46,11.54,11.27,11.54,2178900,9.27
2009-03-16,11.59,11.65,10.92,11.06,4342900,8.89
2009-03-17,10.94,11.49,10.94,11.49,2536100,9.23
2009-03-18,11.46,11.88,11.24,11.7,3636500,9.4
2009-03-19,11.77,11.82,11.25,11.28,3818800,9.07
2009-03-20,11.32,11.38,10.95,11.01,3991000,8.85
2009-03-23,11.21,11.65,11.02,11.65,2842900,9.36
2009-03-24,11.6,11.98,11.55,11.82,3880600,9.5
2009-03-25,11.91,12.4,11.82,11.84,6725400,9.52
2009-03-26,12.04,12.52,11.82,12.45,7501900,10.01
2009-03-27,12.44,12.44,11.98,12.09,5676500,9.72
2009-03-30,12.2,12.2,11.43,11.56,4906200,9.29
2009-03-31,11.6,11.79,11.41,11.53,4293700,9.27
2009-04-01,11.57,12.02,11.27,11.92,4624300,9.58
2009-04-02,12.1,12.99,12.04,12.73,4576700,10.23
2009-04-03,12.77,12.95,12.63,12.95,2548000,10.41
2009-04-06,12.88,12.92,12.58,12.86,2218400,10.34
2009-04-07,12.79,12.79,12.47,12.54,2419600,10.08
2009-04-08,12.59,12.81,12.47,12.76,1801800,10.25
2009-04-09,12.96,13.4,12.87,13.35,2501600,10.73
2009-04-13,13.23,13.28,12.93,13.16,2107600,10.58
2009-04-14,13.08,13.17,12.52,12.53,3899400,10.07
2009-04-15,12.54,12.63,12.36,12.6,3332400,10.13
2009-04-16,12.69,13.13,12.54,13.03,3707000,10.47
2009-04-17,13.7,15.17,13.6,15.01,9302700,12.06
2009-04-20,14.85,15.43,14.59,14.86,7913700,11.94
2009-04-21,14.81,15.07,14.59,14.69,7700700,11.81
2009-04-22,14.73,15.21,14.43,14.81,3640300,11.9
2009-04-23,14.67,14.87,14.26,14.79,4143500,11.89
2009-04-24,14.92,15.26,14.78,15.09,2920500,12.13
2009-04-27,14.75,14.98,14.53,14.68,4138600,11.8
2009-04-28,14.5,15.1,14.05,14.85,4749800,11.93
2009-04-29,14.94,15.43,14.8,15.25,3744200,12.26
2009-04-30,15.34,15.39,14.89,14.96,3362200,12.02
2009-05-01,14.98,15.09,14.66,15.02,2747700,12.07
2009-05-04,15.05,15.48,15.02,15.46,3259500,12.42
2009-05-05,15.44,15.82,15.37,15.76,3119600,12.67
2009-05-06,15.9,15.9,15.35,15.59,3506100,12.53
2009-05-07,15.66,15.68,15.06,15.23,2837600,12.24
2009-05-08,15.41,15.58,14.99,15.52,3399100,12.47
2009-05-11,15.35,15.37,14.67,15.03,4298100,12.08
2009-05-12,15.07,15.19,14.67,14.84,3396700,11.93
2009-05-13,14.69,14.8,14.02,14.11,3433300,11.34
2009-05-14,14.1,14.33,14.0,14.08,2681300,11.32
2009-05-15,14.08,14.28,13.88,13.94,2477800,11.2
2009-05-18,14.11,14.6,14.05,14.59,2177300,11.73
2009-05-19,14.52,14.93,14.45,14.81,3222100,11.9
2009-05-20,14.88,14.96,14.49,14.56,3080300,11.7
2009-05-21,14.4,14.46,13.93,14.21,2778200,11.42
2009-05-22,14.26,14.36,13.91,13.96,1662600,11.22
2009-05-26,13.96,14.92,13.96,14.85,3623300,11.93
2009-05-27,14.77,14.94,14.6,14.65,3129600,11.77
2009-05-28,14.75,14.91,14.5,14.79,3822400,11.89
2009-05-29,14.86,15.61,14.82,15.61,4056500,12.55
2009-06-01,15.75,16.49,15.67,16.32,3446600,13.12
2009-06-02,16.25,16.46,16.19,16.3,1712400,13.1
2009-06-03,16.18,16.5,16.14,16.49,2705900,13.25
2009-06-04,16.66,16.66,16.12,16.46,2054300,13.23
2009-06-05,16.65,16.75,16.27,16.35,2134400,13.14
2009-06-08,16.34,16.38,15.92,16.16,1716700,12.99
2009-06-09,16.24,16.33,16.0,16.26,1427800,13.07
2009-06-10,16.39,16.51,16.17,16.33,2497100,13.12
2009-06-11,16.39,16.67,16.3,16.52,2719200,13.28
2009-06-12,16.27,16.43,16.0,16.28,1720600,13.08
2009-06-15,16.16,16.2,15.53,15.8,2336300,12.7
2009-06-16,15.87,16.2,15.61,15.66,2866900,12.59
2009-06-17,15.62,15.91,15.47,15.79,3563700,12.69
2009-06-18,15.75,16.4,15.73,16.36,3987300,13.15
2009-06-19,16.52,16.74,16.33,16.4,4410300,13.18
2009-06-22,16.27,16.35,15.94,15.99,3818500,12.85
2009-06-23,16.01,16.1,15.63,15.72,2896900,12.63
2009-06-24,15.83,16.08,15.64,15.78,3384000,12.68
2009-06-25,15.74,16.2,15.66,16.1,2936000,12.94
2009-06-26,16.08,16.12,15.87,15.94,6846500,12.81
2009-06-29,16.02,16.17,15.68,16.11,3721000,12.95
2009-06-30,16.29,16.29,15.85,16.05,4224200,12.9
2009-07-01,16.14,16.5,16.02,16.36,3059800,13.15
2009-07-02,16.17,16.36,15.6,15.6,2888900,12.54
2009-07-06,15.59,15.67,15.26,15.62,2488900,12.55
2009-07-07,15.48,15.59,15.28,15.35,1976200,12.34
2009-07-08,15.37,15.37,15.07,15.23,2488300,12.24
2009-07-09,15.32,15.54,15.11,15.45,2890100,12.42
2009-07-10,15.31,15.49,15.07,15.19,2741800,12.21
2009-07-13,15.19,15.45,15.03,15.42,3401900,12.39
2009-07-14,15.41,15.77,15.28,15.77,3048500,12.67
2009-07-15,15.93,16.28,15.37,16.28,3658800,13.08
2009-07-16,16.24,16.3,15.85,16.19,3432000,13.01
2009-07-17,16.9,17.5,16.64,17.42,9481600,14.0
2009-07-20,17.54,18.22,17.54,18.11,6133000,14.55
2009-07-21,18.07,18.34,17.62,18.0,4149900,14.47
2009-07-22,17.96,18.03,17.55,17.6,3716200,14.14
2009-07-23,17.76,17.98,17.49,17.75,5681400,14.27
2009-07-24,17.75,17.81,17.44,17.69,2446800,14.22
2009-07-27,17.7,17.74,17.28,17.41,2332000,13.99
2009-07-28,17.35,17.49,17.26,17.38,2286200,13.97
