Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,11.48,12.32,11.42,12.28,3426800,9.76
2009-01-05,12.15,12.17,11.69,11.8,2452500,9.38
2009-01-06,12.01,12.74,11.65,12.68,4469300,10.08
2009-01-07,12.4,12.44,11.81,12.23,2802400,9.72
2009-01-08,12.18,12.21,11.92,12.16,4387400,9.67
2009-01-09,12.31,12.32,11.91,12.15,2385400,9.66
2009-01-12,12.15,12.23,11.81,12.12,3846500,9.63
2009-01-13,12.21,12.49,11.99,12.29,3830300,9.77
2009-01-14,12.0,12.1,11.76,11.79,2903400,9.37
2009-01-15,11.77,12.22,11.58,11.84,2373500,9.41
2009-01-16,11.95,12.33,11.88,12.26,4114400,9.75
2009-01-20,11.91,12.39,11.38,11.38,2262900,9.05
2009-01-21,11.52,11.69,11.21,11.69,2628400,9.29
2009-01-22,11.51,12.26,11.25,11.87,4929900,9.44
2009-01-23,11.67,13.14,11.6,12.94,6951700,10.29
2009-01-26,12.93,13.86,12.93,13.37,6725200,10.63
2009-01-27,13.31,13.84,13.31,13.66,5441900,10.86
2009-01-28,13.21,13.66,13.15,13.56,6837000,10.78
2009-01-29,13.5,13.57,12.78,12.87,5719200,10.23
2009-01-30,12.6,13.42,12.15,13.23,7959600,10.52
2009-02-02,13.05,13.23,12.6,12.94,5507100,10.29
2009-02-03,13.01,13.46,12.77,13.44,3614900,10.68
2009-02-04,13.44,13.92,13.06,13.23,3652900,10.52
2009-02-05,12.8,13.71,12.8,13.66,6005800,10.86
2009-02-06,13.72,14.04,13.47,13.87,3709500,11.03
2009-02-09,13.89,13.98,13.65,13.78,3684800,10.95
2009-02-10,13.81,13.87,13.28,13.28,4773100,10.56
2009-02-11,13.59,13.69,12.97,13.19,3846700,10.49
2009-02-12,13.09,13.46,12.88,13.34,4088600,10.6
2009-02-13,13.37,13.7,12.99,13.44,4093000,10.68
2009-02-17,13.07,13.17,12.77,12.82,3653300,10.19
2009-02-18,12.63,12.81,12.3,12.5,3777100,10.09
2009-02-19,12.6,12.75,12.08,12.08,3407600,9.76
2009-02-20,12.18,12.41,12.04,12.23,3871100,9.88
2009-02-23,12.19,12.28,11.88,11.91,3337600,9.62
2009-02-24,12.0,12.2,11.94,12.14,4362900,9.8
2009-02-25,12.12,12.28,11.81,12.01,5877100,9.7
2009-02-26,12.09,12.25,11.94,12.0,5766400,9.69
2009-02-27,12.25,12.4,11.95,12.1,3972500,9.77
2009-03-02,12.18,12.27,11.33,11.5,4639700,9.29
2009-03-03,11.65,11.74,11.01,11.15,7542300,9.0
2009-03-04,11.23,11.71,11.14,11.48,5658800,9.27
2009-03-05,11.5,11.69,11.23,11.33,3223500,9.15
2009-03-06,11.58,11.86,11.31,11.49,6310200,9.28
2009-03-09,11.53,11.83,11.12,11.12,5529000,8.98
2009-03-10,11.24,11.83,11.12,11.78,4582900,9.51
2009-03-11,11.8,12.18,11.69,11.87,4290400,9.59
2009-03-12,11.86,12.45,11.79,12.2,6171500,9.85
2009-03-13,12.41,12.79,12.06,12.49,9653600,10.09
2009-03-16,12.9,12.9,12.4,12.46,5536800,10.06
2009-03-17,12.46,12.83,12.4,12.76,4676800,10.3
2009-03-18,12.39,13.19,12.32,13.14,6634000,10.61
2009-03-19,13.2,13.57,13.09,13.56,8263400,10.95
2009-03-20,13.61,13.86,12.99,13.15,7926500,10.62
2009-03-23,13.56,13.83,13.18,13.79,7793400,11.14
2009-03-24,13.63,13.79,13.37,13.39,3686400,10.81
2009-03-25,13.42,13.86,13.16,13.48,5126400,10.89
2009-03-26,13.57,14.19,13.53,14.11,8616800,11.39
2009-03-27,13.79,14.03,13.56,13.57,5845800,10.96
2009-03-30,13.37,13.48,13.14,13.3,5331500,10.74
2009-03-31,13.34,13.37,12.94,13.21,7077400,10.67
2009-04-01,13.19,13.71,12.89,13.52,16487400,10.92
2009-04-02,13.77,13.92,13.42,13.62,12475400,11.0
2009-04-03,13.36,13.71,13.04,13.57,8060300,10.96
2009-04-06,13.45,13.55,13.01,13.55,7510600,10.94
2009-04-07,13.49,13.5,13.11,13.34,6871800,10.77
2009-04-08,13.48,13.54,13.16,13.51,6980800,10.91
2009-04-09,13.6,14.45,13.6,14.25,13767000,11.51
2009-04-13,14.01,14.19,13.78,14.11,6027000,11.39
2009-04-14,14.25,14.46,13.95,14.05,9801500,11.35
2009-04-15,13.97,14.43,13.85,14.12,12952900,11.4
2009-04-16,14.36,14.51,14.18,14.42,9641700,11.65
2009-04-17,14.41,14.73,14.05,14.61,6983500,11.8
2009-04-20,14.14,14.44,13.89,13.96,6097700,11.27
2009-04-21,13.9,14.12,13.61,13.86,8152900,11.19
2009-04-22,13.78,14.21,13.53,13.94,12171000,11.26
2009-04-23,13.7,13.9,13.39,13.84,8581900,11.18
2009-04-24,13.9,14.27,13.82,14.02,7062600,11.32
2009-04-27,13.74,14.17,13.5,13.7,5280100,11.06
2009-04-28,13.52,13.78,13.36,13.41,6552400,10.83
2009-04-29,13.5,13.76,13.43,13.47,7630900,10.88
2009-04-30,13.61,13.86,13.5,13.55,11306300,10.94
2009-05-01,14.09,14.86,13.76,14.64,14330800,11.82
2009-05-04,14.85,15.45,14.71,15.31,8557700,12.36
2009-05-05,15.27,15.27,14.72,14.97,4004200,12.09
2009-05-06,15.08,15.25,14.47,14.95,6261900,12.07
2009-05-07,15.01,15.13,14.06,14.33,4463000,11.57
2009-05-08,14.39,14.4,13.7,14.02,5905600,11.32
2009-05-11,13.95,14.02,13.71,13.97,6478300,11.28
2009-05-12,13.85,13.89,13.35,13.58,9856700,10.97
2009-05-13,13.46,13.76,13.38,13.64,7175800,11.02
2009-05-14,13.9,14.27,13.68,14.19,6422900,11.46
2009-05-15,14.2,14.51,13.84,14.06,7524000,11.35
2009-05-18,14.01,14.41,13.85,14.41,4117400,11.64
2009-05-19,14.57,15.04,14.36,14.92,8842400,12.05
2009-05-20,15.2,15.56,14.85,14.96,6039400,12.25
2009-05-21,14.92,15.31,14.42,14.68,5632100,12.02
2009-05-22,14.76,15.41,14.68,15.25,5505800,12.48
2009-05-26,14.66,16.05,14.66,16.05,10931900,13.14
2009-05-27,15.9,16.01,15.48,15.58,6367200,12.75
2009-05-28,15.9,16.14,15.43,16.1,8085200,13.18
2009-05-29,16.12,16.32,15.72,16.23,23326200,13.28
2009-06-01,16.1,16.76,16.01,16.68,7695200,13.65
2009-06-02,16.66,16.77,15.97,16.16,5981200,13.23
2009-06-03,16.14,16.19,15.58,15.75,6145000,12.89
2009-06-04,15.74,16.18,15.69,16.06,5414000,13.15
2009-06-05,16.05,16.15,15.48,15.67,7343200,12.83
2009-06-08,15.72,16.24,15.5,16.07,5405300,13.15
2009-06-09,16.45,16.82,16.35,16.74,5689200,13.7
2009-06-10,16.7,16.74,16.17,16.54,3727900,13.54
2009-06-11,16.48,16.94,16.48,16.6,3482000,13.59
2009-06-12,16.49,16.62,16.26,16.51,4514600,13.51
2009-06-15,16.42,16.54,15.76,16.31,3238900,13.35
2009-06-16,16.53,16.53,15.84,15.97,4693100,13.07
2009-06-17,16.08,16.18,15.6,15.99,6520400,13.09
2009-06-18,15.96,16.05,15.57,15.76,5062300,12.9
2009-06-19,15.82,16.17,15.7,16.1,4536300,13.18
2009-06-22,15.48,15.91,15.35,15.57,3984200,12.74
2009-06-23,15.5,15.8,15.26,15.7,4534100,12.85
2009-06-24,15.8,16.22,15.71,16.14,5624600,13.21
2009-06-25,16.04,16.72,15.91,16.6,8973700,13.59
2009-06-26,16.55,16.68,15.61,16.12,40231200,13.19
2009-06-29,16.13,16.18,15.66,15.8,5770400,12.93
2009-06-30,15.95,16.06,15.54,15.69,4547300,12.84
2009-07-01,15.98,16.34,15.89,16.09,6157400,13.17
2009-07-02,15.89,15.9,15.44,15.62,5137500,12.79
2009-07-06,15.58,15.83,15.36,15.71,4633200,12.86
2009-07-07,15.76,15.97,15.37,15.41,4195200,12.61
2009-07-08,15.38,15.46,14.96,15.17,4158400,12.42
2009-07-09,15.28,15.81,15.21,15.75,5233000,12.89
2009-07-10,15.75,16.05,15.56,15.89,3740400,13.01
2009-07-13,16.0,16.4,15.65,16.28,4970100,13.33
2009-07-14,16.26,16.53,16.2,16.43,4511800,13.45
2009-07-15,16.91,17.03,16.69,16.91,3838900,13.84
2009-07-16,16.81,17.3,16.72,17.25,3851100,14.12
2009-07-17,17.33,17.41,16.95,17.38,3221500,14.23
2009-07-20,17.49,17.79,17.16,17.76,4905200,14.54
2009-07-21,17.77,17.77,16.96,17.23,6004000,14.1
2009-07-22,17.19,17.81,17.1,17.67,5881600,14.46
2009-07-23,17.88,18.1,17.57,17.95,3993000,14.69
2009-07-24,17.7,17.75,17.35,17.68,3601500,14.47
2009-07-27,17.6,17.88,17.52,17.68,2638600,14.47
2009-07-28,17.5,17.82,17.49,17.74,4181100,14.52
2009-07-29,17.67,17.94,17.57,17.82,3010300,14.59
2009-07-30,18.09,18.5,17.82,17.94,4123100,14.68
2009-07-31,17.92,18.11,17.67,17.72,3217400,14.5
2009-08-03,18.03,18.4,17.74,18.34,4244000,15.01
2009-08-04,18.16,18.25,17.92,18.04,3785300,14.77
