Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,26.93,27.44,26.56,27.34,7794200,15.24
2009-01-05,27.23,27.76,27.22,27.62,10196400,15.4
2009-01-06,27.63,28.06,27.41,27.78,10244500,15.49
2009-01-07,27.44,27.97,27.44,27.76,11029200,15.47
2009-01-08,27.69,28.12,27.68,27.99,13669700,15.6
2009-01-09,28.08,28.25,27.72,27.78,8161500,15.49
2009-01-12,27.78,28.61,27.56,28.53,13798000,15.9
2009-01-13,28.57,29.05,28.57,28.82,12474700,16.07
2009-01-14,28.43,28.54,27.75,27.99,13733700,15.6
2009-01-15,28.12,28.16,27.38,28.07,13851500,15.65
2009-01-16,28.4,28.79,28.17,28.64,12432800,15.96
2009-01-20,28.64,28.93,28.17,28.22,11162800,15.73
2009-01-21,28.44,28.57,27.84,28.33,23904500,15.79
2009-01-22,28.0,28.91,27.88,28.91,16888500,16.12
2009-01-23,28.5,28.77,28.11,28.67,11483400,15.98
2009-01-26,28.94,29.19,28.59,28.85,9172100,16.08
2009-01-27,28.81,29.3,28.73,29.15,10557200,16.25
2009-01-28,29.54,29.84,29.21,29.57,10587700,16.48
2009-01-29,29.39,29.82,29.19,29.28,9651800,16.32
2009-01-30,29.21,29.28,27.88,28.05,17533200,15.64
2009-02-02,27.67,28.4,27.62,28.24,11927800,15.74
2009-02-03,28.47,28.87,28.0,28.74,8647000,16.02
2009-02-04,26.09,26.79,25.9,26.11,26372300,14.55
2009-02-05,26.01,26.22,25.62,26.0,14236300,14.49
2009-02-06,26.08,26.47,25.92,26.34,11156800,14.68
2009-02-09,26.31,26.34,25.82,25.88,8687400,14.43
2009-02-10,25.72,25.88,24.83,24.98,13997600,13.92
2009-02-11,25.18,25.29,24.85,25.11,10631600,14.0
2009-02-12,24.77,25.5,24.61,25.47,18134100,14.2
2009-02-13,25.44,25.47,25.16,25.2,10227800,14.05
2009-02-17,24.49,25.03,24.31,24.72,13847400,13.78
2009-02-18,24.84,24.9,24.19,24.32,11156800,13.56
2009-02-19,24.47,24.9,24.26,24.33,9212300,13.56
2009-02-20,23.85,24.0,23.28,23.51,15247800,13.11
2009-02-23,23.62,24.09,22.92,22.96,11432000,12.8
2009-02-24,23.15,23.75,22.91,23.72,15885500,13.22
2009-02-25,23.64,24.2,23.58,23.84,17610800,13.29
2009-02-26,24.09,24.09,22.86,22.87,11645400,12.75
2009-02-27,22.49,23.0,22.45,22.78,14641100,12.7
2009-03-02,22.43,22.63,22.03,22.12,12795600,12.33
2009-03-03,22.16,22.26,21.75,21.94,14104700,12.23
2009-03-04,22.22,22.33,21.53,21.95,12724600,12.24
2009-03-05,21.35,21.6,20.81,21.0,13954200,11.71
2009-03-06,21.2,21.69,21.13,21.62,14208500,12.05
2009-03-09,21.44,21.62,21.16,21.23,10011900,11.83
2009-03-10,21.35,21.8,21.3,21.8,12391600,12.15
2009-03-11,21.9,21.9,21.09,21.32,14382200,11.88
2009-03-12,21.31,22.31,21.13,22.26,12476100,12.41
2009-03-13,22.4,22.58,22.25,22.53,8384300,12.56
2009-03-16,22.75,23.34,22.75,22.87,8528900,12.75
2009-03-17,22.93,23.31,22.66,23.31,7721900,12.99
2009-03-18,23.19,23.24,22.1,22.29,19882200,12.43
2009-03-19,22.49,22.71,22.07,22.16,9746400,12.35
2009-03-20,22.18,22.4,22.1,22.14,15551100,12.34
2009-03-23,22.28,23.15,22.15,23.15,13592100,13.08
2009-03-24,22.88,23.38,22.8,23.17,10858400,13.09
2009-03-25,23.32,23.58,22.72,23.05,11340200,13.02
2009-03-26,23.28,23.35,22.78,23.07,11717900,13.03
2009-03-27,22.84,23.3,22.81,22.89,10604600,12.93
2009-03-30,22.63,22.72,21.71,21.84,15357500,12.34
2009-03-31,22.0,22.5,21.85,22.29,14567100,12.59
2009-04-01,22.13,22.89,21.94,22.81,10373300,12.88
2009-04-02,23.34,23.45,22.89,22.97,10912300,12.97
2009-04-03,23.02,23.4,22.65,23.0,8333900,12.99
2009-04-06,22.96,23.12,22.55,22.6,9432100,12.77
2009-04-07,22.31,22.6,22.23,22.46,12938100,12.69
2009-04-08,22.58,22.6,21.97,22.05,15250500,12.45
2009-04-09,22.48,22.51,22.03,22.35,11460100,12.62
2009-04-13,22.23,22.54,22.23,22.46,6925700,12.69
2009-04-14,22.31,22.55,22.06,22.41,7991300,12.66
2009-04-15,22.35,22.88,22.35,22.87,7130100,12.92
2009-04-16,22.78,22.83,22.35,22.65,12310700,12.79
2009-04-17,22.72,22.82,22.28,22.67,13609900,12.8
2009-04-20,22.46,22.93,22.45,22.47,10906800,12.69
2009-04-21,22.41,22.86,22.41,22.75,9887300,12.85
2009-04-22,22.65,22.79,22.39,22.44,8564500,12.67
2009-04-23,22.43,22.5,22.07,22.27,11580500,12.58
2009-04-24,22.37,22.39,22.16,22.26,9030000,12.57
2009-04-27,22.11,22.7,22.0,22.38,10118700,12.64
2009-04-28,22.32,23.0,22.16,22.8,7935400,12.88
2009-04-29,22.91,23.55,22.82,23.27,9467400,13.14
2009-04-30,23.38,23.71,23.11,23.4,11743400,13.22
2009-05-01,23.45,23.5,23.16,23.49,5939100,13.27
2009-05-04,23.69,24.26,23.55,24.26,11020600,13.7
2009-05-05,25.58,26.44,25.14,25.22,28944400,14.25
2009-05-06,25.6,25.67,24.93,25.0,15545500,14.12
2009-05-07,25.16,25.52,24.82,25.04,15644100,14.14
2009-05-08,25.33,25.69,25.1,25.53,13016700,14.42
2009-05-11,25.32,25.45,25.0,25.2,7661800,14.23
2009-05-12,25.22,25.69,25.22,25.41,8205800,14.35
2009-05-13,25.2,25.2,24.67,24.89,12130200,14.06
2009-05-14,24.96,25.18,24.78,25.1,8177800,14.18
2009-05-15,25.03,25.1,24.68,24.8,8430400,14.01
2009-05-18,24.9,25.09,24.71,25.06,8658600,14.15
2009-05-19,24.93,25.15,24.81,25.06,7295500,14.15
2009-05-20,25.13,25.33,24.79,24.85,8923000,14.04
2009-05-21,24.64,24.93,24.4,24.93,8898000,14.08
2009-05-22,24.98,25.77,24.9,25.46,9739300,14.38
2009-05-26,25.39,25.91,25.17,25.86,9067000,14.61
2009-05-27,25.82,25.87,25.36,25.46,8475300,14.38
2009-05-28,25.53,25.9,25.22,25.82,9944700,14.58
2009-05-29,25.8,26.12,25.65,26.11,9636700,14.75
2009-06-01,26.28,26.67,26.19,26.64,11968100,15.05
2009-06-02,26.56,27.14,26.56,27.0,11696500,15.25
2009-06-03,26.9,26.91,26.43,26.81,10994400,15.14
2009-06-04,26.9,27.23,26.64,27.04,11081900,15.27
2009-06-05,27.24,27.24,26.46,26.63,10510500,15.04
2009-06-08,26.66,26.86,26.43,26.59,7818300,15.02
2009-06-09,26.73,26.8,26.11,26.21,9309800,14.8
2009-06-10,26.32,26.49,25.63,25.85,13487100,14.6
2009-06-11,25.97,26.42,25.92,25.95,10828000,14.66
2009-06-12,25.9,26.18,25.71,25.94,6588500,14.65
2009-06-15,25.85,25.85,25.23,25.26,9899900,14.27
2009-06-16,25.39,25.39,24.81,24.81,11823300,14.01
2009-06-17,24.88,25.34,24.8,24.88,13226000,14.05
2009-06-18,24.95,25.98,24.87,25.85,11606000,14.6
2009-06-19,26.09,26.09,25.29,25.41,12740300,14.35
2009-06-22,25.3,25.51,25.17,25.25,10227700,14.26
2009-06-23,25.34,25.72,25.2,25.63,11278800,14.48
2009-06-24,25.82,26.0,25.65,25.74,10982100,14.54
2009-06-25,25.81,26.2,25.5,25.97,11882700,14.67
2009-06-26,25.73,25.77,25.26,25.56,11061500,14.6
2009-06-29,25.57,25.76,25.4,25.58,6782400,14.61
2009-06-30,25.71,25.83,25.08,25.34,10316400,14.47
2009-07-01,25.51,26.76,25.49,26.61,16294200,15.2
2009-07-02,26.26,26.39,25.87,25.96,10720000,14.83
2009-07-06,25.96,26.48,25.8,26.44,11413000,15.1
2009-07-07,26.4,26.43,25.72,25.75,11953400,14.71
2009-07-08,25.89,25.95,25.41,25.7,12384400,14.68
2009-07-09,25.65,25.95,25.45,25.8,8532900,14.74
2009-07-10,25.9,26.18,25.51,26.08,8514400,14.9
2009-07-13,26.42,27.0,26.31,26.88,11298800,15.35
2009-07-14,27.01,27.09,26.71,27.0,7946000,15.42
2009-07-15,27.16,27.57,27.0,27.53,8660800,15.73
2009-07-16,27.48,27.78,27.41,27.73,8567900,15.84
2009-07-17,27.81,27.94,27.27,27.43,7977700,15.67
2009-07-20,27.6,27.64,27.21,27.6,6041000,15.77
2009-07-21,27.8,27.92,27.23,27.58,6511100,15.75
2009-07-22,27.92,28.05,27.73,27.92,10155900,15.95
2009-07-23,27.95,28.8,27.84,28.37,13309300,16.21
2009-07-24,28.4,28.45,27.96,28.12,12195200,16.06
2009-07-27,28.14,28.29,27.79,28.26,7648500,16.14
2009-07-28,28.2,28.53,28.13,28.47,7325300,16.26
2009-07-29,28.36,28.65,28.26,28.54,6515500,16.3
2009-07-30,28.87,29.11,28.51,28.57,9795200,16.32
2009-07-31,28.58,28.76,28.33,28.34,9371700,16.19
2009-08-03,28.55,28.59,28.05,28.2,10950000,16.11
2009-08-04,28.11,28.35,28.04,28.34,8912500,16.19
2009-08-05,28.16,28.46,27.69,28.33,11607800,16.18
2009-08-06,28.63,28.78,28.28,28.36,6375500,16.2
2009-08-07,28.8,28.88,28.6,28.7,8123700,16.39
2009-08-10,28.61,28.67,28.5,28.63,5701100,16.35
2009-08-11,28.64,28.73,28.37,28.46,6021700,16.26
2009-08-12,28.31,28.72,28.28,28.5,7377800,16.28
2009-08-13,28.41,28.57,28.13,28.35,7914700,16.19
2009-08-14,28.34,28.46,27.83,28.1,6728900,16.05
2009-08-17,27.92,28.0,27.7,27.79,6557100,15.87
2009-08-18,27.88,28.01,27.62,27.94,5916100,15.96
2009-08-19,27.84,28.64,27.81,28.63,10220800,16.35
2009-08-20,28.63,28.68,28.18,28.35,7912100,16.19
2009-08-21,28.59,29.02,28.4,28.81,11596600,16.46
2009-08-24,28.83,28.83,28.32,28.4,9924000,16.22
2009-08-25,28.61,28.84,28.45,28.6,7665500,16.34
2009-08-26,28.58,28.78,28.3,28.46,8262600,16.26
2009-08-27,28.59,28.67,28.09,28.42,6987000,16.23
2009-08-28,28.54,28.54,28.09,28.34,5990800,16.19
2009-08-31,28.24,28.49,28.14,28.35,5493100,16.19
2009-09-01,28.44,28.53,28.0,28.07,9695400,16.03
2009-09-02,28.05,28.07,27.85,28.01,7126800,16.0
2009-09-03,28.05,28.09,27.58,27.99,6759400,15.99
2009-09-04,28.06,28.18,27.86,28.1,4227300,16.05
2009-09-08,26.36,26.92,26.14,26.45,43171900,15.11
2009-09-09,26.6,26.85,26.4,26.85,18191600,15.34
2009-09-10,26.9,26.94,26.11,26.19,23755500,14.96
2009-09-11,26.35,26.4,26.05,26.1,17350500,14.91
2009-09-14,26.1,26.27,26.02,26.11,12747800,14.91
2009-09-15,26.17,26.2,26.01,26.08,15060300,14.9
2009-09-16,26.17,26.45,26.05,26.27,17300200,15.01
2009-09-17,26.45,26.78,26.42,26.52,13075100,15.15
2009-09-18,26.74,26.78,26.45,26.73,12899200,15.27
2009-09-21,26.56,26.96,26.55,26.75,10658000,15.28
2009-09-22,26.9,26.9,26.38,26.49,10591400,15.13
2009-09-23,26.55,26.63,26.25,26.28,11285700,15.01
2009-09-24,26.33,26.52,26.18,26.38,10815300,15.07
2009-09-25,26.43,26.79,26.31,26.53,11697000,15.15
2009-09-28,26.28,26.46,26.11,26.17,10171500,15.11
2009-09-29,26.15,26.29,25.9,26.02,10428600,15.03
2009-09-30,26.03,26.31,25.75,26.27,12953100,15.17
2009-10-01,26.23,26.23,25.79,25.99,12950900,15.01
2009-10-02,25.86,26.01,25.75,25.95,10994300,14.99
2009-10-05,25.95,26.06,25.72,26.02,8853000,15.03
2009-10-06,26.11,26.22,26.02,26.09,12956800,15.07
2009-10-07,26.1,26.19,25.99,26.05,7773200,15.04
2009-10-08,26.25,26.27,26.05,26.11,11039300,15.08
2009-10-09,26.15,26.18,25.85,25.97,8690500,15.0
2009-10-12,26.09,26.33,25.99,26.19,6055300,15.13
2009-10-13,26.17,26.23,25.92,25.99,8203900,15.01
2009-10-14,26.09,26.4,26.02,26.29,11489800,15.18
2009-10-15,26.28,26.63,26.28,26.63,10000200,15.38
2009-10-16,26.16,27.22,26.06,27.03,18995800,15.61
2009-10-19,27.06,27.32,27.04,27.21,11226900,15.71
2009-10-20,27.25,27.37,27.08,27.23,8363500,15.73
2009-10-21,27.26,27.73,27.14,27.42,15785200,15.84
2009-10-22,27.22,27.33,26.98,27.11,11112000,15.66
2009-10-23,26.99,27.29,26.87,27.05,10450700,15.62
2009-10-26,27.0,27.25,26.54,26.7,11128200,15.42
2009-10-27,26.78,26.87,26.59,26.73,9106400,15.44
2009-10-28,26.72,27.0,26.65,26.95,12980500,15.56
2009-10-29,27.1,27.59,26.98,27.55,13196600,15.91
2009-10-30,27.25,27.63,27.24,27.52,16916200,15.89
2009-11-02,27.63,27.65,27.32,27.64,12116000,15.96
2009-11-03,27.65,27.7,27.38,27.54,10624800,15.91
2009-11-04,27.05,27.06,26.57,26.67,28850500,15.4
2009-11-05,26.84,27.03,26.66,27.03,12784600,15.61
2009-11-06,26.88,27.12,26.55,26.78,11859000,15.47
2009-11-09,26.89,26.91,26.31,26.53,17061700,15.32
2009-11-10,26.48,26.97,26.35,26.8,10212200,15.48
2009-11-11,26.91,27.02,26.76,26.82,7371900,15.49
2009-11-12,26.87,27.02,26.75,26.84,7855000,15.5
2009-11-13,26.84,27.12,26.8,26.91,6973200,15.54
2009-11-16,26.94,27.68,26.88,27.63,17474100,15.96
2009-11-17,27.63,27.71,27.46,27.64,10575300,15.96
2009-11-18,27.56,27.62,27.19,27.26,10904500,15.74
2009-11-19,27.18,27.2,26.91,26.97,8895700,15.58
2009-11-20,27.59,27.84,27.11,27.17,11395300,15.69
2009-11-23,27.3,27.61,27.22,27.34,9027300,15.79
2009-11-24,27.41,27.41,26.86,27.22,8812900,15.72
2009-11-25,27.23,27.23,26.74,26.8,9785500,15.48
2009-11-27,26.58,26.75,26.35,26.64,4468600,15.39
2009-11-30,26.66,26.68,26.46,26.58,7565100,15.35
2009-12-01,26.82,26.86,26.49,26.5,10528600,15.3
2009-12-02,26.66,26.9,26.57,26.61,8758400,15.37
2009-12-03,26.7,26.74,26.4,26.42,6764200,15.26
2009-12-04,26.57,26.68,26.4,26.57,12821900,15.34
2009-12-07,26.57,26.8,26.57,26.68,9010400,15.41
2009-12-08,26.69,26.84,26.5,26.66,8395700,15.4
2009-12-09,26.73,26.77,26.48,26.71,6770500,15.43
2009-12-10,26.51,26.73,26.5,26.68,8410000,15.41
2009-12-11,26.7,26.9,26.67,26.79,6218200,15.47
2009-12-14,26.93,27.08,26.82,26.97,7178200,15.58
2009-12-15,27.01,27.01,26.8,26.83,6602000,15.49
2009-12-16,26.99,27.35,26.86,27.15,9948000,15.68
2009-12-17,26.92,27.04,26.76,26.88,9557000,15.52
2009-12-18,27.29,27.29,26.8,27.01,12950100,15.6
2009-12-21,27.07,27.2,26.93,26.99,6472000,15.59
2009-12-22,27.17,27.39,27.04,27.29,6365100,15.76
2009-12-23,27.44,27.45,27.28,27.36,4583600,15.8
2009-12-24,27.36,27.56,27.36,27.56,2225100,15.92
2009-12-28,27.48,27.5,27.33,27.48,4368500,16.04
2009-12-29,27.47,27.55,27.4,27.45,5233400,16.02
2009-12-30,27.31,27.56,27.31,27.49,5063600,16.04
2009-12-31,27.43,27.5,27.17,27.18,5215900,15.86
2010-01-04,27.3,27.48,27.17,27.43,7953300,16.01
2010-01-05,28.32,28.81,28.01,28.77,37152800,16.79
2010-01-06,28.3,29.16,28.1,28.97,40848800,16.91
2010-01-07,29.05,29.09,28.57,28.9,18359900,16.87
2010-01-08,28.76,28.94,28.53,28.93,11000000,16.89
2010-01-11,28.98,29.1,28.63,28.8,11819700,16.81
2010-01-12,28.75,29.34,28.64,29.29,19561000,17.1
2010-01-13,29.71,30.1,29.16,29.23,18000100,17.06
2010-01-14,29.45,29.59,28.73,29.12,10023700,17.0
2010-01-15,28.41,30.0,28.1,29.58,25979600,17.26
2010-01-19,29.0,29.43,28.62,29.41,53008900,17.17
2010-01-20,28.54,28.85,28.4,28.78,29477300,16.8
2010-01-21,28.6,28.7,28.05,28.24,29094200,16.48
2010-01-22,27.9,28.19,27.83,27.87,28024500,16.27
2010-01-25,27.6,27.86,27.52,27.69,23989200,16.16
2010-01-26,27.24,27.83,27.09,27.76,33282200,16.2
