Date,Open,High,Low,Close,Volume,Adj Close
2010-08-06,13.0,14.08,12.99,14.0,10678500,14.0
2010-08-09,14.0,14.0,13.7,14.0,1819500,14.0
2010-08-10,13.77,13.84,13.58,13.6,1579300,13.6
2010-08-11,13.25,13.38,12.45,12.75,2588200,12.75
2010-08-12,12.26,12.51,12.1,12.39,1780300,12.39
2010-08-13,12.25,12.53,11.85,12.0,957600,12.0
2010-08-16,11.79,12.23,11.69,11.78,551600,11.78
2010-08-17,11.86,12.3,11.75,12.22,1086700,12.22
2010-08-18,12.08,12.6,12.0,12.0,1010600,12.0
2010-08-19,11.95,12.1,11.31,11.55,746000,11.55
2010-08-20,11.45,11.5,11.03,11.15,450600,11.15
2010-08-23,11.28,11.5,10.46,10.98,761800,10.98
2010-08-24,10.76,11.3,10.5,10.68,746700,10.68
2010-08-25,10.5,11.13,10.23,10.75,1112200,10.75
2010-08-26,10.94,11.15,10.8,11.0,581400,11.0
2010-08-27,11.15,11.49,10.99,11.11,370900,11.11
2010-08-30,11.01,11.27,11.01,11.1,226900,11.1
2010-08-31,11.01,11.23,10.87,11.08,236000,11.08
2010-09-01,11.08,11.95,10.76,11.73,412800,11.73
2010-09-02,11.08,11.91,11.08,11.87,98500,11.87
2010-09-03,11.9,12.32,11.58,11.89,231400,11.89
2010-09-07,12.0,12.36,11.78,12.03,468400,12.03
2010-09-08,11.49,12.18,11.42,12.16,1483700,12.16
2010-09-09,12.21,12.63,11.51,11.9,235600,11.9
2010-09-10,11.98,12.13,11.81,11.98,362900,11.98
2010-09-13,12.09,12.24,11.84,11.94,303900,11.94
2010-09-14,11.85,12.25,11.85,12.24,250600,12.24
2010-09-15,12.52,12.92,12.35,12.47,561100,12.47
2010-09-16,12.46,12.64,12.01,12.02,323300,12.02
2010-09-17,12.01,12.25,11.82,12.08,252300,12.08
2010-09-20,12.21,12.97,12.1,12.69,404100,12.69
2010-09-21,12.61,12.85,12.36,12.51,178800,12.51
2010-09-22,12.4,12.6,12.01,12.18,184600,12.18
2010-09-23,12.0,12.49,11.89,12.0,320800,12.0
2010-09-24,12.1,12.37,11.82,12.22,146900,12.22
2010-09-27,12.17,12.39,12.02,12.25,186600,12.25
2010-09-28,12.21,12.62,12.11,12.61,168800,12.61
2010-09-29,12.63,12.88,12.49,12.55,238500,12.55
2010-09-30,12.62,12.95,12.26,12.39,196800,12.39
2010-10-01,12.47,12.77,12.26,12.36,170500,12.36
2010-10-04,12.38,12.71,12.25,12.35,140700,12.35
2010-10-05,12.43,12.69,12.22,12.35,256900,12.35
2010-10-06,12.32,12.49,12.13,12.47,90400,12.47
2010-10-07,12.5,12.5,11.61,11.85,252800,11.85
2010-10-08,11.8,12.11,11.72,11.98,251900,11.98
2010-10-11,11.95,12.15,11.91,12.05,63700,12.05
2010-10-12,12.01,12.3,11.91,12.3,59600,12.3
2010-10-13,12.31,12.33,12.02,12.07,222000,12.07
2010-10-14,12.07,12.23,12.0,12.15,223700,12.15
2010-10-15,12.35,12.35,11.86,11.94,396200,11.94
2010-10-18,11.96,12.29,11.65,12.24,53500,12.24
2010-10-19,12.06,12.25,12.01,12.11,130100,12.11
2010-10-20,12.17,12.45,11.52,12.2,124800,12.2
2010-10-21,12.11,12.4,12.11,12.25,58800,12.25
2010-10-22,12.2,12.61,12.18,12.33,94200,12.33
2010-10-25,12.2,12.59,12.2,12.37,128300,12.37
2010-10-26,12.25,12.49,11.91,12.28,186100,12.28
2010-10-27,12.28,12.8,12.28,12.77,263800,12.77
2010-10-28,12.82,13.35,12.6,13.19,409900,13.19
2010-10-29,13.16,13.47,12.88,13.19,434600,13.19
2010-11-01,13.27,13.5,12.56,12.69,432100,12.69
2010-11-02,12.9,13.43,12.47,13.27,300900,13.27
2010-11-03,13.21,13.8,13.11,13.64,359900,13.64
2010-11-04,13.74,14.0,13.53,13.97,274600,13.97
2010-11-05,13.9,14.0,13.64,13.97,175600,13.97
2010-11-08,14.0,14.0,13.61,13.77,179900,13.77
2010-11-09,13.72,13.95,13.2,13.63,269800,13.63
2010-11-10,13.6,13.73,13.05,13.32,172300,13.32
2010-11-11,13.2,13.2,12.58,12.86,317200,12.86
2010-11-12,12.69,13.08,12.64,12.82,115700,12.82
2010-11-15,12.9,13.14,12.78,12.98,51800,12.98
2010-11-16,12.73,13.27,12.63,12.84,206500,12.84
2010-11-17,12.8,12.9,12.76,12.8,67600,12.8
2010-11-18,13.0,13.0,12.61,12.9,118700,12.9
2010-11-19,12.89,12.9,12.7,12.9,74300,12.9
2010-11-22,12.85,13.32,12.84,12.99,117700,12.99
2010-11-23,12.8,12.9,12.7,12.8,440000,12.8
2010-11-24,12.88,12.93,12.5,12.66,250000,12.66
2010-11-26,12.56,12.93,12.56,12.83,348500,12.83
2010-11-29,12.81,13.11,12.6,12.73,270100,12.73
2010-11-30,12.6,12.84,12.31,12.58,288700,12.58
2010-12-01,12.74,13.46,12.6,13.26,682100,13.26
2010-12-02,13.35,14.0,13.16,13.98,273800,13.98
2010-12-03,13.98,17.28,13.78,16.14,948600,16.14
2010-12-06,16.0,16.39,15.41,15.94,489300,15.94
2010-12-07,16.0,16.43,15.73,16.37,600800,16.37
2010-12-08,16.8,18.8,16.8,18.44,1371000,18.44
2010-12-09,18.78,20.43,18.78,19.13,1187500,19.13
2010-12-10,19.2,20.2,18.41,19.95,457800,19.95
2010-12-13,20.0,20.0,18.55,18.86,432800,18.86
2010-12-14,18.9,19.38,18.28,18.73,689900,18.73
2010-12-15,18.7,19.0,18.09,18.33,437000,18.33
2010-12-16,18.42,18.67,18.19,18.44,447800,18.44
2010-12-17,18.51,18.68,18.0,18.11,371100,18.11
2010-12-20,18.16,19.3,18.05,18.6,446700,18.6
2010-12-21,18.86,20.0,18.6,19.25,584100,19.25
2010-12-22,19.71,21.57,19.71,20.25,1489000,20.25
2010-12-23,20.2,20.2,19.58,20.09,466000,20.09
2010-12-27,20.0,20.28,19.7,20.2,98500,20.2
2010-12-28,20.46,20.81,20.0,20.29,137300,20.29
2010-12-29,20.62,20.71,20.41,20.71,139000,20.71
2010-12-30,20.73,20.88,20.62,20.7,76800,20.7
2010-12-31,20.6,21.1,20.42,20.93,94400,20.93
2011-01-03,21.2,21.52,20.64,21.43,256100,21.43
2011-01-04,21.9,22.75,21.17,22.01,952100,22.01
2011-01-05,21.87,23.6,21.68,23.38,846400,23.38
2011-01-06,23.73,23.8,22.76,23.24,453100,23.24
2011-01-07,23.33,23.33,22.68,22.92,300900,22.92
2011-01-10,22.75,23.61,22.7,23.42,254100,23.42
2011-01-11,23.82,24.07,23.63,24.0,278200,24.0
2011-01-12,24.5,24.58,23.28,23.6,303000,23.6
2011-01-13,23.86,23.86,22.99,23.33,250500,23.33
2011-01-14,23.33,23.43,22.85,23.39,183200,23.39
2011-01-18,23.32,23.69,23.28,23.58,290500,23.58
2011-01-19,23.6,23.79,22.52,22.96,416400,22.96
2011-01-20,22.75,22.75,21.49,21.67,745900,21.67
2011-01-21,22.15,22.93,21.64,21.97,678800,21.97
2011-01-24,22.06,22.76,22.0,22.65,486900,22.65
2011-01-25,22.65,26.18,22.65,24.28,1725100,24.28
2011-01-26,24.71,26.46,24.0,25.99,1558000,25.99
2011-01-27,26.36,26.84,25.5,26.08,719400,26.08
2011-01-28,26.0,26.05,24.25,24.57,1013900,24.57
2011-01-31,24.81,25.84,24.61,25.74,668400,25.74
2011-02-01,26.48,27.37,25.82,27.23,875000,27.23
2011-02-02,27.48,27.63,26.03,27.19,624700,27.19
2011-02-03,27.75,28.25,26.99,27.2,487300,27.2
2011-02-04,27.54,27.58,27.1,27.35,182800,27.35
2011-02-07,26.93,27.1,26.15,26.31,1620600,26.31
2011-02-08,26.42,26.65,26.12,26.38,707600,26.38
2011-02-09,26.3,26.97,25.81,26.54,349600,26.54
2011-02-10,27.06,27.2,25.9,26.17,585400,26.17
2011-02-11,26.11,26.62,25.2,25.27,1321800,25.27
2011-02-14,25.95,25.95,25.0,25.44,1661400,25.44
2011-02-15,24.72,26.19,24.2,25.01,1819600,25.01
2011-02-16,25.47,27.8,25.41,26.93,3625200,26.93
2011-02-17,27.3,27.65,26.7,27.31,1294100,27.31
2011-02-18,27.62,30.74,27.41,29.3,2766000,29.3
2011-02-22,28.88,31.78,28.3,29.45,2040900,29.45
2011-02-23,29.9,30.09,27.81,28.41,1330900,28.41
2011-02-24,28.37,29.29,28.1,29.12,901800,29.12
2011-02-25,29.54,30.81,29.35,30.55,1150600,30.55
2011-02-28,31.45,32.36,30.5,31.95,2340300,31.95
2011-03-01,32.11,33.87,29.83,29.98,2069000,29.98
2011-03-02,30.0,30.71,29.01,29.25,1435900,29.25
2011-03-03,30.54,31.69,29.47,31.17,1790900,31.17
2011-03-04,31.5,31.77,30.39,30.75,1226700,30.75
2011-03-07,31.71,31.71,28.16,29.16,2471600,29.16
2011-03-08,29.01,29.79,28.41,28.71,1274200,28.71
2011-03-09,29.3,29.65,27.58,27.78,1095000,27.78
2011-03-10,26.34,27.44,25.32,26.51,1860000,26.51
2011-03-11,26.18,27.63,26.13,27.46,774500,27.46
2011-03-14,26.48,26.75,24.87,25.83,1910100,25.83
2011-03-15,25.0,26.45,24.32,26.28,1323800,26.28
