Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,14.01,14.83,13.85,14.77,5720900,14.42
2009-01-05,14.4,14.82,14.27,14.39,8803000,14.05
2009-01-06,14.2,14.76,13.93,14.64,10872000,14.29
2009-01-07,14.33,14.49,13.79,13.94,9483700,13.61
2009-01-08,14.17,15.15,13.97,15.11,10765200,14.75
2009-01-09,14.95,15.1,14.35,14.75,6256900,14.4
2009-01-12,14.33,14.46,13.89,14.18,8390000,13.84
2009-01-13,14.14,14.33,13.56,13.82,8099200,13.49
2009-01-14,13.78,14.12,13.57,13.81,6659200,13.48
2009-01-15,14.12,14.45,13.55,14.26,13015000,13.92
2009-01-16,14.4,14.99,14.23,14.92,10218100,14.56
2009-01-20,14.54,14.78,13.58,13.6,7578600,13.28
2009-01-21,13.82,14.1,13.5,14.01,6769500,13.68
2009-01-22,13.68,14.61,13.6,14.35,7156100,14.01
2009-01-23,14.08,15.69,13.85,15.32,14749200,14.96
2009-01-26,15.3,15.91,14.7,14.85,10679600,14.5
2009-01-27,14.93,15.53,14.85,15.4,7648400,15.03
2009-01-28,15.56,16.32,15.53,16.26,8422200,15.87
2009-01-29,16.0,16.28,15.84,15.94,6294900,15.56
2009-01-30,16.05,16.26,14.77,14.83,9407100,14.48
2009-02-02,14.77,15.37,14.34,15.19,12256000,14.83
2009-02-03,15.39,15.39,14.62,15.31,6041800,14.95
2009-02-04,15.23,15.7,14.97,15.05,8942100,14.69
2009-02-05,14.85,15.42,14.65,15.37,10442300,15.0
2009-02-06,15.25,16.26,15.21,16.14,9533400,15.76
2009-02-09,16.4,16.74,15.85,16.3,14211800,15.91
2009-02-10,15.97,16.3,14.77,14.93,16317900,14.57
2009-02-11,15.25,15.5,14.89,15.2,13069400,14.84
2009-02-12,14.1,16.7,14.07,16.4,31457100,16.01
2009-02-13,16.21,16.48,15.87,16.11,10119900,15.73
2009-02-17,15.67,15.92,15.36,15.59,8785500,15.22
2009-02-18,15.66,15.84,15.01,15.15,10059600,14.79
2009-02-19,15.34,15.35,14.44,14.45,10231500,14.11
2009-02-20,14.48,14.71,14.0,14.21,14018200,13.87
2009-02-23,14.25,14.29,13.0,13.04,16411900,12.73
2009-02-24,13.29,13.78,13.13,13.54,12522600,13.22
2009-02-25,13.32,14.06,13.26,13.71,14194900,13.38
2009-02-26,13.92,13.95,13.12,13.17,11805100,12.86
2009-02-27,12.86,13.86,12.84,13.44,10332000,13.12
2009-03-02,13.19,13.5,12.83,12.9,9991700,12.59
2009-03-03,13.35,13.62,12.96,13.31,9224900,12.99
2009-03-04,13.6,13.79,13.01,13.59,8991800,13.27
2009-03-05,13.33,13.62,13.03,13.07,10884400,12.76
2009-03-06,13.09,13.4,12.6,12.9,11576600,12.59
2009-03-09,12.72,13.2,12.39,12.52,10869600,12.22
2009-03-10,12.82,13.88,12.77,13.8,13244300,13.47
2009-03-11,13.81,14.7,13.75,14.56,12404000,14.21
2009-03-12,14.48,15.04,14.2,14.99,7182200,14.63
2009-03-13,15.02,15.31,14.73,15.05,6985500,14.69
2009-03-16,15.06,15.1,14.4,14.43,8197000,14.09
2009-03-17,14.53,14.85,14.23,14.85,11558300,14.5
2009-03-18,14.65,16.4,14.58,16.03,20601500,15.65
2009-03-19,16.13,16.19,15.58,15.66,10224200,15.29
2009-03-20,15.94,16.0,14.48,14.84,15678500,14.49
2009-03-23,15.23,16.08,14.69,16.01,15021600,15.63
2009-03-24,15.77,15.96,15.19,15.5,10373100,15.13
2009-03-25,15.83,15.9,14.72,15.26,9783100,14.9
2009-03-26,15.33,15.86,15.25,15.86,11483500,15.48
2009-03-27,15.63,15.63,15.04,15.09,7858000,14.73
2009-03-30,14.88,14.89,14.43,14.67,6448900,14.32
2009-03-31,14.73,15.16,14.65,14.84,6410200,14.49
2009-04-01,14.56,15.48,14.25,15.4,8403500,15.03
2009-04-02,15.7,16.03,15.55,15.7,9682200,15.33
2009-04-03,15.67,16.13,15.49,16.13,8700500,15.75
2009-04-06,15.94,15.97,15.16,15.57,8700600,15.2
2009-04-07,15.35,15.48,14.8,14.97,8382600,14.61
2009-04-08,15.3,16.79,15.26,16.63,21406200,16.23
2009-04-09,16.26,17.07,16.23,16.96,17225900,16.56
2009-04-13,16.61,16.9,16.31,16.72,7897400,16.32
2009-04-14,16.65,17.51,16.5,17.09,10894900,16.68
2009-04-15,17.44,17.49,16.93,17.44,12293400,17.02
2009-04-16,17.75,18.11,17.38,17.97,10155100,17.54
2009-04-17,17.85,17.98,17.43,17.59,7606700,17.17
2009-04-20,18.02,18.1,17.44,17.79,14154600,17.37
2009-04-21,17.82,18.4,17.68,18.04,12161100,17.61
2009-04-22,17.95,19.36,17.73,18.84,17559000,18.39
2009-04-23,18.48,18.71,18.03,18.36,13255100,17.92
2009-04-24,18.54,18.69,18.03,18.63,10164300,18.19
2009-04-27,18.16,18.47,17.88,17.95,8249400,17.52
2009-04-28,17.29,17.65,17.06,17.43,10485900,17.02
2009-04-29,17.5,18.35,17.44,17.97,14051700,17.54
2009-04-30,17.77,18.35,17.67,18.3,17822500,17.86
2009-05-01,18.2,18.68,17.76,18.4,9998300,17.96
2009-05-04,18.49,18.9,18.17,18.9,9039200,18.45
2009-05-05,18.73,18.9,18.1,18.33,7864100,17.89
2009-05-06,18.33,18.63,17.82,18.23,7168600,17.8
2009-05-07,18.29,18.39,17.26,17.39,11723200,16.98
2009-05-08,17.7,18.04,17.37,17.5,9601600,17.08
2009-05-11,17.22,17.28,16.82,16.93,7918400,16.53
2009-05-12,17.1,17.33,16.79,17.25,8383600,16.84
2009-05-13,16.81,17.26,16.81,17.06,8435600,16.65
2009-05-14,16.99,17.64,16.96,17.41,6876600,17.0
2009-05-15,17.43,17.92,17.27,17.57,6742100,17.15
2009-05-18,17.4,17.7,17.22,17.69,9667500,17.27
2009-05-19,17.52,18.48,17.35,18.07,9549100,17.64
2009-05-20,18.28,18.28,17.25,17.34,16293200,16.93
