Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,28.61,30.99,28.61,30.88,3523300,27.19
2009-01-05,30.53,30.92,29.76,30.68,3847800,27.01
2009-01-06,30.94,32.57,30.77,32.04,5710100,28.21
2009-01-07,31.49,32.18,30.77,30.98,4166700,27.28
2009-01-08,31.12,32.11,30.51,31.99,4892100,28.17
2009-01-09,32.49,32.49,29.93,30.13,4509100,26.53
2009-01-12,29.4,30.51,28.8,29.2,3760600,25.71
2009-01-13,29.1,29.93,28.51,29.08,3976400,25.6
2009-01-14,28.46,29.08,27.16,27.47,4323500,24.19
2009-01-15,27.48,28.73,26.82,28.2,5441700,24.83
2009-01-16,28.71,28.87,26.95,27.88,5186700,24.55
2009-01-20,27.9,28.4,26.07,26.15,3964000,23.02
2009-01-21,26.65,27.28,25.8,27.23,4284400,23.98
2009-01-22,26.32,26.62,25.37,26.0,5053900,22.89
2009-01-23,25.5,26.53,25.0,25.81,4118000,22.73
2009-01-26,25.7,26.16,24.6,25.23,3145900,22.21
2009-01-27,25.34,25.92,25.06,25.26,3063700,22.24
2009-01-28,25.65,26.79,25.52,26.55,3727800,23.38
2009-01-29,26.2,26.55,24.66,24.92,4878300,21.94
2009-01-30,26.81,27.68,25.57,26.39,8461500,23.24
2009-02-02,25.54,27.33,25.45,26.66,5359100,23.47
2009-02-03,26.58,27.68,26.29,27.57,5087800,24.27
2009-02-04,27.45,28.46,27.27,27.55,5354800,24.26
2009-02-05,27.02,29.44,26.73,28.94,5609900,25.48
2009-02-06,29.1,31.08,28.77,30.81,9247100,27.13
2009-02-09,30.55,31.18,30.26,31.02,5627400,27.31
2009-02-10,30.59,31.28,29.44,29.72,7286500,26.17
2009-02-11,30.62,30.69,29.21,29.85,3940800,26.28
2009-02-12,29.0,29.49,27.97,29.48,5198000,25.96
2009-02-13,29.43,30.1,29.12,29.54,4044400,26.01
2009-02-17,27.98,28.26,26.93,27.44,5055400,24.31
2009-02-18,27.54,28.04,26.65,27.3,4386600,24.18
2009-02-19,27.65,28.14,26.52,26.62,4300000,23.58
2009-02-20,26.58,27.12,25.94,26.73,6063000,23.68
2009-02-23,26.84,27.03,25.2,25.3,6016900,22.41
2009-02-24,25.54,26.72,25.0,26.63,6264600,23.59
2009-02-25,26.16,26.49,25.18,25.83,6235400,22.88
2009-02-26,26.37,27.22,25.33,25.42,6334900,22.52
2009-02-27,25.4,25.87,24.74,25.07,7471000,22.21
2009-03-02,25.75,25.75,22.72,22.93,8493900,20.31
2009-03-03,23.01,23.75,22.74,23.24,7277400,20.59
2009-03-04,23.63,24.4,23.12,23.98,8195600,21.24
2009-03-05,23.83,23.83,22.14,22.35,5686800,19.8
2009-03-06,21.74,22.06,20.38,21.07,10291200,18.67
2009-03-09,20.76,21.68,20.67,20.89,6071500,18.51
2009-03-10,21.6,22.54,21.0,22.15,7379300,19.62
2009-03-11,22.18,23.14,22.0,22.79,5368200,20.19
2009-03-12,22.06,23.55,22.06,23.45,5405800,20.77
2009-03-13,23.5,23.91,22.76,23.49,4100400,20.81
2009-03-16,23.61,24.39,23.37,23.79,5771900,21.07
2009-03-17,23.58,24.6,22.75,24.59,9040400,21.78
2009-03-18,24.47,26.68,24.14,26.15,7708500,23.17
2009-03-19,25.9,26.53,25.89,26.03,5721100,23.06
2009-03-20,26.51,26.66,24.93,25.24,5746000,22.36
2009-03-23,26.9,28.46,25.6,28.44,6572200,25.19
2009-03-24,27.45,28.14,26.55,26.98,5664400,23.9
2009-03-25,26.55,27.82,25.38,26.14,7539000,23.16
2009-03-26,26.68,27.41,26.52,27.41,5307000,24.28
2009-03-27,26.7,27.09,26.47,26.59,3576900,23.56
2009-03-30,26.54,26.54,24.83,25.12,5060800,22.25
2009-03-31,25.58,26.23,24.89,25.76,5626800,22.82
2009-04-01,26.0,26.27,24.87,26.14,8220400,23.16
2009-04-02,26.8,30.1,26.5,28.9,10551600,25.6
2009-04-03,28.65,30.32,28.5,30.26,6921700,26.81
2009-04-06,30.11,30.11,28.46,29.09,5347900,25.77
2009-04-07,28.64,28.92,27.42,27.73,5199000,24.57
2009-04-08,27.86,28.97,27.81,28.65,4290900,25.38
2009-04-09,29.53,32.15,29.5,31.93,7386600,28.29
2009-04-13,31.66,31.76,30.35,31.46,3891300,27.87
2009-04-14,30.55,31.56,30.51,31.11,4335700,27.56
2009-04-15,30.86,31.38,30.32,31.2,3379100,27.64
2009-04-16,31.72,33.0,31.11,32.78,4301400,29.04
2009-04-17,32.74,34.84,32.12,33.86,8171800,30.0
2009-04-20,32.13,32.5,30.74,30.93,6341600,27.4
2009-04-21,30.3,31.9,29.79,31.88,4934300,28.24
2009-04-22,31.48,34.41,30.94,33.49,7379000,29.67
2009-04-23,31.85,33.1,31.37,32.9,4634900,29.15
2009-04-24,32.68,35.3,32.55,34.93,6003800,30.94
2009-04-27,33.7,35.2,33.0,34.16,5974800,30.26
2009-04-28,34.06,36.17,33.52,33.63,7820600,29.79
2009-04-29,34.17,36.9,33.98,35.83,7319900,31.74
2009-04-30,36.26,36.77,34.84,35.44,7185700,31.4
2009-05-01,35.33,35.33,34.05,34.5,5650700,30.56
2009-05-04,34.93,35.2,34.39,35.16,4712900,31.15
2009-05-05,34.52,35.28,33.18,34.41,4673000,30.48
2009-05-06,34.76,35.52,33.75,35.33,3558100,31.3
2009-05-07,35.74,36.04,32.46,33.01,6547800,29.24
2009-05-08,33.5,34.76,33.1,33.59,5240900,29.76
2009-05-11,33.11,33.47,32.11,32.42,3768700,28.72
2009-05-12,32.53,32.83,30.22,31.12,6559900,27.57
2009-05-13,30.64,30.78,29.31,29.57,5747400,26.2
2009-05-14,29.87,30.18,29.03,29.62,4256500,26.24
2009-05-15,29.0,29.75,28.49,28.88,6559000,25.74
2009-05-18,29.19,30.32,28.8,30.27,5278300,26.98
2009-05-19,29.89,30.83,29.68,30.38,3504100,27.08
2009-05-20,30.37,31.02,29.43,29.59,3456700,26.37
2009-05-21,29.16,29.16,27.87,28.39,4587900,25.3
2009-05-22,28.55,28.78,27.92,28.27,3236500,25.2
2009-05-26,28.07,29.74,27.92,29.6,3834200,26.38
2009-05-27,29.61,29.89,28.82,28.93,3364400,25.78
2009-05-28,29.2,29.49,28.11,29.22,3744000,26.04
2009-05-29,28.98,29.85,28.41,29.85,3154800,26.6
2009-06-01,30.55,33.29,30.4,33.13,6775400,29.53
2009-06-02,32.75,34.93,32.72,34.49,8078800,30.74
2009-06-03,34.0,34.25,32.65,33.63,5413200,29.97
2009-06-04,33.58,34.73,32.95,34.59,4370800,30.83
2009-06-05,34.75,35.14,33.65,34.2,4673300,30.48
2009-06-08,34.09,34.73,33.15,34.44,3687600,30.7
2009-06-09,33.74,34.31,33.34,34.15,3639000,30.44
2009-06-10,34.51,34.98,33.04,33.6,4070500,29.95
2009-06-11,33.99,34.46,33.6,33.85,3772300,30.17
2009-06-12,33.54,33.94,32.81,33.27,3841400,29.65
2009-06-15,33.1,33.1,31.37,31.58,5208100,28.15
2009-06-16,30.94,31.88,30.44,30.86,7255000,27.51
2009-06-17,30.86,31.44,30.14,31.09,4967800,27.71
2009-06-18,30.92,31.62,30.5,30.97,2382900,27.6
