Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,26.31,27.06,25.96,26.94,2866700,21.16
2009-01-05,26.63,26.81,26.15,26.42,3940600,20.75
2009-01-06,26.59,26.67,26.15,26.4,3802800,20.74
2009-01-07,26.17,26.48,26.0,26.08,5042100,20.48
2009-01-08,26.27,26.46,25.79,26.18,2754300,20.56
2009-01-09,26.13,26.13,25.11,25.31,3306100,19.88
2009-01-12,25.37,25.6,24.92,25.13,3235400,19.74
2009-01-13,25.15,25.6,25.13,25.45,3405000,19.99
2009-01-14,25.15,25.29,24.45,24.59,3223200,19.31
2009-01-15,24.61,25.06,24.23,24.89,4954500,19.55
2009-01-16,25.02,25.53,24.79,25.43,5238400,19.97
2009-01-20,25.22,25.77,24.67,24.68,5270600,19.38
2009-01-21,25.06,25.42,24.31,25.1,4979500,19.71
2009-01-22,24.77,25.03,24.35,24.64,3607600,19.35
2009-01-23,24.41,24.67,24.08,24.41,3795400,19.17
2009-01-26,24.37,25.49,24.35,25.32,4878300,19.89
2009-01-27,24.63,25.6,24.39,25.21,4495300,19.8
2009-01-28,25.44,25.65,25.08,25.28,5128600,20.1
2009-01-29,25.25,25.39,24.79,24.85,3578000,19.76
2009-01-30,24.93,25.16,24.23,24.29,4211400,19.32
2009-02-02,24.12,24.66,23.96,24.46,4947400,19.45
2009-02-03,24.75,25.57,24.55,25.5,5051400,20.28
2009-02-04,24.96,25.82,24.96,25.32,4967700,20.13
2009-02-05,24.67,26.22,24.67,26.01,5398000,20.68
2009-02-06,26.22,27.03,25.9,26.93,5583500,21.41
2009-02-09,26.6,26.8,26.35,26.53,4174500,21.1
2009-02-10,26.44,26.53,25.11,25.17,6379600,20.02
2009-02-11,25.09,25.69,25.02,25.38,3146000,20.18
2009-02-12,25.1,25.4,24.64,25.4,3883100,20.2
2009-02-13,25.4,25.52,25.0,25.03,2536800,19.9
2009-02-17,24.44,24.77,23.97,24.01,5366100,19.09
2009-02-18,24.33,24.84,24.0,24.58,3422700,19.55
2009-02-19,24.68,24.95,23.86,23.88,4573500,18.99
2009-02-20,23.71,24.14,23.61,23.97,6991800,19.06
2009-02-23,24.07,24.11,23.23,23.26,4561000,18.5
2009-02-24,23.46,24.0,23.25,23.91,4346900,19.01
2009-02-25,23.58,23.9,23.0,23.6,6086200,18.77
2009-02-26,23.42,23.55,22.85,22.92,6892000,18.23
2009-02-27,21.95,22.6,21.83,22.06,9316300,17.54
2009-03-02,21.69,21.8,20.7,20.71,7841600,16.47
2009-03-03,20.79,21.05,20.31,20.93,10359000,16.64
2009-03-04,21.05,21.71,21.0,21.51,7520700,17.1
2009-03-05,21.43,21.43,21.01,21.05,6393900,16.74
2009-03-06,21.12,21.42,20.45,20.94,5539500,16.65
2009-03-09,20.77,21.07,20.33,20.43,3891000,16.25
2009-03-10,20.56,21.71,20.56,21.69,5351300,17.25
2009-03-11,22.17,22.17,21.23,21.47,3953800,17.07
2009-03-12,21.48,22.32,21.1,22.31,3745800,17.74
2009-03-13,22.63,22.88,22.31,22.75,4153800,18.09
2009-03-16,22.6,22.97,22.38,22.4,3237200,17.81
2009-03-17,22.54,23.17,22.36,23.17,2967600,18.42
2009-03-18,22.98,23.46,22.66,23.25,5549500,18.49
2009-03-19,23.25,23.47,22.96,23.15,2703400,18.41
2009-03-20,23.38,23.77,23.0,23.03,4652300,18.31
2009-03-23,23.79,24.26,23.3,24.25,4786100,19.28
2009-03-24,24.18,24.39,23.87,24.3,6286500,19.32
