Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,18.42,18.99,18.22,18.7,354700,18.7
2009-01-05,18.66,19.4,18.07,19.08,323700,19.08
2009-01-06,19.25,19.36,18.68,18.96,301600,18.96
2009-01-07,18.59,18.8,17.69,17.98,248600,17.98
2009-01-08,17.86,18.76,17.7,18.28,257000,18.28
2009-01-09,18.34,18.39,17.21,17.48,330400,17.48
2009-01-12,17.22,18.2,17.05,17.47,268400,17.47
2009-01-13,17.41,18.31,17.35,17.91,229300,17.91
2009-01-14,18.2,18.26,16.71,16.87,286200,16.87
2009-01-15,16.86,17.05,15.78,17.01,307000,17.01
2009-01-16,17.15,17.36,16.52,17.36,319900,17.36
2009-01-20,17.15,17.46,15.34,15.38,479800,15.38
2009-01-21,15.56,16.52,15.15,16.4,430100,16.4
2009-01-22,16.23,16.25,15.1,15.31,361800,15.31
2009-01-23,15.03,16.02,14.92,15.57,350500,15.57
2009-01-26,15.55,16.52,15.4,16.12,294400,16.12
2009-01-27,16.23,17.41,16.23,17.05,468800,17.05
2009-01-28,17.32,18.08,17.32,17.57,286400,17.57
2009-01-29,17.3,17.58,16.92,17.15,335000,17.15
2009-01-30,17.28,18.0,16.94,17.48,421100,17.48
2009-02-02,17.18,18.4,17.18,18.15,502300,18.15
2009-02-03,18.25,19.08,18.17,18.94,351500,18.94
2009-02-04,18.89,19.95,18.58,18.79,357100,18.79
2009-02-05,18.55,19.57,18.34,19.12,383800,19.12
2009-02-06,19.04,20.08,19.04,19.92,336700,19.92
2009-02-09,19.78,19.95,18.88,19.23,266600,19.23
2009-02-10,19.16,19.6,18.15,18.25,379900,18.25
2009-02-11,18.34,18.8,17.41,18.09,639400,18.09
2009-02-12,17.84,18.69,17.82,18.4,525700,18.4
2009-02-13,18.36,19.25,17.82,18.97,471100,18.97
2009-02-17,18.47,19.21,18.02,19.02,467400,19.02
2009-02-18,19.13,19.4,18.44,18.5,526300,18.5
2009-02-19,18.79,19.21,18.01,18.3,349000,18.3
2009-02-20,18.03,18.55,17.55,18.15,478000,18.15
2009-02-23,18.26,18.36,17.11,17.15,491500,17.15
2009-02-24,17.46,17.62,17.02,17.39,561500,17.39
2009-02-25,17.23,17.81,17.07,17.25,540800,17.25
2009-02-26,17.39,17.71,15.04,15.4,851900,15.4
2009-02-27,15.1,15.71,14.18,14.25,786000,14.25
2009-03-02,14.04,14.31,13.13,13.54,898300,13.54
2009-03-03,13.83,14.42,13.44,13.81,697800,13.81
2009-03-04,14.03,14.16,13.33,13.96,562500,13.96
2009-03-05,13.64,13.84,12.74,12.78,717900,12.78
2009-03-06,12.9,13.14,12.21,12.67,466200,12.67
2009-03-09,12.6,13.22,12.33,12.4,475000,12.4
2009-03-10,12.69,12.95,12.31,12.6,518300,12.6
2009-03-11,12.65,13.08,11.81,12.05,553000,12.05
2009-03-12,12.02,13.38,11.81,13.33,623800,13.33
2009-03-13,13.36,14.1,13.2,14.03,506100,14.03
2009-03-16,13.41,14.27,13.31,13.44,543500,13.44
2009-03-17,13.43,14.21,13.36,14.21,451300,14.21
2009-03-18,14.18,14.87,13.78,14.45,388800,14.45
2009-03-19,14.61,14.61,13.59,13.68,441900,13.68
2009-03-20,13.84,14.04,13.35,13.45,719600,13.45
2009-03-23,13.8,14.05,13.4,14.03,699600,14.03
2009-03-24,13.81,14.25,13.55,13.77,509500,13.77
2009-03-25,13.93,14.59,13.44,14.21,367300,14.21
2009-03-26,14.44,15.13,14.21,15.13,827200,15.13
2009-03-27,14.77,14.98,14.29,14.38,644300,14.38
2009-03-30,14.8,14.87,13.9,14.18,690200,14.18
2009-03-31,14.41,14.46,13.73,13.86,701300,13.86
2009-04-01,13.62,13.73,12.88,13.16,739600,13.16
2009-04-02,13.45,13.73,13.26,13.46,671800,13.46
2009-04-03,13.42,13.48,12.83,13.02,532600,13.02
2009-04-06,12.9,13.67,12.8,13.59,1006900,13.59
2009-04-07,13.42,13.5,13.1,13.15,469100,13.15
2009-04-08,13.21,13.46,13.02,13.34,367200,13.34
2009-04-09,13.64,13.95,13.37,13.94,540400,13.94
2009-04-13,13.71,13.84,13.25,13.44,488200,13.44
2009-04-14,13.26,13.8,13.13,13.26,625200,13.26
2009-04-15,13.15,13.35,12.8,13.3,523700,13.3
2009-04-16,13.24,13.68,13.05,13.4,579400,13.4
2009-04-17,13.45,13.73,13.08,13.15,581700,13.15
2009-04-20,12.91,13.11,12.55,12.79,431200,12.79
2009-04-21,12.75,13.1,12.6,12.92,321000,12.92
2009-04-22,12.67,12.79,12.42,12.48,468300,12.48
2009-04-23,12.48,12.53,12.11,12.41,480300,12.41
2009-04-24,12.52,13.24,12.28,12.94,617500,12.94
2009-04-27,12.71,13.0,12.5,12.66,529100,12.66
2009-04-28,12.59,13.1,12.59,12.84,528500,12.84
2009-04-29,12.92,13.74,12.72,13.48,525300,13.48
2009-04-30,13.67,13.67,13.14,13.26,621300,13.26
2009-05-01,14.2,14.34,13.48,13.85,694000,13.85
2009-05-04,14.41,15.02,14.01,14.95,768400,14.95
2009-05-05,15.03,15.2,14.49,15.14,712400,15.14
2009-05-06,15.21,15.32,14.65,14.88,617700,14.88
