Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.32,17.73,15.85,17.69,2071500,17.69
2009-01-05,17.58,18.25,17.08,18.25,2389400,18.25
2009-01-06,18.18,19.86,18.17,19.47,5118700,19.47
2009-01-07,19.11,19.35,18.63,18.91,2277500,18.91
2009-01-08,18.76,19.61,18.48,19.41,1800700,19.41
2009-01-09,19.63,19.72,18.46,18.6,1421300,18.6
2009-01-12,18.86,19.14,17.58,17.79,1869400,17.79
2009-01-13,17.94,18.56,17.71,18.13,1349400,18.13
2009-01-14,17.85,17.86,17.16,17.3,2138500,17.3
2009-01-15,17.3,18.06,16.23,17.55,2706300,17.55
2009-01-16,17.86,18.59,17.7,18.45,2293700,18.45
2009-01-20,18.16,18.35,17.03,17.03,1998000,17.03
2009-01-21,17.36,18.69,17.18,18.59,2431300,18.59
2009-01-22,18.09,19.34,17.81,19.1,3238800,19.1
2009-01-23,18.67,18.88,17.93,18.69,3005900,18.69
2009-01-26,18.73,19.58,18.69,19.05,2789800,19.05
2009-01-27,19.0,19.33,18.15,19.17,1836400,19.17
2009-01-28,19.34,20.93,19.32,20.91,3556000,20.91
2009-01-29,20.41,20.92,20.19,20.49,1799100,20.49
2009-01-30,20.72,20.96,19.48,19.9,1547400,19.9
2009-02-02,19.69,20.41,19.15,20.14,1645200,20.14
2009-02-03,20.14,20.85,20.01,20.43,2396500,20.43
2009-02-04,20.59,21.18,19.65,19.87,2342900,19.87
2009-02-05,19.7,20.36,19.36,20.22,2154200,20.22
2009-02-06,20.24,21.78,20.1,21.46,7702800,21.46
2009-02-09,21.42,21.84,21.05,21.56,1775400,21.56
2009-02-10,21.2,22.06,20.16,20.33,2033100,20.33
2009-02-11,20.38,20.82,19.84,20.15,1816600,20.15
2009-02-12,19.89,20.37,19.27,19.99,2586000,19.99
2009-02-13,20.11,20.5,19.77,20.02,1593800,20.02
2009-02-17,19.4,19.4,18.21,18.46,3425500,18.46
2009-02-18,18.64,18.74,17.76,17.97,2635900,17.97
2009-02-19,18.29,18.73,17.96,18.12,3035900,18.12
2009-02-20,17.8,19.15,17.75,18.8,3264000,18.8
2009-02-23,19.08,19.08,18.22,18.31,3843700,18.31
2009-02-24,18.5,19.79,18.24,19.65,2705300,19.65
2009-02-25,19.5,20.22,18.67,19.8,2364900,19.8
2009-02-26,19.82,21.08,19.82,20.19,4076200,20.19
2009-02-27,20.2,21.48,20.02,20.78,4499500,20.78
2009-03-02,20.2,20.43,19.5,19.67,2337000,19.67
2009-03-03,19.7,19.94,18.92,19.17,2553300,19.17
2009-03-04,19.6,21.15,19.31,20.67,3039600,20.67
2009-03-05,20.35,20.74,19.56,19.68,1980800,19.68
2009-03-06,19.9,20.52,19.36,19.99,2934800,19.99
2009-03-09,19.8,20.81,19.47,19.83,1805300,19.83
2009-03-10,20.28,23.37,20.2,23.0,5449000,23.0
2009-03-11,23.02,23.64,22.57,23.38,3003700,23.38
2009-03-12,22.42,24.19,21.43,23.86,4560300,23.86
2009-03-13,23.84,23.84,22.39,23.19,2411700,23.19
2009-03-16,23.4,23.4,22.23,22.31,1746400,22.31
2009-03-17,22.21,23.02,21.82,23.02,1492600,23.02
2009-03-18,22.99,23.5,22.51,23.35,1860100,23.35
2009-03-19,23.45,23.5,22.65,23.17,1384100,23.17
2009-03-20,23.29,23.3,21.97,22.4,1516700,22.4
2009-03-23,22.76,24.0,22.57,24.0,1204400,24.0
2009-03-24,23.8,24.23,23.41,23.57,1507000,23.57
2009-03-25,23.8,24.19,22.51,23.5,1501400,23.5
2009-03-26,22.88,24.09,22.88,24.04,3472500,24.04
2009-03-27,23.89,24.43,23.67,23.9,2224500,23.9
2009-03-30,23.4,23.5,22.53,22.93,1513200,22.93
2009-03-31,23.29,23.7,22.79,23.3,1928500,23.3
2009-04-01,23.02,24.5,22.85,24.38,2036800,24.38
2009-04-02,24.85,26.99,24.81,26.47,5318500,26.47
2009-04-03,26.81,27.0,25.79,26.92,2239000,26.92
2009-04-06,25.4,26.05,24.87,25.97,2569400,25.97
2009-04-07,25.45,26.0,24.76,24.86,2964900,24.86
2009-04-08,25.14,25.92,24.71,25.92,2271800,25.92
2009-04-09,26.0,27.54,25.83,27.0,2735400,27.0
2009-04-13,26.73,26.85,25.76,26.21,1502200,26.21
2009-04-14,25.96,26.21,24.71,25.04,2640300,25.04
2009-04-15,24.87,26.2,24.7,26.12,2742700,26.12
2009-04-16,26.38,26.91,25.74,26.69,1862800,26.69
2009-04-17,26.71,26.71,26.32,26.41,1697300,26.41
2009-04-20,25.72,26.41,24.71,24.8,4654000,24.8
2009-04-21,24.45,25.09,23.99,25.03,9461400,25.03
2009-04-22,24.59,25.78,24.55,24.83,4267700,24.83
2009-04-23,25.41,25.53,24.34,25.06,1379500,25.06
2009-04-24,25.14,25.51,24.93,25.31,1756700,25.31
2009-04-27,24.29,25.58,24.29,25.09,1374000,25.09
2009-04-28,24.59,24.75,24.0,24.02,2290700,24.02
2009-04-29,24.24,25.17,24.17,24.78,2149900,24.78
2009-04-30,25.16,26.22,24.74,25.2,3160500,25.2
2009-05-01,25.2,25.67,24.81,24.99,1400200,24.99
2009-05-04,24.92,25.79,24.7,25.0,2677300,25.0
2009-05-05,24.45,25.51,23.22,25.23,5510600,25.23
2009-05-06,25.25,26.2,25.25,25.45,2964000,25.45
2009-05-07,25.55,25.62,24.18,24.38,1998700,24.38
2009-05-08,24.72,25.06,24.11,24.44,1436700,24.44
2009-05-11,23.93,24.62,23.7,24.18,2161200,24.18
2009-05-12,24.5,24.63,22.49,23.19,2873900,23.19
2009-05-13,22.78,22.89,22.42,22.59,1569000,22.59
2009-05-14,22.46,23.0,21.87,22.72,2323900,22.72
2009-05-15,22.51,22.6,21.93,22.2,2465800,22.2
2009-05-18,23.0,24.02,22.84,24.01,1876500,24.01
2009-05-19,24.08,24.39,23.61,24.25,2005900,24.25
2009-05-20,24.34,24.6,23.64,23.8,1414300,23.8
2009-05-21,24.21,24.21,23.06,23.59,2844400,23.59
2009-05-22,23.67,24.04,23.31,23.47,1653400,23.47
2009-05-26,23.46,24.93,23.18,24.83,3210800,24.83
2009-05-27,24.67,25.72,24.43,24.87,2354000,24.87
2009-05-28,25.25,25.72,24.42,25.6,2988900,25.6
2009-05-29,25.8,25.94,24.68,25.57,6541800,25.57
2009-06-01,25.58,26.05,25.12,25.54,3525600,25.54
2009-06-02,25.42,25.79,24.62,25.13,3374800,25.13
2009-06-03,25.05,25.22,24.01,24.44,2256800,24.44
2009-06-04,24.68,24.69,23.97,24.22,1834300,24.22
2009-06-05,24.37,24.8,24.06,24.31,1524000,24.31
2009-06-08,24.29,24.29,23.66,23.92,1967900,23.92
2009-06-09,24.26,24.33,23.83,24.0,1795700,24.0
2009-06-10,24.02,24.22,23.13,23.36,3444000,23.36
2009-06-11,23.27,23.84,23.19,23.68,2498800,23.68
2009-06-12,23.44,24.06,23.38,24.06,1301200,24.06
2009-06-15,23.75,23.81,23.27,23.45,1835900,23.45
2009-06-16,23.7,23.9,22.73,23.0,2097500,23.0
2009-06-17,22.87,22.97,22.13,22.73,2924900,22.73
2009-06-18,22.92,23.1,22.56,22.94,1324700,22.94
2009-06-19,23.07,23.31,22.9,23.18,1555000,23.18
2009-06-22,23.03,23.03,22.23,22.4,3174100,22.4
2009-06-23,22.56,22.81,22.33,22.74,2823900,22.74
2009-06-24,23.1,23.95,22.67,23.79,2519300,23.79
2009-06-25,23.59,24.38,23.42,24.33,1997900,24.33
2009-06-26,24.17,24.96,24.03,24.93,1543200,24.93
2009-06-29,25.09,25.11,24.33,24.89,1516900,24.89
2009-06-30,24.77,24.99,24.25,24.54,1539800,24.54
2009-07-01,24.62,24.9,24.34,24.41,1687400,24.41
2009-07-02,24.31,24.32,23.68,23.68,1642200,23.68
2009-07-06,23.68,23.68,22.77,22.9,2333700,22.9
2009-07-07,22.81,22.97,22.6,22.73,2072200,22.73
2009-07-08,22.99,23.01,22.25,22.64,2167800,22.64
2009-07-09,22.9,23.54,22.71,23.3,1562100,23.3
2009-07-10,23.18,23.56,23.05,23.49,1313800,23.49
2009-07-13,23.7,23.84,23.16,23.83,1505300,23.83
2009-07-14,23.76,24.08,23.49,24.06,1204900,24.06
2009-07-15,24.24,25.17,24.24,25.03,2437700,25.03
2009-07-16,25.04,25.42,24.75,25.33,1169700,25.33
2009-07-17,25.15,25.5,25.02,25.35,903300,25.35
2009-07-20,25.09,26.41,25.09,26.02,1896900,26.02
2009-07-21,26.36,26.63,25.73,26.14,1760100,26.14
2009-07-22,26.14,26.6,25.9,26.31,1397800,26.31
2009-07-23,26.39,27.32,26.19,26.91,1416700,26.91
