Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,9.7,11.31,9.59,11.08,9684600,10.86
2009-01-05,11.08,12.5,11.06,12.13,13055100,11.89
2009-01-06,12.35,13.2,12.0,12.94,12579500,12.69
2009-01-07,12.87,13.07,12.29,12.51,10053600,12.27
2009-01-08,12.48,12.61,11.94,12.41,8001600,12.17
2009-01-09,12.55,12.68,12.09,12.3,5006700,12.06
2009-01-12,12.34,12.34,11.46,11.69,5952000,11.46
2009-01-13,11.5,11.78,11.06,11.54,7243400,11.32
2009-01-14,11.37,11.4,10.52,10.82,6926600,10.61
2009-01-15,11.02,11.57,10.62,11.31,7403100,11.09
2009-01-16,11.72,12.08,11.31,12.03,6649000,11.8
2009-01-20,11.56,11.85,10.59,10.74,6842800,10.53
2009-01-21,11.11,11.7,10.62,11.66,5321500,11.43
2009-01-22,11.29,11.92,11.21,11.47,4646900,11.25
2009-01-23,11.01,12.01,10.9,11.75,4926100,11.52
2009-01-26,11.99,12.07,11.5,11.77,5024800,11.54
2009-01-27,11.9,12.18,11.7,11.96,3482100,11.73
2009-01-28,12.04,12.73,11.66,12.69,5563100,12.44
2009-01-29,12.69,13.5,12.13,12.19,6387600,11.95
2009-01-30,12.3,12.42,11.29,11.43,5684000,11.21
2009-02-02,11.0,11.41,10.45,11.28,11786400,11.06
2009-02-03,8.72,9.1,8.24,8.66,33131700,8.49
2009-02-04,8.6,9.49,8.6,9.29,9595500,9.11
2009-02-05,9.21,10.04,8.88,10.01,9171800,9.82
2009-02-06,10.05,11.2,9.95,11.05,8352100,10.84
2009-02-09,11.0,11.5,10.82,11.12,7317100,10.9
2009-02-10,11.15,11.69,10.66,10.82,6903200,10.61
2009-02-11,10.9,11.0,9.77,10.45,6696100,10.25
2009-02-12,10.26,10.98,10.08,10.8,5951900,10.59
2009-02-13,10.98,11.0,10.56,10.72,4172300,10.51
2009-02-17,10.18,10.32,9.88,10.08,5083900,9.88
2009-02-18,10.11,10.32,9.77,10.05,3855200,9.85
2009-02-19,10.18,10.37,9.5,9.52,3814000,9.34
2009-02-20,9.35,9.72,8.99,9.36,6815100,9.18
2009-02-23,9.37,9.65,8.86,8.88,4283400,8.71
2009-02-24,8.92,9.48,8.91,9.41,4963000,9.23
2009-02-25,9.28,10.03,9.05,9.76,4780300,9.57
2009-02-26,9.73,10.4,9.65,9.75,6808300,9.56
2009-02-27,9.5,9.75,8.89,8.91,9638500,8.74
2009-03-02,8.8,8.87,7.88,8.01,8778500,7.85
2009-03-03,8.29,8.44,7.89,8.05,6425400,7.89
2009-03-04,8.21,8.46,7.93,8.12,7625900,7.96
2009-03-05,8.0,8.43,7.92,8.16,5785300,8.0
2009-03-06,8.22,8.45,7.53,7.79,6982500,7.64
2009-03-09,7.7,8.08,7.57,7.65,4542500,7.5
2009-03-10,7.85,9.15,7.76,9.12,14548700,8.94
2009-03-11,9.16,9.82,8.93,9.58,8986700,9.39
2009-03-12,9.6,10.0,9.56,9.95,7134600,9.76
2009-03-13,9.94,11.27,9.73,11.05,18287100,10.84
2009-03-16,10.51,10.55,9.75,9.83,11399200,9.64
2009-03-17,9.86,10.26,9.64,10.26,5676700,10.06
2009-03-18,10.11,11.15,10.1,10.93,7763700,10.72
2009-03-19,11.07,11.25,10.56,10.61,5625100,10.4
2009-03-20,10.88,11.03,10.14,10.15,6202300,9.95
2009-03-23,10.49,11.25,10.45,11.25,5393700,11.03
2009-03-24,10.89,12.29,10.85,11.89,9455500,11.66
2009-03-25,11.89,12.85,11.77,12.36,9520000,12.12
2009-03-26,12.79,13.49,12.55,13.37,8146800,13.11
2009-03-27,13.09,13.43,12.89,13.08,4676000,12.83
2009-03-30,12.75,12.8,11.87,12.14,4901900,11.9
2009-03-31,12.47,12.98,12.45,12.65,4842300,12.4
2009-04-01,12.41,12.8,12.1,12.5,7366900,12.26
2009-04-02,13.04,13.69,12.9,13.3,6495100,13.04
2009-04-03,13.37,14.1,13.22,14.09,6743500,13.82
2009-04-06,13.7,13.84,13.42,13.69,5440700,13.42
2009-04-07,13.53,13.71,12.76,12.76,6064400,12.51
2009-04-08,13.0,13.21,12.52,13.01,8729500,12.76
2009-04-09,14.0,14.49,13.95,14.48,10247400,14.2
2009-04-13,14.37,14.53,13.99,14.42,6270800,14.14
2009-04-14,14.18,14.55,13.6,13.62,6004200,13.36
2009-04-15,13.61,13.71,13.22,13.55,5330300,13.29
2009-04-16,13.74,14.71,13.53,14.43,8212400,14.15
2009-04-17,14.46,15.05,14.46,14.82,8529200,14.53
2009-04-20,14.14,14.48,13.22,13.4,7530600,13.14
2009-04-21,13.2,14.1,13.07,13.71,10823700,13.44
2009-04-22,14.86,15.95,14.69,15.54,19389200,15.24
2009-04-23,15.68,15.97,15.0,15.44,7397600,15.14
2009-04-24,15.42,16.0,15.35,15.62,5901300,15.32
2009-04-27,15.26,15.7,14.61,14.72,7217000,14.43
2009-04-28,14.57,15.14,14.32,14.82,4367800,14.53
2009-04-29,15.14,15.87,15.03,15.48,3738100,15.18
2009-04-30,15.69,16.2,15.51,15.72,5205000,15.41
2009-05-01,15.72,15.98,14.99,15.16,5994500,14.87
2009-05-04,15.26,16.43,15.26,16.42,5947800,16.1
2009-05-05,16.06,16.25,15.77,16.0,4701500,15.69
2009-05-06,16.21,16.48,15.59,15.9,5079600,15.59
2009-05-07,16.1,16.26,14.5,14.82,8055200,14.53
2009-05-08,14.96,15.22,13.79,14.07,8572000,13.8
2009-05-11,13.7,13.73,13.05,13.44,7429600,13.18
2009-05-12,13.57,13.64,12.4,12.61,11359000,12.37
2009-05-13,12.5,12.9,12.04,12.21,8425100,11.97
2009-05-14,12.31,13.32,12.22,13.13,10360200,12.87
2009-05-15,13.47,14.0,13.41,13.9,10414900,13.63
2009-05-18,13.98,14.78,13.89,14.73,8675600,14.44
2009-05-19,14.6,15.09,14.38,14.45,8638800,14.17
2009-05-20,14.6,14.92,13.62,13.71,8588700,13.44
2009-05-21,13.65,13.85,13.1,13.45,7325600,13.19
2009-05-22,13.62,13.68,13.11,13.27,4559100,13.01
2009-05-26,13.1,13.67,13.05,13.58,5095700,13.32
2009-05-27,15.94,16.33,15.38,15.52,26199900,15.22
2009-05-28,16.0,16.1,14.85,15.17,12209100,14.88
2009-05-29,15.24,15.77,14.92,15.66,8454500,15.36
2009-06-01,15.95,16.23,15.78,16.05,9049200,15.74
2009-06-02,16.0,16.05,15.35,15.43,7567300,15.13
2009-06-03,15.18,15.21,14.75,15.15,6678600,14.86
2009-06-04,15.32,15.93,14.75,15.81,8226500,15.5
2009-06-05,16.0,16.0,15.27,15.67,6533700,15.37
2009-06-08,15.55,15.66,15.18,15.58,5827300,15.28
2009-06-09,15.87,16.48,15.77,16.44,9801700,16.12
2009-06-10,16.5,16.72,15.67,16.16,7290600,15.85
2009-06-11,16.25,16.34,15.54,15.7,7857300,15.39
2009-06-12,15.61,15.61,14.88,15.55,6994400,15.25
2009-06-15,15.3,15.47,14.97,15.07,4623100,14.78
2009-06-16,15.13,15.52,14.8,14.81,4967100,14.52
2009-06-17,14.81,15.21,14.59,15.05,6379000,14.76
2009-06-18,14.62,14.74,13.96,14.13,10690600,13.86
2009-06-19,14.09,14.67,14.07,14.55,5687100,14.27
2009-06-22,14.38,14.55,13.55,13.55,5859400,13.29
2009-06-23,13.65,13.87,13.37,13.69,5164800,13.42
2009-06-24,13.76,14.34,13.76,14.1,4230400,13.83
2009-06-25,13.86,14.65,13.82,14.46,5339600,14.18
2009-06-26,14.29,14.88,14.26,14.87,5908700,14.58
2009-06-29,14.82,15.2,14.71,14.8,5661800,14.51
2009-06-30,14.88,15.1,14.52,14.7,3156600,14.41
2009-07-01,14.98,15.15,14.71,14.87,3387600,14.58
2009-07-02,14.58,14.7,14.16,14.19,3401600,13.91
2009-07-06,14.06,14.55,13.8,14.18,5505600,13.9
2009-07-07,14.19,14.39,13.55,13.57,4636000,13.31
2009-07-08,13.6,13.66,13.02,13.33,12616700,13.07
2009-07-09,13.57,14.26,13.46,14.02,5909600,13.75
