Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,42.23,43.4,41.84,43.24,1235900,40.47
2009-01-05,42.37,42.49,41.05,41.61,1866300,38.95
2009-01-06,41.8,42.44,40.9,41.27,1991800,38.63
2009-01-07,40.86,40.99,39.41,39.62,1759000,37.08
2009-01-08,39.51,39.87,39.11,39.64,1384800,37.1
2009-01-09,39.64,40.22,38.2,38.25,1201900,35.8
2009-01-12,38.03,38.39,37.56,37.9,1607200,35.47
2009-01-13,37.91,38.67,37.66,38.29,1713500,35.84
2009-01-14,37.61,38.02,36.76,37.18,1638800,34.8
2009-01-15,37.18,38.32,36.42,38.1,1952000,35.66
2009-01-16,38.49,38.92,37.95,38.75,2073600,36.27
2009-01-20,38.6,38.84,36.4,36.46,1983000,34.13
2009-01-21,37.27,37.82,36.34,37.78,1541000,35.36
2009-01-22,36.74,37.39,36.18,36.66,1630900,34.31
2009-01-23,37.34,37.81,36.18,37.11,2985600,34.73
2009-01-26,37.29,37.92,36.15,36.61,2273000,34.27
2009-01-27,36.7,37.45,36.4,37.11,1396300,34.73
2009-01-28,37.74,38.28,37.56,38.03,1949900,35.6
2009-01-29,37.5,38.38,37.45,37.71,1562600,35.3
2009-01-30,37.7,38.0,35.83,36.08,1999200,33.77
2009-02-02,35.54,36.38,35.5,36.05,1671800,33.74
2009-02-03,36.31,36.71,35.88,36.57,1583400,34.23
2009-02-04,36.72,38.42,36.64,38.26,4384000,35.81
2009-02-05,37.52,38.77,37.36,38.49,2726500,36.03
2009-02-06,38.72,40.16,38.42,39.97,2838900,37.41
2009-02-09,39.78,40.37,39.3,39.62,1644600,37.08
2009-02-10,39.36,39.96,37.66,37.7,2461500,35.29
2009-02-11,37.5,39.16,37.0,38.51,2781000,36.05
2009-02-12,38.09,39.06,37.1,39.06,1729000,36.56
2009-02-13,39.0,39.31,38.41,38.41,1233300,35.95
2009-02-17,36.9,38.1,36.7,37.56,2025300,35.16
2009-02-18,37.74,38.26,37.04,37.67,1900900,35.26
2009-02-19,37.95,38.61,37.5,37.95,1686500,35.52
2009-02-20,37.6,37.83,36.75,37.33,1847800,34.94
2009-02-23,37.47,37.82,35.58,35.64,2257700,33.36
2009-02-24,35.85,37.03,35.5,36.77,2100900,34.42
2009-02-25,36.41,36.93,35.94,35.99,2718400,33.69
2009-02-26,36.23,36.59,35.12,35.12,2354100,33.01
2009-02-27,34.9,36.22,34.59,35.7,2910500,33.55
2009-03-02,35.7,35.7,33.68,33.78,3502900,31.75
2009-03-03,34.5,34.77,33.55,33.63,2145400,31.61
2009-03-04,33.74,34.82,33.27,34.39,1804000,32.32
2009-03-05,34.33,34.34,32.45,32.58,2499800,30.62
2009-03-06,32.78,33.0,31.96,32.67,2281900,30.7
2009-03-09,32.43,32.81,31.45,31.63,2310700,29.73
2009-03-10,32.2,33.52,32.0,33.49,2296400,31.47
2009-03-11,33.63,34.0,33.23,33.74,1596300,31.71
2009-03-12,33.64,34.53,33.24,34.49,1841200,32.41
2009-03-13,34.51,34.74,33.78,34.6,2020100,32.52
2009-03-16,34.8,35.08,34.15,34.24,1552300,32.18
2009-03-17,34.46,35.18,33.98,35.18,1435400,33.06
2009-03-18,33.71,35.92,33.71,35.92,2040100,33.76
2009-03-19,36.0,37.17,35.78,36.28,2238300,34.1
2009-03-20,36.63,36.63,35.57,35.91,2374000,33.75
2009-03-23,35.22,38.23,35.22,38.22,2032300,35.92
2009-03-24,37.97,38.16,37.31,37.65,1582400,35.38
2009-03-25,37.79,38.93,37.64,38.89,2613300,36.55
2009-03-26,38.82,40.55,38.61,39.88,3387500,37.48
2009-03-27,39.08,39.61,38.67,38.78,1050000,36.44
2009-03-30,38.14,38.35,36.95,37.37,1428000,35.12
2009-03-31,37.87,38.4,37.36,37.79,999900,35.51
2009-04-01,37.39,38.72,36.91,38.68,1325900,36.35
2009-04-02,39.24,40.28,37.95,39.73,1237900,37.34
2009-04-03,40.02,40.09,39.22,39.91,876400,37.51
2009-04-06,39.15,40.1,38.85,39.54,799000,37.16
2009-04-07,39.21,39.43,38.15,38.34,943700,36.03
2009-04-08,38.78,39.25,38.26,39.07,715900,36.72
2009-04-09,39.58,40.79,39.58,40.7,1102500,38.25
2009-04-13,40.39,41.07,39.93,40.79,864300,38.33
2009-04-14,40.4,40.84,39.91,40.07,1095100,37.66
2009-04-15,39.81,40.69,39.75,40.68,960100,38.23
2009-04-16,41.21,41.49,40.33,41.25,844500,38.77
2009-04-17,41.27,41.47,40.53,41.34,1124000,38.85
2009-04-20,40.64,40.95,39.3,39.41,1214300,37.04
2009-04-21,38.95,39.82,38.95,39.35,1288100,36.98
2009-04-22,39.07,40.35,38.79,39.41,1360400,37.04
2009-04-23,40.68,41.32,39.55,40.79,1746700,38.33
2009-04-24,40.86,42.27,40.77,42.1,1194500,39.57
2009-04-27,41.34,41.81,40.98,41.06,1139100,38.59
2009-04-28,41.15,42.28,40.29,41.86,1114100,39.34
2009-04-29,42.03,43.54,42.03,43.13,1129600,40.53
2009-04-30,43.4,44.47,43.21,43.84,1465700,41.2
2009-05-01,43.91,44.2,42.89,44.05,1169100,41.4
2009-05-04,44.12,45.18,43.92,45.16,987800,42.44
2009-05-05,45.12,45.33,44.74,45.19,876700,42.47
2009-05-06,45.61,45.85,44.12,44.58,774900,41.9
2009-05-07,44.99,45.08,43.24,43.65,1082100,41.02
