Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,0.12,0.13,0.12,0.12,33217700,0.12
2009-01-05,0.13,0.13,0.12,0.13,37580100,0.13
2009-01-06,0.13,0.14,0.13,0.14,56546000,0.14
2009-01-07,0.14,0.15,0.13,0.14,54933700,0.14
2009-01-08,0.14,0.15,0.13,0.13,38536200,0.13
2009-01-09,0.14,0.14,0.13,0.14,26200900,0.14
2009-01-12,0.15,0.15,0.13,0.13,26542600,0.13
2009-01-13,0.14,0.14,0.13,0.13,18886400,0.13
2009-01-14,0.13,0.14,0.12,0.12,38518100,0.12
2009-01-15,0.12,0.12,0.11,0.12,37649400,0.12
2009-01-16,0.12,0.12,0.11,0.11,44132400,0.11
2009-01-20,0.12,0.12,0.11,0.11,20941600,0.11
2009-01-21,0.11,0.11,0.1,0.11,28195800,0.11
2009-01-22,0.11,0.11,0.1,0.11,15893500,0.11
2009-01-23,0.11,0.11,0.1,0.11,20894600,0.11
2009-01-26,0.11,0.11,0.1,0.11,13687300,0.11
2009-01-27,0.11,0.11,0.11,0.11,20094100,0.11
2009-01-28,0.12,0.13,0.11,0.12,44330400,0.12
2009-01-29,0.12,0.12,0.11,0.11,19322000,0.11
2009-01-30,0.12,0.12,0.11,0.12,18947400,0.12
2009-02-02,0.12,0.13,0.12,0.13,36809800,0.13
2009-02-03,0.13,0.14,0.12,0.14,44623800,0.14
2009-02-04,0.14,0.14,0.14,0.14,27704000,0.14
2009-02-05,0.18,0.2,0.15,0.17,156960700,0.17
2009-02-06,0.18,0.2,0.11,0.13,188835700,0.13
2009-02-09,0.12,0.13,0.11,0.11,102098600,0.11
2009-02-10,0.11,0.12,0.11,0.11,55525100,0.11
2009-02-11,0.08,0.09,0.05,0.06,278087000,0.06
2009-02-12,0.08,0.08,0.06,0.07,203127800,0.07
2009-02-13,0.09,0.12,0.08,0.1,263604900,0.1
2009-02-17,0.19,0.23,0.15,0.16,378130600,0.16
2009-02-18,0.18,0.18,0.13,0.15,136519800,0.15
2009-02-19,0.15,0.15,0.12,0.13,70001200,0.13
2009-02-20,0.13,0.13,0.12,0.13,57970900,0.13
2009-02-23,0.13,0.14,0.13,0.13,30554000,0.13
