Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,52.02,52.86,51.22,52.66,691600,52.66
2009-01-05,52.66,53.11,51.81,52.46,751200,52.46
2009-01-06,52.78,53.34,50.81,51.24,898600,51.24
2009-01-07,50.51,51.15,50.25,51.1,907600,51.1
2009-01-08,51.14,51.79,50.97,51.59,764500,51.59
2009-01-09,51.45,51.57,50.12,50.3,839600,50.3
2009-01-12,50.77,51.07,48.55,48.75,1481700,48.75
2009-01-13,48.76,49.05,47.9,48.23,1291400,48.23
2009-01-14,47.5,47.62,45.43,45.82,2127500,45.82
2009-01-15,46.13,48.82,45.18,48.45,1918200,48.45
2009-01-16,49.14,50.85,49.04,50.69,1445300,50.69
2009-01-20,50.7,51.07,48.4,48.58,1095000,48.58
2009-01-21,49.44,49.72,47.7,49.09,1305600,49.09
2009-01-22,48.32,48.9,47.65,48.67,1353200,48.67
2009-01-23,47.73,49.3,47.73,48.65,946900,48.65
2009-01-26,48.5,49.83,48.35,49.06,668000,49.06
2009-01-27,49.48,50.07,48.93,49.46,676300,49.46
2009-01-28,50.03,50.23,49.42,49.99,708600,49.99
2009-01-29,49.47,50.15,48.96,49.64,771100,49.64
2009-01-30,49.65,50.23,48.55,48.92,738700,48.92
2009-02-02,48.58,48.77,47.79,48.62,728500,48.62
2009-02-03,48.3,49.79,48.18,49.67,763300,49.67
2009-02-04,49.89,51.45,49.53,49.73,774400,49.73
2009-02-05,48.96,51.15,48.65,50.9,948500,50.9
2009-02-06,51.06,51.13,47.76,47.98,2179400,47.98
2009-02-09,48.43,48.43,47.25,48.38,1193700,48.38
2009-02-10,47.88,48.46,46.66,46.83,964000,46.83
2009-02-11,46.7,47.31,45.79,46.06,1151900,46.06
2009-02-12,45.56,46.96,44.36,46.82,1634700,46.82
2009-02-13,46.65,47.46,46.35,46.87,771800,46.87
2009-02-17,44.97,46.87,44.59,46.19,1423400,46.19
2009-02-18,46.45,47.34,46.01,46.88,1148500,46.88
2009-02-19,46.95,47.74,46.39,47.13,1559100,47.13
2009-02-20,46.93,48.79,46.5,48.35,1476600,48.35
2009-02-23,48.56,48.76,46.46,46.56,1549500,46.56
2009-02-24,46.7,47.55,45.96,47.36,1260600,47.36
2009-02-25,46.99,48.74,46.56,48.04,1688200,48.04
2009-02-26,48.2,48.5,47.42,47.57,1218600,47.57
2009-02-27,47.65,48.4,47.1,47.98,1485500,47.98
2009-03-02,47.28,47.61,46.51,47.24,1764800,47.24
2009-03-03,47.72,48.34,47.31,47.64,1599200,47.64
2009-03-04,48.0,49.69,47.65,49.18,1485300,49.18
2009-03-05,48.13,48.97,47.05,47.68,1354100,47.68
2009-03-06,48.06,49.15,46.84,47.74,1017500,47.74
2009-03-09,47.76,48.02,46.32,46.57,1038200,46.57
2009-03-10,47.19,47.86,46.6,47.74,986300,47.74
2009-03-11,47.96,48.7,47.13,48.38,938400,48.38
2009-03-12,48.49,50.71,48.14,50.58,982900,50.58
2009-03-13,50.71,50.78,48.13,48.42,1843300,48.42
2009-03-16,48.7,49.0,47.32,47.55,994000,47.55
2009-03-17,47.52,48.65,47.32,48.56,1138600,48.56
2009-03-18,48.4,48.65,47.06,48.27,1138000,48.27
2009-03-19,48.72,48.97,47.65,48.11,899800,48.11
2009-03-20,47.55,49.17,47.14,47.16,1405600,47.16
2009-03-23,47.71,48.09,47.15,48.04,1549500,48.04
2009-03-24,47.76,48.14,46.96,47.3,1232700,47.3
2009-03-25,47.33,48.61,46.0,47.0,1513500,47.0
2009-03-26,47.61,49.01,47.5,49.01,1362900,49.01
2009-03-27,48.93,48.93,47.84,47.91,626700,47.91
2009-03-30,47.33,47.51,46.58,47.14,671300,47.14
2009-03-31,47.66,48.33,47.14,47.73,799200,47.73
2009-04-01,47.33,49.25,47.33,48.96,774700,48.96
2009-04-02,49.6,50.99,49.01,50.41,1126900,50.41
2009-04-03,49.56,51.18,49.56,51.15,852600,51.15
2009-04-06,50.84,52.25,50.43,52.05,1073400,52.05
2009-04-07,51.5,51.8,50.82,51.27,662500,51.27
2009-04-08,51.7,52.02,51.05,51.8,459600,51.8
2009-04-09,52.36,52.36,49.54,49.7,1227100,49.7
2009-04-13,49.7,50.06,48.79,49.58,732800,49.58
2009-04-14,49.48,50.85,49.18,50.59,1210900,50.59
2009-04-15,50.74,51.53,50.49,51.32,894200,51.32
2009-04-16,51.52,51.52,50.45,51.03,948000,51.03
2009-04-17,51.09,51.33,50.59,50.89,695400,50.89
2009-04-20,50.13,50.66,49.87,50.19,534500,50.19
2009-04-21,50.26,51.1,50.26,50.89,539200,50.89
2009-04-22,50.75,50.96,49.37,49.49,822800,49.49
2009-04-23,49.1,49.44,47.27,48.03,1223200,48.03
2009-04-24,48.14,48.8,47.82,48.4,1110800,48.4
2009-04-27,48.0,49.43,47.81,48.84,753600,48.84
2009-04-28,48.37,50.21,48.35,49.51,831500,49.51
2009-04-29,49.6,50.87,46.4,46.74,2446100,46.74
2009-04-30,47.19,47.78,46.51,47.08,1873900,47.08
2009-05-01,47.06,48.08,46.71,47.78,961600,47.78
2009-05-04,48.27,48.27,47.37,47.85,1190400,47.85
2009-05-05,47.7,47.8,47.17,47.42,949100,47.42
2009-05-06,47.8,47.89,46.62,47.1,1443600,47.1
2009-05-07,47.5,47.85,45.96,46.11,1247800,46.11
2009-05-08,46.24,47.48,45.96,46.76,1138200,46.76
2009-05-11,47.3,49.91,47.18,49.34,1536200,49.34
2009-05-12,50.14,50.14,48.06,48.43,626300,48.43
2009-05-13,48.23,48.9,48.03,48.13,707400,48.13
2009-05-14,48.24,50.86,48.24,50.06,1258000,50.06
2009-05-15,49.82,52.32,49.02,52.09,1674300,52.09
2009-05-18,52.25,52.63,51.13,52.54,1032800,52.54
2009-05-19,52.12,52.64,51.8,51.94,916100,51.94
2009-05-20,51.85,52.15,51.35,51.45,733300,51.45
2009-05-21,51.17,51.45,49.88,50.28,750400,50.28
2009-05-22,50.68,51.13,49.94,50.17,553700,50.17
2009-05-26,49.66,51.54,49.37,51.13,798900,51.13
2009-05-27,51.17,51.33,49.84,49.89,783900,49.89
2009-05-28,49.89,49.96,48.59,49.76,981700,49.76
2009-05-29,49.91,50.13,49.38,49.98,916800,49.98
2009-06-01,50.26,51.09,49.41,51.04,712700,51.04
2009-06-02,50.68,51.33,50.28,50.59,1021800,50.59
2009-06-03,50.2,50.92,50.06,50.65,632900,50.65
2009-06-04,50.52,50.82,50.23,50.44,698600,50.44
2009-06-05,50.77,50.91,49.77,50.08,942400,50.08
2009-06-08,50.07,50.17,48.92,49.47,817200,49.47
2009-06-09,49.18,50.16,48.61,49.87,841100,49.87
2009-06-10,49.56,50.12,48.29,48.96,1026000,48.96
2009-06-11,49.06,50.53,49.05,50.12,571000,50.12
2009-06-12,49.83,50.1,49.31,49.69,608800,49.69
2009-06-15,49.49,49.49,48.73,49.28,827600,49.28
2009-06-16,49.87,50.07,49.22,49.65,772100,49.65
2009-06-17,49.76,50.55,49.67,50.2,597200,50.2
2009-06-18,50.02,50.86,49.83,50.73,589900,50.73
2009-06-19,51.16,51.51,50.67,51.2,893800,51.2
2009-06-22,50.86,50.97,49.59,49.67,525700,49.67
2009-06-23,49.73,49.98,49.15,49.48,475700,49.48
2009-06-24,49.66,50.54,49.27,49.97,771100,49.97
2009-06-25,50.0,51.25,49.68,51.19,519500,51.19
2009-06-26,50.96,51.19,50.38,50.71,697700,50.71
2009-06-29,51.03,51.9,50.82,51.8,712300,51.8
2009-06-30,51.92,52.06,51.27,51.53,887700,51.53
2009-07-01,51.77,51.78,50.16,50.75,684000,50.75
2009-07-02,50.6,50.75,49.94,50.22,572500,50.22
2009-07-06,50.05,50.38,49.76,50.38,475400,50.38
2009-07-07,50.16,50.25,49.19,49.62,732300,49.62
2009-07-08,49.65,49.96,49.02,49.32,456900,49.32
2009-07-09,49.33,49.45,48.52,49.07,380000,49.07
2009-07-10,48.67,49.28,48.5,48.98,382900,48.98
2009-07-13,48.99,49.59,48.46,49.57,504300,49.57
2009-07-14,49.37,50.0,49.36,49.95,365600,49.95
2009-07-15,50.3,50.9,49.9,50.85,463700,50.85
2009-07-16,50.57,50.91,50.12,50.77,668700,50.77
2009-07-17,50.9,51.15,50.19,51.12,447200,51.12
2009-07-20,51.05,51.21,50.45,50.49,492100,50.49
2009-07-21,50.9,50.95,49.69,50.04,625200,50.04
2009-07-22,50.05,50.17,49.73,50.02,436900,50.02
2009-07-23,49.84,51.63,49.66,51.59,747800,51.59
2009-07-24,51.37,51.88,50.87,51.58,505200,51.58
