Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,13.59,14.87,13.48,14.8,12527000,14.14
2009-01-05,14.63,14.67,14.22,14.3,13436700,13.66
2009-01-06,14.47,14.94,14.36,14.66,12796000,14.01
2009-01-07,14.41,14.5,13.81,13.97,10897000,13.35
2009-01-08,13.97,14.12,13.9,14.1,12245800,13.47
2009-01-09,14.09,14.1,13.52,13.6,10040700,13.0
2009-01-12,13.63,13.74,13.37,13.58,9301700,12.98
2009-01-13,13.6,13.84,13.31,13.54,9964300,12.94
2009-01-14,13.35,13.35,12.69,12.74,10180600,12.17
2009-01-15,12.7,13.61,12.63,13.5,15233100,12.9
2009-01-16,13.68,13.92,13.12,13.49,10168700,12.89
2009-01-20,13.41,13.74,12.76,12.76,10335400,12.19
2009-01-21,12.86,13.78,12.86,13.72,13693300,13.11
2009-01-22,12.99,13.46,12.79,13.09,18567200,12.51
2009-01-23,13.01,13.74,12.88,13.57,13810500,12.97
2009-01-26,13.63,13.97,13.37,13.67,12337400,13.06
2009-01-27,13.62,14.18,13.54,13.99,12625900,13.37
2009-01-28,14.25,14.78,14.08,14.63,16848000,13.98
2009-01-29,15.5,15.95,15.36,15.46,27343000,14.77
2009-01-30,15.29,15.64,15.1,15.33,20633200,14.65
2009-02-02,15.21,15.48,14.51,14.69,17922000,14.04
2009-02-03,14.86,15.32,14.64,15.21,17888700,14.53
2009-02-04,15.14,15.87,15.0,15.24,17057200,14.56
2009-02-05,15.1,15.82,14.98,15.68,13580100,14.98
2009-02-06,15.79,16.12,15.57,16.06,14215200,15.35
2009-02-09,16.01,16.06,15.43,15.64,14249800,14.95
2009-02-10,15.64,15.85,14.74,14.83,19619000,14.17
2009-02-11,15.03,15.25,14.7,15.0,14380200,14.33
2009-02-12,14.88,14.99,14.47,14.99,13360800,14.32
2009-02-13,15.03,15.15,14.76,14.8,12179100,14.14
2009-02-17,13.41,14.46,13.39,14.19,15701500,13.56
2009-02-18,14.18,14.59,13.98,14.25,12874200,13.62
2009-02-19,14.25,14.5,14.0,14.0,16936900,13.38
2009-02-20,13.73,14.17,13.73,13.98,16561200,13.36
2009-02-23,14.24,14.28,13.43,13.49,13787900,12.89
2009-02-24,13.4,14.33,13.39,14.24,18200300,13.61
2009-02-25,14.1,14.15,13.56,13.92,23826400,13.3
2009-02-26,14.22,14.22,13.47,13.47,14349600,12.87
2009-02-27,13.25,14.04,13.21,13.83,15666700,13.22
2009-03-02,13.48,13.91,13.46,13.5,17016000,12.9
2009-03-03,13.45,13.73,13.04,13.06,20864200,12.48
2009-03-04,13.32,13.6,13.15,13.49,17938300,12.89
2009-03-05,13.17,13.5,13.09,13.12,14793400,12.54
2009-03-06,13.55,13.56,12.71,12.93,20961200,12.36
2009-03-09,12.76,13.11,12.54,12.62,13623200,12.06
2009-03-10,12.74,13.44,12.73,13.43,18892100,12.83
2009-03-11,13.6,13.6,13.22,13.43,16756000,12.83
2009-03-12,13.3,13.76,13.17,13.76,18475400,13.15
2009-03-13,13.76,13.84,13.44,13.77,10379600,13.16
2009-03-16,13.87,13.89,13.09,13.14,17851200,12.56
2009-03-17,13.24,13.83,13.18,13.83,21435100,13.22
2009-03-18,13.76,14.43,13.73,14.2,19575700,13.57
2009-03-19,14.33,14.49,13.98,14.18,12858800,13.55
2009-03-20,14.38,14.4,13.88,14.01,16386500,13.39
2009-03-23,14.49,14.49,13.73,14.33,22174000,13.69
2009-03-24,14.35,14.5,14.13,14.31,15368500,13.67
2009-03-25,14.67,15.08,14.47,14.82,21356300,14.16
2009-03-26,14.93,15.75,14.88,15.69,17943100,14.99
2009-03-27,15.65,15.68,14.93,14.95,11206600,14.29
2009-03-30,14.89,14.89,14.25,14.56,15336900,13.91
2009-03-31,14.68,15.11,14.6,14.94,12685100,14.28
2009-04-01,14.78,15.47,14.74,15.29,15247900,14.61
2009-04-02,15.5,16.3,15.5,16.02,25374500,15.31
2009-04-03,16.23,16.35,15.91,16.23,14877100,15.51
2009-04-06,15.87,16.14,15.71,16.08,14551300,15.37
2009-04-07,15.9,16.21,15.86,16.07,13892200,15.36
2009-04-08,16.0,16.98,15.77,16.62,17656700,15.88
2009-04-09,16.99,17.39,16.82,17.13,15461200,16.37
2009-04-13,17.05,17.11,16.2,16.36,22701000,15.63
2009-04-14,16.25,16.37,16.0,16.03,20627400,15.32
2009-04-15,15.88,16.48,15.88,16.47,13602800,15.74
2009-04-16,16.72,17.16,16.27,17.06,15508000,16.3
2009-04-17,16.99,17.47,16.85,17.27,18304100,16.5
2009-04-20,16.99,17.06,16.67,16.77,13062700,16.02
2009-04-21,16.75,17.21,16.66,17.05,12861000,16.29
2009-04-22,16.88,17.62,16.75,17.35,16383200,16.58
2009-04-23,17.04,17.21,16.78,17.12,13189300,16.36
2009-04-24,17.14,17.7,17.08,17.7,15295000,16.91
2009-04-27,17.58,17.58,16.86,16.87,22929900,16.12
2009-04-28,16.88,17.09,16.46,16.97,17344900,16.22
2009-04-29,17.01,17.57,16.88,17.3,11024000,16.53
2009-04-30,17.28,17.49,16.99,17.25,11494700,16.48
2009-05-01,17.44,17.9,17.21,17.81,17086900,17.02
2009-05-04,18.04,18.17,17.58,17.74,14558900,16.95
2009-05-05,17.37,17.67,17.15,17.64,17411800,16.86
2009-05-06,17.71,17.78,17.0,17.59,18805800,16.81
2009-05-07,16.04,16.09,14.48,14.99,68103700,14.32
2009-05-08,15.16,15.23,14.57,14.88,28519600,14.22
2009-05-11,14.63,15.64,14.6,15.32,16883800,14.64
2009-05-12,15.73,15.74,15.0,15.14,15341700,14.47
2009-05-13,15.04,15.08,14.73,14.93,13994700,14.27
2009-05-14,14.87,15.04,14.75,14.9,9322800,14.24
2009-05-15,14.85,14.9,14.76,14.82,10712100,14.16
2009-05-18,14.82,15.11,14.61,15.05,20132400,14.38
2009-05-19,15.01,15.65,14.8,15.44,18501600,14.75
2009-05-20,15.53,15.61,15.05,15.09,15187900,14.42
2009-05-21,14.95,15.02,14.71,14.87,13735800,14.21
2009-05-22,14.82,14.87,14.18,14.19,20655800,13.56
2009-05-26,14.01,14.66,13.97,14.43,28463000,13.79
2009-05-27,14.69,15.14,14.58,14.8,26183700,14.14
2009-05-28,14.85,15.32,14.77,15.19,18918700,14.52
2009-05-29,15.26,15.63,15.17,15.63,19555000,14.94
2009-06-01,15.74,15.95,15.61,15.68,16703200,14.98
2009-06-02,15.53,16.12,15.5,16.01,15906500,15.3
2009-06-03,15.93,16.07,15.52,15.77,11415500,15.07
2009-06-04,15.88,16.01,15.7,15.97,9718600,15.26
2009-06-05,16.06,16.18,15.68,16.05,12239900,15.34
2009-06-08,15.83,16.31,15.83,16.15,9336600,15.43
2009-06-09,16.2,16.79,16.2,16.53,17281500,15.8
2009-06-10,16.59,16.79,16.22,16.45,17213600,15.72
2009-06-11,16.42,16.59,15.83,15.88,21022800,15.17
2009-06-12,15.97,16.57,15.9,16.49,15090200,15.76
2009-06-15,16.18,16.37,15.96,16.12,11325600,15.4
2009-06-16,16.04,16.16,15.67,15.73,13076800,15.03
2009-06-17,15.8,16.11,15.61,15.94,14576600,15.23
2009-06-18,15.9,15.95,15.62,15.69,11316200,14.99
2009-06-19,15.9,16.0,15.7,15.88,14279400,15.17
2009-06-22,15.6,15.6,15.02,15.07,15099200,14.4
2009-06-23,15.15,15.19,14.97,15.13,9012600,14.46
2009-06-24,15.2,15.65,15.19,15.47,10882700,14.78
2009-06-25,15.3,15.88,15.11,15.84,10716700,15.14
2009-06-26,15.75,16.0,15.66,15.91,24133400,15.2
2009-06-29,15.74,16.03,15.62,15.67,10311000,14.97
2009-06-30,15.75,15.9,15.41,15.58,12406200,14.89
2009-07-01,15.65,16.04,15.52,15.63,14521000,14.94
