Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,15.5,16.17,15.4,16.04,15194500,13.96
2009-01-05,15.9,16.05,15.58,15.86,11656300,13.8
2009-01-06,15.96,16.7,15.87,16.45,14433000,14.32
2009-01-07,16.0,16.01,15.39,15.58,13510100,13.56
2009-01-08,15.52,15.6,14.91,15.28,11072500,13.3
2009-01-09,15.27,15.39,14.63,14.96,14448900,13.02
2009-01-12,14.82,15.09,14.56,14.73,13139200,12.82
2009-01-13,14.57,15.19,14.52,14.84,13456700,12.92
2009-01-14,14.65,14.68,13.96,14.1,15888500,12.27
2009-01-15,14.03,14.71,13.9,14.54,17708800,12.65
2009-01-16,14.8,15.06,14.33,15.02,21501200,13.07
2009-01-20,14.88,15.09,14.34,14.41,25107600,12.54
2009-01-21,14.57,14.72,13.92,14.56,14159300,12.67
2009-01-22,14.08,14.6,13.92,14.36,16011200,12.5
2009-01-23,14.15,15.32,13.92,14.99,18915200,13.05
2009-01-26,14.76,15.41,14.45,14.77,20003300,12.85
2009-01-27,15.7,15.88,15.14,15.31,27095100,13.32
2009-01-28,15.46,15.73,15.16,15.56,15213200,13.64
2009-01-29,15.51,15.51,14.81,14.95,12144800,13.11
2009-01-30,15.21,15.25,14.51,14.95,22446700,13.11
2009-02-02,14.82,15.9,14.66,15.69,25470700,13.75
2009-02-03,15.85,16.25,15.46,16.02,19034200,14.04
2009-02-04,15.92,17.12,15.92,16.45,25157200,14.42
2009-02-05,16.2,17.13,16.11,16.84,24018600,14.76
2009-02-06,16.84,17.54,16.73,17.38,19352100,15.24
2009-02-09,17.35,17.51,17.04,17.3,18485500,15.17
2009-02-10,17.1,17.49,16.37,16.52,21405200,14.48
2009-02-11,16.56,16.79,15.87,16.23,19878400,14.23
2009-02-12,15.96,16.56,15.74,16.39,23169700,14.37
2009-02-13,16.5,17.32,16.49,16.95,28325400,14.86
2009-02-17,16.4,16.5,15.72,15.77,22021200,13.82
2009-02-18,15.9,16.15,15.47,15.85,16093900,13.89
2009-02-19,15.95,15.99,14.8,14.96,22447500,13.11
2009-02-20,14.72,15.34,14.5,15.04,23155500,13.18
