Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,36.89,37.1,35.65,36.73,3110000,8.82
2009-01-05,37.25,37.25,35.57,35.85,5456400,8.61
2009-01-06,35.95,36.37,34.08,34.8,4319200,8.35
2009-01-07,32.59,33.22,32.08,32.96,6407200,7.91
2009-01-08,33.22,33.49,32.32,33.0,4115600,7.92
2009-01-09,32.9,33.02,32.06,32.46,3108800,7.79
2009-01-12,32.13,33.19,32.0,32.67,2988000,7.84
2009-01-13,32.5,33.53,32.38,32.85,3322400,7.89
2009-01-14,32.47,32.92,31.01,31.41,4589600,7.54
2009-01-15,31.38,33.63,31.07,32.79,4175200,7.87
2009-01-16,33.55,34.4,32.5,34.11,3157600,8.19
2009-01-20,33.59,34.3,32.55,32.56,2086400,7.82
2009-01-21,32.84,33.72,32.01,33.4,3536800,8.02
2009-01-22,32.68,33.89,32.43,33.27,2401200,7.99
2009-01-23,33.51,34.95,32.5,33.82,7028000,8.12
2009-01-26,33.65,35.7,33.65,34.93,2975600,8.38
2009-01-27,35.21,35.88,33.68,34.2,3381200,8.21
2009-01-28,35.19,35.85,34.06,35.26,2821600,8.46
2009-01-29,35.07,35.07,33.73,34.59,3026000,8.3
2009-01-30,34.79,35.12,33.5,33.71,2061600,8.09
2009-02-02,33.27,34.59,33.16,34.29,2590000,8.23
2009-02-03,34.44,35.04,33.43,34.92,2521600,8.38
2009-02-04,34.86,34.98,33.73,34.32,3317200,8.24
2009-02-05,34.0,35.77,33.81,35.49,2503600,8.52
2009-02-06,35.51,35.69,34.8,35.3,3553200,8.47
2009-02-09,35.35,35.71,34.66,35.25,2265200,8.46
2009-02-10,35.16,35.47,33.68,34.34,1875200,8.24
2009-02-11,34.6,34.6,32.59,32.89,3142800,7.9
2009-02-12,32.59,33.5,32.05,33.33,2233200,8.0
2009-02-13,33.31,34.05,32.55,32.7,1685200,7.85
2009-02-17,32.02,32.95,31.59,32.43,2240800,7.78
2009-02-18,32.55,32.86,31.61,32.28,3245600,7.75
2009-02-19,32.57,33.09,31.95,32.13,2361600,7.71
2009-02-20,31.62,33.22,31.62,32.53,2794000,7.81
2009-02-23,32.76,33.24,31.07,31.2,3012000,7.49
2009-02-24,31.0,31.73,30.62,31.5,2142400,7.56
2009-02-25,31.44,31.97,30.77,31.23,2504400,7.5
2009-02-26,31.4,31.54,30.2,30.2,2844000,7.25
2009-02-27,30.64,31.7,30.04,31.24,2971200,7.5
2009-03-02,30.83,31.38,29.51,29.68,2598000,7.12
2009-03-03,30.38,30.57,29.15,29.54,4418000,7.09
2009-03-04,29.84,30.44,29.25,29.91,2381200,7.18
2009-03-05,29.31,29.78,28.67,29.23,3096800,7.02
2009-03-06,29.44,29.88,28.79,29.58,3442000,7.1
2009-03-09,29.39,30.5,28.98,29.35,2770000,7.05
2009-03-10,29.91,32.03,29.6,31.59,2518400,7.58
2009-03-11,31.81,33.19,31.76,32.7,2838000,7.85
2009-03-12,32.0,33.33,31.07,33.17,3284800,7.96
2009-03-13,33.23,33.69,31.68,32.44,3574400,7.79
2009-03-16,34.29,34.55,32.97,33.07,2984400,7.94
2009-03-17,33.15,35.03,33.15,34.96,3376000,8.39
2009-03-18,34.86,35.66,34.37,35.25,2890400,8.46
2009-03-19,35.5,35.57,34.52,34.96,2205600,8.39
2009-03-20,35.15,35.52,34.84,34.96,3136400,8.39
2009-03-23,36.0,36.56,34.82,36.56,2504800,8.78
2009-03-24,35.91,37.56,35.34,36.31,3232800,8.72
2009-03-25,37.35,37.97,35.52,36.27,3353200,8.71
2009-03-26,36.85,37.24,36.01,36.98,3185200,8.88
2009-03-27,36.3,37.16,35.96,36.84,2005600,8.84
2009-03-30,36.02,36.35,34.95,36.23,1562000,8.7
2009-03-31,36.56,36.74,35.33,36.06,1504000,8.66
2009-04-01,35.69,37.08,35.47,36.99,2176000,8.88
2009-04-02,37.57,39.6,36.47,39.08,3485200,9.38
2009-04-03,39.08,39.51,38.43,39.34,1290000,9.44
2009-04-06,37.91,39.41,37.91,39.37,2204800,9.45
2009-04-07,38.99,39.57,38.68,39.06,2445200,9.38
2009-04-08,39.38,40.28,38.94,39.51,1941600,9.48
2009-04-09,40.25,41.24,39.61,41.04,1643600,9.85
2009-04-13,40.6,40.99,38.93,40.12,1849600,9.63
2009-04-14,39.48,40.04,38.84,39.6,1683200,9.51
2009-04-15,38.93,39.95,38.93,39.65,1544400,9.52
2009-04-16,39.99,40.99,39.05,40.57,2165600,9.74
2009-04-17,40.62,41.05,39.49,40.91,1572800,9.82
2009-04-20,40.0,40.88,39.46,40.54,2261600,9.73
2009-04-21,40.27,42.32,39.8,41.98,5426800,10.08
2009-04-22,41.51,43.72,41.02,42.7,3834000,10.25
2009-04-23,42.08,42.08,39.15,40.11,7595200,9.63
2009-04-24,40.34,40.83,39.64,39.83,3089600,9.56
2009-04-27,40.21,40.21,38.45,38.97,3749600,9.35
2009-04-28,38.82,40.21,38.5,39.67,2346400,9.52
