Date,Open,High,Low,Close,Volume,Adj Close
2009-10-07,27.0,28.97,26.41,27.22,63739500,27.22
2009-10-08,27.33,27.44,26.5,26.6,6906700,26.6
2009-10-09,26.83,27.49,26.38,26.4,3361300,26.4
2009-10-12,27.29,27.9,26.1,26.25,7177000,26.25
2009-10-13,26.67,27.26,26.54,27.19,3296000,27.19
2009-10-14,27.25,28.24,27.0,27.99,3222400,27.99
2009-10-15,28.28,28.8,27.75,28.31,3181300,28.31
2009-10-16,28.45,28.6,27.55,28.57,3974100,28.57
2009-10-19,28.52,28.89,27.5,27.5,1892100,27.5
2009-10-20,27.5,28.1,27.35,28.06,3387000,28.06
2009-10-21,28.0,28.35,27.86,28.0,1079000,28.0
2009-10-22,27.76,28.48,27.32,27.89,1172500,27.89
2009-10-23,28.0,28.39,27.51,28.37,2385700,28.37
2009-10-26,27.83,28.6,27.76,28.45,834400,28.45
2009-10-27,28.54,29.25,27.93,28.56,1578700,28.56
2009-10-28,28.21,28.55,27.56,27.69,1153500,27.69
2009-10-29,27.88,28.0,27.75,27.89,563500,27.89
2009-10-30,28.0,28.07,27.3,27.43,819600,27.43
2009-11-02,27.38,27.65,26.6,27.37,978000,27.37
2009-11-03,27.43,27.49,26.85,27.36,696500,27.36
2009-11-04,27.33,27.48,26.95,26.96,461200,26.96
2009-11-05,27.02,27.6,26.97,27.3,470400,27.3
2009-11-06,27.15,27.34,26.95,27.1,310800,27.1
2009-11-09,27.25,27.69,27.05,27.58,615600,27.58
2009-11-10,27.25,28.26,27.25,27.67,287300,27.67
2009-11-11,27.93,29.12,27.63,28.98,1174600,28.98
2009-11-12,28.78,30.0,28.43,28.9,1211600,28.9
2009-11-13,28.78,29.08,28.51,28.9,414900,28.9
2009-11-16,28.75,29.01,28.25,28.85,1424300,28.85
2009-11-17,28.55,28.96,27.4,27.85,2496000,27.85
2009-11-18,28.39,29.0,28.16,28.5,730900,28.5
2009-11-19,28.81,28.89,27.94,28.54,1223600,28.54
2009-11-20,28.5,28.64,28.42,28.55,875700,28.55
2009-11-23,28.68,28.68,27.67,28.4,447600,28.4
2009-11-24,28.18,28.18,27.65,27.78,685400,27.78
2009-11-25,27.72,27.81,27.17,27.3,892800,27.3
2009-11-27,26.96,27.18,26.66,26.99,264600,26.99
2009-11-30,27.34,27.4,26.73,26.91,888700,26.91
2009-12-01,26.91,28.05,26.91,27.78,617200,27.78
2009-12-02,27.76,27.81,27.35,27.51,820900,27.51
2009-12-03,27.81,27.94,27.5,27.72,491800,27.72
2009-12-04,27.85,28.44,27.85,28.43,535500,28.43
2009-12-07,28.2,28.98,27.94,28.74,361500,28.74
2009-12-08,28.41,28.92,27.9,28.61,398200,28.61
2009-12-09,28.33,28.7,28.18,28.65,449600,28.65
2009-12-10,28.57,28.7,28.13,28.4,435200,28.4
2009-12-11,28.02,28.81,28.0,28.66,590700,28.66
2009-12-14,28.56,29.04,28.56,28.99,502300,28.99
2009-12-15,28.93,29.47,28.77,29.3,891900,29.3
2009-12-16,29.27,30.97,29.15,30.39,1572400,30.39
2009-12-17,30.25,30.64,30.0,30.4,929200,30.4
