Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,30.27,30.73,29.57,30.69,1216600,30.69
2009-01-05,30.63,32.27,30.24,32.15,2331600,32.15
2009-01-06,31.92,32.65,30.75,31.63,2055600,31.63
2009-01-07,31.21,31.85,30.78,31.52,1703300,31.52
2009-01-08,31.46,31.77,30.33,31.77,1867600,31.77
2009-01-09,31.85,31.85,29.5,29.91,1752800,29.91
2009-01-12,30.04,30.3,28.86,29.52,1549800,29.52
2009-01-13,29.62,31.72,29.33,31.23,2139700,31.23
2009-01-14,30.76,31.54,29.85,30.03,1726200,30.03
2009-01-15,30.11,31.1,29.17,30.86,1626200,30.86
2009-01-16,31.0,31.36,30.07,30.75,2045700,30.75
2009-01-20,30.84,31.99,29.38,29.48,2449600,29.48
2009-01-21,29.91,31.6,29.78,31.53,2656600,31.53
2009-01-22,30.76,31.75,30.5,30.98,1387700,30.98
2009-01-23,30.45,31.7,30.27,30.94,1103900,30.94
2009-01-26,31.01,32.13,31.01,31.43,1427900,31.43
2009-01-27,31.56,31.89,31.03,31.64,1800700,31.64
2009-01-28,31.59,32.99,31.44,32.54,1371600,32.54
2009-01-29,32.3,33.98,32.19,33.72,2793000,33.72
2009-01-30,33.67,33.84,32.98,33.05,1948500,33.05
2009-02-02,32.85,32.97,32.29,32.75,2389300,32.75
2009-02-03,32.79,33.24,31.99,33.2,1845500,33.2
2009-02-04,32.89,34.17,32.89,33.39,1432700,33.39
2009-02-05,33.1,34.2,32.91,33.96,1490400,33.96
2009-02-06,35.01,35.97,34.59,35.0,2794800,35.0
2009-02-09,34.67,34.8,32.94,33.53,2141400,33.53
2009-02-10,33.2,33.2,30.66,31.49,3578600,31.49
2009-02-11,31.62,32.26,31.27,31.88,1454600,31.88
2009-02-12,31.56,33.29,31.46,33.29,1720600,33.29
2009-02-13,33.3,33.7,32.73,33.29,1314500,33.29
2009-02-17,32.52,33.49,32.36,33.1,1746800,33.1
2009-02-18,33.27,33.35,32.1,32.56,1358100,32.56
2009-02-19,33.1,34.34,33.0,33.7,4705600,33.7
2009-02-20,33.34,33.8,32.88,33.06,2636500,33.06
2009-02-23,33.18,33.5,32.82,32.89,2271400,32.89
2009-02-24,33.15,33.68,32.81,33.58,2325800,33.58
