Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,19.27,20.0,18.76,19.73,2835800,18.17
2009-01-05,19.67,20.23,19.33,20.12,3634300,18.53
2009-01-06,20.18,20.8,19.57,20.64,6486400,19.01
2009-01-07,19.98,20.09,19.3,19.55,6165600,18.01
2009-01-08,19.43,19.43,18.84,19.21,3648400,17.69
2009-01-09,19.21,19.4,18.4,18.48,4184700,17.02
2009-01-12,18.46,18.48,17.47,17.63,4170600,16.24
2009-01-13,17.62,17.78,17.21,17.52,5188600,16.14
2009-01-14,17.03,17.32,16.5,16.75,4680900,15.43
2009-01-15,16.66,16.9,15.75,16.57,6230300,15.26
2009-01-16,16.73,16.77,15.64,16.26,5022200,14.98
2009-01-20,15.75,16.56,15.1,15.17,4964300,13.97
2009-01-21,15.46,15.67,14.74,15.51,4676200,14.29
2009-01-22,15.07,15.81,14.81,15.43,3688300,14.21
2009-01-23,15.0,15.33,14.7,15.02,4065900,13.83
2009-01-26,15.06,15.75,14.74,15.1,3597700,13.91
2009-01-27,15.13,15.42,14.89,15.03,5072200,13.84
2009-01-28,15.32,16.16,15.25,15.99,3715000,14.73
2009-01-29,15.75,15.8,15.24,15.34,2561600,14.13
2009-01-30,15.25,15.45,14.58,14.75,5573700,13.59
2009-02-02,14.4,14.79,14.01,14.61,4843000,13.46
2009-02-03,14.66,16.17,14.66,16.05,7918700,14.78
2009-02-04,15.94,16.6,15.38,15.51,7422300,14.29
2009-02-05,15.44,15.82,15.0,15.79,3785900,14.54
2009-02-06,15.96,17.11,15.71,16.56,4861700,15.25
2009-02-09,16.62,17.98,16.18,16.55,2972100,15.24
2009-02-10,16.22,16.55,15.1,15.31,4368800,14.1
2009-02-11,16.53,16.64,15.15,15.63,4090000,14.4
2009-02-12,14.75,16.49,14.74,16.29,6962700,15.0
2009-02-13,16.25,17.24,15.96,16.82,5431200,15.49
2009-02-17,16.15,16.26,15.55,15.77,4113300,14.52
2009-02-18,15.7,15.93,15.16,15.33,3706600,14.12
2009-02-19,15.49,15.88,15.04,15.11,4194600,13.92
2009-02-20,14.84,15.68,14.75,15.29,5294900,14.08
2009-02-23,15.51,15.8,14.71,14.88,4714100,13.71
2009-02-24,15.05,15.97,14.84,15.74,4758800,14.5
2009-02-25,15.61,15.71,14.79,15.48,3922800,14.26
2009-02-26,15.65,16.33,15.31,15.39,4903100,14.17
2009-02-27,15.0,15.86,14.8,15.39,7160900,14.17
2009-03-02,15.0,15.2,14.2,14.25,5534300,13.12
2009-03-03,14.44,14.47,13.73,13.87,4511800,12.77
2009-03-04,14.02,14.48,13.89,14.16,5258100,13.04
2009-03-05,13.72,14.24,13.37,13.5,4388600,12.43
2009-03-06,13.61,14.71,13.51,13.92,7056400,12.82
2009-03-09,13.72,14.12,13.25,13.44,4631100,12.38
2009-03-10,13.85,14.59,13.6,14.53,5888100,13.38
2009-03-11,14.68,15.06,14.3,14.6,4532300,13.45
2009-03-12,14.51,15.57,14.09,15.26,6918300,14.06
2009-03-13,15.36,15.44,14.75,15.15,3563100,13.95
2009-03-16,15.36,15.77,15.09,15.16,2828400,13.96
2009-03-17,15.15,15.97,15.11,15.72,3018700,14.48
2009-03-18,15.59,16.81,15.52,16.53,4798100,15.22
2009-03-19,15.91,16.61,15.89,16.28,4411400,14.99
2009-03-20,16.3,16.6,16.18,16.47,6245600,15.17
2009-03-23,16.98,18.16,16.73,18.05,3506200,16.62
2009-03-24,17.88,18.7,17.71,18.04,3849000,16.62
2009-03-25,18.2,18.94,17.71,18.19,3200700,16.75
2009-03-26,18.35,18.5,17.97,18.3,3950500,16.86
2009-03-27,18.08,18.2,17.53,17.54,4135500,16.16
2009-03-30,17.07,17.4,16.92,17.26,6453300,15.9
2009-03-31,17.49,17.81,17.1,17.38,4902700,16.01
2009-04-01,17.07,18.29,17.04,18.21,3861300,16.77
2009-04-02,18.65,19.56,17.9,19.3,5485100,17.78
2009-04-03,19.49,19.99,19.02,19.74,4134200,18.18
2009-04-06,19.47,19.47,17.94,18.63,5966600,17.16
2009-04-07,18.22,18.51,17.89,18.05,2765800,16.62
2009-04-08,18.12,18.7,17.76,18.42,2819700,16.97
2009-04-09,19.26,19.26,17.8,18.94,3119300,17.44
2009-04-13,18.71,19.34,18.51,19.15,2852100,17.64
2009-04-14,18.97,19.22,18.56,19.05,3812000,17.55
2009-04-15,18.91,18.94,18.59,18.85,3339600,17.36
2009-04-16,18.98,19.78,18.88,19.48,3563900,17.94
2009-04-17,19.67,19.67,18.95,19.44,3361600,17.91
2009-04-20,19.03,19.15,18.11,18.44,2820000,16.98
2009-04-21,18.43,18.69,18.2,18.41,3023500,16.96
2009-04-22,18.18,18.92,17.97,18.6,3313900,17.13
2009-04-23,18.57,18.74,18.05,18.59,4546900,17.12
2009-04-24,18.74,19.66,18.49,19.45,5290900,17.91
2009-04-27,19.14,19.51,18.92,18.98,5055100,17.48
2009-04-28,18.69,19.26,18.31,18.98,4580900,17.48
2009-04-29,19.16,20.8,19.16,20.44,5908600,18.83
2009-04-30,20.97,21.56,19.21,19.24,6656200,17.72
2009-05-01,19.13,19.55,18.87,19.24,4617300,17.72
2009-05-04,18.4,20.35,18.4,20.03,4633400,18.45
2009-05-05,19.91,20.43,19.9,20.32,3632100,18.72
2009-05-06,20.61,21.75,20.61,21.71,5576100,20.0
2009-05-07,21.97,23.0,20.96,21.11,5555700,19.44
2009-05-08,21.43,21.86,20.91,21.69,3325000,19.98
2009-05-11,21.31,21.99,20.95,21.77,3849400,20.05
2009-05-12,21.89,21.89,19.7,20.65,5523000,19.02
2009-05-13,20.27,20.27,19.16,19.25,3738600,17.73
2009-05-14,19.29,19.83,19.2,19.55,2110800,18.01
2009-05-15,19.61,20.71,19.61,20.29,5717300,18.69
2009-05-18,20.56,21.37,20.36,21.34,3597000,19.66
2009-05-19,21.12,21.56,20.8,21.19,3086000,19.52
2009-05-20,21.43,21.53,20.81,21.07,2915900,19.41
2009-05-21,20.74,20.74,20.17,20.66,3160900,19.03
2009-05-22,20.65,21.77,20.65,21.6,3762700,19.89
2009-05-26,21.38,22.76,21.16,22.65,5164100,20.86
2009-05-27,22.34,22.95,22.06,22.13,6133900,20.38
2009-05-28,22.26,22.42,21.71,22.11,4084500,20.36
2009-05-29,22.49,22.7,21.76,22.17,4546700,20.42
2009-06-01,22.66,23.46,22.6,23.21,4821000,21.38
2009-06-02,23.09,23.65,22.86,23.45,4777500,21.6
2009-06-03,23.11,23.5,22.47,22.7,3263700,20.91
2009-06-04,22.96,23.05,22.45,22.75,3595700,20.95
2009-06-05,23.03,23.08,22.18,22.63,3227000,20.84
2009-06-08,21.55,23.24,21.55,22.95,2972100,21.14
2009-06-09,22.96,23.11,22.46,22.85,2400700,21.05
2009-06-10,22.94,23.31,22.62,23.13,3143800,21.3
2009-06-11,23.25,24.18,22.89,23.7,4218600,21.83
2009-06-12,23.5,23.67,22.91,23.56,3862200,21.7
2009-06-15,23.28,23.33,22.44,22.62,3945700,20.83
2009-06-16,22.76,22.83,21.97,22.15,3483900,20.4
2009-06-17,22.09,22.57,21.64,22.31,3337600,20.55
2009-06-18,22.53,23.24,22.34,23.12,3043400,21.29
2009-06-19,23.38,23.82,23.2,23.29,4397300,21.45
2009-06-22,22.21,23.2,21.94,21.94,5015600,20.21
2009-06-23,21.93,22.3,21.59,22.03,4141100,20.29
2009-06-24,22.15,22.41,21.61,21.78,4060400,20.06
2009-06-25,21.69,22.67,21.42,22.31,4835000,20.55
2009-06-26,22.2,22.61,21.88,22.45,10039100,20.68
2009-06-29,22.59,23.64,22.55,23.4,4654300,21.55
2009-06-30,23.35,23.46,22.42,22.7,3911700,20.91
2009-07-01,22.87,23.1,22.55,22.83,3540400,21.03
2009-07-02,21.95,22.5,21.42,21.5,5434200,19.8
2009-07-06,21.44,21.85,20.91,21.29,6322700,19.61
2009-07-07,21.3,22.35,20.57,20.68,5255600,19.05
2009-07-08,20.81,20.92,20.17,20.37,4973600,18.76
2009-07-09,20.53,20.8,20.36,20.64,2383400,19.01
2009-07-10,20.43,20.54,19.95,20.31,3776500,18.71
2009-07-13,20.24,20.89,20.1,20.86,3772900,19.21
2009-07-14,20.92,21.22,20.81,20.99,3099300,19.33
2009-07-15,21.26,22.17,21.23,22.07,5686000,20.33
2009-07-16,22.16,22.89,21.99,22.69,3582100,20.9
2009-07-17,22.61,22.81,22.36,22.54,2612100,20.76
2009-07-20,22.28,22.82,22.04,22.76,3055700,20.96
2009-07-21,22.85,23.22,22.62,23.02,4172400,21.2
2009-07-22,22.78,23.5,22.6,23.4,1944600,21.55
2009-07-23,23.48,24.44,23.24,24.22,3362400,22.31
2009-07-24,24.01,24.21,23.55,24.1,2063600,22.2
2009-07-27,24.16,24.33,23.8,24.25,3360200,22.34
2009-07-28,23.49,25.13,23.48,23.75,5661200,21.87
2009-07-29,23.6,23.74,22.96,23.1,3531700,21.28
2009-07-30,23.46,23.86,23.18,23.66,5830900,21.79
2009-07-31,23.65,23.66,23.1,23.16,4044100,21.33
2009-08-03,23.46,23.91,23.1,23.7,3087600,21.83
2009-08-04,23.68,24.05,23.42,23.95,2546900,22.06
2009-08-05,24.05,24.15,23.31,23.54,2402200,21.68
2009-08-06,23.8,24.03,23.46,23.56,2319200,21.7
2009-08-07,23.68,25.16,23.68,24.99,4776700,23.02
2009-08-10,24.8,25.35,24.63,25.21,3259000,23.22
2009-08-11,25.18,25.25,24.31,24.51,2801200,22.57
2009-08-12,24.56,25.14,24.3,24.62,4419000,22.68
2009-08-13,24.74,24.78,23.33,24.3,3320000,22.38
2009-08-14,24.49,24.49,23.72,24.2,2602800,22.29
2009-08-17,24.05,24.05,23.38,23.54,2303900,21.68
2009-08-18,23.54,23.78,23.4,23.58,2548800,21.72
2009-08-19,23.42,24.27,23.36,23.96,2938900,22.07
2009-08-20,23.99,24.34,23.71,24.2,2467100,22.29
2009-08-21,24.36,24.82,24.09,24.77,3022800,22.81
