Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,7.4,8.25,7.19,8.19,4770400,5.91
2009-01-05,8.33,8.9,7.87,8.81,7705500,6.35
2009-01-06,9.18,9.49,8.82,9.04,6602000,6.52
2009-01-07,8.77,9.01,8.13,8.28,3344400,5.97
2009-01-08,8.37,8.64,7.92,8.62,2446400,6.22
2009-01-09,8.8,8.8,8.1,8.31,2048200,5.99
2009-01-12,8.23,8.42,7.68,7.77,3082700,5.6
2009-01-13,7.75,8.0,7.5,7.71,2811200,5.56
2009-01-14,7.4,7.49,6.86,7.05,7128500,5.08
2009-01-15,6.98,7.49,6.7,7.25,7088300,5.23
2009-01-16,7.31,7.49,6.56,6.69,7969000,4.83
2009-01-20,6.7,6.7,5.92,5.99,5899300,4.32
2009-01-21,6.04,6.35,5.9,6.25,6439900,4.51
2009-01-22,6.14,6.45,5.88,6.29,4561700,4.54
2009-01-23,6.05,6.88,5.86,6.69,3988200,4.83
2009-01-26,6.52,7.15,6.52,6.9,5255400,4.98
2009-01-27,6.78,7.4,6.76,6.77,4469900,4.88
2009-01-28,7.27,7.5,6.9,7.42,5302100,5.35
2009-01-29,7.04,7.17,6.2,6.22,7405600,4.49
2009-01-30,6.68,6.74,6.0,6.09,5409600,4.39
2009-02-02,6.0,6.01,5.25,5.47,8846400,3.95
2009-02-03,5.56,5.76,5.09,5.17,9303500,3.73
2009-02-04,5.39,5.54,5.01,5.3,10172700,3.82
2009-02-05,5.25,5.59,4.97,5.44,9283500,3.92
2009-02-06,5.66,5.92,5.65,5.75,11301900,4.15
2009-02-09,5.87,6.42,5.87,6.11,7540400,4.41
2009-02-10,6.1,6.67,5.82,6.0,8336500,4.33
2009-02-11,6.17,7.15,5.84,6.31,11974900,4.55
2009-02-12,6.3,6.68,5.72,6.1,10828000,4.4
2009-02-13,6.18,6.61,6.12,6.51,7253500,4.7
2009-02-17,5.79,5.86,5.27,5.47,9924000,3.95
2009-02-18,5.46,5.75,5.25,5.7,5093400,4.11
2009-02-19,5.96,6.15,5.86,5.99,6516000,4.32
2009-02-20,5.45,5.74,5.33,5.62,4985800,4.05
2009-02-23,5.74,5.75,5.17,5.21,4092300,3.76
2009-02-24,5.25,5.91,5.18,5.9,5655300,4.26
2009-02-25,5.79,5.88,5.25,5.44,8543600,3.92
2009-02-26,5.55,5.66,5.23,5.3,10471900,3.82
2009-02-27,5.14,5.44,4.95,5.24,5015200,3.78
2009-03-02,5.19,5.5,4.84,4.91,6488300,3.54
2009-03-03,4.99,5.18,4.84,5.0,6135400,3.61
2009-03-04,5.11,5.61,5.08,5.32,8378100,3.84
2009-03-05,4.85,5.21,4.85,4.92,7627400,3.55
2009-03-06,5.21,5.21,4.85,4.98,4895900,3.59
2009-03-09,4.91,5.11,4.81,4.96,5104600,3.58
2009-03-10,5.18,5.8,5.11,5.66,7255600,4.08
2009-03-11,5.54,5.97,5.27,5.45,6090700,3.93
2009-03-12,5.27,5.27,4.9,5.11,13746200,3.69
2009-03-13,5.14,5.83,5.14,5.66,11831500,4.08
2009-03-16,5.54,6.17,5.5,5.64,11607900,4.07
2009-03-17,5.65,6.04,5.51,6.0,7045900,4.33
2009-03-18,5.94,6.33,5.9,6.16,12296200,4.44
2009-03-19,6.5,7.09,6.47,6.96,14927500,5.02
2009-03-20,6.85,7.01,6.3,6.53,7283400,4.71
2009-03-23,6.94,7.46,6.75,7.43,7485200,5.36
2009-03-24,7.25,7.25,6.61,6.83,13008000,4.93
2009-03-25,7.2,7.3,6.6,6.88,6085800,4.96
2009-03-26,7.07,7.47,6.93,7.47,8678900,5.39
2009-03-27,7.04,7.23,6.76,6.88,11490800,4.96
2009-03-30,6.7,6.7,6.25,6.46,5684600,4.66
