Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,19.89,20.47,19.83,20.39,2307500,14.55
2009-01-05,20.96,21.4,20.88,21.39,6588600,15.27
2009-01-06,21.33,22.02,21.3,21.88,5206800,15.62
2009-01-07,21.55,21.84,21.21,21.38,3307300,15.26
2009-01-08,21.21,21.36,20.94,21.33,5873900,15.23
2009-01-09,21.18,21.24,20.69,20.85,5868000,14.88
2009-01-12,20.6,20.66,20.26,20.41,2841700,14.57
2009-01-13,19.95,20.28,19.91,20.11,3961700,14.35
2009-01-14,19.8,19.87,19.5,19.74,3136700,14.09
2009-01-15,19.39,19.87,18.93,19.74,3662500,14.09
2009-01-16,20.38,20.41,19.58,20.02,4476100,14.29
2009-01-20,19.38,19.45,18.71,18.79,4048400,13.41
2009-01-21,18.59,18.87,18.12,18.83,3920500,13.44
2009-01-22,17.89,18.28,17.61,18.15,4678700,12.96
2009-01-23,17.53,18.23,17.4,18.16,4598000,12.96
2009-01-26,18.53,19.13,18.41,18.82,3549400,13.43
2009-01-27,18.94,19.23,18.73,19.03,4808700,13.58
2009-01-28,19.43,19.57,19.12,19.39,3112900,13.84
2009-01-29,18.77,19.09,18.6,18.7,3428900,13.35
2009-01-30,19.02,19.03,18.5,18.59,3395300,13.27
2009-02-02,18.03,18.6,17.96,18.48,4086900,13.19
2009-02-03,19.66,19.96,19.41,19.91,3885800,14.21
2009-02-04,19.64,20.05,19.39,19.45,3161500,13.88
2009-02-05,19.69,20.09,19.42,19.98,4602300,14.26
2009-02-06,20.15,20.71,20.09,20.5,3503300,14.63
2009-02-09,20.46,20.62,20.19,20.34,3701400,14.52
2009-02-10,20.22,20.25,19.14,19.26,4617500,13.75
2009-02-11,19.26,19.39,18.97,19.2,3792100,13.71
2009-02-12,18.69,19.23,18.54,19.21,3623400,13.71
2009-02-13,19.39,19.55,19.09,19.16,2883700,13.68
2009-02-17,18.53,18.69,18.22,18.42,2758200,13.15
2009-02-18,18.39,18.39,17.88,18.15,2802000,12.96
2009-02-19,18.32,18.45,17.86,17.89,3329900,12.77
2009-02-20,17.56,18.32,17.55,18.08,4341700,12.91
2009-02-23,18.65,18.65,17.77,17.86,3589400,12.75
2009-02-24,17.8,18.13,17.48,18.06,4564800,12.89
2009-02-25,17.56,17.66,16.9,17.17,4708400,12.26
2009-02-26,18.09,18.14,17.33,17.48,4462900,12.48
2009-02-27,17.41,18.13,17.4,17.75,4069000,12.67
2009-03-02,17.26,17.28,16.66,16.72,4347600,11.93
2009-03-03,16.77,16.78,16.32,16.54,5396700,11.81
2009-03-04,17.0,17.44,16.73,17.26,4038300,12.32
2009-03-05,16.7,17.01,16.22,16.38,5884800,11.69
2009-03-06,17.06,17.17,16.26,16.66,3946500,11.89
2009-03-09,15.7,15.94,15.46,15.48,5123000,11.05
2009-03-10,16.01,16.61,15.94,16.54,4344100,11.81
2009-03-11,16.01,16.22,15.7,15.89,7701200,11.34
2009-03-12,16.12,16.48,15.91,16.44,9700800,11.73
2009-03-13,16.45,16.51,16.03,16.38,4158600,11.69
2009-03-16,16.92,17.08,16.65,16.68,2350200,11.91
2009-03-17,16.99,17.59,16.72,17.54,3190300,12.52
2009-03-18,17.13,17.96,16.96,17.79,3140500,12.7
2009-03-19,17.57,17.73,17.32,17.5,2721700,12.49
