Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,42.12,47.5,42.08,47.42,1361400,33.19
2009-01-05,46.03,52.78,46.03,52.3,3101200,36.61
2009-01-06,52.24,55.41,50.69,55.28,3161300,38.7
2009-01-07,53.05,53.25,46.74,47.23,3278200,33.06
2009-01-08,47.32,47.49,45.06,46.45,1616800,32.52
2009-01-09,46.14,47.08,43.81,44.04,1227700,30.83
2009-01-12,43.69,43.78,40.37,41.0,1825300,28.7
2009-01-13,40.82,41.71,38.34,39.23,2338000,27.46
2009-01-14,38.8,38.8,35.89,36.28,2548100,25.4
2009-01-15,36.26,38.4,33.52,36.13,3868800,25.29
2009-01-16,37.01,37.96,34.91,36.94,2621600,25.86
2009-01-20,36.83,36.98,32.96,32.97,2508700,23.08
2009-01-21,33.71,35.18,33.03,35.0,1860800,24.5
2009-01-22,34.0,35.95,32.55,34.36,2023000,24.05
2009-01-23,33.32,36.02,32.57,34.26,2011100,23.98
2009-01-26,34.4,37.1,33.97,35.32,2314500,24.72
2009-01-27,35.76,36.85,33.62,33.85,1856300,23.7
2009-01-28,35.09,37.0,34.94,35.74,2434500,25.02
2009-01-29,35.28,35.62,32.61,32.82,2007800,22.97
2009-01-30,32.6,32.7,29.55,30.08,3805500,21.06
2009-02-02,29.55,30.4,28.6,29.73,2794700,20.81
2009-02-03,29.88,30.51,26.8,28.82,3798400,20.17
2009-02-04,27.66,27.85,25.14,26.23,7374300,18.36
2009-02-05,26.0,29.2,25.5,28.2,4538000,19.74
2009-02-06,28.31,30.5,28.01,29.76,2586400,20.83
2009-02-09,30.0,31.5,29.2,30.85,1754200,21.6
2009-02-10,30.02,30.85,27.38,27.58,2020800,19.31
2009-02-11,28.49,28.53,25.25,26.41,2255500,18.49
2009-02-12,26.15,26.88,25.43,26.71,2883900,18.7
2009-02-13,27.09,27.09,25.63,26.04,1190800,18.23
2009-02-17,25.6,25.6,23.63,24.1,2237300,16.87
2009-02-18,24.3,24.44,22.55,23.26,2579600,16.28
2009-02-19,23.5,24.65,22.55,23.0,1845500,16.1
2009-02-20,23.8,25.25,23.28,24.95,3511400,17.47
2009-02-23,25.05,25.62,23.02,23.28,2232400,16.3
2009-02-24,23.47,26.0,22.57,25.8,3550500,18.06
2009-02-25,21.96,23.43,21.06,21.75,7736200,15.23
2009-02-26,22.56,23.68,21.65,22.28,3452300,15.6
2009-02-27,21.59,21.93,20.72,20.95,3616200,14.67
2009-03-02,20.5,20.5,17.65,17.65,4915400,12.36
2009-03-03,17.95,18.29,16.93,17.28,3758000,12.1
2009-03-04,17.63,17.67,15.61,17.2,4331900,12.04
2009-03-05,16.75,17.34,16.1,16.29,2857900,11.4
2009-03-06,16.38,16.75,14.5,15.4,2766300,10.78
2009-03-09,15.09,16.85,14.8,15.55,2471700,10.89
2009-03-10,16.51,20.13,16.46,19.5,5350500,13.65
2009-03-11,19.99,20.95,18.21,19.02,3576700,13.31
2009-03-12,19.47,20.6,18.41,20.52,2573200,14.36
2009-03-13,21.16,22.5,20.01,20.8,2579600,14.56
2009-03-16,21.54,21.85,19.55,19.65,1507400,13.76
2009-03-17,18.95,20.95,18.71,20.72,6386900,14.5
2009-03-18,20.6,21.41,19.35,21.17,3566500,14.82
2009-03-19,21.3,21.95,19.95,20.78,2872800,14.55
2009-03-20,21.35,21.4,19.96,20.53,2731800,14.37
2009-03-23,21.46,23.6,20.64,23.43,4108000,16.4
2009-03-24,22.86,23.87,22.21,22.6,2185200,15.82
2009-03-25,22.59,23.75,20.0,22.36,3155600,15.65
2009-03-26,22.72,23.09,21.4,22.7,2390900,15.89
2009-03-27,21.98,22.78,21.32,21.37,2107600,14.96
2009-03-30,20.37,20.78,19.0,19.19,2177600,13.43
2009-03-31,19.68,20.2,19.0,19.97,2588100,13.98
2009-04-01,20.0,21.64,19.52,21.55,2913500,15.09
2009-04-02,23.24,26.87,23.24,26.85,6971800,18.8
2009-04-03,26.51,29.94,26.24,29.65,5659900,20.76
2009-04-06,30.95,33.0,30.71,31.2,8179300,21.84
2009-04-07,30.31,30.51,26.58,26.71,5167400,18.7
2009-04-08,27.5,27.68,25.83,27.68,4355800,19.38
2009-04-09,29.11,32.0,28.91,30.27,4922300,21.19
2009-04-13,29.45,31.49,28.5,31.44,3093000,22.01
2009-04-14,30.55,35.6,30.51,32.39,5307600,22.67
2009-04-15,31.55,33.13,31.54,32.94,2891100,23.06
2009-04-16,33.03,34.25,32.5,33.47,3119500,23.43
2009-04-17,33.33,33.44,32.16,32.76,3744700,22.93
2009-04-20,31.78,32.75,29.83,30.44,2341900,21.31
2009-04-21,29.91,31.85,29.0,31.59,3284000,22.11
2009-04-22,31.22,35.66,31.12,34.56,5278200,24.19
2009-04-23,34.5,38.0,34.11,36.43,5213700,25.5
2009-04-24,37.46,40.16,36.94,39.53,5004500,27.67
2009-04-27,37.49,40.0,36.76,37.48,4320800,26.24
2009-04-28,36.25,37.84,35.77,36.23,3457600,25.36
2009-04-29,37.93,39.5,36.55,38.16,3388500,26.71
2009-04-30,40.74,44.18,38.93,39.23,6188600,27.46
2009-05-01,39.03,41.02,38.22,39.16,2668500,27.41
2009-05-04,40.5,43.83,40.03,42.81,3576600,29.97
2009-05-05,46.38,50.77,44.85,49.98,9437000,34.99
2009-05-06,49.21,49.48,44.55,47.12,7667500,32.98
2009-05-07,48.0,48.35,43.3,44.21,3863700,30.95
2009-05-08,45.06,48.2,44.64,47.46,2804500,33.22
2009-05-11,46.02,49.75,45.27,48.96,3112000,34.27
2009-05-12,49.45,49.71,44.1,45.18,4481500,31.63
2009-05-13,44.0,44.64,39.36,39.78,5256400,27.85
2009-05-14,39.83,41.06,37.05,39.44,6139900,27.61
2009-05-15,40.0,41.87,37.59,37.9,3811200,26.53
2009-05-18,38.89,41.69,38.78,41.4,3593000,28.98
2009-05-19,41.83,42.36,39.68,40.05,3264800,28.04
2009-05-20,40.43,41.87,38.93,39.18,2846300,27.43
2009-05-21,38.5,39.19,36.67,37.11,3183700,25.98
2009-05-22,37.16,37.53,35.25,35.85,2988000,25.1
2009-05-26,35.25,38.85,35.15,38.1,2912800,26.67
2009-05-27,38.0,38.72,36.27,36.39,3141000,25.47
2009-05-28,37.0,37.65,35.24,36.35,2360100,25.45
2009-05-29,36.59,37.49,36.05,37.06,2801700,25.94
2009-06-01,38.26,40.88,38.06,40.71,4991600,28.5
2009-06-02,40.7,41.14,39.3,40.6,2933000,28.42
2009-06-03,41.02,41.22,38.75,39.51,3632600,27.66
2009-06-04,39.52,40.98,38.59,40.6,2762000,28.42
2009-06-05,41.48,42.2,39.62,40.6,2477500,28.42
2009-06-08,39.85,39.85,37.56,38.93,3253600,27.25
2009-06-09,39.25,39.5,37.7,38.31,2485700,26.82
2009-06-10,38.61,38.98,36.25,37.35,4311200,26.15
2009-06-11,37.5,37.6,36.47,36.97,3079800,25.88
2009-06-12,36.74,37.56,35.8,37.41,3178800,26.19
2009-06-15,36.94,36.94,34.2,34.99,5467900,24.49
2009-06-16,35.21,37.44,35.09,36.08,4759200,25.26
2009-06-17,36.38,37.07,34.05,36.0,4320700,25.2
2009-06-18,37.14,37.58,35.01,35.6,2650900,24.92
2009-06-19,36.43,37.1,35.9,36.86,3568100,25.8
2009-06-22,36.2,36.5,34.27,34.28,2943300,24.0
2009-06-23,34.37,35.11,32.71,33.99,3780800,23.79
2009-06-24,34.32,36.88,34.25,35.99,3295100,25.19
2009-06-25,35.72,37.26,35.12,37.16,2493200,26.01
2009-06-26,37.03,37.28,35.96,36.72,2775700,25.7
2009-06-29,36.8,37.5,35.85,36.93,2160600,25.85
2009-06-30,35.72,36.93,35.12,35.3,2649200,24.71
2009-07-01,35.4,36.23,35.25,35.39,2001800,24.77
2009-07-02,34.93,34.94,33.2,33.41,2330500,23.39
2009-07-06,32.68,33.28,31.82,32.69,2841500,22.88
2009-07-07,32.52,32.68,30.63,30.75,3494500,21.53
2009-07-08,31.49,31.49,29.05,29.91,4489400,20.94
2009-07-09,30.12,33.4,30.12,31.93,5776200,22.35
2009-07-10,31.57,31.58,30.42,30.98,2774000,21.69
2009-07-13,31.31,32.5,30.22,32.31,2886300,22.62
2009-07-14,32.07,34.05,31.68,33.8,3214700,23.66
2009-07-15,34.48,36.55,34.44,36.19,4645700,25.33
2009-07-16,35.69,37.98,35.02,37.52,3553700,26.26
2009-07-17,37.29,37.29,35.83,36.17,3024700,25.32
2009-07-20,36.53,40.49,36.53,39.83,3940700,27.88
2009-07-21,41.92,41.93,38.77,39.77,4322200,27.84
2009-07-22,40.8,43.35,40.5,42.26,6271600,29.58
2009-07-23,42.62,45.88,41.36,44.67,6807500,31.27
2009-07-24,43.75,48.11,43.55,47.29,4863800,33.1
2009-07-27,48.15,49.66,47.11,47.75,4649400,33.43
2009-07-28,46.61,47.37,45.44,46.59,3254500,32.61
2009-07-29,45.87,46.13,43.68,44.31,4260400,31.02
2009-07-30,47.6,51.48,47.26,50.15,9953300,35.11
2009-07-31,49.41,51.67,48.35,51.17,5371000,35.82
2009-08-03,52.56,54.5,52.23,53.43,4481200,37.4
2009-08-04,54.32,58.65,54.32,58.0,7139800,40.6
2009-08-05,59.19,59.86,56.1,56.57,5221500,39.6
2009-08-06,57.18,58.7,55.52,55.59,4769500,38.91
2009-08-07,57.35,59.34,56.14,58.47,4349300,40.93
2009-08-10,58.25,59.7,56.21,56.4,3699400,39.48
2009-08-11,56.09,56.61,54.1,55.44,4284700,38.81
2009-08-12,55.76,60.43,55.76,59.52,6012000,41.66
2009-08-13,60.18,61.2,57.92,60.88,5440500,42.62
2009-08-14,60.34,60.64,56.86,57.15,8254600,40.01
2009-08-17,54.74,54.75,52.75,52.89,4949100,37.02
2009-08-18,53.94,55.74,53.51,55.31,4130700,38.72
2009-08-19,53.5,55.5,53.14,54.85,3386500,38.4
2009-08-20,55.09,56.63,54.64,55.42,2797700,38.79
2009-08-21,57.01,57.35,55.26,56.95,4456400,39.87
2009-08-24,57.84,58.52,55.21,55.5,3670600,38.85
2009-08-25,56.46,58.34,55.86,58.02,3800400,40.61
2009-08-26,57.53,58.39,56.6,57.2,3464100,40.04
2009-08-27,56.85,57.09,54.75,56.36,2912600,39.45
2009-08-28,57.76,57.83,55.61,56.27,2376800,39.39
2009-08-31,55.48,55.82,53.5,54.13,3265000,37.89
2009-09-01,53.9,55.5,52.02,52.45,5125600,36.72
2009-09-02,52.64,53.41,51.36,52.68,3697500,36.88
2009-09-03,53.51,53.63,52.15,53.42,2053700,37.39
2009-09-04,53.42,56.75,52.83,56.55,3358100,39.59
2009-09-08,58.27,58.68,56.94,57.42,3293500,40.19
2009-09-09,58.42,62.11,58.04,61.09,5310600,42.76
2009-09-10,60.75,62.33,59.13,62.15,3794500,43.51
2009-09-11,64.0,65.88,63.6,64.5,4661900,45.15
2009-09-14,63.94,69.41,63.94,69.11,5436700,48.38
2009-09-15,70.57,73.22,69.15,72.47,8088000,50.73
2009-09-16,73.52,73.62,68.27,68.92,9046300,48.24
2009-09-17,69.6,71.69,68.06,69.19,5717300,48.43
2009-09-18,70.35,70.61,68.15,69.16,3353800,48.41
2009-09-21,68.39,72.2,67.9,68.68,5872500,48.08
