Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.68,18.45,17.58,18.36,6026000,15.89
2009-01-05,18.11,18.88,18.11,18.24,5936600,15.79
2009-01-06,18.39,18.8,18.19,18.61,6199300,16.11
2009-01-07,18.26,18.47,17.76,17.89,6296000,15.48
2009-01-08,17.65,17.7,16.64,17.0,14456300,14.71
2009-01-09,17.14,17.17,16.21,16.31,11665000,14.12
2009-01-12,16.21,16.28,15.74,15.95,6983400,13.8
2009-01-13,15.97,16.41,15.77,16.23,10418800,14.05
2009-01-14,15.84,16.13,15.5,15.5,9527000,13.41
2009-01-15,16.0,16.54,15.55,16.35,14432700,14.15
2009-01-16,16.69,16.96,16.19,16.93,10746000,14.65
2009-01-20,16.72,16.87,15.59,15.61,8787000,13.51
2009-01-21,15.78,16.01,15.17,15.89,7883600,13.75
2009-01-22,15.51,15.72,15.0,15.47,10975000,13.39
2009-01-23,15.1,16.3,15.1,16.0,7291400,13.85
2009-01-26,16.17,16.65,15.86,16.28,5191100,14.09
2009-01-27,16.46,17.19,16.32,17.06,10221900,14.76
2009-01-28,17.44,17.74,17.29,17.51,8665300,15.15
2009-01-29,17.34,17.47,16.93,17.28,8023800,14.95
2009-01-30,17.38,17.47,16.76,16.85,7293700,14.58
2009-02-02,16.58,17.18,16.33,16.75,8855600,14.62
2009-02-03,16.65,17.18,16.48,17.13,6542300,14.95
2009-02-04,17.13,17.61,17.06,17.19,9139800,15.0
2009-02-05,16.92,18.49,16.81,18.3,12815200,15.97
2009-02-06,18.27,18.88,18.18,18.69,7503300,16.31
2009-02-09,18.6,18.7,18.16,18.37,6520900,16.03
2009-02-10,18.28,18.87,17.61,17.78,9390100,15.52
2009-02-11,17.89,17.98,17.4,17.73,6852800,15.47
2009-02-12,17.48,18.19,17.3,18.14,9677600,15.83
2009-02-13,18.18,18.61,17.98,18.42,6022500,16.07
2009-02-17,17.99,18.01,17.13,17.25,9714200,15.05
2009-02-18,17.28,17.67,17.05,17.26,5388000,15.06
2009-02-19,17.47,17.47,16.52,16.52,8508900,14.42
2009-02-20,16.52,17.01,16.3,16.79,9497800,14.65
2009-02-23,16.75,16.98,16.11,16.17,6948300,14.11
2009-02-24,16.39,17.25,16.3,17.13,8756800,14.95
2009-02-25,17.0,18.22,16.78,17.84,12614200,15.57
2009-02-26,18.1,18.91,17.67,17.78,12586000,15.52
2009-02-27,17.6,18.2,17.54,17.68,11158400,15.43
2009-03-02,17.38,17.75,16.66,16.71,9361700,14.58
2009-03-03,17.64,17.64,16.92,17.37,13094500,15.16
2009-03-04,17.89,18.74,17.82,18.52,14757100,16.16
2009-03-05,18.44,18.84,18.03,18.17,15165100,15.86
2009-03-06,18.38,18.64,17.25,17.82,11374600,15.55
2009-03-09,17.7,18.31,17.25,17.31,11688800,15.11
2009-03-10,17.36,18.25,17.36,18.22,11673000,15.9
2009-03-11,18.35,18.67,18.13,18.53,9226600,16.17
2009-03-12,18.54,19.22,18.38,19.11,10955500,16.68
2009-03-13,19.06,19.29,18.73,19.22,9253700,16.77
2009-03-16,19.24,19.3,18.26,18.39,12711300,16.05
2009-03-17,18.49,19.42,18.38,19.37,8767100,16.9
2009-03-18,19.61,20.42,19.31,20.11,17826900,17.55
2009-03-19,20.32,20.58,19.79,19.92,11824700,17.38
2009-03-20,19.86,20.15,19.01,19.3,12749900,16.84
2009-03-23,19.63,20.27,19.51,20.26,7802700,17.68
2009-03-24,19.93,20.05,19.59,19.71,7029500,17.2
2009-03-25,19.99,20.5,19.48,19.94,10355700,17.4
2009-03-26,20.41,20.55,19.95,20.38,10654200,17.79
2009-03-27,20.08,20.18,19.47,19.49,9838500,17.01
2009-03-30,19.25,19.33,18.83,19.25,9453900,16.8
2009-03-31,19.32,19.6,18.9,19.16,9343400,16.72
2009-04-01,19.0,19.43,18.74,19.39,8823600,16.92
2009-04-02,19.72,20.3,19.58,19.99,7604900,17.44
2009-04-03,19.85,20.02,19.38,19.99,7303200,17.44
2009-04-06,19.65,19.87,19.23,19.78,6108600,17.26
2009-04-07,19.47,19.64,18.99,19.18,5827700,16.74
2009-04-08,19.45,19.89,19.19,19.71,5658200,17.2
2009-04-09,20.07,20.48,19.98,20.4,5742300,17.8
2009-04-13,20.5,20.5,19.66,20.31,9347500,17.72
2009-04-14,20.3,20.94,20.09,20.71,9333500,18.07
2009-04-15,20.38,20.61,20.15,20.59,7564300,17.97
2009-04-16,20.77,21.9,20.75,21.74,10344500,18.97
2009-04-17,21.67,21.74,21.14,21.58,7614200,18.83
2009-04-20,21.05,21.33,20.51,20.57,9989200,17.95
2009-04-21,20.52,20.93,20.11,20.71,9825900,18.07
2009-04-22,20.21,21.54,20.1,20.93,12147400,18.27
2009-04-23,20.56,20.69,19.1,19.75,16490200,17.24
2009-04-24,19.9,20.34,19.3,20.22,10257800,17.65
2009-04-27,19.74,20.36,19.66,20.13,7187700,17.57
2009-04-28,20.12,20.28,19.85,19.94,6095400,17.4
2009-04-29,20.02,20.24,19.81,19.93,6975000,17.39
2009-04-30,20.18,20.89,20.0,20.44,7730700,17.84
2009-05-01,20.63,20.66,19.98,20.45,5244900,17.85
2009-05-04,20.95,21.48,20.6,21.08,5671800,18.4
2009-05-05,21.01,21.05,20.23,20.62,9367700,17.99
2009-05-06,20.51,20.9,20.01,20.66,7521800,18.03
2009-05-07,20.75,20.75,19.06,19.35,10704000,16.89
2009-05-08,19.35,19.55,18.37,18.72,11690600,16.34
2009-05-11,18.52,19.35,18.16,18.97,7074000,16.68
2009-05-12,19.07,19.14,18.31,18.7,6587400,16.44
2009-05-13,18.52,18.81,18.18,18.38,6605600,16.16
2009-05-14,18.44,19.28,18.38,19.0,8641500,16.71
2009-05-15,18.92,19.08,18.56,18.92,9721800,16.64
2009-05-18,18.81,19.28,18.71,19.27,6394400,16.94
2009-05-19,19.01,19.93,18.73,19.66,9183600,17.29
2009-05-20,19.86,20.45,19.53,19.6,8385300,17.23
2009-05-21,19.42,19.54,18.86,19.16,7072700,16.85
2009-05-22,19.18,19.53,18.79,19.26,5824000,16.93
2009-05-26,18.94,20.26,18.94,20.08,8188900,17.66
2009-05-27,20.04,20.58,19.99,20.19,6581600,17.75
2009-05-28,20.25,20.55,19.76,20.51,6007000,18.03
2009-05-29,20.41,20.8,20.15,20.74,5563200,18.24
2009-06-01,20.82,21.84,20.82,21.61,7224200,19.0
2009-06-02,21.61,21.71,20.83,21.01,7075100,18.47
2009-06-03,20.75,21.02,20.55,20.99,6428900,18.46
2009-06-04,20.98,21.46,20.77,21.16,5607200,18.6
2009-06-05,21.35,21.44,20.65,20.92,4294700,18.39
2009-06-08,20.95,21.31,20.62,21.13,4513200,18.58
2009-06-09,21.63,22.07,21.5,21.85,7897600,19.21
2009-06-10,21.82,22.03,21.13,21.79,8069700,19.16
2009-06-11,21.8,21.93,21.38,21.43,7605400,18.84
2009-06-12,21.28,21.39,20.44,20.91,9045800,18.39
2009-06-15,20.55,20.66,20.06,20.4,8972000,17.94
2009-06-16,20.5,20.6,19.89,20.05,8575500,17.63
2009-06-17,20.26,20.57,19.75,20.35,7019500,17.89
2009-06-18,20.31,20.31,19.75,19.88,5332600,17.48
2009-06-19,20.19,20.22,19.92,20.07,5514400,17.65
2009-06-22,20.0,20.29,19.72,19.72,6630100,17.34
2009-06-23,19.88,19.92,19.43,19.62,4903300,17.25
2009-06-24,19.71,20.21,19.66,20.13,7484000,17.7
2009-06-25,20.07,20.37,19.89,20.3,5065100,17.85
2009-06-26,20.2,20.5,20.09,20.19,3579400,17.75
2009-06-29,20.18,20.41,19.92,20.34,5557900,17.88
2009-06-30,20.47,20.73,20.13,20.46,5684500,17.99
2009-07-01,20.59,21.02,20.4,20.57,4882000,18.09
2009-07-02,19.88,20.74,19.66,20.6,15288700,18.11
2009-07-06,20.52,20.59,19.87,20.06,7792000,17.64
2009-07-07,20.0,20.39,19.31,19.35,7258500,17.01
2009-07-08,19.44,19.53,18.97,19.15,7718100,16.84
2009-07-09,19.32,19.73,19.29,19.46,6822100,17.11
2009-07-10,19.34,19.69,19.25,19.38,6458100,17.04
2009-07-13,19.45,19.73,18.94,19.69,9786900,17.31
2009-07-14,19.59,19.96,19.48,19.83,6689500,17.44
2009-07-15,20.84,20.84,20.51,20.66,12170800,18.17
2009-07-16,19.67,20.32,19.45,20.26,21441500,17.81
2009-07-17,20.36,20.36,19.86,20.26,9851700,17.81
2009-07-20,20.26,20.38,19.68,19.97,12205400,17.56
2009-07-21,20.18,20.18,19.58,20.16,9685200,17.73
2009-07-22,20.12,20.73,19.94,20.55,11034100,18.07
2009-07-23,20.41,21.23,20.32,21.13,13532100,18.58
2009-07-24,20.84,21.52,20.72,21.47,9158200,18.88
2009-07-27,21.34,21.55,21.1,21.45,5764600,18.86
2009-07-28,21.36,21.89,21.24,21.74,11102500,19.11
2009-07-29,21.63,21.68,21.22,21.5,9466400,18.9
2009-07-30,21.82,22.2,21.57,21.64,8032900,19.03
2009-07-31,21.61,21.93,21.45,21.69,6611800,19.07
2009-08-03,21.75,22.14,21.67,22.13,8776200,19.58
2009-08-04,21.9,22.3,21.69,22.19,7121400,19.64
2009-08-05,22.2,22.27,21.62,21.92,5312100,19.4
2009-08-06,21.97,22.23,21.47,21.62,4583800,19.13
2009-08-07,21.87,21.95,21.25,21.44,4340000,18.97
2009-08-10,21.38,21.64,21.24,21.51,4620300,19.04
2009-08-11,21.45,21.75,21.2,21.31,4851800,18.86
2009-08-12,21.32,22.04,21.32,21.81,6339200,19.3
2009-08-13,21.91,22.13,21.75,22.1,4524400,19.56
2009-08-14,21.96,22.01,21.28,21.49,4848600,19.02
2009-08-17,21.23,21.27,20.95,21.03,4124700,18.61
2009-08-18,21.09,21.42,21.09,21.34,3785800,18.89
2009-08-19,21.07,21.59,21.01,21.51,3671400,19.04
