Date,Search
2009-01-10,27
2009-01-17,24
2009-01-24,22
2009-01-31,22
2009-02-07,22
2009-02-14,21
2009-02-21,20
2009-02-28,22
2009-03-07,23
2009-03-14,23
2009-03-21,23
2009-03-28,22
2009-04-04,21
2009-04-11,21
2009-04-18,21
2009-04-25,20
2009-05-02,20
2009-05-09,20
2009-05-16,20
2009-05-23,20
2009-05-30,19
2009-06-06,21
2009-06-13,31
2009-06-20,28
2009-06-27,24
2009-07-04,22
2009-07-11,22
2009-07-18,22
2009-07-25,22
2009-08-01,23
2009-08-08,23
2009-08-15,22
2009-08-22,24
2009-08-29,26
2009-09-05,25
2009-09-12,30
2009-09-19,26
2009-09-26,25
2009-10-03,23
2009-10-10,23
2009-10-17,24
2009-10-24,28
2009-10-31,24
2009-11-07,24
2009-11-14,24
2009-11-21,24
2009-11-28,29
2009-12-05,26
2009-12-12,26
2009-12-19,26
2009-12-26,29
2010-01-02,30
2010-01-09,29
2010-01-16,23
2010-01-23,25
2010-01-30,56
2010-02-06,28
2010-02-13,24
2010-02-20,23
2010-02-27,21
2010-03-06,22
2010-03-13,22
2010-03-20,21
2010-03-27,21
2010-04-03,25
2010-04-10,29
2010-04-17,26
2010-04-24,24
2010-05-01,24
2010-05-08,24
2010-05-15,25
2010-05-22,23
2010-05-29,26
2010-06-05,26
2010-06-12,39
2010-06-19,32
2010-06-26,35
2010-07-03,30
2010-07-10,28
2010-07-17,31
2010-07-24,30
2010-07-31,32
2010-08-07,30
2010-08-14,28
2010-08-21,29
2010-08-28,28
2010-09-04,39
2010-09-11,34
2010-09-18,30
2010-09-25,29
2010-10-02,30
2010-10-09,29
2010-10-16,28
2010-10-23,33
2010-10-30,30
2010-11-06,29
2010-11-13,30
2010-11-20,34
2010-11-27,38
2010-12-04,32
2010-12-11,32
2010-12-18,32
2010-12-25,36
2011-01-01,37
2011-01-08,32
2011-01-15,30
2011-01-22,31
2011-01-29,28
2011-02-05,27
2011-02-12,28
2011-02-19,27
2011-02-26,29
2011-03-05,40
2011-03-12,33
2011-03-19,31
2011-03-26,33
2011-04-02,31
2011-04-09,29
2011-04-16,28
2011-04-23,30
2011-04-30,31
2011-05-07,30
2011-05-14,30
2011-05-21,30
2011-05-28,29
2011-06-04,28
2011-06-11,37
2011-06-18,30
2011-06-25,30
2011-07-02,29
2011-07-09,29
2011-07-16,30
2011-07-23,37
2011-07-30,33
2011-08-06,32
2011-08-13,31
2011-08-20,32
2011-08-27,35
2011-09-03,32
2011-09-10,32
2011-09-17,30
2011-09-24,31
2011-10-01,31
2011-10-08,92
2011-10-15,55
2011-10-22,47
2011-10-29,41
2011-11-05,38
2011-11-12,37
2011-11-19,38
2011-11-26,43
2011-12-03,38
2011-12-10,36
2011-12-17,38
2011-12-24,41
2011-12-31,46
2012-01-07,38
2012-01-14,35
2012-01-21,33
2012-01-28,33
2012-02-04,32
2012-02-11,31
2012-02-18,31
2012-02-25,30
2012-03-03,32
2012-03-10,52
2012-03-17,38
2012-03-24,35
2012-03-31,32
2012-04-07,32
2012-04-14,32
2012-04-21,30
2012-04-28,30
2012-05-05,29
2012-05-12,29
2012-05-19,29
2012-05-26,29
2012-06-02,28
2012-06-09,29
2012-06-16,42
2012-06-23,31
2012-06-30,30
2012-07-07,29
2012-07-14,30
2012-07-21,31
2012-07-28,33
2012-08-04,33
2012-08-11,31
2012-08-18,32
2012-08-25,35
2012-09-01,40
2012-09-08,37
2012-09-15,83
2012-09-22,57
2012-09-29,51
2012-10-06,44
2012-10-13,39
2012-10-20,37
2012-10-27,53
2012-11-03,41
2012-11-10,40
2012-11-17,38
2012-11-24,46
2012-12-01,40
2012-12-08,40
2012-12-15,41
2012-12-22,41
2012-12-29,47
2013-01-05,41
2013-01-12,35
2013-01-19,32
2013-01-26,33
2013-02-02,33
2013-02-09,31
2013-02-16,31
2013-02-23,31
2013-03-02,30
2013-03-09,30
2013-03-16,30
2013-03-23,29
2013-03-30,29
2013-04-06,29
2013-04-13,28
2013-04-20,26
2013-04-27,28
2013-05-04,27
2013-05-11,26
2013-05-18,26
2013-05-25,26
2013-06-01,26
2013-06-08,27
2013-06-15,42
2013-06-22,28
2013-06-29,28
2013-07-06,28
2013-07-13,28
2013-07-20,29
2013-07-27,30
2013-08-03,29
2013-08-10,28
2013-08-17,30
2013-08-24,30
2013-08-31,30
2013-09-07,32
2013-09-14,67
2013-09-21,51
2013-09-28,41
2013-10-05,34
2013-10-12,33
2013-10-19,32
2013-10-26,46
2013-11-02,38
2013-11-09,33
2013-11-16,35
2013-11-23,34
2013-11-30,40
2013-12-07,35
2013-12-14,33
2013-12-21,35
2013-12-28,41
2014-01-04,34
2014-01-11,32
2014-01-18,29
2014-01-25,29
2014-02-01,30
2014-02-08,28
2014-02-15,27
2014-02-22,27
2014-03-01,28
2014-03-08,26
2014-03-15,27
2014-03-22,25
2014-03-29,25
2014-04-05,25
2014-04-12,25
2014-04-19,25
2014-04-26,27
2014-05-03,26
2014-05-10,26
2014-05-17,25
2014-05-24,24
2014-05-31,25
2014-06-07,31
2014-06-14,26
2014-06-21,25
2014-06-28,24
2014-07-05,25
2014-07-12,26
2014-07-19,26
2014-07-26,26
2014-08-02,26
2014-08-09,27
2014-08-16,27
2014-08-23,28
2014-08-30,30
2014-09-06,31
2014-09-13,100
2014-09-20,50
2014-09-27,46
2014-10-04,37
2014-10-11,35
2014-10-18,39
2014-10-25,39
2014-11-01,34
2014-11-08,33
2014-11-15,32
2014-11-22,32
2014-11-29,33
