Web Search interest: Apple Inc.
Worldwide; 2009-2014

Interest over time
Week,2009-2014
2009-01-04 - 2009-01-10,27
2009-01-11 - 2009-01-17,24
2009-01-18 - 2009-01-24,22
2009-01-25 - 2009-01-31,22
2009-02-01 - 2009-02-07,22
2009-02-08 - 2009-02-14,21
2009-02-15 - 2009-02-21,20
2009-02-22 - 2009-02-28,22
2009-03-01 - 2009-03-07,23
2009-03-08 - 2009-03-14,23
2009-03-15 - 2009-03-21,23
2009-03-22 - 2009-03-28,22
2009-03-29 - 2009-04-04,21
2009-04-05 - 2009-04-11,21
2009-04-12 - 2009-04-18,21
2009-04-19 - 2009-04-25,20
2009-04-26 - 2009-05-02,20
2009-05-03 - 2009-05-09,20
2009-05-10 - 2009-05-16,20
2009-05-17 - 2009-05-23,20
2009-05-24 - 2009-05-30,19
2009-05-31 - 2009-06-06,21
2009-06-07 - 2009-06-13,31
2009-06-14 - 2009-06-20,28
2009-06-21 - 2009-06-27,24
2009-06-28 - 2009-07-04,22
2009-07-05 - 2009-07-11,22
2009-07-12 - 2009-07-18,22
2009-07-19 - 2009-07-25,22
2009-07-26 - 2009-08-01,23
2009-08-02 - 2009-08-08,23
2009-08-09 - 2009-08-15,22
2009-08-16 - 2009-08-22,24
2009-08-23 - 2009-08-29,26
2009-08-30 - 2009-09-05,25
2009-09-06 - 2009-09-12,30
2009-09-13 - 2009-09-19,26
2009-09-20 - 2009-09-26,25
2009-09-27 - 2009-10-03,23
2009-10-04 - 2009-10-10,23
2009-10-11 - 2009-10-17,24
2009-10-18 - 2009-10-24,28
2009-10-25 - 2009-10-31,24
2009-11-01 - 2009-11-07,24
2009-11-08 - 2009-11-14,24
2009-11-15 - 2009-11-21,24
2009-11-22 - 2009-11-28,29
2009-11-29 - 2009-12-05,26
2009-12-06 - 2009-12-12,26
2009-12-13 - 2009-12-19,26
2009-12-20 - 2009-12-26,29
2009-12-27 - 2010-01-02,30
2010-01-03 - 2010-01-09,29
2010-01-10 - 2010-01-16,23
2010-01-17 - 2010-01-23,25
2010-01-24 - 2010-01-30,56
2010-01-31 - 2010-02-06,28
2010-02-07 - 2010-02-13,24
2010-02-14 - 2010-02-20,23
2010-02-21 - 2010-02-27,21
2010-02-28 - 2010-03-06,22
2010-03-07 - 2010-03-13,22
2010-03-14 - 2010-03-20,21
2010-03-21 - 2010-03-27,21
2010-03-28 - 2010-04-03,25
2010-04-04 - 2010-04-10,29
2010-04-11 - 2010-04-17,26
2010-04-18 - 2010-04-24,24
2010-04-25 - 2010-05-01,24
2010-05-02 - 2010-05-08,24
2010-05-09 - 2010-05-15,25
2010-05-16 - 2010-05-22,23
2010-05-23 - 2010-05-29,26
2010-05-30 - 2010-06-05,26
2010-06-06 - 2010-06-12,39
2010-06-13 - 2010-06-19,32
2010-06-20 - 2010-06-26,35
2010-06-27 - 2010-07-03,30
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,31
2010-07-18 - 2010-07-24,30
2010-07-25 - 2010-07-31,32
2010-08-01 - 2010-08-07,30
2010-08-08 - 2010-08-14,28
2010-08-15 - 2010-08-21,29
2010-08-22 - 2010-08-28,28
2010-08-29 - 2010-09-04,39
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,30
2010-09-19 - 2010-09-25,29
2010-09-26 - 2010-10-02,30
2010-10-03 - 2010-10-09,29
2010-10-10 - 2010-10-16,28
2010-10-17 - 2010-10-23,33
2010-10-24 - 2010-10-30,30
2010-10-31 - 2010-11-06,29
2010-11-07 - 2010-11-13,30
2010-11-14 - 2010-11-20,34
2010-11-21 - 2010-11-27,38
2010-11-28 - 2010-12-04,32
2010-12-05 - 2010-12-11,32
2010-12-12 - 2010-12-18,32
2010-12-19 - 2010-12-25,36
2010-12-26 - 2011-01-01,37
2011-01-02 - 2011-01-08,32
2011-01-09 - 2011-01-15,30
2011-01-16 - 2011-01-22,31
2011-01-23 - 2011-01-29,28
2011-01-30 - 2011-02-05,27
2011-02-06 - 2011-02-12,28
2011-02-13 - 2011-02-19,27
2011-02-20 - 2011-02-26,29
2011-02-27 - 2011-03-05,40
2011-03-06 - 2011-03-12,33
2011-03-13 - 2011-03-19,31
2011-03-20 - 2011-03-26,33
2011-03-27 - 2011-04-02,31
2011-04-03 - 2011-04-09,29
2011-04-10 - 2011-04-16,28
2011-04-17 - 2011-04-23,30
2011-04-24 - 2011-04-30,31
2011-05-01 - 2011-05-07,30
2011-05-08 - 2011-05-14,30
2011-05-15 - 2011-05-21,30
2011-05-22 - 2011-05-28,29
2011-05-29 - 2011-06-04,28
2011-06-05 - 2011-06-11,37
2011-06-12 - 2011-06-18,30
2011-06-19 - 2011-06-25,30
2011-06-26 - 2011-07-02,29
2011-07-03 - 2011-07-09,29
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,37
2011-07-24 - 2011-07-30,33
2011-07-31 - 2011-08-06,32
2011-08-07 - 2011-08-13,31
2011-08-14 - 2011-08-20,32
2011-08-21 - 2011-08-27,35
2011-08-28 - 2011-09-03,32
2011-09-04 - 2011-09-10,32
2011-09-11 - 2011-09-17,30
2011-09-18 - 2011-09-24,31
2011-09-25 - 2011-10-01,31
2011-10-02 - 2011-10-08,92
2011-10-09 - 2011-10-15,55
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,41
2011-10-30 - 2011-11-05,38
2011-11-06 - 2011-11-12,37
2011-11-13 - 2011-11-19,38
2011-11-20 - 2011-11-26,43
2011-11-27 - 2011-12-03,38
2011-12-04 - 2011-12-10,36
2011-12-11 - 2011-12-17,38
2011-12-18 - 2011-12-24,41
2011-12-25 - 2011-12-31,46
2012-01-01 - 2012-01-07,38
2012-01-08 - 2012-01-14,35
2012-01-15 - 2012-01-21,33
2012-01-22 - 2012-01-28,33
2012-01-29 - 2012-02-04,32
2012-02-05 - 2012-02-11,31
2012-02-12 - 2012-02-18,31
2012-02-19 - 2012-02-25,30
2012-02-26 - 2012-03-03,32
2012-03-04 - 2012-03-10,52
2012-03-11 - 2012-03-17,38
2012-03-18 - 2012-03-24,35
2012-03-25 - 2012-03-31,32
2012-04-01 - 2012-04-07,32
2012-04-08 - 2012-04-14,32
2012-04-15 - 2012-04-21,30
2012-04-22 - 2012-04-28,30
2012-04-29 - 2012-05-05,29
2012-05-06 - 2012-05-12,29
2012-05-13 - 2012-05-19,29
2012-05-20 - 2012-05-26,29
2012-05-27 - 2012-06-02,28
2012-06-03 - 2012-06-09,29
2012-06-10 - 2012-06-16,42
2012-06-17 - 2012-06-23,31
2012-06-24 - 2012-06-30,30
2012-07-01 - 2012-07-07,29
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,31
2012-07-22 - 2012-07-28,33
2012-07-29 - 2012-08-04,33
2012-08-05 - 2012-08-11,31
2012-08-12 - 2012-08-18,32
2012-08-19 - 2012-08-25,35
2012-08-26 - 2012-09-01,40
2012-09-02 - 2012-09-08,37
2012-09-09 - 2012-09-15,83
2012-09-16 - 2012-09-22,57
2012-09-23 - 2012-09-29,51
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,39
2012-10-14 - 2012-10-20,37
2012-10-21 - 2012-10-27,53
2012-10-28 - 2012-11-03,41
2012-11-04 - 2012-11-10,40
2012-11-11 - 2012-11-17,38
2012-11-18 - 2012-11-24,46
2012-11-25 - 2012-12-01,40
2012-12-02 - 2012-12-08,40
2012-12-09 - 2012-12-15,41
2012-12-16 - 2012-12-22,41
2012-12-23 - 2012-12-29,47
2012-12-30 - 2013-01-05,41
2013-01-06 - 2013-01-12,35
2013-01-13 - 2013-01-19,32
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,33
2013-02-03 - 2013-02-09,31
2013-02-10 - 2013-02-16,31
2013-02-17 - 2013-02-23,31
2013-02-24 - 2013-03-02,30
2013-03-03 - 2013-03-09,30
2013-03-10 - 2013-03-16,30
2013-03-17 - 2013-03-23,29
2013-03-24 - 2013-03-30,29
2013-03-31 - 2013-04-06,29
2013-04-07 - 2013-04-13,28
2013-04-14 - 2013-04-20,26
2013-04-21 - 2013-04-27,28
2013-04-28 - 2013-05-04,27
2013-05-05 - 2013-05-11,26
2013-05-12 - 2013-05-18,26
2013-05-19 - 2013-05-25,26
2013-05-26 - 2013-06-01,26
2013-06-02 - 2013-06-08,27
2013-06-09 - 2013-06-15,42
2013-06-16 - 2013-06-22,28
2013-06-23 - 2013-06-29,28
2013-06-30 - 2013-07-06,28
2013-07-07 - 2013-07-13,28
2013-07-14 - 2013-07-20,29
2013-07-21 - 2013-07-27,30
2013-07-28 - 2013-08-03,29
2013-08-04 - 2013-08-10,28
2013-08-11 - 2013-08-17,30
2013-08-18 - 2013-08-24,30
2013-08-25 - 2013-08-31,30
2013-09-01 - 2013-09-07,32
2013-09-08 - 2013-09-14,67
2013-09-15 - 2013-09-21,51
2013-09-22 - 2013-09-28,41
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,33
2013-10-13 - 2013-10-19,32
2013-10-20 - 2013-10-26,46
2013-10-27 - 2013-11-02,38
2013-11-03 - 2013-11-09,33
2013-11-10 - 2013-11-16,35
2013-11-17 - 2013-11-23,34
2013-11-24 - 2013-11-30,40
2013-12-01 - 2013-12-07,35
2013-12-08 - 2013-12-14,33
2013-12-15 - 2013-12-21,35
2013-12-22 - 2013-12-28,41
2013-12-29 - 2014-01-04,34
2014-01-05 - 2014-01-11,32
2014-01-12 - 2014-01-18,29
2014-01-19 - 2014-01-25,29
2014-01-26 - 2014-02-01,30
2014-02-02 - 2014-02-08,28
2014-02-09 - 2014-02-15,27
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,28
2014-03-02 - 2014-03-08,26
2014-03-09 - 2014-03-15,27
2014-03-16 - 2014-03-22,25
2014-03-23 - 2014-03-29,25
2014-03-30 - 2014-04-05,25
2014-04-06 - 2014-04-12,25
2014-04-13 - 2014-04-19,25
2014-04-20 - 2014-04-26,27
2014-04-27 - 2014-05-03,26
2014-05-04 - 2014-05-10,26
2014-05-11 - 2014-05-17,25
2014-05-18 - 2014-05-24,24
2014-05-25 - 2014-05-31,25
2014-06-01 - 2014-06-07,31
2014-06-08 - 2014-06-14,26
2014-06-15 - 2014-06-21,25
2014-06-22 - 2014-06-28,24
2014-06-29 - 2014-07-05,25
2014-07-06 - 2014-07-12,26
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,26
2014-07-27 - 2014-08-02,26
2014-08-03 - 2014-08-09,27
2014-08-10 - 2014-08-16,27
2014-08-17 - 2014-08-23,28
2014-08-24 - 2014-08-30,30
2014-08-31 - 2014-09-06,31
2014-09-07 - 2014-09-13,100
2014-09-14 - 2014-09-20,50
2014-09-21 - 2014-09-27,46
2014-09-28 - 2014-10-04,37
2014-10-05 - 2014-10-11,35
2014-10-12 - 2014-10-18,39
2014-10-19 - 2014-10-25,39
2014-10-26 - 2014-11-01,34
2014-11-02 - 2014-11-08,33
2014-11-09 - 2014-11-15,32
2014-11-16 - 2014-11-22,32
2014-11-23 - 2014-11-29,33


Top regions for 2009-2014
Region,2009-2014
Hong Kong,100
Singapore,63
Turks and Caicos Islands,61
British Virgin Islands,58
Bermuda,57
Isle of Man,55
Australia,55
United States,54
Sint Maarten,54
Canada,53
Gibraltar,52
Cayman Islands,52
United Kingdom,52
Macau,52
Monaco,50
Jersey,49
Guernsey,48
Maldives,48
Anguilla,45
Switzerland,45
Seychelles,44
Greenland,44
Aruba,43
San Marino,42
Liechtenstein,42
Saint Kitts and Nevis,41
U.S. Virgin Islands,41
Netherlands,40
New Zealand,40
Grenada,39
Germany,39
Curaçao,37
United Arab Emirates,37
Taiwan,37
Andorra,36
Italy,35
Bahamas,35
Ireland,34
Guam,34
Austria,34
French Polynesia,34
Sri Lanka,33
Åland Islands,33
Luxembourg,33
Dominica,33
Cambodia,33
Brunei,33
Denmark,33
Bhutan,33
Antigua and Barbuda,32
Malaysia,32
Belgium,32
Norway,32
Northern Mariana Islands,32
Faroe Islands,31
Barbados,31
Belize,31
India,30
Philippines,30
Iceland,30
Nepal,29
France,29
Sweden,29
Qatar,29
Saint Lucia,28
Trinidad and Tobago,28
Afghanistan,28
Iran,26
St. Vincent & Grenadines,26
Kuwait,25
Puerto Rico,25
Bahrain,25
Spain,25
New Caledonia,25
Guyana,25
Lebanon,24
Cyprus,24
Malta,24
Fiji,24
South Africa,24
Myanmar (Burma),23
Pakistan,23
Jamaica,23
Laos,22
Suriname,21
Mongolia,21
Russia,20
Saudi Arabia,20
Czech Republic,20
Mexico,20
Cape Verde,19
Oman,19
Portugal,19
South Korea,19
Saint Helena,19
Angola,19
Ghana,19
Guadeloupe,19
Israel,19
Bangladesh,18
Thailand,18
Mauritius,18
Japan,18
Réunion,18
Gambia,18
French Guiana,18
Uruguay,17
Martinique,17
Honduras,17
Haiti,17
Turkmenistan,17
Namibia,17
Botswana,16
Costa Rica,16
Finland,16
Gabon,16
Dominican Republic,16
Brazil,16
Estonia,15
Papua New Guinea,15
Nigeria,15
Hungary,15
Slovenia,14
Latvia,14
Ukraine,14
Uzbekistan,14
Madagascar,14
Greece,14
Indonesia,14
Zambia,14
Djibouti,14
Panama,14
Zimbabwe,14
China,13
Liberia,13
Kosovo,13
Senegal,13
Ecuador,13
Mozambique,13
Cuba,13
Uganda,13
Guatemala,13
Georgia,13
Kenya,13
Kazakhstan,13
Bolivia,12
Vietnam,12
Albania,12
Ethiopia,12
Tajikistan,12
Nicaragua,12
Libya,12
El Salvador,12
Colombia,12
Azerbaijan,12
Slovakia,12
Belarus,12
Iraq,12
Congo (Republic),12
Armenia,12
Togo,11
Turkey,11
Chile,11
Malawi,11
Lithuania,11
Romania,11
Cameroon,11
Côte d’Ivoire,11
Tanzania,10
Rwanda,10
Jordan,10
